Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,30.27,30.39,30.20,30.33,756800,30.10
2009-12-23,30.20,30.40,30.15,30.30,2218400,30.07
2009-12-22,29.91,30.32,29.82,30.18,2481900,29.95
2009-12-21,29.60,29.94,29.30,29.91,3148600,29.69
2009-12-18,29.54,29.83,29.23,29.40,3303500,29.18
2009-12-17,29.45,29.76,29.34,29.44,1930700,29.22
2009-12-16,30.00,30.08,29.67,29.77,2050800,29.55
2009-12-15,29.87,30.08,29.70,29.90,1872000,29.68
2009-12-14,29.79,30.00,29.72,29.97,1334200,29.75
2009-12-11,29.75,29.88,29.56,29.64,1407600,29.42
2009-12-10,29.45,29.94,29.38,29.69,1835400,29.47
2009-12-09,29.54,29.54,28.98,29.25,3111300,29.03
2009-12-08,29.56,29.77,29.22,29.59,1915400,29.37
2009-12-07,29.68,29.99,29.66,29.88,2889500,29.66
2009-12-04,30.00,30.48,29.45,29.86,3537000,29.64
2009-12-03,29.50,30.06,29.50,29.70,3583700,29.48
2009-12-02,29.50,29.69,29.35,29.49,2629400,29.27
2009-12-01,29.10,29.49,29.08,29.44,2268600,29.22
2009-11-30,28.78,28.95,28.56,28.92,2555200,28.70
2009-11-27,28.46,29.09,28.01,28.85,922500,28.63
2009-11-25,29.20,29.54,29.20,29.54,1505500,29.32
2009-11-24,29.32,29.32,28.88,29.24,1550300,29.02
2009-11-23,29.32,29.53,29.10,29.28,1679100,29.06
2009-11-20,28.94,29.05,28.67,28.91,1978000,28.69
2009-11-19,29.09,29.36,28.67,29.13,2213500,28.91
2009-11-18,29.49,29.50,29.14,29.46,2806800,29.24
2009-11-17,29.05,29.71,29.05,29.63,3172700,29.41
2009-11-16,28.25,29.50,28.10,29.37,4435600,29.15
2009-11-13,27.97,28.89,27.75,28.61,6263400,28.40
2009-11-12,27.62,27.69,27.28,27.43,3496200,27.22
2009-11-11,27.32,27.46,27.02,27.46,3234800,27.25
2009-11-10,27.01,27.20,26.79,27.00,2644300,26.80
2009-11-09,26.43,26.96,26.35,26.96,1903800,26.76
2009-11-06,26.48,26.48,25.94,26.17,2443500,25.97
2009-11-05,25.32,26.19,25.30,26.13,2640000,25.93
2009-11-04,25.14,25.58,25.00,25.05,3146800,24.86
2009-11-03,25.02,25.19,24.75,25.03,2307500,24.84
2009-11-02,24.74,25.30,24.69,25.07,4059800,24.88
2009-10-30,25.71,25.81,24.61,24.74,5442300,24.56
2009-10-29,25.49,25.91,25.35,25.73,2493400,25.54
2009-10-28,25.56,25.71,25.20,25.32,3935800,25.13
2009-10-27,25.70,26.05,25.54,25.73,3434900,25.54
2009-10-26,26.19,26.70,25.68,25.71,2905700,25.52
2009-10-23,27.20,27.20,26.04,26.20,2811300,26.00
2009-10-22,27.10,27.10,26.34,26.87,2766300,26.67
2009-10-21,26.49,27.26,26.42,26.88,4431500,26.68
2009-10-20,27.31,27.38,26.36,26.47,3933200,26.27
2009-10-19,27.34,27.55,27.07,27.40,2038700,27.20
2009-10-16,27.42,27.49,26.94,27.21,3026700,27.01
2009-10-15,27.49,27.67,27.40,27.62,2827700,27.41
2009-10-14,27.68,27.73,27.47,27.59,2770600,27.38
2009-10-13,27.41,27.53,27.15,27.29,1422700,27.09
2009-10-12,27.59,27.71,27.33,27.46,1895100,27.25
2009-10-09,27.39,27.54,27.36,27.47,2086300,27.26
2009-10-08,27.50,27.75,27.31,27.40,3365500,27.20
2009-10-07,27.07,27.20,26.89,27.10,1589600,26.90
2009-10-06,27.17,27.47,26.92,27.22,2887400,27.02
2009-10-05,26.29,26.98,26.21,26.82,3191200,26.62
2009-10-02,26.41,26.47,25.95,26.31,3574400,26.11
2009-10-01,26.63,27.32,26.31,26.61,5458600,26.41
2009-09-30,28.00,28.07,27.51,27.83,4530800,27.62
2009-09-29,27.80,28.13,27.71,27.90,3125500,27.69
2009-09-28,27.69,28.23,27.49,27.89,2100100,27.68
2009-09-25,27.77,27.84,27.48,27.58,3689200,27.37
2009-09-24,28.38,28.45,27.58,27.83,2975100,27.62
2009-09-23,28.59,28.83,28.15,28.27,4454800,28.06
2009-09-22,28.96,28.96,28.39,28.53,4730800,28.32
2009-09-21,28.73,29.38,28.62,28.81,5618700,28.59
2009-09-18,28.69,28.73,27.82,28.37,4436700,28.16
2009-09-17,28.59,28.82,28.18,28.49,3919000,28.28
2009-09-16,28.33,28.77,28.33,28.63,3233200,28.42
2009-09-15,27.65,28.38,27.65,28.32,3318100,28.11
2009-09-14,27.86,28.18,27.64,28.10,3514400,27.89
2009-09-11,27.88,28.16,27.75,28.05,4390800,27.84
2009-09-10,27.08,27.88,26.94,27.86,4298800,27.65
2009-09-09,26.31,27.19,26.16,27.15,3676500,26.95
2009-09-08,25.86,26.42,25.81,26.41,4118600,26.21
2009-09-04,25.37,25.92,25.15,25.86,3255700,25.67
2009-09-03,25.47,25.54,25.00,25.29,4637000,25.10
2009-09-02,25.97,25.97,24.96,25.22,6461500,25.03
2009-09-01,25.51,26.33,25.48,25.85,6642300,25.66
2009-08-31,25.45,25.74,25.31,25.68,5106500,25.49
2009-08-28,25.67,26.05,25.63,25.83,3969500,25.64
2009-08-27,25.50,25.57,25.23,25.54,7017700,25.35
2009-08-26,25.44,25.64,25.15,25.48,3333500,25.29
2009-08-25,25.50,25.70,25.23,25.34,3089200,25.15
2009-08-24,25.64,25.74,25.33,25.50,2224800,25.31
2009-08-21,25.60,25.61,25.22,25.55,3475900,25.36
2009-08-20,25.14,25.43,25.12,25.32,3234200,25.13
2009-08-19,25.15,25.39,24.98,25.25,5442700,25.06
2009-08-18,24.52,26.00,24.16,25.41,13374100,25.22
