Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,203.55,209.35,203.35,209.04,17888900,207.20
2009-12-23,201.20,202.38,200.81,202.10,12340200,200.32
2009-12-22,199.44,200.85,198.66,200.36,12482700,198.60
2009-12-21,196.05,199.75,195.67,198.23,21853800,196.49
2009-12-18,193.17,195.50,192.60,195.43,21741800,193.71
2009-12-17,194.26,195.00,191.00,191.86,13887100,190.17
2009-12-16,195.10,196.50,194.55,195.03,12606600,193.31
2009-12-15,195.83,197.51,193.27,194.17,14980700,192.46
2009-12-14,195.37,197.43,192.56,196.98,17706800,195.25
2009-12-11,197.78,198.00,193.43,194.67,15349100,192.96
2009-12-10,199.50,199.70,196.12,196.43,17488200,194.70
2009-12-09,191.28,198.16,190.31,197.80,24456500,196.06
2009-12-08,189.36,192.35,188.70,189.87,24657100,188.20
2009-12-07,193.32,193.77,188.68,188.95,25527100,187.29
2009-12-04,199.70,199.88,190.28,193.32,29531600,191.62
2009-12-03,197.42,198.98,196.27,196.48,16025700,194.75
2009-12-02,198.96,201.42,195.75,196.23,25545000,194.50
2009-12-01,202.24,202.77,196.83,196.97,16634400,195.24
2009-11-30,201.11,201.68,198.77,199.91,15173500,198.15
2009-11-27,199.22,202.96,198.37,200.59,10544900,198.82
2009-11-25,205.40,205.65,203.76,204.19,10230500,202.39
2009-11-24,205.33,205.88,202.90,204.44,11372800,202.64
2009-11-23,203.00,206.00,202.95,205.88,16960600,204.07
2009-11-20,199.15,200.39,197.76,199.92,14523800,198.16
2009-11-19,204.61,204.61,199.80,200.51,19368800,198.75
2009-11-18,206.54,207.00,204.00,205.96,13368600,204.15
2009-11-17,206.08,207.44,205.00,207.00,14161200,205.18
2009-11-16,205.48,208.00,205.01,206.63,17328800,204.81
2009-11-13,202.87,204.83,202.07,204.45,12258600,202.65
2009-11-12,203.14,204.87,201.43,201.99,12990400,200.21
2009-11-11,204.56,205.00,201.83,203.25,15852500,201.46
2009-11-10,201.02,204.98,201.01,202.98,14328400,201.19
2009-11-09,196.94,201.90,196.26,201.46,18887700,199.69
2009-11-06,192.51,195.19,192.40,194.34,10539200,192.63
2009-11-05,192.40,195.00,191.82,194.03,13742900,192.32
2009-11-04,190.73,193.85,190.23,190.81,17411800,189.13
2009-11-03,187.85,189.52,185.92,188.75,18662200,187.09
2009-11-02,189.80,192.88,185.57,189.31,24249400,187.64
2009-10-30,196.06,196.80,188.17,188.50,25625900,186.84
2009-10-29,195.00,196.81,192.14,196.35,20366800,194.62
2009-10-28,197.71,198.02,191.10,192.40,29228100,190.71
2009-10-27,201.66,202.81,196.45,197.37,27019700,195.63
2009-10-26,203.67,206.75,200.10,202.48,17297800,200.70
2009-10-23,205.70,205.80,203.23,203.94,15028100,202.14
2009-10-22,204.70,207.85,202.51,205.20,28264000,203.39
2009-10-21,199.52,208.71,199.23,204.92,42633100,203.12
2009-10-20,200.60,201.75,197.85,198.76,40751400,197.01
2009-10-19,187.85,190.00,185.55,189.86,33651100,188.19
2009-10-16,189.35,190.36,187.84,188.05,15408100,186.39
2009-10-15,189.63,190.92,189.53,190.56,13341300,188.88
2009-10-14,192.25,192.32,190.23,191.29,13411100,189.61
2009-10-13,190.63,191.17,189.70,190.02,12429300,188.35
2009-10-12,191.02,191.51,189.64,190.81,10286600,189.13
2009-10-09,188.97,190.70,188.62,190.47,10474000,188.79
2009-10-08,190.66,191.45,188.89,189.27,15650400,187.60
2009-10-07,189.76,190.55,189.03,190.25,16631000,188.58
2009-10-06,187.74,190.01,187.30,190.01,21610200,188.34
2009-10-05,186.20,186.86,184.27,186.02,15111900,184.38
2009-10-02,181.41,185.94,181.35,184.90,19761000,183.27
2009-10-01,185.35,186.22,180.70,180.86,18739700,179.27
2009-09-30,186.13,186.45,182.61,185.35,19270900,183.72
2009-09-29,186.73,187.40,184.31,185.38,12335200,183.75
2009-09-28,183.87,186.68,183.33,186.15,12051600,184.51
2009-09-25,182.01,185.50,181.44,182.37,15901400,180.76
2009-09-24,187.20,187.70,182.77,183.82,19674300,182.20
2009-09-23,185.40,188.90,185.03,185.50,21198700,183.87
2009-09-22,185.19,185.38,182.85,184.48,12741200,182.86
2009-09-21,184.29,185.16,181.62,184.02,15632700,182.40
2009-09-18,185.83,186.55,184.76,185.02,21485100,183.39
2009-09-17,181.98,186.79,181.97,184.55,28949000,182.93
2009-09-16,177.99,182.75,177.88,181.87,26929400,180.27
2009-09-15,174.04,175.65,173.59,175.16,15231100,173.62
2009-09-14,170.83,173.90,170.25,173.72,11500400,172.19
2009-09-11,172.91,173.18,170.87,172.16,12462900,170.64
2009-09-10,172.06,173.25,170.81,172.56,17540500,171.04
2009-09-09,172.78,174.47,169.70,171.14,28967400,169.63
2009-09-08,172.98,173.14,172.00,172.93,11251700,171.41
2009-09-04,167.28,170.70,167.09,170.31,13379600,168.81
2009-09-03,166.44,167.10,165.00,166.55,10498400,165.08
2009-09-02,164.62,167.61,164.11,165.18,13008900,163.73
2009-09-01,167.99,170.00,164.94,165.30,16751000,163.84
2009-08-31,168.16,168.85,166.50,168.21,11119200,166.73
2009-08-28,172.27,172.49,168.53,170.05,16203600,168.55
2009-08-27,168.75,169.57,164.83,169.45,16042200,167.96
2009-08-26,168.92,169.55,166.76,167.41,10857100,165.94
2009-08-25,169.46,170.94,169.13,169.40,11584100,167.91
2009-08-24,170.12,170.71,168.27,169.06,14533200,167.57
2009-08-21,167.65,169.37,166.80,169.22,14859800,167.73
2009-08-20,164.98,166.72,164.61,166.33,12215400,164.87
2009-08-19,162.75,165.30,162.45,164.60,14759700,163.15
2009-08-18,161.63,164.24,161.41,164.00,15398300,162.56
2009-08-17,163.55,163.59,159.42,159.59,18727900,158.19
2009-08-14,167.94,168.23,165.53,166.78,10922000,165.31
2009-08-13,166.65,168.67,166.50,168.42,15713600,166.94
2009-08-12,162.55,166.71,162.46,165.31,15895400,163.85
2009-08-11,163.69,164.38,161.88,162.83,12690800,161.40
2009-08-10,165.66,166.60,163.66,164.72,10724800,163.27
2009-08-07,165.49,166.60,164.80,165.51,13834100,164.05
2009-08-06,165.58,166.51,163.09,163.91,12200600,162.47
2009-08-05,165.75,167.39,164.21,165.11,15113700,163.66
2009-08-04,164.93,165.57,164.21,165.55,14136100,164.09
2009-08-03,165.21,166.64,164.87,166.43,14080000,164.97
2009-07-31,162.99,165.00,162.91,163.39,15090600,161.95
2009-07-30,161.70,164.72,161.50,162.79,16771600,161.36
2009-07-29,158.90,160.45,158.25,160.03,13648500,158.62
2009-07-28,158.88,160.10,157.60,160.00,12984100,158.59
2009-07-27,160.17,160.88,157.26,160.10,15475400,158.69
2009-07-24,156.95,160.00,156.50,159.99,15655800,158.58
2009-07-23,156.63,158.44,155.56,157.82,18820100,156.43
2009-07-22,157.79,158.73,156.11,156.74,31218000,155.36
2009-07-21,153.29,153.43,149.75,151.51,31242200,150.18
2009-07-20,153.27,155.04,150.89,152.91,26268800,151.56
2009-07-17,149.08,152.02,148.63,151.75,21505500,150.41
2009-07-16,145.76,148.02,145.57,147.52,14056100,146.22
2009-07-15,145.04,147.00,144.32,146.88,17342400,145.59
2009-07-14,142.03,143.18,141.16,142.27,12401700,141.02
2009-07-13,139.54,142.34,137.53,142.34,17267900,141.09
2009-07-10,136.34,138.97,136.32,138.52,15902700,137.30
2009-07-09,137.76,137.99,135.93,136.36,12250900,135.16
2009-07-08,135.92,138.04,134.42,137.22,20568900,136.01
2009-07-07,138.48,139.68,135.18,135.40,16485600,134.21
2009-07-06,138.70,138.99,136.25,138.61,17810300,137.39
2009-07-02,141.25,142.83,139.79,140.02,13231400,138.79
2009-07-01,143.50,144.66,142.52,142.83,14792100,141.57
2009-06-30,142.58,143.80,141.80,142.43,15508000,141.18
2009-06-29,143.46,143.95,141.54,141.97,20272000,140.72
2009-06-26,139.79,143.56,139.74,142.44,15692300,141.19
2009-06-25,135.75,140.20,135.21,139.86,21051700,138.63
2009-06-24,135.42,137.50,134.86,136.22,17340200,135.02
2009-06-23,136.40,136.95,132.88,134.01,25233300,132.83
2009-06-22,140.67,141.56,136.33,137.37,22675500,136.16
2009-06-19,138.07,139.50,136.90,139.48,25780600,138.25
2009-06-18,136.11,138.00,135.59,135.88,15274300,134.68
2009-06-17,136.67,137.45,134.53,135.58,20407600,134.39
2009-06-16,136.66,138.47,136.10,136.35,18385900,135.15
2009-06-15,136.01,136.93,134.89,136.09,19276800,134.89
2009-06-12,138.81,139.10,136.04,136.97,20110200,135.76
2009-06-11,139.55,141.56,138.55,139.95,18743700,138.72
2009-06-10,142.28,142.35,138.30,140.25,24593700,139.02
2009-06-09,143.81,144.56,140.55,142.72,24177300,141.46
2009-06-08,143.82,144.23,139.43,143.85,33273300,142.58
2009-06-05,145.31,146.40,143.21,144.67,22597000,143.40
2009-06-04,140.13,144.18,140.04,143.74,19665500,142.47
2009-06-03,140.00,141.11,139.07,140.95,20185700,139.71
2009-06-02,138.99,141.34,138.35,139.49,16293700,138.26
2009-06-01,136.47,139.99,136.00,139.35,16160700,138.12
2009-05-29,135.39,135.90,133.85,135.81,16304800,134.61
2009-05-28,133.45,135.39,132.03,135.07,17412600,133.88
2009-05-27,131.78,134.98,130.91,133.05,23086500,131.88
2009-05-26,124.76,130.83,124.55,130.78,22747400,129.63
2009-05-22,124.05,124.18,121.75,122.50,10642800,121.42
2009-05-21,125.15,126.78,122.89,124.18,14569500,123.09
2009-05-20,127.63,129.21,125.30,125.87,13878000,124.76
2009-05-19,126.82,129.31,125.74,127.45,13300800,126.33
2009-05-18,123.73,126.70,121.57,126.65,16387200,125.54
2009-05-15,122.32,124.62,121.61,122.42,13127400,121.34
2009-05-14,119.78,123.53,119.70,122.95,15993800,121.87
2009-05-13,123.21,124.02,119.38,119.49,21284700,118.44
2009-05-12,129.56,129.71,123.25,124.42,21767200,123.32
2009-05-11,127.37,130.96,127.12,129.57,14452100,128.43
2009-05-08,129.04,131.23,126.26,129.19,16713000,128.05
2009-05-07,132.33,132.39,127.90,129.06,18992000,127.92
2009-05-06,133.33,133.50,130.22,132.50,16912100,131.33
2009-05-05,131.75,132.86,131.12,132.71,14223400,131.54
2009-05-04,128.24,132.25,127.68,132.07,21762800,130.91
2009-05-01,125.80,127.95,125.80,127.24,14197000,126.12
2009-04-30,126.22,127.00,124.92,125.83,17803200,124.72
2009-04-29,124.85,126.85,123.83,125.14,16361100,124.04
2009-04-28,123.35,126.21,123.26,123.90,16280600,122.81
2009-04-27,122.90,125.00,122.66,124.73,17167500,123.63
2009-04-24,124.64,125.14,122.97,123.90,19313000,122.81
2009-04-23,126.62,127.20,123.51,125.40,33755600,124.30
2009-04-22,122.63,125.35,121.20,121.51,33527400,120.44
2009-04-21,118.89,122.14,118.60,121.76,16810200,120.69
2009-04-20,121.73,122.99,119.16,120.50,16659500,119.44
2009-04-17,121.18,124.25,120.25,123.42,17767700,122.33
2009-04-16,119.19,123.15,118.79,121.45,21194500,120.38
2009-04-15,117.20,118.25,115.76,117.64,14745800,116.60
2009-04-14,119.57,120.17,117.25,118.31,16236500,117.27
2009-04-13,120.01,120.98,119.00,120.22,13901300,119.16
2009-04-09,118.42,120.00,117.96,119.57,18955600,118.52
2009-04-08,115.43,116.79,114.58,116.32,16272500,115.30
2009-04-07,116.53,116.67,114.19,115.00,19163600,113.99
2009-04-06,114.94,118.75,113.28,118.45,23502300,117.41
2009-04-03,114.19,116.13,113.52,115.99,22722900,114.97
2009-04-02,110.14,114.75,109.78,112.71,29013100,111.72
2009-04-01,104.09,109.00,103.89,108.69,21049000,107.73
2009-03-31,105.45,107.45,105.00,105.12,20338500,104.19
2009-03-30,104.51,105.01,102.61,104.49,17957000,103.57
2009-03-27,108.23,108.53,106.40,106.85,17602600,105.91
2009-03-26,107.83,109.98,107.58,109.87,22009000,108.90
2009-03-25,107.58,108.36,103.86,106.49,23093500,105.55
2009-03-24,106.36,109.44,105.39,106.50,22879000,105.56
2009-03-23,102.71,108.16,101.75,107.66,23799900,106.71
2009-03-20,102.09,103.11,100.57,101.59,24842400,100.70
2009-03-19,101.85,103.20,100.25,101.62,17863600,100.73
2009-03-18,99.91,103.48,99.72,101.52,28429900,100.63
2009-03-17,95.24,99.69,95.07,99.66,28094500,98.78
2009-03-16,96.53,97.39,94.18,95.42,28473000,94.58
2009-03-13,96.30,97.20,95.01,95.93,21470300,95.09
2009-03-12,92.90,96.58,92.00,96.35,27444900,95.50
2009-03-11,89.81,94.07,89.58,92.68,30227600,91.86
2009-03-10,84.87,89.17,84.36,88.63,30152100,87.85
2009-03-09,84.18,87.60,82.57,83.11,24939200,82.38
2009-03-06,88.34,88.40,82.33,85.30,36112400,84.55
2009-03-05,90.46,91.87,88.45,88.84,25246400,88.06
2009-03-04,90.18,92.77,89.45,91.17,26478700,90.37
2009-03-03,88.93,90.74,87.88,88.37,25869300,87.59
2009-03-02,88.12,91.20,87.67,87.94,27533200,87.17
2009-02-27,87.93,91.30,87.67,89.31,25237800,88.52
2009-02-26,92.00,92.92,88.96,89.19,22495300,88.40
2009-02-25,89.86,92.92,89.25,91.16,29751900,90.36
2009-02-24,87.45,90.89,87.00,90.25,28825200,89.46
2009-02-23,91.65,92.00,86.51,86.95,28106500,86.18
2009-02-20,89.40,92.40,89.00,91.20,26797000,90.40
2009-02-19,93.37,94.25,90.11,90.64,32957300,89.84
2009-02-18,95.05,95.85,92.72,94.37,24456400,93.54
2009-02-17,96.87,97.04,94.28,94.53,24222800,93.70
2009-02-13,98.99,99.94,98.12,99.16,21749200,98.29
2009-02-12,95.83,99.75,95.83,99.27,29185300,98.40
2009-02-11,96.37,98.31,95.77,96.82,24106200,95.97
2009-02-10,101.33,102.51,97.06,97.83,30323600,96.97
2009-02-09,100.00,103.00,99.50,102.51,25536100,101.61
2009-02-06,97.02,100.00,97.00,99.72,24543200,98.84
2009-02-05,92.77,97.25,92.62,96.46,26758800,95.61
2009-02-04,93.22,96.25,93.10,93.55,28872200,92.73
2009-02-03,91.92,93.38,90.28,92.98,21403900,92.16
2009-02-02,89.10,92.00,88.90,91.51,19937400,90.70
2009-01-30,92.60,93.62,90.01,90.13,23267100,89.34
2009-01-29,93.09,94.34,92.60,93.00,21168900,92.18
2009-01-28,92.12,95.00,91.50,94.20,30764500,93.37
2009-01-27,90.19,91.55,89.74,90.73,22072800,89.93
2009-01-26,88.86,90.97,88.30,89.64,24722800,88.85
2009-01-23,86.82,89.87,86.50,88.36,27277500,87.58
2009-01-22,88.04,90.00,85.82,88.36,50340300,87.58
2009-01-21,79.39,82.88,79.31,82.83,38902500,82.10
2009-01-20,81.93,82.00,78.20,78.20,32854100,77.51
2009-01-16,84.30,84.38,80.40,82.33,37415200,81.61
