Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,43.52,43.68,43.21,43.46,643200,43.46
2012-12-21,43.44,43.93,43.44,43.64,4012300,43.64
2012-12-20,43.75,43.81,43.47,43.80,2320400,43.80
2012-12-19,43.90,43.96,43.46,43.65,2288500,43.65
2012-12-18,43.76,44.02,43.55,43.91,1986200,43.91
2012-12-17,43.36,43.78,43.27,43.78,3104700,43.78
2012-12-14,42.71,43.38,42.62,43.36,2732300,43.36
2012-12-13,42.78,43.15,42.55,42.85,2750300,42.85
2012-12-12,43.20,43.25,42.32,42.71,6062300,42.71
2012-12-11,42.46,43.18,42.39,43.12,4727000,43.12
2012-12-10,42.31,42.50,42.14,42.23,2517700,42.23
2012-12-07,42.78,42.79,42.15,42.27,2496800,42.27
2012-12-06,42.33,42.72,42.20,42.56,3122200,42.56
2012-12-05,42.75,42.75,42.02,42.26,2845600,42.26
2012-12-04,42.33,42.85,42.33,42.75,3092100,42.75
2012-12-03,42.26,42.59,42.19,42.41,2844200,42.41
2012-11-30,41.56,42.24,41.47,42.22,3277300,42.22
2012-11-29,41.49,41.78,41.34,41.52,2530000,41.52
2012-11-28,41.16,41.29,40.84,41.20,2302100,41.20
2012-11-27,41.18,41.51,41.08,41.22,2337700,41.22
2012-11-26,41.35,41.49,41.15,41.45,2611200,41.45
2012-11-23,40.85,41.49,40.82,41.38,1370500,41.38
2012-11-21,40.78,40.91,40.69,40.85,1650100,40.85
2012-11-20,40.62,40.80,40.40,40.80,1960700,40.80
2012-11-19,40.48,40.79,40.37,40.69,1414800,40.69
2012-11-16,40.23,40.46,39.94,40.26,2304800,40.26
2012-11-15,40.15,40.36,39.90,40.16,2237500,40.16
2012-11-14,40.34,40.94,40.12,40.21,2114000,40.00
2012-11-13,40.00,40.99,39.90,40.71,2856100,40.50
2012-11-12,40.60,40.60,39.92,40.06,1815100,39.85
2012-11-09,40.25,40.82,40.03,40.47,2405500,40.26
2012-11-08,40.65,40.85,39.93,40.33,2930400,40.12
2012-11-07,40.13,40.97,39.65,40.76,3220200,40.55
2012-11-06,40.25,40.62,40.00,40.36,1893000,40.15
