Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,49.89,50.22,49.84,50.05,525000,46.57
2009-12-23,49.51,50.05,49.36,49.95,1409700,46.47
2009-12-22,48.61,49.78,48.40,49.64,1445000,46.19
2009-12-21,48.85,49.14,48.65,48.78,1902600,45.39
2009-12-18,48.78,48.96,48.37,48.85,1648600,45.45
2009-12-17,49.09,49.09,48.39,48.58,2112900,45.20
2009-12-16,49.79,49.79,48.94,49.20,1887700,45.78
2009-12-15,49.72,49.74,48.69,49.34,3559500,45.91
2009-12-14,50.52,50.88,50.04,50.30,2180900,46.51
2009-12-11,50.43,50.70,49.96,50.21,1377100,46.43
2009-12-10,49.95,50.28,49.74,50.09,1218000,46.32
2009-12-09,49.17,49.89,49.10,49.70,1924700,45.96
2009-12-08,49.14,49.67,48.98,49.10,1651100,45.40
2009-12-07,49.76,49.76,49.14,49.22,2362500,45.51
2009-12-04,48.94,49.08,48.20,48.81,2535700,45.13
2009-12-03,49.92,50.02,48.36,48.44,2719800,44.79
2009-12-02,49.89,50.59,49.53,49.92,2866200,46.16
2009-12-01,49.33,50.03,49.00,49.82,3878300,46.07
2009-11-30,48.19,48.80,48.01,48.71,2285800,45.04
2009-11-27,48.74,49.37,47.95,48.18,2710200,44.55
2009-11-25,50.05,50.66,49.49,49.85,2911100,46.10
2009-11-24,49.70,50.02,49.54,49.82,2199000,46.07
2009-11-23,50.24,50.46,49.22,49.76,2863100,46.01
2009-11-20,49.97,50.11,49.56,49.73,2997900,45.98
2009-11-19,50.60,51.05,49.98,50.28,2906400,46.49
2009-11-18,51.22,51.65,50.88,50.97,1932800,47.13
2009-11-17,50.80,51.50,50.59,51.40,1762700,47.53
2009-11-16,51.71,51.99,50.72,51.15,2770200,47.30
2009-11-13,51.74,52.11,51.41,51.50,1450300,47.62
2009-11-12,51.99,52.21,51.47,51.58,1528500,47.70
2009-11-11,52.44,52.68,52.00,52.26,1733100,48.32
2009-11-10,52.78,53.00,52.23,52.32,1150500,48.38
2009-11-09,51.40,52.91,51.40,52.87,1305400,48.89
2009-11-06,50.69,51.66,50.68,51.28,1325300,47.42
2009-11-05,51.49,51.55,50.72,51.01,2112400,47.17
2009-11-04,51.56,52.19,51.51,51.54,1245900,47.66
2009-11-03,50.97,51.42,50.75,51.28,1321500,47.42
2009-11-02,51.46,52.04,50.93,51.44,1280300,47.57
2009-10-30,52.60,52.60,50.92,51.36,3003600,47.49
2009-10-29,52.13,53.01,52.13,52.84,1749000,48.86
2009-10-28,54.70,54.70,51.70,51.91,3332900,48.00
2009-10-27,53.46,54.01,53.03,53.27,1660600,49.26
2009-10-26,54.55,54.84,53.37,53.43,1462900,49.41
2009-10-23,54.75,54.84,54.03,54.38,1698600,50.28
2009-10-22,54.02,55.40,54.02,54.78,3392200,50.65
2009-10-21,54.89,55.06,53.68,53.86,1814600,49.80
2009-10-20,54.93,55.26,54.75,54.79,1403000,50.66
2009-10-19,55.00,55.47,54.78,55.14,1004900,50.99
2009-10-16,54.24,55.19,53.67,54.85,1567200,50.72
2009-10-15,54.47,54.73,53.94,54.67,1013000,50.55
2009-10-14,54.26,54.80,53.85,54.73,983300,50.61
2009-10-13,53.98,54.05,53.41,53.72,1342200,49.67
2009-10-12,54.60,54.93,54.13,54.22,907000,50.14
2009-10-09,54.73,54.83,54.02,54.51,1386600,50.40
2009-10-08,55.54,55.64,54.77,54.80,1517300,50.67
2009-10-07,54.41,55.03,54.24,55.01,1135500,50.87
2009-10-06,54.04,54.76,53.83,54.66,1231400,50.54
2009-10-05,53.84,54.03,53.25,53.82,1701500,49.77
2009-10-02,53.24,54.00,52.92,53.76,1822100,49.71
2009-10-01,53.36,54.48,53.36,53.75,3016000,49.70
2009-09-30,53.35,53.67,52.71,53.46,1434600,49.43
