Date,Open,High,Low,Close,Volume,Adj Close
2012-12-26,30.94,31.10,30.68,30.71,1405900,30.71
2012-12-24,30.93,31.04,30.75,30.89,681100,30.89
2012-12-21,31.00,31.31,30.98,31.05,5294600,31.05
2012-12-20,30.21,31.38,30.21,31.17,4069400,31.17
2012-12-19,30.29,30.29,30.02,30.05,2891900,30.05
2012-12-18,29.93,30.28,29.89,30.27,5841000,30.27
2012-12-17,29.53,29.98,29.50,29.98,1373300,29.98
2012-12-14,29.72,29.79,29.41,29.42,1702700,29.42
2012-12-13,29.73,29.87,29.61,29.73,1978600,29.73
2012-12-12,29.75,30.05,29.72,29.78,2238600,29.78
2012-12-11,29.81,30.05,29.67,29.76,1769500,29.76
2012-12-10,29.60,29.77,29.35,29.77,2215500,29.77
2012-12-07,29.79,29.92,29.68,29.74,1977100,29.34
2012-12-06,30.03,30.06,29.59,29.80,2264400,29.40
2012-12-05,29.48,30.08,29.30,29.96,2329100,29.56
2012-12-04,29.57,29.71,29.40,29.45,1266400,29.05
2012-12-03,30.00,30.00,29.40,29.58,1680300,29.18
2012-11-30,29.70,29.97,29.61,29.97,2779000,29.57
2012-11-29,29.37,29.71,29.34,29.61,2337600,29.21
2012-11-28,28.69,29.33,28.55,29.30,2387300,28.91
2012-11-27,28.81,28.88,28.58,28.75,2108100,28.36
2012-11-26,28.48,28.96,28.48,28.85,1820200,28.46
2012-11-23,28.75,28.84,28.43,28.55,646900,28.17
2012-11-21,28.97,29.00,28.45,28.72,1547900,28.33
2012-11-20,28.99,29.12,28.67,28.89,1914400,28.50
2012-11-19,29.47,29.52,28.96,29.08,1790900,28.69
2012-11-16,29.16,29.37,28.97,29.36,2455600,28.97
2012-11-15,29.36,29.55,28.90,29.02,1685200,28.63
2012-11-14,29.71,29.75,29.20,29.40,1677400,29.00
2012-11-13,29.81,30.16,29.67,29.69,2333300,29.29
2012-11-12,30.20,30.20,29.75,29.86,2117700,29.46
2012-11-09,31.28,31.42,30.30,30.36,2542200,29.95
2012-11-08,31.32,31.71,31.24,31.50,1647900,31.08
2012-11-07,32.04,32.04,31.33,31.39,1420000,30.97
2012-11-06,32.25,32.40,32.09,32.10,1427900,31.67
2012-11-05,32.54,32.55,32.22,32.25,1931300,31.82
2012-11-02,32.95,32.97,32.66,32.68,2788000,32.24
2012-11-01,32.88,33.00,32.77,32.85,1363100,32.41
2012-10-31,32.38,32.96,32.36,32.88,2025400,32.44
2012-10-26,32.62,32.64,32.32,32.33,1502800,31.90
2012-10-25,32.46,32.61,32.27,32.59,1145500,32.15
2012-10-24,32.51,32.58,32.29,32.33,1269900,31.90
2012-10-23,32.62,32.74,32.21,32.48,2749800,32.04
2012-10-22,32.94,32.95,32.66,32.81,861600,32.37
2012-10-19,33.09,33.13,32.84,32.96,1016000,32.52
2012-10-18,33.06,33.16,32.89,33.13,1660400,32.68
2012-10-17,32.77,33.03,32.68,33.03,1412100,32.59
2012-10-16,32.74,32.88,32.51,32.68,1096200,32.24
2012-10-15,32.50,32.68,32.40,32.66,1062900,32.22
2012-10-12,32.88,32.88,32.55,32.60,1226500,32.16
2012-10-11,32.81,32.95,32.66,32.80,1069300,32.36
2012-10-10,32.81,32.85,32.61,32.71,836100,32.27
2012-10-09,32.83,32.94,32.65,32.81,883400,32.37
2012-10-08,32.86,32.96,32.66,32.80,734300,32.36
2012-10-05,33.04,33.05,32.78,32.88,911000,32.44
2012-10-04,33.00,33.21,32.91,32.96,1420600,32.52
2012-10-03,32.93,33.10,32.85,32.92,1735700,32.48
2012-10-02,32.62,32.87,32.62,32.85,2310100,32.41
2012-10-01,32.78,32.83,32.47,32.50,1650700,32.06
2012-09-28,32.54,32.72,32.35,32.67,1527100,32.23
2012-09-27,32.89,32.95,32.58,32.61,1053400,32.17
2012-09-26,32.72,33.10,32.72,32.88,1921600,32.44
2012-09-25,32.86,32.98,32.74,32.77,2339900,32.33
2012-09-24,32.64,32.86,32.57,32.78,1604400,32.34
2012-09-21,32.91,32.91,32.60,32.64,1563000,32.20
2012-09-20,32.55,32.84,32.53,32.82,1553500,32.38
2012-09-19,32.53,32.71,32.48,32.58,1131400,32.14
2012-09-18,32.52,32.57,32.36,32.50,1210900,32.06
2012-09-17,32.62,32.84,32.50,32.59,2499200,32.15
2012-09-14,32.81,32.90,32.58,32.67,1525600,32.23
2012-09-13,32.29,32.84,32.27,32.84,1053000,32.40
2012-09-12,32.48,32.56,32.27,32.31,921400,31.88
2012-09-11,32.60,32.72,32.41,32.50,1647600,32.06
2012-09-10,32.76,32.80,32.55,32.55,1181300,32.11
2012-09-07,33.19,33.24,33.06,33.12,1918800,32.28
2012-09-06,33.13,33.26,33.02,33.18,1518500,32.34
2012-09-05,32.84,33.06,32.72,33.03,2156600,32.19
2012-09-04,32.71,32.84,32.55,32.72,4731500,31.89
2012-08-31,33.04,33.13,32.62,32.72,4387800,31.89
2012-08-30,32.91,33.07,32.79,33.00,1972200,32.16
2012-08-29,33.07,33.21,32.97,33.00,920200,32.16
2012-08-28,33.07,33.26,33.06,33.12,915800,32.28
2012-08-27,33.17,33.33,33.16,33.18,941300,32.34
2012-08-24,33.05,33.30,33.04,33.20,1618600,32.36
2012-08-23,33.40,33.46,32.99,33.16,1256900,32.32
2012-08-22,33.40,33.58,33.36,33.48,1069000,32.63
2012-08-21,33.62,33.81,33.47,33.50,1151600,32.65
2012-08-20,33.47,33.73,33.39,33.68,1208800,32.83
2012-08-17,33.72,33.87,33.45,33.58,1611300,32.73
2012-08-16,34.24,34.37,33.78,33.82,2127400,32.96
2012-08-15,34.53,34.66,34.34,34.34,2226200,33.47
2012-08-14,34.53,34.84,34.50,34.65,1969700,33.77
2012-08-13,34.56,34.80,34.46,34.71,1988800,33.83
2012-08-10,34.37,34.74,34.29,34.70,1107500,33.82
2012-08-09,34.44,34.50,34.04,34.43,1427900,33.56
2012-08-08,34.43,34.48,34.20,34.45,852900,33.58
2012-08-07,34.61,34.84,34.26,34.42,1591800,33.55
2012-08-06,34.47,34.78,34.38,34.60,1202400,33.72
2012-08-03,35.04,35.30,34.08,34.34,1140900,33.47
2012-08-02,33.94,34.48,33.48,33.67,1559800,32.82
2012-08-01,34.30,34.84,33.93,33.93,2969100,33.07
2012-07-31,34.68,34.71,34.20,34.21,923000,33.34
2012-07-30,34.38,34.74,34.36,34.68,767800,33.80
2012-07-27,33.86,34.49,33.86,34.42,1971700,33.55
2012-07-26,33.68,33.93,33.54,33.84,951600,32.98
2012-07-25,33.42,33.49,33.11,33.36,966500,32.51
2012-07-24,33.56,33.56,33.07,33.33,918000,32.48
2012-07-23,33.61,33.79,33.24,33.50,719100,32.65
2012-07-20,33.66,33.92,33.62,33.83,926700,32.97
2012-07-19,33.75,33.81,33.48,33.74,1238700,32.88
2012-07-18,33.64,33.76,33.55,33.74,1315500,32.88
2012-07-17,33.68,33.84,33.50,33.80,742700,32.94
2012-07-16,33.66,33.82,33.57,33.63,1054300,32.78
2012-07-13,33.28,33.70,33.27,33.67,1073600,32.82
2012-07-12,33.13,33.30,33.03,33.23,991700,32.39
2012-07-11,33.20,33.36,33.10,33.24,763400,32.40
2012-07-10,33.17,33.41,33.09,33.21,957800,32.37
2012-07-09,33.28,33.48,32.95,33.13,1091000,32.29
2012-07-06,32.97,33.44,32.97,33.42,1450900,32.57
2012-07-05,33.50,33.55,33.16,33.17,1867800,32.33
2012-07-03,33.54,33.79,33.43,33.58,975000,32.73
2012-07-02,33.69,33.88,33.56,33.59,1418000,32.74
2012-06-29,34.04,34.04,33.28,33.54,2007800,32.69
2012-06-28,33.15,33.59,33.12,33.56,1209100,32.71
2012-06-27,33.16,33.42,33.15,33.34,1034900,32.49
2012-06-26,32.86,33.14,32.71,33.09,2030400,32.25
2012-06-25,32.80,32.90,32.63,32.79,941300,31.96
2012-06-22,33.19,33.19,32.93,33.02,1001300,32.18
2012-06-21,33.67,33.79,32.99,33.05,1782300,32.21
2012-06-20,33.65,33.72,33.42,33.54,1448400,32.69
2012-06-19,33.87,34.00,33.56,33.65,1441200,32.80
2012-06-18,33.45,33.90,33.45,33.90,1694400,33.04
2012-06-15,33.33,33.66,33.26,33.61,1889500,32.76
2012-06-14,32.99,33.28,32.89,33.23,1098700,32.39
2012-06-13,32.82,33.11,32.67,32.90,1569700,32.07
2012-06-12,33.10,33.10,32.72,32.92,1953600,32.08
2012-06-11,33.04,33.32,32.92,33.11,2837500,32.27
2012-06-08,32.99,33.38,32.99,33.25,1640100,32.02
2012-06-07,33.00,33.32,32.93,33.11,5205800,31.88
2012-06-06,32.46,32.81,32.34,32.81,2957900,31.59
2012-06-05,32.05,32.46,32.00,32.30,1251800,31.10
2012-06-04,32.04,32.25,31.93,32.10,1687000,30.91
2012-06-01,31.98,32.38,31.96,32.04,1346300,30.85
2012-05-31,32.09,32.48,32.04,32.31,2169100,31.11
2012-05-30,32.26,32.58,32.05,32.05,1173300,30.86
2012-05-29,32.19,32.46,32.12,32.45,1340200,31.25
2012-05-25,32.12,32.27,31.95,32.06,1410900,30.87
2012-05-24,32.04,32.30,31.80,32.04,1572600,30.85
2012-05-23,32.19,32.35,31.85,31.96,1764100,30.77
2012-05-22,32.27,32.43,32.08,32.38,1124400,31.18
2012-05-21,31.85,32.18,31.77,32.18,906100,30.99
2012-05-18,32.18,32.31,31.83,31.93,1238600,30.75
2012-05-17,32.33,32.43,32.07,32.07,1359800,30.88
2012-05-16,32.25,32.47,32.18,32.36,1518000,31.16
2012-05-15,32.55,32.61,32.08,32.22,1582300,31.02
2012-05-14,32.33,32.76,32.23,32.60,1012900,31.39
2012-05-11,32.72,32.87,32.47,32.50,1367500,31.29
2012-05-10,32.73,33.03,32.65,32.84,1495400,31.62
2012-05-09,32.17,32.71,32.05,32.53,1926400,31.32
2012-05-08,32.11,32.45,32.11,32.40,1166400,31.20
2012-05-07,32.12,32.35,31.79,32.19,2150800,31.00
2012-05-04,31.69,32.63,31.69,32.37,1085100,31.17
2012-05-03,32.69,32.87,32.30,32.43,1224000,31.23
2012-05-02,32.88,32.93,32.60,32.69,1389000,31.48
2012-05-01,32.79,33.11,32.68,33.00,1049500,31.78
2012-04-30,32.76,32.84,32.62,32.79,817800,31.57
2012-04-27,32.62,32.91,32.59,32.76,1292400,31.54
2012-04-26,32.28,32.67,32.27,32.54,1317000,31.33
2012-04-25,32.10,32.48,31.90,32.29,1529500,31.09
2012-04-24,31.41,32.00,31.40,31.93,1762800,30.75
2012-04-23,31.49,31.60,31.37,31.43,1569900,30.26
2012-04-20,31.34,31.75,31.17,31.68,1946400,30.50
2012-04-19,31.62,31.69,31.15,31.29,3375400,30.13
2012-04-18,31.68,31.93,31.47,31.49,1556200,30.32
2012-04-17,31.81,31.90,31.50,31.86,791200,30.68
2012-04-16,31.59,31.80,31.51,31.64,2715200,30.47
2012-04-13,31.49,31.80,31.42,31.47,2064400,30.30
2012-04-12,31.42,31.56,31.20,31.56,1052100,30.39
2012-04-11,31.62,31.68,31.30,31.47,930700,30.30
2012-04-10,31.78,31.86,31.33,31.39,1327500,30.23
2012-04-09,31.82,32.00,31.76,31.92,1028200,30.74
2012-04-05,32.17,32.25,31.86,32.09,829200,30.90
2012-04-04,32.07,32.38,32.07,32.32,1088800,31.12
2012-04-03,32.55,32.57,32.10,32.41,1290000,31.21
2012-04-02,32.55,32.70,32.27,32.50,1128500,31.29
2012-03-30,32.28,32.58,32.18,32.58,1868100,31.37
2012-03-29,31.83,32.16,31.60,32.14,1482800,30.95
2012-03-28,32.41,32.47,31.78,31.99,1293900,30.80
2012-03-27,32.16,32.47,32.06,32.47,1768700,31.27
2012-03-26,31.94,32.20,31.86,32.18,1529400,30.99
2012-03-23,31.83,31.89,31.66,31.77,884400,30.59
2012-03-22,31.56,31.82,31.50,31.77,966000,30.59
2012-03-21,31.58,31.81,31.58,31.72,1044100,30.54
2012-03-20,31.16,31.65,31.16,31.61,1171800,30.44
2012-03-19,31.50,31.64,31.19,31.24,1127500,30.08
2012-03-16,31.63,31.69,31.39,31.46,1793300,30.29
2012-03-15,31.76,31.83,31.44,31.64,1098000,30.47
2012-03-14,32.22,32.25,31.55,31.63,1025500,30.46
2012-03-13,32.22,32.27,31.91,32.20,1559300,31.01
2012-03-12,31.68,32.23,31.45,32.19,1986000,31.00
2012-03-09,31.96,32.02,31.76,31.92,1560500,30.35
2012-03-08,32.04,32.04,31.65,31.91,4433000,30.34
2012-03-07,31.96,32.00,31.65,31.88,1074900,30.31
2012-03-06,32.09,32.20,31.76,32.01,1050800,30.44
