Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,26.71,26.95,26.58,26.90,483700,26.90
2012-12-21,26.56,26.93,26.50,26.73,1976700,26.73
2012-12-20,26.16,26.70,26.06,26.69,1617900,26.69
2012-12-19,26.11,26.20,25.99,26.15,1038500,26.15
2012-12-18,25.80,26.09,25.80,26.08,921800,26.08
2012-12-17,25.67,25.89,25.62,25.79,1214900,25.79
2012-12-14,25.43,25.67,25.43,25.56,525700,25.56
2012-12-13,25.67,25.73,25.47,25.50,869300,25.50
2012-12-12,25.63,25.83,25.47,25.65,968400,25.65
2012-12-11,25.61,25.74,25.46,25.56,1051600,25.56
2012-12-10,25.48,25.64,25.39,25.49,865500,25.49
2012-12-07,25.54,25.62,25.46,25.48,869900,25.48
2012-12-06,25.27,25.48,25.17,25.47,1268400,25.47
2012-12-05,25.28,25.32,25.03,25.09,1174400,25.09
2012-12-04,25.06,25.41,25.00,25.26,1289000,25.26
2012-12-03,25.14,25.27,24.98,25.03,1079900,25.03
2012-11-30,25.33,25.44,25.02,25.07,1463500,25.07
2012-11-29,25.44,25.59,25.04,25.26,3503400,25.26
2012-11-28,25.12,25.22,24.83,25.06,1641000,25.06
2012-11-27,24.74,25.48,24.54,25.19,1969200,25.19
2012-11-26,24.57,24.93,24.57,24.84,1361600,24.84
2012-11-23,24.62,24.74,24.49,24.69,367100,24.69
2012-11-21,24.75,24.80,24.44,24.50,1125000,24.50
2012-11-20,24.64,24.80,24.45,24.75,875300,24.75
2012-11-19,24.77,24.89,24.46,24.63,902700,24.63
2012-11-16,24.36,24.51,24.07,24.51,907900,24.51
2012-11-15,24.35,24.49,24.05,24.30,1239300,24.30
2012-11-14,25.26,25.26,24.25,24.36,872000,24.36
2012-11-13,25.18,25.37,25.01,25.25,874200,25.05
2012-11-12,25.44,25.44,25.16,25.34,807700,25.14
2012-11-09,25.62,25.76,25.38,25.38,1125600,25.18
2012-11-08,26.05,26.10,25.70,25.70,1274100,25.50
2012-11-07,26.11,26.29,25.99,26.12,1156000,25.91
2012-11-06,26.10,26.30,25.89,26.28,1954500,26.07
2012-11-05,26.02,26.20,25.74,25.94,1683500,25.73
2012-11-02,27.03,27.13,26.06,26.16,4241600,25.95
2012-11-01,26.71,27.00,26.52,26.94,1530600,26.73
2012-10-31,26.50,26.75,26.33,26.69,1316600,26.48
2012-10-26,26.58,26.58,26.19,26.36,768700,26.15
2012-10-25,26.81,26.86,26.39,26.60,1851400,26.39
2012-10-24,26.55,26.71,26.37,26.66,1925000,26.45
2012-10-23,26.41,26.65,26.32,26.50,1522500,26.29
2012-10-22,26.85,26.88,26.53,26.68,1969300,26.47
2012-10-19,26.51,27.00,26.42,26.86,2970100,26.65
2012-10-18,25.88,26.55,25.84,26.53,1211300,26.32
2012-10-17,25.94,25.98,25.73,25.95,1283800,25.74
2012-10-16,25.77,25.98,25.72,25.96,1170300,25.75
2012-10-15,25.54,25.75,25.23,25.72,1176700,25.52
2012-10-12,25.38,25.57,25.31,25.45,1194000,25.25
2012-10-11,25.95,25.95,25.42,25.43,2636900,25.23
2012-10-10,25.36,25.85,25.35,25.81,2655800,25.61
2012-10-09,25.46,25.50,25.32,25.43,2225200,25.23
2012-10-08,25.42,25.42,25.12,25.35,1406600,25.15
2012-10-05,25.40,25.58,25.28,25.48,1068100,25.28
2012-10-04,25.59,25.66,25.17,25.28,1140100,25.08
2012-10-03,25.65,25.78,25.33,25.44,1882200,25.24
2012-10-02,25.50,25.58,25.32,25.57,1504100,25.37
2012-10-01,26.11,26.11,25.31,25.48,1371800,25.28
2012-09-28,26.01,26.20,25.87,25.99,1524200,25.78
2012-09-27,26.06,26.41,25.93,26.08,1307600,25.87
2012-09-26,25.93,26.20,25.89,25.95,997100,25.74
2012-09-25,26.44,26.48,25.88,25.90,1657300,25.69
2012-09-24,26.47,26.64,26.26,26.35,1539700,26.14
2012-09-21,26.40,26.65,26.12,26.65,4047600,26.44
2012-09-20,26.99,27.01,26.18,26.27,2151100,26.06
