Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,94.00,95.90,93.35,95.39,653900,95.39
2012-12-21,95.08,95.08,92.06,93.88,2297300,93.88
2012-12-20,95.56,96.43,94.85,95.86,887300,95.86
2012-12-19,96.00,97.30,94.55,95.05,1367200,95.05
2012-12-18,95.44,97.80,95.07,97.29,1265700,97.29
2012-12-17,93.78,95.21,92.90,95.19,800400,95.19
2012-12-14,94.10,95.00,93.04,93.40,1606600,93.40
2012-12-13,94.61,95.20,92.95,94.12,1060400,94.12
2012-12-12,95.50,95.65,93.55,95.09,903100,95.09
2012-12-11,93.08,95.72,93.05,95.23,953500,95.23
2012-12-10,91.74,94.12,91.52,92.65,1611800,92.65
2012-12-07,93.78,94.10,90.08,91.50,1718400,91.50
2012-12-06,94.18,95.10,92.85,93.59,983900,93.59
2012-12-05,95.42,95.58,93.82,94.11,1020600,94.11
2012-12-04,95.47,96.36,94.86,95.16,824300,95.16
2012-12-03,96.24,97.07,94.96,95.19,1020700,95.19
2012-11-30,96.11,96.34,94.66,96.02,954200,96.02
2012-11-29,96.44,97.16,95.30,95.65,684400,95.65
2012-11-28,93.71,96.15,93.06,96.02,1425100,96.02
2012-11-27,93.68,94.90,93.45,93.91,1122400,93.91
2012-11-26,94.13,94.65,93.35,94.07,913200,94.07
2012-11-23,94.30,94.80,93.85,94.71,361000,94.71
2012-11-21,94.03,94.70,93.06,93.46,839700,93.46
2012-11-20,92.09,94.09,91.83,94.06,1124600,94.06
2012-11-19,92.00,92.86,90.44,92.47,1328300,92.47
2012-11-16,88.26,91.49,88.26,90.91,1540400,90.91
2012-11-15,89.27,89.40,86.80,88.25,1838800,88.25
2012-11-14,92.14,92.17,89.25,89.44,1207000,89.44
2012-11-13,91.93,92.43,90.90,91.37,1079400,91.37
2012-11-12,90.92,93.80,90.90,91.98,1396300,91.98
2012-11-09,88.35,91.79,88.00,90.80,1970400,90.80
2012-11-08,87.51,89.33,86.20,88.69,2979300,88.69
2012-11-07,89.75,90.23,86.76,87.97,1949700,87.97
2012-11-06,90.46,91.56,89.88,90.32,1598700,90.32
2012-11-05,89.00,91.84,88.70,90.59,1533800,90.59
2012-11-02,93.16,93.16,88.86,89.09,2239900,89.09
2012-11-01,90.43,93.75,89.22,92.40,2366900,92.40
2012-10-31,95.37,95.55,90.24,90.38,2522400,90.38
2012-10-26,96.26,97.18,95.24,95.26,1671000,95.26
