Date,Open,High,Low,Close,Volume,Adj Close
2013-01-07,11.47,11.71,11.39,11.67,14497900,11.67
2013-01-04,11.82,11.87,11.71,11.81,7446400,11.81
2013-01-03,11.84,11.90,11.70,11.81,8741500,11.81
2013-01-02,11.64,11.84,11.61,11.84,12963700,11.84
2012-12-31,11.25,11.44,11.20,11.44,9255000,11.44
2012-12-28,11.25,11.38,11.22,11.26,10012200,11.26
2012-12-27,11.37,11.45,11.19,11.35,11111400,11.35
2012-12-26,11.37,11.45,11.30,11.39,8168900,11.39
2012-12-24,11.39,11.49,11.30,11.37,5279500,11.37
2012-12-21,11.20,11.50,11.02,11.50,31340200,11.50
2012-12-20,11.34,11.39,11.20,11.38,9755900,11.38
2012-12-19,11.24,11.38,11.22,11.34,11180100,11.34
2012-12-18,11.09,11.25,11.02,11.18,10522600,11.18
2012-12-17,11.09,11.17,10.99,11.11,9299300,11.11
2012-12-14,11.03,11.18,11.01,11.08,7604500,11.08
2012-12-13,11.14,11.22,10.94,11.11,14793200,11.11
2012-12-12,11.11,11.25,11.08,11.09,11821900,11.09
2012-12-11,11.10,11.20,11.06,11.08,10379400,11.08
2012-12-10,10.92,11.13,10.91,11.05,9550300,11.05
2012-12-07,10.93,10.98,10.83,10.97,8275000,10.97
2012-12-06,10.80,10.89,10.74,10.89,8415100,10.89
2012-12-05,10.87,10.93,10.77,10.80,10727000,10.80
2012-12-04,10.69,10.89,10.63,10.88,12033400,10.88
2012-12-03,10.78,10.85,10.65,10.66,9273100,10.66
2012-11-30,10.74,10.80,10.70,10.73,13237800,10.73
2012-11-29,10.66,10.80,10.65,10.74,9554700,10.74
2012-11-28,10.33,10.62,10.24,10.60,11383300,10.60
2012-11-27,10.40,10.50,10.36,10.36,9574000,10.36
2012-11-26,10.35,10.56,10.34,10.47,9730500,10.47
2012-11-23,10.44,10.55,10.35,10.40,6927300,10.40
2012-11-21,10.35,10.50,10.29,10.43,8699700,10.43
2012-11-20,10.32,10.39,10.24,10.39,10707600,10.39
2012-11-19,10.16,10.43,10.12,10.36,15542400,10.36
