Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,2.54,2.57,2.47,2.48,9614700,2.48
2012-12-21,2.33,2.59,2.25,2.59,40721600,2.59
2012-12-20,2.53,2.53,2.37,2.40,24797200,2.40
2012-12-19,2.55,2.57,2.49,2.52,20586800,2.52
2012-12-18,2.50,2.53,2.47,2.52,26636300,2.52
2012-12-17,2.41,2.46,2.39,2.46,15273300,2.46
2012-12-14,2.43,2.44,2.39,2.39,16552900,2.39
2012-12-13,2.40,2.44,2.38,2.41,25069800,2.41
2012-12-12,2.37,2.44,2.36,2.37,24565900,2.37
2012-12-11,2.34,2.36,2.30,2.33,14745400,2.33
2012-12-10,2.35,2.39,2.31,2.32,10015500,2.32
2012-12-07,2.38,2.39,2.29,2.36,34202800,2.36
2012-12-06,2.33,2.39,2.27,2.34,22223500,2.34
2012-12-05,2.30,2.32,2.25,2.29,20378800,2.29
2012-12-04,2.48,2.48,2.21,2.26,52165300,2.26
2012-12-03,2.28,2.46,2.26,2.36,70160800,2.36
2012-11-30,2.16,2.22,2.11,2.20,66853900,2.20
2012-11-29,2.01,2.12,2.01,2.04,42800100,2.04
2012-11-28,1.88,1.99,1.86,1.96,27471900,1.96
2012-11-27,1.87,1.89,1.85,1.88,22732800,1.88
2012-11-26,1.96,1.97,1.84,1.87,30192600,1.87
2012-11-23,1.92,1.97,1.92,1.95,8567500,1.95
2012-11-21,1.89,1.92,1.86,1.87,7525400,1.87
2012-11-20,1.92,1.92,1.86,1.88,11637300,1.88
2012-11-19,1.90,1.95,1.89,1.92,18774000,1.92
2012-11-16,1.87,1.90,1.81,1.86,23501300,1.86
2012-11-15,1.93,1.93,1.86,1.87,20270000,1.87
2012-11-14,2.04,2.05,1.92,1.93,40052600,1.93
2012-11-13,1.98,2.35,1.97,2.09,60092100,2.09
2012-11-12,2.04,2.06,1.99,1.99,15959100,1.99
2012-11-09,2.00,2.07,1.97,2.03,39582000,2.03
2012-11-08,2.03,2.06,1.96,1.98,35841500,1.98
2012-11-07,2.07,2.10,2.01,2.01,30029200,2.01
2012-11-06,2.12,2.14,2.06,2.07,24027100,2.07
2012-11-05,2.10,2.12,2.06,2.11,21064800,2.11
2012-11-02,2.15,2.15,2.07,2.10,20725300,2.10
2012-11-01,2.07,2.14,2.05,2.14,21773300,2.14
2012-10-31,2.13,2.14,2.05,2.05,17427600,2.05
2012-10-26,2.13,2.14,2.06,2.07,16693000,2.07
2012-10-25,2.10,2.15,2.07,2.12,21980400,2.12
2012-10-24,2.17,2.22,2.06,2.08,37324400,2.08
2012-10-23,2.06,2.21,2.03,2.14,33501900,2.14
2012-10-22,2.23,2.23,2.09,2.10,37955900,2.10
2012-10-19,2.54,2.62,2.17,2.18,110069000,2.18
2012-10-18,2.76,2.78,2.60,2.62,35679500,2.62
2012-10-17,2.66,2.80,2.64,2.77,32949000,2.77
2012-10-16,2.77,2.78,2.66,2.68,38376800,2.68
2012-10-15,2.79,2.83,2.73,2.75,26746100,2.75
2012-10-12,2.86,2.99,2.74,2.74,83878000,2.74
2012-10-11,3.19,3.24,3.13,3.20,18206700,3.20
2012-10-10,3.22,3.22,3.13,3.15,19234500,3.15
2012-10-09,3.18,3.26,3.15,3.25,19696500,3.25
2012-10-08,3.21,3.24,3.15,3.19,9897400,3.19
2012-10-05,3.24,3.28,3.17,3.22,11215000,3.22
2012-10-04,3.17,3.25,3.09,3.22,23236300,3.22
2012-10-03,3.28,3.29,3.10,3.12,27800700,3.12
2012-10-02,3.30,3.41,3.17,3.27,27052700,3.27
2012-10-01,3.39,3.41,3.26,3.28,25050500,3.28
2012-09-28,3.43,3.44,3.35,3.37,15558100,3.37
2012-09-27,3.36,3.50,3.34,3.43,19551200,3.43
2012-09-26,3.27,3.42,3.22,3.32,22959900,3.32
2012-09-25,3.48,3.50,3.28,3.28,29232200,3.28
2012-09-24,3.54,3.55,3.45,3.46,23733000,3.46
2012-09-21,3.63,3.68,3.58,3.60,20269300,3.60
2012-09-20,3.64,3.66,3.59,3.59,20836600,3.59
2012-09-19,3.66,3.71,3.58,3.66,31304000,3.66
2012-09-18,3.70,3.90,3.60,3.62,91369500,3.62
2012-09-17,3.90,4.02,3.82,4.01,42220500,4.01
2012-09-14,3.96,3.99,3.85,3.90,23583300,3.90
2012-09-13,3.82,3.94,3.75,3.92,38356300,3.92
2012-09-12,3.83,3.92,3.75,3.89,50272400,3.89
2012-09-11,3.52,3.77,3.48,3.75,33085500,3.75
2012-09-10,3.49,3.59,3.46,3.47,32422000,3.47
2012-09-07,3.62,3.62,3.43,3.45,31043300,3.45
2012-09-06,3.55,3.66,3.53,3.66,19948800,3.66
2012-09-05,3.57,3.63,3.43,3.51,34274300,3.51
2012-09-04,3.69,3.71,3.60,3.64,16162600,3.64
2012-08-31,3.77,3.78,3.60,3.72,23593500,3.72
2012-08-30,3.75,3.80,3.70,3.70,12154100,3.70
2012-08-29,3.80,3.84,3.76,3.77,10004700,3.77
2012-08-28,3.84,3.88,3.75,3.79,14500800,3.79
2012-08-27,3.95,3.95,3.82,3.85,13057600,3.85
2012-08-24,3.88,3.95,3.85,3.94,12557300,3.94
2012-08-23,3.98,3.98,3.88,3.90,24424500,3.90
2012-08-22,4.05,4.05,3.96,4.01,17671700,4.01
2012-08-21,4.10,4.18,4.03,4.07,15999500,4.07
2012-08-20,4.10,4.10,3.98,4.09,17270600,4.09
2012-08-17,4.17,4.20,4.08,4.10,9228900,4.10
2012-08-16,4.19,4.24,4.13,4.17,12980100,4.17
2012-08-15,4.11,4.23,4.10,4.19,10406600,4.19
2012-08-14,4.31,4.35,4.11,4.12,13190100,4.12
2012-08-13,4.31,4.32,4.21,4.26,12805200,4.26
2012-08-10,4.23,4.37,4.22,4.34,7842500,4.34
2012-08-09,4.41,4.41,4.23,4.37,23069200,4.37
2012-08-08,4.05,4.47,4.03,4.40,52654600,4.40
2012-08-07,4.04,4.12,4.01,4.02,17095500,4.02
2012-08-06,4.10,4.12,3.95,4.01,18012600,4.01
2012-08-03,4.01,4.10,3.98,4.09,8352200,4.09
2012-08-02,4.03,4.12,3.89,3.97,15798800,3.97
2012-08-01,4.09,4.15,3.99,4.05,16227500,4.05
2012-07-31,4.09,4.15,4.05,4.06,13539000,4.06
2012-07-30,4.08,4.13,4.06,4.10,9546600,4.10
2012-07-27,4.09,4.12,4.02,4.09,13882400,4.09
2012-07-26,4.05,4.09,4.00,4.04,11233600,4.04
2012-07-25,4.11,4.15,3.98,4.01,20287800,4.01
2012-07-24,4.18,4.20,4.00,4.06,21019600,4.06
2012-07-23,4.15,4.16,4.03,4.15,22166600,4.15
2012-07-20,4.62,4.62,4.20,4.22,52272400,4.22
2012-07-19,4.93,5.07,4.82,4.86,27598400,4.86
2012-07-18,4.83,5.02,4.76,4.89,15849900,4.89
2012-07-17,4.85,4.93,4.71,4.87,14273200,4.87
2012-07-16,4.85,4.87,4.74,4.83,14791700,4.83
2012-07-13,4.89,4.95,4.83,4.90,15546400,4.90
2012-07-12,4.85,4.96,4.81,4.88,19891400,4.88
2012-07-11,5.02,5.04,4.86,4.89,16155500,4.89
2012-07-10,5.08,5.40,4.95,4.99,75490100,4.99
2012-07-09,5.69,5.78,5.61,5.62,13565900,5.62
2012-07-06,5.80,5.83,5.68,5.75,9952400,5.75
2012-07-05,5.80,5.98,5.79,5.88,13359900,5.88
2012-07-03,5.78,6.08,5.77,6.03,11319400,6.03
2012-07-02,5.75,5.78,5.66,5.75,11159600,5.75
2012-06-29,5.59,5.73,5.58,5.73,20948600,5.73
2012-06-28,5.45,5.47,5.32,5.41,11533600,5.41
2012-06-27,5.47,5.53,5.40,5.50,8999200,5.50
2012-06-26,5.44,5.50,5.39,5.44,10162500,5.44
2012-06-25,5.64,5.64,5.38,5.41,17470300,5.41
2012-06-22,5.77,5.82,5.63,5.73,15918900,5.73
2012-06-21,6.04,6.04,5.71,5.72,17212000,5.72
2012-06-20,5.87,6.09,5.79,6.06,23323500,6.06
2012-06-19,5.93,6.00,5.80,5.81,21247800,5.81
2012-06-18,5.85,6.00,5.80,5.93,11950000,5.93
2012-06-15,5.77,5.88,5.73,5.87,9292400,5.87
2012-06-14,5.75,5.81,5.70,5.76,8485800,5.76
