Date,Open,High,Low,Close,Volume,Adj Close
2012-12-26,62.96,63.12,62.41,62.47,700400,62.47
2012-12-24,62.54,63.01,62.40,62.89,511300,62.89
2012-12-21,62.67,63.07,62.24,62.67,2420600,62.67
2012-12-20,62.91,63.52,62.83,63.51,988000,63.51
2012-12-19,63.49,63.75,62.91,62.91,1231600,62.91
2012-12-18,62.46,63.59,62.28,63.52,1756300,63.52
2012-12-17,61.63,62.50,61.55,62.49,1090600,62.49
2012-12-14,61.21,61.59,61.09,61.22,860800,61.22
2012-12-13,61.78,61.89,61.12,61.38,1133600,61.38
2012-12-12,61.75,62.76,61.66,61.90,1667800,61.90
2012-12-11,61.68,61.93,61.39,61.51,1569500,61.51
2012-12-10,61.96,62.00,61.29,61.29,1738600,61.29
2012-12-07,61.90,62.70,61.83,62.35,1722200,62.35
2012-12-06,61.03,61.82,60.74,61.78,1152100,61.78
2012-12-05,60.61,61.36,60.48,61.12,1074400,61.12
2012-12-04,60.94,61.12,60.55,60.61,1124500,60.61
2012-12-03,60.92,61.49,60.81,61.10,1444700,61.10
2012-11-30,61.38,61.74,60.67,60.67,1900000,60.67
2012-11-29,60.95,61.74,60.75,61.46,1367200,61.46
2012-11-28,59.65,60.74,59.45,60.69,1348600,60.69
2012-11-27,60.38,60.98,60.13,60.15,1308000,60.15
2012-11-26,60.60,60.80,60.41,60.50,1832300,60.50
2012-11-23,60.63,61.08,60.49,61.00,937000,61.00
2012-11-21,59.86,60.31,59.49,60.17,1085700,60.17
2012-11-20,59.62,59.77,59.18,59.77,1441500,59.77
2012-11-19,59.28,59.87,59.17,59.74,1500700,59.74
2012-11-16,57.42,58.50,57.42,58.38,2166900,58.38
2012-11-15,57.40,58.37,57.20,58.06,1806400,58.06
2012-11-14,58.73,58.92,57.41,57.58,1636300,57.58
2012-11-13,57.75,59.58,57.66,58.55,1714000,58.55
2012-11-12,58.05,59.78,57.80,58.39,1075800,58.39
2012-11-09,57.72,58.65,57.44,58.05,741700,58.05
2012-11-08,58.69,59.41,57.99,58.01,1458100,58.01
2012-11-07,59.65,59.66,58.07,58.60,1702100,58.60
2012-11-06,60.27,61.04,60.10,60.45,1336000,60.45
2012-11-05,59.67,60.30,59.34,60.12,1799600,60.12
2012-11-02,60.00,60.71,59.75,60.12,3432200,60.12
2012-11-01,58.27,59.71,57.83,59.68,1544700,59.68
2012-10-31,58.90,59.38,56.13,58.37,3463400,57.92
2012-10-26,58.97,59.50,58.13,59.30,1974700,58.84
2012-10-25,58.59,60.68,58.42,59.00,2656200,58.55
2012-10-24,57.51,57.98,56.91,57.07,1683000,56.63
2012-10-23,57.02,57.41,56.73,57.12,1795400,56.68
2012-10-22,58.72,58.72,57.48,58.27,1329600,57.82
2012-10-19,58.67,58.90,57.54,57.80,957200,57.35
2012-10-18,58.84,59.27,58.56,58.92,1049000,58.47
2012-10-17,58.06,59.14,57.96,58.99,1078500,58.54
2012-10-16,56.73,58.18,56.73,57.89,1237900,57.44
2012-10-15,56.20,56.43,55.81,56.19,1151600,55.76
2012-10-12,56.77,56.99,55.66,55.96,1020800,55.53
2012-10-11,57.45,57.57,56.80,56.83,1441400,56.39
2012-10-10,57.37,57.55,56.70,56.78,1105900,56.34
2012-10-09,57.44,57.91,57.20,57.30,921600,56.86
2012-10-08,57.51,57.90,57.36,57.69,566100,57.25
2012-10-05,58.18,58.53,57.67,57.83,1505800,57.38
2012-10-04,56.92,58.13,56.92,57.77,1582900,57.32
2012-10-03,56.73,56.86,56.16,56.48,1085500,56.04
2012-10-02,57.02,57.06,56.25,56.43,987100,55.99
2012-10-01,57.18,57.72,56.47,56.68,979300,56.24
2012-09-28,56.94,56.99,56.20,56.69,1025100,56.25
2012-09-27,56.56,57.21,56.32,56.94,1038500,56.50
2012-09-26,55.95,56.42,55.35,56.08,1895600,55.65
2012-09-25,57.78,57.89,55.89,55.91,1357900,55.48
2012-09-24,57.17,57.82,56.95,57.41,852400,56.97
2012-09-21,57.79,58.26,57.44,57.60,1990100,57.16
2012-09-20,57.32,57.55,56.93,57.45,1222900,57.01
2012-09-19,58.17,58.33,57.68,57.81,1103900,57.36
2012-09-18,58.25,58.58,57.92,58.19,1043500,57.74
