Date,Open,High,Low,Close,Volume,Adj Close
2013-01-07,86.38,86.72,85.74,86.63,831400,86.63
2013-01-04,85.86,86.81,85.69,86.71,973000,86.71
2013-01-03,85.96,86.40,85.33,85.56,708900,85.56
2013-01-02,85.46,85.94,85.04,85.86,1214500,85.86
2012-12-31,82.39,84.05,82.00,84.02,809300,84.02
2012-12-28,84.06,84.10,82.89,82.93,811500,82.93
2012-12-27,85.89,85.91,83.70,84.80,1216300,84.16
2012-12-26,85.38,86.31,85.19,85.75,1015400,85.10
2012-12-24,84.56,85.31,84.03,85.26,488000,84.62
2012-12-21,84.64,85.05,84.06,84.28,1645900,83.64
2012-12-20,83.91,85.05,83.84,85.05,1006700,84.41
2012-12-19,84.59,84.85,83.77,83.77,958200,83.14
2012-12-18,83.54,84.73,83.01,84.47,888000,83.83
2012-12-17,82.65,83.55,82.58,83.36,760000,82.73
2012-12-14,83.02,83.30,82.47,82.55,792300,81.93
2012-12-13,82.65,83.15,82.49,82.95,690200,82.32
2012-12-12,83.71,83.80,82.40,82.56,903600,81.94
2012-12-11,83.26,83.81,83.01,83.24,893700,82.61
2012-12-10,83.02,83.20,82.76,83.11,608800,82.48
2012-12-07,82.05,83.08,81.55,83.06,1113300,82.43
2012-12-06,82.01,82.21,81.44,82.15,1243700,81.53
2012-12-05,81.62,82.20,81.35,81.99,985000,81.37
2012-12-04,81.16,82.18,81.16,81.70,935500,81.08
2012-12-03,83.20,83.39,81.43,81.57,1083500,80.95
2012-11-30,82.50,83.19,82.41,82.94,1379200,82.31
2012-11-29,82.64,83.25,82.10,82.35,1591700,81.73
2012-11-28,82.39,82.87,81.89,82.45,1575800,81.83
2012-11-27,83.29,83.34,82.68,82.87,1270400,82.24
2012-11-26,82.73,83.34,82.68,83.34,972400,82.71
2012-11-23,82.35,83.07,82.19,83.04,362100,82.41
2012-11-21,82.06,82.10,81.63,81.94,758800,81.32
2012-11-20,80.60,81.63,80.60,81.61,806500,80.99
2012-11-19,80.57,80.93,80.28,80.87,1632800,80.26
2012-11-16,79.94,80.32,79.30,80.00,1682800,79.40
2012-11-15,80.17,80.66,79.50,79.85,1303400,79.25
2012-11-14,80.73,80.82,79.84,80.23,1594900,79.62
2012-11-13,80.55,81.24,80.29,80.54,1780600,79.93
2012-11-12,79.93,80.32,79.59,79.95,913900,79.35
2012-11-09,79.01,80.17,79.01,79.73,1339000,79.13
2012-11-08,79.45,80.11,79.05,79.15,2135200,78.55
2012-11-07,78.90,79.82,78.63,79.46,1935100,78.86
2012-11-06,78.85,80.48,78.50,79.75,1428600,79.15
2012-11-05,77.90,78.92,77.70,78.75,1447700,78.16
2012-11-02,78.26,79.18,77.00,78.15,2346800,77.56
2012-11-01,78.07,79.37,77.11,78.19,2387700,77.60
2012-10-31,78.38,78.62,77.11,77.53,1317400,76.94
2012-10-26,77.40,78.09,77.04,77.92,868900,77.33
2012-10-25,77.95,78.18,77.01,77.73,837600,77.14
2012-10-24,77.65,77.96,76.78,77.09,1867300,76.51
2012-10-23,77.63,78.30,77.05,77.28,2745700,76.70
2012-10-22,79.34,79.39,77.27,78.96,3104300,78.36
2012-10-19,82.95,83.25,79.72,79.99,5088100,79.39
2012-10-18,84.85,85.95,84.41,85.35,1478700,84.71
2012-10-17,84.41,85.33,84.41,84.95,952700,84.31
2012-10-16,82.99,84.65,82.59,84.61,731800,83.97
2012-10-15,82.45,82.56,82.00,82.29,718300,81.67
2012-10-12,82.00,82.84,81.60,82.00,642300,81.38
2012-10-11,82.50,82.73,81.96,81.97,389800,81.35
