Date,Open,High,Low,Close,Volume,Adj Close
2013-01-07,84.38,84.64,83.56,84.03,647700,84.03
2013-01-04,83.41,84.77,82.80,84.74,755800,84.74
2013-01-03,84.53,84.94,82.46,83.06,740700,83.06
2013-01-02,82.26,84.73,82.26,84.51,1315700,84.51
2012-12-31,78.91,80.54,78.75,80.41,535500,80.41
2012-12-28,79.21,79.78,78.90,79.06,380000,79.06
2012-12-27,79.79,79.90,78.39,79.58,341000,79.58
2012-12-26,79.97,80.13,79.09,79.78,480900,79.78
2012-12-24,79.77,80.08,79.52,79.78,167000,79.78
2012-12-21,79.29,80.69,79.20,80.11,1248900,80.11
2012-12-20,78.75,80.84,78.55,80.79,1150000,80.79
2012-12-19,79.20,79.51,77.97,78.50,966400,78.50
2012-12-18,78.31,79.43,77.55,79.16,823200,79.16
2012-12-17,76.10,77.99,75.98,77.90,742600,77.90
2012-12-14,76.03,77.02,75.41,75.75,1170200,75.75
2012-12-13,77.04,77.44,75.84,76.08,1068400,76.08
2012-12-12,77.74,78.62,77.07,77.29,757100,77.29
2012-12-11,76.98,77.20,76.52,76.80,570900,76.80
2012-12-10,76.27,76.73,75.87,76.59,431800,76.59
2012-12-07,75.17,76.45,75.02,76.39,796800,76.39
2012-12-06,74.55,75.24,73.94,75.09,826900,75.09
2012-12-05,73.06,75.35,73.02,74.80,1273500,74.80
2012-12-04,70.60,73.57,70.47,72.90,1209300,72.90
2012-12-03,71.67,71.67,70.00,70.46,982000,70.46
2012-11-30,70.57,71.26,69.79,70.92,535200,70.92
2012-11-29,71.06,71.08,70.11,70.52,481100,70.52
2012-11-28,69.30,70.75,68.48,70.61,507700,70.39
2012-11-27,69.26,70.45,68.93,69.86,699700,69.64
2012-11-26,69.65,69.83,67.40,69.15,1345900,68.93
2012-11-23,69.67,70.52,69.67,70.26,206600,70.04
2012-11-21,69.71,69.71,69.01,69.25,339200,69.03
2012-11-20,69.54,70.48,68.92,69.53,520500,69.31
2012-11-19,69.27,69.87,67.22,69.58,533500,69.36
2012-11-16,68.61,68.66,67.52,68.27,663700,68.05
2012-11-15,70.18,70.35,67.61,68.28,1194700,68.06
2012-11-14,72.27,72.65,70.33,70.37,542900,70.15
2012-11-13,71.21,72.88,71.21,71.95,493700,71.72
2012-11-12,72.66,72.81,71.80,72.07,482400,71.84
2012-11-09,70.95,72.56,70.07,72.28,545100,72.05
2012-11-08,72.02,72.39,71.02,71.09,472000,70.86
2012-11-07,71.97,73.50,71.42,72.23,645800,72.00
2012-11-06,72.54,73.92,72.50,73.46,627800,73.23
2012-11-05,71.15,72.50,70.37,72.36,775400,72.13
2012-11-02,74.05,74.05,71.14,71.25,948300,71.02
2012-11-01,71.33,73.44,71.33,73.34,878600,73.11
2012-10-31,69.17,72.79,69.17,71.15,1292100,70.92
2012-10-26,68.80,69.17,67.66,68.74,707700,68.52
2012-10-25,69.53,69.53,67.35,68.51,1058800,68.29
2012-10-24,69.22,69.72,68.77,68.93,636000,68.71
2012-10-23,68.86,68.98,67.16,68.78,1423800,68.56
2012-10-22,70.07,71.97,69.39,70.14,310200,69.92
2012-10-19,70.69,70.88,69.45,69.96,642200,69.74
