Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,31.29,31.33,30.98,31.15,799500,31.15
2012-12-21,31.14,31.57,31.01,31.36,3506400,31.36
2012-12-20,32.05,32.24,31.42,31.90,2378800,31.90
2012-12-19,32.29,32.50,31.94,31.99,2502300,31.99
2012-12-18,32.23,32.50,31.69,32.27,4141400,32.27
2012-12-17,31.39,32.00,31.02,31.99,7058300,31.99
2012-12-14,33.16,33.27,30.50,31.14,9871400,31.14
2012-12-13,35.00,35.01,33.59,33.70,6619400,33.70
2012-12-12,34.79,34.88,34.45,34.57,4927400,34.40
2012-12-11,34.66,34.88,34.33,34.56,4362500,34.39
2012-12-10,34.38,34.52,34.10,34.45,2684500,34.28
2012-12-07,34.23,34.56,33.95,34.25,8505000,34.08
2012-12-06,34.54,35.15,34.46,35.12,1196300,34.95
2012-12-05,35.03,35.16,34.50,34.53,1587500,34.36
2012-12-04,34.79,35.16,34.69,34.92,1689900,34.75
2012-12-03,35.39,35.58,34.63,34.81,1750400,34.64
2012-11-30,34.59,35.43,33.90,35.10,4163400,34.93
2012-11-29,34.88,35.43,34.72,35.10,1906000,34.93
2012-11-28,33.62,34.65,33.61,34.56,2070200,34.39
2012-11-27,33.86,34.53,33.60,34.12,2054700,33.95
2012-11-26,33.75,34.24,33.41,34.04,1656200,33.87
2012-11-23,33.00,33.74,32.85,33.55,817700,33.39
2012-11-21,32.78,32.96,32.52,32.82,780200,32.66
2012-11-20,33.32,33.48,32.50,32.81,1190500,32.65
2012-11-19,32.28,32.83,32.01,32.75,1666400,32.59
2012-11-16,32.21,32.38,31.68,31.94,2388800,31.78
2012-11-15,33.14,33.22,32.09,32.25,1374500,32.09
2012-11-14,33.68,33.89,32.87,33.03,1205400,32.87
2012-11-13,33.26,33.82,33.18,33.28,1111300,33.12
2012-11-12,33.58,33.85,33.22,33.61,760700,33.44
2012-11-09,34.00,34.00,33.42,33.48,1418600,33.32
2012-11-08,34.99,34.99,33.83,33.84,1326500,33.67
2012-11-07,34.78,35.11,33.89,33.96,2075100,33.79
2012-11-06,34.32,35.28,34.21,35.28,2004500,35.11
2012-11-05,33.00,34.42,32.99,34.32,1388100,34.15
2012-11-02,34.71,34.85,33.94,33.97,1922300,33.80
2012-11-01,33.29,34.56,33.05,34.50,1872500,34.33
2012-10-31,33.62,33.70,32.81,33.03,2285100,32.87
2012-10-26,33.70,33.99,33.40,33.83,1262300,33.66
2012-10-25,33.07,33.74,33.04,33.70,1539600,33.53
2012-10-24,33.53,33.59,32.59,32.73,1352200,32.57
2012-10-23,32.96,33.35,32.82,33.24,1095300,33.08
2012-10-22,33.48,33.69,33.00,33.40,1270700,33.24
2012-10-19,34.12,34.18,32.90,33.19,1908800,33.03
2012-10-18,34.07,34.40,33.81,34.05,1275200,33.88
2012-10-17,34.09,34.60,33.88,34.11,1341000,33.94
2012-10-16,33.30,34.59,33.23,34.35,1860200,34.18
2012-10-15,33.10,33.36,32.80,33.19,1714400,33.03
2012-10-12,32.73,33.01,32.54,32.98,2673300,32.82
2012-10-11,33.01,33.48,32.56,32.93,1376800,32.77
2012-10-10,33.68,33.71,32.55,32.59,1447600,32.43
2012-10-09,33.50,33.74,33.04,33.59,2077000,33.42
2012-10-08,34.00,34.23,33.71,33.88,1003900,33.71
2012-10-05,34.72,35.28,34.17,34.44,1511700,34.27
2012-10-04,34.57,34.57,34.00,34.42,1142500,34.25
2012-10-03,34.53,35.05,34.43,34.57,2725500,34.40
2012-10-02,34.90,34.90,34.10,34.42,1709600,34.25
2012-10-01,35.14,35.54,34.55,34.69,2009100,34.52
2012-09-28,34.45,35.02,34.10,34.87,2590800,34.70
2012-09-27,33.18,34.99,32.97,34.90,4113400,34.73
2012-09-26,32.74,33.54,32.39,33.46,4126800,33.30
2012-09-25,34.56,34.99,32.93,33.01,3400900,32.85
2012-09-24,35.00,35.14,34.23,34.60,4419000,34.43
2012-09-21,34.33,36.12,34.33,35.51,6864000,35.34
2012-09-20,34.58,34.91,33.22,33.75,4025000,33.58
2012-09-19,35.13,35.42,34.75,35.05,2079700,34.88
2012-09-18,35.08,35.17,34.65,35.16,1054400,34.99
2012-09-17,35.19,35.39,34.88,35.28,1529800,34.95
2012-09-14,35.09,35.50,34.70,35.06,3402400,34.73
2012-09-13,35.28,35.40,34.45,35.07,2187500,34.74
2012-09-12,35.22,35.50,35.01,35.23,1380300,34.90
2012-09-11,35.04,35.57,34.83,34.96,1242000,34.63
2012-09-10,35.96,36.19,34.95,35.00,1623800,34.67
2012-09-07,36.71,36.83,36.10,36.20,1584600,35.86
2012-09-06,35.64,36.81,35.19,36.61,2288300,36.26
2012-09-05,35.61,35.62,35.05,35.18,1618400,34.85
2012-09-04,36.37,36.59,35.33,35.89,2152700,35.55
2012-08-31,36.29,36.80,35.91,36.57,1326600,36.23
2012-08-30,36.50,36.50,35.85,36.02,1367100,35.68
2012-08-29,36.39,36.86,36.22,36.60,1195200,36.25
2012-08-28,35.83,36.42,35.68,36.27,1532000,35.93
2012-08-27,36.07,36.13,35.64,35.77,1330600,35.43
2012-08-24,36.02,36.34,35.84,36.05,1303000,35.71
2012-08-23,36.24,36.30,35.72,36.02,1206000,35.68
2012-08-22,36.25,36.68,36.04,36.49,1325100,36.15
2012-08-21,36.00,36.56,35.70,36.38,1923100,36.04
2012-08-20,36.95,36.95,35.41,35.96,2546800,35.62
2012-08-17,37.75,37.88,36.40,36.84,2998500,36.49
2012-08-16,36.70,37.14,36.70,36.91,2588100,36.56
2012-08-15,36.05,36.63,36.00,36.58,1598400,36.24
2012-08-14,36.73,36.77,35.98,36.15,2432400,35.81
2012-08-13,37.15,37.15,36.09,36.27,2111600,35.93
2012-08-10,37.23,37.43,36.77,37.15,1466200,36.80
2012-08-09,37.04,37.57,37.01,37.32,999600,36.97
2012-08-08,37.46,37.70,37.25,37.48,1717300,37.13
2012-08-07,37.28,37.63,37.06,37.40,1542400,37.05
2012-08-06,37.19,37.44,37.00,37.07,1130300,36.72
2012-08-03,37.15,37.46,36.67,37.11,1433300,36.76
2012-08-02,36.35,37.14,36.10,36.54,1315100,36.20
2012-08-01,37.11,37.12,36.41,36.69,1542300,36.34
2012-07-31,36.24,37.64,36.22,36.90,2359700,36.55
