Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,25.58,25.92,25.58,25.87,1452900,24.07
2009-12-23,25.80,25.99,25.50,25.62,3312200,23.84
2009-12-22,25.86,25.99,25.63,25.74,2707400,23.95
2009-12-21,25.67,25.99,25.62,25.88,3832800,24.08
2009-12-18,25.56,25.64,25.26,25.53,8957900,23.75
2009-12-17,25.52,25.83,25.35,25.37,5028400,23.60
2009-12-16,26.10,26.18,25.39,25.65,6700200,23.86
2009-12-15,26.52,26.52,25.79,25.83,6205800,24.03
2009-12-14,25.98,26.28,25.85,26.23,3974200,24.40
2009-12-11,25.87,26.18,25.66,25.88,4006200,24.08
2009-12-10,25.94,25.99,25.79,25.91,4468900,24.11
2009-12-09,25.82,26.02,25.60,25.84,3629800,24.04
2009-12-08,25.68,26.30,25.61,25.86,5285500,24.06
2009-12-07,26.51,26.70,25.82,25.86,6418000,24.06
2009-12-04,26.06,26.70,26.05,26.61,10935600,24.76
2009-12-03,26.39,26.42,25.48,25.57,7061900,23.79
2009-12-02,25.86,26.50,25.73,26.19,7199600,24.37
2009-12-01,25.57,25.77,25.13,25.60,8566500,23.82
2009-11-30,24.27,24.93,24.27,24.90,4690800,23.17
2009-11-27,24.35,24.84,24.26,24.26,3350100,22.57
2009-11-25,25.18,25.40,24.91,24.99,2911600,23.25
2009-11-24,25.03,25.18,24.65,25.08,3896100,23.33
2009-11-23,25.15,25.27,24.87,25.07,5079100,23.32
2009-11-20,24.58,24.75,24.43,24.60,4902200,22.89
2009-11-19,24.90,25.15,24.56,24.68,5038400,22.96
2009-11-18,24.88,25.58,24.70,25.09,7525500,23.34
2009-11-17,24.65,25.00,24.58,24.91,4097100,23.18
2009-11-16,24.91,25.25,24.64,24.83,7721100,23.10
2009-11-13,24.79,25.00,24.36,24.45,5342600,22.75
2009-11-12,25.07,25.32,24.77,24.80,4498100,23.07
2009-11-11,25.22,25.72,25.02,25.20,4949400,23.45
2009-11-10,25.06,25.32,24.63,25.08,4646100,23.33
2009-11-09,24.70,25.27,24.39,25.23,6529100,23.47
2009-11-06,24.24,24.75,24.12,24.47,4213700,22.77
2009-11-05,24.23,24.62,23.75,24.57,7622900,22.86
2009-11-04,25.14,25.27,23.96,24.02,8670200,22.35
2009-11-03,24.71,25.14,24.51,24.87,6731100,23.14
2009-11-02,24.96,25.35,24.24,25.06,14351800,23.31
2009-10-30,25.22,25.22,23.79,23.91,10991100,22.24
2009-10-29,25.22,25.50,24.60,25.45,7321500,23.68
2009-10-28,25.33,25.49,24.70,24.76,8838800,23.04
2009-10-27,25.47,25.77,25.21,25.39,9350300,23.62
2009-10-26,26.01,26.11,25.35,25.51,9724700,23.73
2009-10-23,26.31,26.33,25.88,26.07,9412600,24.25
2009-10-22,25.68,26.47,25.57,26.34,10180900,24.51
2009-10-21,26.44,26.89,25.55,25.56,10357900,23.78
2009-10-20,27.01,27.23,26.45,26.46,11894200,24.62
2009-10-19,27.38,27.45,26.74,27.03,17209900,25.15
2009-10-16,28.00,28.40,27.71,28.25,10895900,26.28
2009-10-15,28.22,28.66,28.03,28.61,7659700,26.62
2009-10-14,28.08,28.57,27.89,28.53,7713700,26.54
2009-10-13,27.66,27.83,27.36,27.77,6817100,25.70
2009-10-12,27.56,27.82,27.47,27.77,5592200,25.70
2009-10-09,26.68,27.31,26.56,27.30,6016300,25.26
2009-10-08,26.70,26.95,26.49,26.71,7094700,24.72
2009-10-07,26.44,27.03,26.22,26.92,4863300,24.91
2009-10-06,27.12,27.41,26.28,26.63,10082200,24.64
2009-10-05,27.17,27.37,26.68,26.93,8334600,24.92
2009-10-02,25.35,27.06,25.29,26.71,13594500,24.72
2009-10-01,27.09,27.36,25.46,25.53,13644800,23.62
2009-09-30,27.44,27.74,27.09,27.24,8644900,25.21
2009-09-29,28.08,28.13,27.38,27.43,5553900,25.38
2009-09-28,27.29,28.01,27.21,27.97,5552100,25.88
2009-09-25,27.62,27.90,27.06,27.17,7194400,25.14
2009-09-24,28.50,28.57,27.52,27.80,7198300,25.72
2009-09-23,29.02,29.18,28.25,28.34,5931500,26.22
2009-09-22,28.95,29.05,28.61,29.03,4790900,26.86
2009-09-21,28.94,29.19,27.18,28.60,5055800,26.46
2009-09-18,29.03,29.36,28.63,29.25,8782900,27.07
2009-09-17,29.45,29.73,28.46,28.90,7423900,26.74
2009-09-16,28.38,29.81,28.22,29.53,10417200,27.33
2009-09-15,27.33,28.39,27.13,28.24,8822700,26.13
2009-09-14,26.45,27.38,26.38,27.34,6064700,25.30
2009-09-11,27.05,27.22,26.59,26.77,5832400,24.77
2009-09-10,26.87,27.05,26.33,26.99,6401800,24.97
2009-09-09,26.58,27.00,26.21,27.00,6454000,24.98
2009-09-08,26.86,26.90,26.21,26.52,5156700,24.54
2009-09-04,26.53,26.59,26.20,26.51,5129100,24.53
2009-09-03,26.38,26.71,26.03,26.37,5808600,24.40
2009-09-02,26.58,26.92,26.07,26.12,7260400,24.17
2009-09-01,27.85,28.07,26.56,26.64,11303000,24.65
2009-08-31,27.90,28.23,27.74,27.94,11093100,25.85
2009-08-28,28.24,28.58,28.01,28.39,8395700,26.27
2009-08-27,27.50,28.10,27.48,28.01,8452400,25.92
2009-08-26,27.45,27.90,27.03,27.64,5914800,25.58
2009-08-25,27.57,27.93,27.32,27.49,7393300,25.44
2009-08-24,28.25,28.35,27.27,27.42,9688100,25.37
2009-08-21,28.00,28.28,27.69,28.03,8905800,25.94
2009-08-20,27.83,28.00,27.53,27.78,8484800,25.71
2009-08-19,27.20,27.80,27.01,27.47,11836000,25.42
2009-08-18,27.11,28.04,26.89,27.53,43333500,25.47
2009-08-17,27.04,27.30,26.31,26.43,17865600,24.46
2009-08-14,25.65,28.42,25.56,28.23,32252900,26.12
2009-08-13,26.13,26.19,25.52,25.80,8370400,23.87
2009-08-12,25.01,25.86,24.90,25.71,7648100,23.79
2009-08-11,25.71,25.71,24.71,25.18,10098000,23.30
2009-08-10,25.66,26.29,25.34,25.91,8253400,23.98
2009-08-07,24.93,26.35,24.58,25.82,12393900,23.89
2009-08-06,24.50,24.96,23.79,24.65,8739200,22.81
2009-08-05,23.75,24.23,23.27,24.17,7554400,22.37
2009-08-04,22.74,23.83,22.63,23.66,8111100,21.89
2009-08-03,23.22,23.45,22.37,22.91,7816100,21.20
2009-07-31,22.66,23.00,22.32,22.88,6351200,21.17
2009-07-30,22.22,22.85,22.10,22.63,6537600,20.94
2009-07-29,21.79,22.15,21.55,22.03,5808700,20.39
2009-07-28,21.50,22.05,21.36,21.96,10318500,20.32
2009-07-27,21.07,21.79,20.74,21.78,6645400,20.15
2009-07-24,21.23,21.31,20.86,21.02,5695700,19.45
2009-07-23,20.55,21.65,20.38,21.37,10393300,19.77
2009-07-22,19.91,20.76,19.83,20.40,8838500,18.88
2009-07-21,20.99,21.09,19.91,20.19,11178900,18.68
2009-07-20,21.00,21.06,20.50,20.98,9625300,19.41
2009-07-17,22.53,22.67,20.53,20.94,20026100,19.38
2009-07-16,22.30,22.59,21.83,22.33,8959200,20.66
2009-07-15,21.98,22.80,21.75,22.50,9429300,20.82
2009-07-14,21.72,21.77,21.18,21.65,6281900,20.03
2009-07-13,21.03,21.87,20.89,21.86,8560500,20.23
2009-07-10,21.12,21.14,20.50,20.63,5226100,19.09
2009-07-09,20.74,21.18,20.51,20.86,5742000,19.30
2009-07-08,20.75,21.07,19.93,20.45,10102800,18.92
2009-07-07,21.05,21.46,20.79,20.84,5892300,19.15
2009-07-06,20.67,21.29,20.58,21.05,6876600,19.34
2009-07-02,21.53,21.75,20.67,20.68,6521000,19.00
2009-07-01,22.07,22.07,21.59,21.69,4618300,19.93
2009-06-30,22.39,22.58,21.69,21.98,6660500,20.19
2009-06-29,22.61,22.78,22.22,22.49,5887300,20.66
2009-06-26,22.26,22.75,22.04,22.67,5251600,20.83
2009-06-25,21.62,22.35,21.60,22.31,5326600,20.50
2009-06-24,21.84,22.06,21.62,21.82,5830900,20.05
2009-06-23,21.53,22.11,21.25,21.65,8353500,19.89
2009-06-22,22.24,22.53,21.50,21.50,9605000,19.75
2009-06-19,22.51,22.74,22.07,22.62,8691000,20.78
2009-06-18,21.56,22.35,21.51,22.31,5851400,20.50
2009-06-17,22.04,22.10,21.16,21.58,9453600,19.83
2009-06-16,22.64,22.80,21.89,22.23,11157100,20.42
2009-06-15,22.99,23.10,22.45,22.60,8657000,20.76
2009-06-12,22.50,23.19,22.45,23.14,6551600,21.26
2009-06-11,22.17,23.20,22.17,22.56,10662300,20.73
2009-06-10,22.70,22.96,22.00,22.21,10535600,20.40
2009-06-09,22.16,22.75,21.95,22.45,10166700,20.62
2009-06-08,21.36,22.13,21.20,21.93,7258500,20.15
2009-06-05,22.53,22.62,21.18,21.41,9860100,19.67
2009-06-04,21.85,22.31,21.40,22.26,8434100,20.45
2009-06-03,21.64,22.16,21.27,21.65,8575100,19.89
