Date,Open,High,Low,Close,Volume,Adj Close
2013-01-07,12.06,12.22,12.02,12.21,5150000,12.21
2013-01-04,11.96,12.11,11.89,12.11,6073000,12.11
2013-01-03,11.87,12.21,11.82,11.99,6104600,11.99
2013-01-02,12.14,12.21,11.72,11.81,6563200,11.81
2012-12-31,11.36,11.88,11.29,11.85,8206500,11.85
2012-12-28,11.37,11.44,11.23,11.29,4483400,11.29
2012-12-27,11.50,11.52,11.20,11.51,5437400,11.51
2012-12-26,11.62,11.69,11.41,11.47,5001200,11.47
2012-12-24,11.68,11.72,11.51,11.57,2299100,11.57
2012-12-21,11.84,11.86,11.60,11.67,8453000,11.67
2012-12-20,11.91,12.10,11.80,11.97,5882200,11.97
2012-12-19,12.17,12.22,11.88,11.90,6052200,11.90
2012-12-18,12.32,12.38,12.09,12.12,8354700,12.12
2012-12-17,12.09,12.29,12.06,12.27,7944800,12.27
2012-12-14,12.46,12.59,11.60,12.05,42322400,12.05
2012-12-13,13.87,14.48,13.70,14.12,44057800,14.12
2012-12-12,12.08,12.38,11.87,12.18,16364900,12.18
2012-12-11,12.43,12.48,11.98,12.11,7755900,12.11
2012-12-10,11.75,12.48,11.65,12.39,7808300,12.39
2012-12-07,12.41,12.50,11.91,11.99,7202200,11.99
2012-12-06,12.11,12.44,12.05,12.36,8994700,12.19
2012-12-05,12.20,12.45,12.03,12.08,6329100,11.91
2012-12-04,12.93,12.98,12.15,12.15,8519300,11.98
2012-12-03,13.11,13.16,12.90,12.92,5191700,12.74
2012-11-30,12.89,13.13,12.60,13.11,12997400,12.93
2012-11-29,13.27,13.50,12.56,12.95,13866900,12.77
2012-11-28,12.79,13.35,12.66,13.35,10163700,13.17
2012-11-27,12.48,13.41,12.38,12.89,21970900,12.71
2012-11-26,11.75,12.59,11.70,12.48,15741500,12.31
2012-11-23,11.76,11.94,11.54,11.70,7238000,11.54
2012-11-21,11.83,11.96,11.41,11.57,18749300,11.41
2012-11-20,12.82,12.86,11.74,11.96,32773500,11.80
2012-11-19,14.27,14.30,13.70,13.75,10210200,13.56
2012-11-16,15.22,15.32,13.52,13.75,17364800,13.56
2012-11-15,15.39,15.53,15.06,15.25,3393700,15.04
2012-11-14,15.70,15.88,15.27,15.33,4025600,15.12
2012-11-13,15.83,15.89,15.54,15.70,4939400,15.48
2012-11-12,15.58,16.25,15.54,15.85,7071400,15.63
2012-11-09,15.32,15.52,15.18,15.30,3236200,15.09
2012-11-08,15.61,15.61,15.22,15.26,4054400,15.05
2012-11-07,15.04,15.98,14.96,15.47,10353600,15.26
2012-11-06,14.57,14.96,14.38,14.95,4893000,14.74
2012-11-05,14.73,14.98,14.46,14.47,5006100,14.27
2012-11-02,15.12,15.19,14.62,14.69,4903000,14.49
2012-11-01,15.25,15.29,15.01,15.05,3936300,14.84
2012-10-31,14.94,15.33,14.88,15.21,5129400,15.00
2012-10-26,15.16,15.34,14.71,14.96,9132300,14.75
