Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,11.98,12.18,11.94,12.18,303100,12.08
2009-12-23,11.76,11.95,11.63,11.93,574700,11.83
2009-12-22,11.40,11.67,11.33,11.64,565200,11.55
2009-12-21,10.96,11.42,10.86,11.35,610000,11.26
2009-12-18,10.84,11.00,10.50,10.84,1269000,10.75
2009-12-17,11.13,11.33,10.66,10.75,1457700,10.66
2009-12-16,11.33,11.46,11.15,11.32,705500,11.23
2009-12-15,11.20,11.32,11.10,11.10,603200,11.01
2009-12-14,11.27,11.40,11.10,11.23,760000,11.14
2009-12-11,11.09,11.28,10.92,11.19,592200,11.10
2009-12-10,11.15,11.33,10.86,10.94,514100,10.85
2009-12-09,11.48,11.50,10.99,11.13,708400,11.04
2009-12-08,11.69,11.79,11.40,11.46,965200,11.37
2009-12-07,11.63,11.96,11.60,11.84,913100,11.74
2009-12-04,11.33,11.79,11.00,11.66,2085700,11.57
2009-12-03,10.78,11.20,10.61,11.00,1191700,10.91
2009-12-02,10.82,11.25,10.66,10.73,735600,10.64
2009-12-01,10.25,10.87,10.22,10.73,1229000,10.64
2009-11-30,10.24,10.24,9.78,10.04,1241700,9.96
2009-11-27,9.96,10.29,9.85,10.17,749100,10.09
2009-11-25,10.75,10.77,10.50,10.55,807400,10.46
2009-11-24,10.95,10.97,10.45,10.72,888600,10.63
2009-11-23,11.27,11.40,10.90,10.97,626500,10.88
2009-11-20,11.15,11.34,10.85,10.95,759200,10.86
2009-11-19,11.75,11.92,10.96,11.28,1474700,11.14
2009-11-18,12.10,12.18,11.77,11.90,794700,11.75
2009-11-17,11.85,12.12,11.70,12.09,649500,11.94
2009-11-16,11.67,12.13,11.40,11.92,999900,11.77
2009-11-13,11.74,11.81,11.39,11.63,1374400,11.48
2009-11-12,11.74,11.87,11.54,11.66,1467400,11.51
2009-11-11,11.87,11.93,11.59,11.83,923200,11.68
2009-11-10,11.52,11.78,11.36,11.68,1235900,11.53
2009-11-09,11.16,11.69,11.06,11.51,969400,11.37
2009-11-06,10.93,11.35,10.70,10.92,1720600,10.78
2009-11-05,10.55,11.10,10.48,11.06,1690100,10.92
2009-11-04,10.46,10.69,10.25,10.25,1721000,10.12
2009-11-03,10.00,10.35,9.80,10.27,1936400,10.14
2009-11-02,9.60,11.17,9.60,10.16,4263400,10.03
2009-10-30,10.30,10.50,9.31,9.48,2390500,9.36
2009-10-29,9.59,10.75,9.41,10.31,3207400,10.18
2009-10-28,10.14,10.14,9.39,9.48,2506500,9.36
2009-10-27,10.88,10.95,10.16,10.18,1787100,10.05
2009-10-26,11.30,11.80,10.81,10.83,1422700,10.69
2009-10-23,11.90,12.29,11.23,11.24,1584200,11.10
2009-10-22,12.05,12.09,11.60,11.87,1749000,11.72
2009-10-21,12.27,12.74,12.00,12.00,1288000,11.85
2009-10-20,13.07,13.07,12.10,12.30,2238100,12.15
2009-10-19,12.85,13.43,12.56,13.11,1060500,12.95
2009-10-16,12.85,13.12,12.57,12.77,1366300,12.61
2009-10-15,12.51,13.12,12.30,13.07,1142500,12.91
2009-10-14,12.92,13.03,12.38,12.67,1609500,12.51
2009-10-13,12.36,12.70,12.15,12.61,1061300,12.45
2009-10-12,12.01,12.81,11.98,12.27,954200,12.12
2009-10-09,11.66,11.99,11.51,11.98,1081300,11.83
2009-10-08,11.45,11.95,11.32,11.66,1518800,11.51
2009-10-07,11.26,11.50,11.00,11.26,884500,11.12
2009-10-06,10.93,11.44,10.81,11.30,1028400,11.16
2009-10-05,10.48,10.96,10.40,10.77,1034400,10.64
2009-10-02,10.54,10.74,10.07,10.37,3730300,10.24
2009-10-01,11.83,11.84,10.74,10.75,2225300,10.62
2009-09-30,12.10,12.21,11.66,11.98,1744200,11.83
2009-09-29,12.05,12.37,11.61,12.05,1691100,11.90
2009-09-28,11.11,12.42,10.90,12.04,3062500,11.89
2009-09-25,10.03,11.22,9.94,11.04,4711600,10.90
2009-09-24,10.34,10.39,9.45,9.53,1334500,9.41
2009-09-23,10.31,10.64,10.22,10.28,1599400,10.15
2009-09-22,9.92,10.53,9.85,10.25,2033000,10.12
2009-09-21,9.59,9.97,9.41,9.85,1129400,9.73
2009-09-18,9.61,9.90,9.29,9.78,1133900,9.66
2009-09-17,9.76,9.95,9.32,9.49,774500,9.37
2009-09-16,9.46,9.95,9.27,9.82,1599500,9.70
2009-09-15,9.64,9.82,9.20,9.39,2277100,9.27
2009-09-14,9.68,10.01,9.36,9.99,1229500,9.86
2009-09-11,9.48,10.09,9.28,9.78,1068800,9.66
2009-09-10,9.51,9.57,9.24,9.43,925400,9.31
2009-09-09,9.25,9.61,9.05,9.50,668400,9.38
2009-09-08,9.04,9.26,8.88,9.24,684600,9.12
2009-09-04,8.48,8.97,8.32,8.94,762300,8.83
2009-09-03,8.60,8.79,8.32,8.49,865900,8.38
2009-09-02,8.68,8.90,8.45,8.50,1280000,8.39
2009-09-01,9.17,9.53,8.60,8.70,1306100,8.59
2009-08-31,9.42,9.48,9.14,9.29,1035400,9.17
2009-08-28,9.36,9.89,9.33,9.59,1194300,9.47
2009-08-27,9.31,9.39,8.90,9.19,833400,9.07
2009-08-26,9.56,9.58,9.09,9.29,1271600,9.17
2009-08-25,9.57,9.77,9.42,9.60,1042700,9.48
2009-08-24,9.48,9.68,9.16,9.36,1435100,9.24
2009-08-21,8.45,9.69,8.36,9.59,3052800,9.47
2009-08-20,8.18,8.41,8.18,8.33,1065600,8.23
2009-08-19,8.29,8.29,7.90,8.24,1957900,8.14
2009-08-18,8.12,8.48,7.83,8.36,1202600,8.26
2009-08-17,8.49,8.49,7.97,8.00,2036800,7.90
2009-08-14,9.42,9.47,8.62,8.90,2458700,8.79
2009-08-13,8.97,9.49,8.52,9.30,1922900,9.18
2009-08-12,9.54,9.76,8.60,9.03,3446700,8.92
2009-08-11,9.12,9.73,9.03,9.58,3749200,9.46
2009-08-10,8.45,9.60,8.45,9.46,2098000,9.34
2009-08-07,8.06,8.71,7.86,8.56,1730500,8.45
2009-08-06,8.04,8.04,7.55,7.95,1387300,7.85
2009-08-05,7.87,7.96,7.66,7.87,1566100,7.77
2009-08-04,7.33,7.99,6.75,7.89,2563200,7.79
2009-08-03,7.30,7.75,7.00,7.53,3122100,7.44
2009-07-31,6.57,7.35,6.13,7.18,4866900,7.09
2009-07-30,4.91,6.93,4.60,6.56,4685100,6.48
2009-07-29,4.95,5.37,4.88,5.16,1498500,5.10
2009-07-28,4.80,4.98,4.50,4.94,686900,4.88
2009-07-27,4.68,4.89,4.60,4.87,1147300,4.81
2009-07-24,4.69,4.74,4.42,4.68,874000,4.62
2009-07-23,4.35,4.77,4.35,4.73,1600600,4.67
2009-07-22,4.32,4.42,4.29,4.35,675600,4.30
2009-07-21,4.46,4.54,4.30,4.34,410700,4.29
2009-07-20,4.34,4.49,4.26,4.47,635800,4.41
2009-07-17,4.44,4.48,4.21,4.35,765900,4.30
2009-07-16,4.36,4.50,4.28,4.47,541100,4.41
2009-07-15,4.13,4.42,4.02,4.40,961800,4.34
2009-07-14,3.96,4.04,3.80,4.00,372800,3.95
