Date,Open,High,Low,Close,Volume,Adj Close
2013-01-07,100.57,102.17,100.57,101.85,428200,101.85
2013-01-04,101.55,101.69,100.83,100.93,459700,100.93
2013-01-03,100.30,101.56,99.97,101.45,918200,101.45
2013-01-02,99.39,101.85,99.39,101.83,1017300,101.83
2012-12-31,95.76,97.76,95.39,97.74,532000,97.74
2012-12-28,96.77,96.92,95.99,95.99,372700,95.99
2012-12-27,96.84,97.47,96.27,97.14,411800,97.14
2012-12-26,96.57,97.00,96.46,96.77,582600,96.77
2012-12-24,97.66,98.86,96.33,96.57,292100,96.57
2012-12-21,98.38,100.59,97.29,98.18,1253600,98.18
2012-12-20,97.85,98.65,97.35,98.56,343900,98.56
2012-12-19,97.90,98.61,96.86,97.93,522500,97.93
2012-12-18,96.36,97.81,95.47,97.63,413500,97.63
2012-12-17,96.45,96.83,96.01,96.79,565700,96.79
2012-12-14,96.10,96.86,95.93,96.22,500700,96.22
2012-12-13,97.09,97.44,96.37,96.49,386100,96.49
2012-12-12,98.10,98.50,96.87,96.98,613500,96.98
2012-12-11,98.15,98.86,97.12,98.13,416600,98.13
2012-12-10,97.26,98.13,96.96,97.81,232600,97.81
2012-12-07,97.60,97.76,96.81,97.46,376900,97.46
2012-12-06,97.49,97.54,96.91,97.39,637400,97.39
2012-12-05,98.17,98.19,97.28,97.45,354200,97.45
2012-12-04,98.34,98.59,97.67,98.21,295300,98.21
2012-12-03,99.21,99.89,98.00,98.16,315500,98.16
2012-11-30,98.78,99.15,98.29,99.01,550100,99.01
2012-11-29,98.09,99.19,97.91,98.74,321100,98.74
2012-11-28,97.27,97.93,96.52,97.62,492100,97.62
2012-11-27,98.24,98.77,97.73,97.80,554600,97.80
2012-11-26,98.28,98.56,97.42,98.21,324400,98.21
2012-11-23,97.79,98.59,97.20,98.54,150200,98.54
2012-11-21,97.52,97.86,96.97,97.54,328700,97.54
2012-11-20,97.18,97.50,96.29,97.24,530200,97.24
2012-11-19,96.53,97.28,95.97,97.28,441500,97.28
2012-11-16,95.14,96.00,94.95,95.78,547800,95.78
2012-11-15,95.40,95.65,94.66,95.04,491500,95.04
2012-11-14,94.76,95.47,94.38,95.39,719200,95.39
2012-11-13,94.02,95.59,93.79,94.70,288300,94.70
2012-11-12,95.04,95.13,94.08,94.70,596100,94.70
2012-11-09,94.75,95.81,94.21,94.73,635100,94.73
2012-11-08,95.20,95.98,94.59,94.82,380700,94.82
2012-11-07,97.29,97.44,95.41,96.05,432300,96.05
2012-11-06,97.00,98.26,96.95,97.71,653600,97.71
2012-11-05,95.41,97.22,95.41,96.90,542800,96.90
2012-11-02,97.46,97.70,95.77,96.07,484800,96.07
2012-11-01,96.26,97.63,95.51,97.26,360100,97.26
2012-10-31,96.87,97.18,96.03,96.19,539300,96.19
2012-10-26,97.06,97.36,96.16,96.44,706300,96.44
2012-10-25,96.48,97.76,96.04,96.93,855300,96.93
2012-10-24,97.19,98.38,95.74,96.25,1248100,96.25
