Date,Open,High,Low,Close,Volume,Adj Close
2012-10-19,65.97,65.99,64.41,64.46,490000,64.46
2012-10-18,67.07,67.10,65.81,66.09,309700,66.09
2012-10-17,67.77,67.88,66.87,67.11,260400,67.11
2012-10-16,67.00,67.03,66.35,66.88,273500,66.88
2012-10-15,65.70,66.82,65.52,66.58,428900,66.58
2012-10-12,65.53,65.98,65.03,65.46,375700,65.46
2012-10-11,65.60,66.04,65.10,65.18,389000,65.18
2012-10-10,66.18,66.26,65.00,65.10,329100,65.10
2012-10-09,66.45,66.70,66.19,66.20,363600,66.20
2012-10-08,66.67,66.75,66.25,66.45,172800,66.45
2012-10-05,66.93,67.05,66.29,66.67,336000,66.67
2012-10-04,67.31,67.69,66.24,66.53,372800,66.53
2012-10-03,66.44,67.24,66.10,67.17,429400,67.17
2012-10-02,65.68,66.35,65.62,66.22,236400,66.22
2012-10-01,65.26,65.66,65.26,65.49,414100,65.49
2012-09-28,64.94,65.27,64.26,65.25,500700,65.25
2012-09-27,64.58,65.05,64.15,65.05,216800,65.05
2012-09-26,64.69,65.18,64.23,64.45,306700,64.45
2012-09-25,64.52,64.88,64.29,64.61,311100,64.61
2012-09-24,64.20,64.50,63.92,64.27,212300,64.27
2012-09-21,64.87,64.99,64.36,64.42,822500,64.42
2012-09-20,64.71,65.11,64.51,64.67,272800,64.67
2012-09-19,65.07,65.31,64.63,64.87,262700,64.87
2012-09-18,64.03,64.99,64.02,64.86,255400,64.86
2012-09-17,64.32,64.36,63.74,64.03,375000,64.03
2012-09-14,65.32,65.34,63.93,64.19,397000,64.19
2012-09-13,64.34,65.09,64.34,64.90,371700,64.90
2012-09-12,65.52,65.82,64.25,64.59,379700,64.59
2012-09-11,66.31,67.91,65.51,65.52,489600,65.52
2012-09-10,66.68,66.76,66.05,66.44,249700,66.44
2012-09-07,66.95,67.09,66.36,66.73,323800,66.73
2012-09-06,65.35,66.80,65.15,66.79,494800,66.79
2012-09-05,64.70,65.71,64.52,64.90,423300,64.90
2012-09-04,64.39,65.19,64.01,64.66,320000,64.66
2012-08-31,64.16,64.87,63.70,64.10,345800,64.10
2012-08-30,63.83,64.49,63.43,63.76,266000,63.76
2012-08-29,63.01,64.74,63.01,64.20,414100,64.20
2012-08-28,62.55,63.23,62.29,62.78,234500,62.78
2012-08-27,62.25,63.08,62.25,62.70,302900,62.70
2012-08-24,61.61,62.47,61.57,62.21,250700,62.21
2012-08-23,61.73,61.96,61.39,61.72,137400,61.72
2012-08-22,61.63,62.04,61.47,61.85,219700,61.85
2012-08-21,62.02,62.27,61.31,61.68,168700,61.68
2012-08-20,62.08,62.27,61.07,62.00,183800,62.00
2012-08-17,62.60,62.61,61.40,62.17,306200,62.17
2012-08-16,61.89,62.35,61.56,62.00,332400,62.00
2012-08-15,61.92,62.11,61.48,61.98,167800,61.98
2012-08-14,61.70,61.82,61.00,61.71,220600,61.71
2012-08-13,61.83,62.28,60.88,61.48,105400,61.48
2012-08-10,91.00,92.26,90.66,92.17,305800,61.45
2012-08-09,92.00,92.23,91.21,91.56,337800,61.04
2012-08-08,93.40,93.40,91.79,92.21,207800,61.47
2012-08-07,93.51,93.74,92.91,93.19,210400,62.13
2012-08-06,95.17,95.37,92.86,93.07,225600,62.05
2012-08-03,94.00,94.90,93.40,94.75,177200,63.17
2012-08-02,92.92,93.60,91.48,92.18,316000,61.45
2012-08-01,94.20,95.67,93.58,93.79,232800,62.53
2012-07-31,94.23,94.44,93.45,93.56,197100,62.37
2012-07-30,95.14,95.19,93.88,94.70,192900,63.13
2012-07-27,94.50,95.50,93.75,94.79,435800,63.19
2012-07-26,93.84,94.36,93.20,93.54,299000,62.36
2012-07-25,92.99,92.99,92.15,92.22,258800,61.48
2012-07-24,93.22,93.47,91.80,92.69,213400,61.79
2012-07-23,93.72,94.12,92.97,93.33,326800,62.22
2012-07-20,95.89,96.15,94.65,95.50,1836300,63.67
2012-07-19,96.69,96.76,95.66,96.00,593700,64.00
2012-07-18,96.03,96.88,96.03,96.71,275400,64.47
2012-07-17,96.04,97.02,95.75,96.48,480300,64.32
2012-07-16,96.73,97.23,95.58,95.92,416400,63.95
2012-07-13,95.60,97.49,95.60,96.50,419800,64.33
2012-07-12,93.61,96.33,93.02,95.67,569700,63.78
2012-07-11,93.65,94.37,93.20,94.01,498600,62.67
2012-07-10,94.25,95.13,93.56,94.07,523400,62.71
2012-07-09,93.87,94.86,93.31,93.79,458000,62.53
2012-07-06,94.42,95.78,93.87,94.12,537000,62.75
2012-07-05,96.04,96.48,95.03,95.03,638200,63.35
2012-07-03,97.79,97.79,95.93,96.45,317700,64.30
2012-07-02,97.07,97.99,96.45,96.94,643800,64.63
2012-06-29,96.00,97.95,96.00,96.85,765900,64.57
2012-06-28,92.94,94.84,92.94,94.70,333600,63.13
2012-06-27,96.76,96.97,93.78,93.97,479800,62.65
2012-06-26,93.65,96.33,93.65,95.74,819900,63.83
2012-06-25,92.41,93.06,92.27,92.97,278800,61.98
2012-06-22,93.39,93.63,92.15,92.78,604600,61.85
2012-06-21,93.39,93.79,92.90,92.92,426400,61.95
2012-06-20,93.02,93.36,92.45,92.99,443100,61.99
2012-06-19,92.45,93.54,92.18,93.17,412500,62.11
2012-06-18,91.60,92.88,91.50,92.09,354600,61.39
2012-06-15,92.00,93.30,91.38,91.52,758100,61.01
2012-06-14,89.38,91.17,89.15,91.02,328400,60.68
2012-06-13,88.77,89.48,88.18,88.44,352400,58.96
2012-06-12,87.96,89.68,87.96,88.87,342800,59.25
2012-06-11,89.73,90.44,87.76,87.83,227700,58.55
2012-06-08,88.05,89.48,88.05,89.20,218400,59.47
2012-06-07,89.41,90.50,88.07,88.36,294300,58.91
2012-06-06,84.99,88.65,84.10,88.65,516300,59.10
2012-06-05,83.70,85.39,83.15,84.74,271400,56.49
2012-06-04,84.15,84.66,83.43,84.00,520200,56.00
2012-06-01,85.85,86.88,84.06,84.48,616600,56.09
2012-05-31,87.39,87.74,86.67,87.18,360200,57.88
2012-05-30,88.17,88.66,87.27,87.48,270900,58.08
2012-05-29,88.14,88.52,87.67,88.15,162200,58.52
2012-05-25,87.40,88.29,87.29,87.71,117200,58.23
2012-05-24,86.44,87.68,86.18,87.37,195800,58.01
2012-05-23,86.49,86.66,85.55,86.26,256500,57.27
2012-05-22,86.50,87.15,86.16,86.54,279000,57.45
2012-05-21,85.73,86.49,85.44,86.43,191600,57.38
2012-05-18,86.85,86.85,85.34,85.71,410600,56.90
2012-05-17,88.19,88.38,86.59,86.72,284400,57.57
2012-05-16,87.94,88.72,87.26,88.31,399300,58.63
2012-05-15,86.02,87.98,85.84,87.79,646200,58.28
2012-05-14,85.93,86.61,84.86,86.38,237000,57.35
2012-05-11,86.37,87.27,86.05,86.69,184500,57.55
2012-05-10,86.55,87.15,86.27,86.58,159300,57.48
2012-05-09,85.90,86.54,85.60,85.78,226500,56.95
2012-05-08,86.60,86.89,86.13,86.65,220800,57.53
2012-05-07,86.54,87.32,86.32,87.13,225000,57.85
2012-05-04,87.08,87.66,85.82,86.50,309600,57.43
2012-05-03,87.65,88.03,87.23,87.23,390900,57.91
2012-05-02,86.76,87.86,86.40,87.76,336000,58.26
2012-05-01,86.08,87.13,85.89,86.86,311100,57.67
2012-04-30,86.10,86.64,85.51,86.35,249000,57.33
2012-04-27,87.26,87.26,85.85,86.39,260200,57.35
2012-04-26,85.74,87.07,85.32,86.57,265600,57.47
2012-04-25,85.15,86.08,85.01,85.74,221200,56.92
2012-04-24,83.97,84.98,83.97,84.90,319200,56.37
2012-04-23,84.25,84.54,83.21,83.85,302000,55.67
2012-04-20,84.43,85.20,84.21,84.98,438600,56.42
2012-04-19,83.47,84.65,83.40,84.29,317800,55.96
2012-04-18,83.53,84.20,83.05,83.35,255800,55.34
2012-04-17,84.20,84.20,83.50,83.79,361200,55.63
2012-04-16,83.89,83.90,83.29,83.42,315800,55.38
2012-04-13,82.75,83.51,82.75,83.35,340600,55.34
2012-04-12,82.88,83.24,82.51,83.05,263600,55.14
2012-04-11,85.40,85.40,82.36,82.92,349500,55.05
2012-04-10,83.23,83.39,82.09,82.09,445500,54.50
2012-04-09,82.99,83.47,82.72,83.23,320400,55.26
2012-04-05,84.45,84.45,83.11,84.06,374400,55.81
2012-04-04,83.65,85.68,83.65,84.59,1245300,56.16
2012-04-03,84.37,84.63,82.92,83.90,482700,55.70
2012-04-02,83.35,84.80,83.35,84.63,417300,56.19
2012-03-30,83.37,83.93,83.18,83.39,522800,55.36
2012-03-29,83.02,83.46,82.41,82.77,523500,54.95
2012-03-28,83.59,83.65,82.96,83.33,251400,55.32
2012-03-27,84.00,84.00,83.35,83.72,330900,55.58
2012-03-26,82.39,83.97,82.20,83.75,398800,55.60
2012-03-23,81.20,81.75,80.68,81.69,362600,54.23
2012-03-22,80.00,81.03,79.56,80.90,279600,53.71
2012-03-21,80.73,80.73,79.89,80.48,199200,53.43
2012-03-20,79.84,80.27,79.63,80.23,203400,53.27
2012-03-19,79.88,80.38,79.79,80.32,311100,53.32
2012-03-16,80.16,80.60,79.67,80.25,869000,53.28
2012-03-15,80.82,80.87,80.03,80.04,406400,53.14
2012-03-14,81.75,82.00,80.28,80.55,321800,53.48
2012-03-13,81.07,81.68,80.57,81.66,321900,54.21
2012-03-12,79.99,80.83,79.99,80.60,245200,53.51
2012-03-09,79.81,80.09,79.25,79.96,428000,53.09
2012-03-08,80.68,81.70,79.29,79.76,440000,52.95
2012-03-07,79.82,80.48,78.53,80.09,344000,53.17
2012-03-06,80.31,80.93,79.91,80.13,417800,53.20
2012-03-05,81.02,81.60,80.65,81.00,379400,53.78
2012-03-02,81.82,81.99,80.98,81.11,273800,53.85
2012-03-01,81.73,82.15,81.37,81.75,585400,54.27
2012-02-29,81.51,82.02,81.35,81.65,566800,53.98
2012-02-28,81.10,81.69,81.05,81.45,518800,53.84
2012-02-27,80.75,81.25,80.75,81.10,315000,53.61
2012-02-24,81.22,81.22,80.81,81.10,323400,53.61
2012-02-23,80.75,81.00,80.50,80.80,286000,53.41
2012-02-22,80.85,81.09,80.66,80.80,320000,53.41
2012-02-21,81.57,81.99,80.52,80.96,351300,53.52
2012-02-17,80.83,81.97,80.83,81.22,794400,53.69
2012-02-16,81.61,82.15,81.27,81.80,534200,54.07
2012-02-15,82.13,82.13,81.29,81.42,369900,53.82
2012-02-14,81.81,82.49,81.77,82.00,247800,54.21
2012-02-13,82.90,83.11,82.30,82.45,209600,54.50
2012-02-10,82.65,82.91,81.56,82.34,225600,54.43
2012-02-09,82.46,83.17,81.95,83.04,175500,54.89
2012-02-08,82.85,83.15,82.00,82.46,212700,54.51
2012-02-07,82.97,83.40,82.73,83.01,155100,54.87
2012-02-06,83.68,83.75,83.04,83.37,197400,55.11
2012-02-03,83.47,84.26,83.25,84.12,283200,55.61
2012-02-02,82.52,83.10,82.35,82.88,175000,54.79
2012-02-01,81.37,82.75,81.37,82.52,266000,54.55
2012-01-31,81.19,81.46,80.21,81.21,330000,53.68
2012-01-30,80.52,81.35,80.29,80.69,346200,53.34
2012-01-27,82.22,82.24,81.40,81.40,378400,53.81
2012-01-26,83.53,83.53,82.02,82.43,189400,54.49
2012-01-25,81.86,83.38,81.76,83.24,238200,55.03
2012-01-24,82.00,82.75,81.69,82.28,297200,54.39
2012-01-23,82.32,82.55,81.77,82.36,392700,54.44
2012-01-20,82.02,82.43,81.18,82.40,420000,54.47
2012-01-19,81.08,82.18,80.33,82.00,457800,54.21
2012-01-18,80.01,81.05,79.97,81.01,458200,53.55
2012-01-17,80.70,81.43,79.60,80.27,566600,53.06
2012-01-13,78.54,79.08,78.33,78.86,373600,52.13
2012-01-12,80.19,80.19,78.79,79.00,383400,52.22
2012-01-11,80.14,81.41,79.56,79.92,240600,52.83
2012-01-10,79.86,80.38,79.58,80.30,348900,53.08
2012-01-09,76.95,79.24,76.95,79.05,368400,52.26
2012-01-06,79.00,79.13,77.54,77.65,617800,51.33
2012-01-05,78.75,79.27,78.04,79.00,576600,52.22
2012-01-04,80.34,80.34,79.28,79.28,367400,52.41
2012-01-03,80.60,82.33,80.54,80.61,354900,53.29
2011-12-30,81.24,81.31,80.46,80.51,343800,53.22
2011-12-29,80.74,81.26,80.63,81.02,224700,53.56
2011-12-28,81.98,81.98,80.70,80.81,147200,53.42
2011-12-27,80.97,82.04,80.74,81.85,263400,54.11
