Date,Open,High,Low,Close,Volume,Adj Close
2012-12-26,40.51,40.67,40.04,40.14,3197900,40.14
2012-12-24,40.66,40.76,40.18,40.32,1541000,40.32
2012-12-21,40.76,41.10,40.50,40.66,5811200,40.66
2012-12-20,41.16,41.35,40.84,41.20,6733900,41.20
2012-12-19,42.08,42.48,41.09,41.12,6859000,41.12
2012-12-18,39.65,42.67,39.65,41.93,11570300,41.93
2012-12-17,40.77,41.13,40.57,40.64,4774600,40.64
2012-12-14,41.45,41.56,40.80,41.09,5200300,41.09
2012-12-13,42.78,43.02,41.86,42.18,3126400,42.18
2012-12-12,42.97,43.24,42.63,42.92,2205300,42.92
2012-12-11,42.46,43.17,42.46,42.89,2910400,42.89
2012-12-10,42.25,42.60,42.10,42.40,2130800,42.40
2012-12-07,42.17,42.46,42.02,42.26,2072000,42.26
2012-12-06,41.88,42.30,41.82,41.98,3787400,41.98
2012-12-05,42.36,42.73,41.88,42.00,4809500,42.00
2012-12-04,42.70,43.37,42.23,42.25,4490000,42.25
2012-12-03,43.53,43.67,42.72,42.72,3174900,42.72
2012-11-30,42.90,43.60,42.82,43.15,4987900,43.15
2012-11-29,42.71,43.18,42.58,42.95,3185700,42.95
2012-11-28,41.35,42.40,41.15,42.37,3281900,42.37
2012-11-27,41.57,42.05,41.35,41.62,2534000,41.62
2012-11-26,41.43,41.63,40.95,41.59,4480900,41.59
2012-11-23,41.50,41.86,41.19,41.83,1002200,41.83
2012-11-21,41.28,41.59,40.89,41.33,1747400,41.33
2012-11-20,41.47,41.47,40.82,41.21,2817100,41.21
2012-11-19,40.96,41.62,40.90,41.62,3152500,41.62
2012-11-16,39.92,40.44,39.45,40.23,5344100,40.23
2012-11-15,40.14,40.78,39.44,39.87,5574800,39.87
2012-11-14,40.43,40.49,39.56,39.64,4657500,39.64
2012-11-13,40.42,41.07,40.10,40.25,3852200,40.25
2012-11-12,40.85,41.11,40.70,40.71,2725000,40.71
2012-11-09,40.56,41.39,40.40,40.71,3975100,40.71
2012-11-08,41.41,41.69,40.64,40.68,4279200,40.68
2012-11-07,41.69,41.78,40.89,41.32,4658500,41.32
2012-11-06,42.19,42.76,42.00,42.67,2704700,42.67
2012-11-05,41.43,42.25,41.15,42.03,3048800,42.03
2012-11-02,42.88,42.91,41.47,41.59,4601900,41.59
2012-11-01,42.26,42.81,41.80,42.55,5908900,42.55
2012-10-31,43.86,43.86,41.81,41.97,7143500,41.82
2012-10-26,43.27,43.81,43.06,43.42,3257000,43.26
2012-10-25,43.21,43.56,42.95,43.42,2995400,43.26
2012-10-24,43.17,43.50,42.38,42.71,3783200,42.56
2012-10-23,43.28,43.63,42.60,43.05,5445100,42.90
2012-10-22,44.45,44.77,43.34,44.02,6004600,43.86
2012-10-19,45.08,46.90,44.27,44.75,11212100,44.59
2012-10-18,46.76,47.62,46.39,47.10,5431000,46.93
2012-10-17,45.30,46.76,44.69,46.72,6210000,46.55
2012-10-16,45.12,45.93,45.04,45.58,4267300,45.42
2012-10-15,44.66,45.00,44.29,44.95,2931700,44.79
2012-10-12,44.59,45.10,44.20,44.77,3422100,44.61
2012-10-11,44.70,45.23,44.16,44.65,4258800,44.49
2012-10-10,44.61,44.76,44.04,44.16,3377700,44.00
2012-10-09,44.14,45.15,44.12,44.87,5038100,44.71
2012-10-08,43.37,44.10,43.20,44.05,2637500,43.89
2012-10-05,44.17,44.20,43.35,43.49,3531200,43.33
2012-10-04,43.52,44.05,43.34,43.98,5607200,43.82
2012-10-03,44.72,44.72,43.32,43.48,6371100,43.32
2012-10-02,44.91,45.23,44.31,45.09,3807100,44.93
2012-10-01,45.57,45.78,44.89,45.05,4079600,44.89
2012-09-28,45.53,45.67,44.66,45.23,5129000,45.07
2012-09-27,45.75,45.94,45.20,45.82,3911000,45.66
2012-09-26,46.04,46.14,45.20,45.37,5267800,45.21
2012-09-25,46.99,47.00,46.15,46.32,6179500,46.15
2012-09-24,46.79,47.45,46.60,46.89,3620000,46.72
2012-09-21,47.72,47.87,46.67,46.91,6189800,46.74
2012-09-20,47.64,47.76,47.09,47.46,5317400,47.29
2012-09-19,48.88,48.88,47.89,48.11,3732900,47.94
2012-09-18,49.84,49.84,48.35,48.90,4952700,48.73
2012-09-17,49.97,50.59,49.81,50.10,3814500,49.92
2012-09-14,49.39,50.97,49.12,50.04,5295500,49.86
2012-09-13,48.01,49.10,47.65,48.96,3452700,48.79
2012-09-12,47.49,48.16,47.36,48.02,3168600,47.85
2012-09-11,46.83,47.50,46.69,47.28,2335700,47.11
2012-09-10,46.69,47.00,46.45,46.65,2881300,46.48
2012-09-07,45.40,47.00,45.37,46.74,4083100,46.57
2012-09-06,44.93,45.93,44.87,45.29,3057700,45.13
2012-09-05,44.32,44.78,44.08,44.46,3841300,44.30
2012-09-04,45.34,45.44,43.95,44.66,4452200,44.50
2012-08-31,45.49,45.94,45.08,45.60,3326600,45.44
2012-08-30,45.60,45.60,44.17,45.00,6137900,44.84
2012-08-29,46.95,46.98,45.60,45.81,3653600,45.65
2012-08-28,47.04,47.28,46.65,46.90,2176000,46.73
2012-08-27,47.50,47.82,47.12,47.19,1404200,47.02
2012-08-24,47.28,47.67,46.88,47.51,2485000,47.34
2012-08-23,47.59,48.11,47.26,47.35,3150100,47.18
2012-08-22,47.35,47.79,47.16,47.70,3027600,47.53
2012-08-21,47.94,48.22,47.33,47.55,2604800,47.38
2012-08-20,47.17,47.95,46.99,47.81,3165200,47.64
2012-08-17,47.48,47.78,47.22,47.32,2173200,47.15
2012-08-16,47.16,47.50,46.97,47.32,2595100,47.15
2012-08-15,47.17,47.46,46.90,47.20,2398800,47.03
2012-08-14,48.02,48.31,47.17,47.31,3137300,47.14
2012-08-13,48.39,48.74,47.64,47.99,2537800,47.82
2012-08-10,48.07,48.74,47.85,48.69,2865100,48.52
2012-08-09,47.70,49.07,47.36,48.43,4576800,48.26
2012-08-08,47.73,48.12,47.07,47.52,3959100,47.35
2012-08-07,47.44,48.75,47.30,48.21,4645600,48.04
2012-08-06,47.11,47.73,47.06,47.17,2144500,47.00
2012-08-03,47.04,47.49,46.78,46.98,2806000,46.81
2012-08-02,46.13,46.78,45.53,46.14,4023300,45.98
2012-08-01,46.50,47.54,46.00,46.99,3654300,46.67
2012-07-31,47.08,47.64,46.27,46.32,3994100,46.01
2012-07-30,47.19,47.85,47.00,47.35,4641400,47.03
2012-07-27,46.83,47.74,46.08,47.35,5978900,47.03
2012-07-26,45.88,46.65,45.71,46.48,4840000,46.17
2012-07-25,45.40,45.62,44.58,45.02,4086000,44.72
2012-07-24,46.16,46.33,44.63,45.14,5885800,44.84
2012-07-23,44.49,46.75,44.18,46.23,9967800,45.92
2012-07-20,46.35,47.10,45.05,45.59,20605400,45.28
2012-07-19,42.07,42.31,41.51,41.75,7303700,41.47
2012-07-18,40.69,42.03,40.56,41.84,6949200,41.56
2012-07-17,39.81,40.94,39.55,40.92,5658400,40.64
2012-07-16,39.12,39.88,38.79,39.48,4930700,39.21
2012-07-13,39.02,39.43,39.02,39.30,3857800,39.03
2012-07-12,38.84,39.08,38.14,38.85,6683400,38.59
2012-07-11,39.36,39.80,39.10,39.46,4402900,39.19
2012-07-10,40.33,40.46,38.94,39.25,6705400,38.98
2012-07-09,40.12,40.64,39.72,40.02,3005800,39.75
2012-07-06,39.99,40.65,39.97,40.28,3452300,40.01
2012-07-05,41.81,41.81,40.62,40.71,4791500,40.44
2012-07-03,41.73,42.20,41.20,42.11,2850900,41.83
2012-07-02,41.15,41.42,40.36,40.91,3759400,40.63
2012-06-29,40.93,41.53,40.55,41.10,5959200,40.82
2012-06-28,39.00,40.05,38.94,39.96,5162500,39.69
2012-06-27,38.49,39.44,38.41,39.39,4201600,39.12
2012-06-26,38.16,38.42,37.08,38.26,5028300,38.00
2012-06-25,38.51,38.51,37.78,38.13,4528300,37.87
2012-06-22,39.48,39.51,38.77,39.14,5257800,38.88
2012-06-21,40.69,40.70,38.97,39.05,5471800,38.79
2012-06-20,41.13,41.44,40.46,40.88,4060500,40.60
2012-06-19,40.00,41.20,39.81,40.98,3895100,40.70
2012-06-18,39.84,39.93,39.08,39.61,3387500,39.34
2012-06-15,39.77,40.39,39.52,40.38,4580800,40.11
2012-06-14,38.70,39.74,38.40,39.54,4986900,39.27
2012-06-13,39.03,39.56,38.48,38.69,6231600,38.43
2012-06-12,38.82,39.30,38.31,39.27,6043600,39.00
2012-06-11,39.63,39.80,38.56,38.62,4378500,38.36
2012-06-08,39.82,40.04,38.91,39.25,8660600,38.98
2012-06-07,41.14,41.43,40.06,40.12,7121900,39.85
2012-06-06,41.39,42.26,40.02,40.65,12948700,40.38
2012-06-05,40.66,41.49,40.51,41.08,6659800,40.80
2012-06-04,40.99,41.30,40.12,40.84,6158900,40.56
2012-06-01,40.60,41.30,40.46,40.74,6914500,40.46
2012-05-31,42.60,42.81,40.94,41.73,8726900,41.45
2012-05-30,42.70,43.04,42.20,42.57,8447000,42.28
2012-05-29,42.09,43.39,42.06,43.33,7069300,43.04
2012-05-25,41.27,41.94,41.14,41.54,3090100,41.26
2012-05-24,41.65,41.72,40.62,41.25,6001700,40.97
2012-05-23,40.98,42.00,40.38,41.72,5277200,41.44
2012-05-22,41.80,42.66,41.11,41.46,5587500,41.18
2012-05-21,40.58,42.07,40.56,41.99,4430700,41.71
2012-05-18,41.10,41.80,40.28,40.43,6255600,40.16
2012-05-17,40.87,41.55,40.56,40.78,5963900,40.50
2012-05-16,40.84,41.87,40.22,40.79,6628700,40.51
2012-05-15,41.60,41.77,40.73,40.96,8000800,40.68
2012-05-14,41.02,41.67,40.85,41.58,5643400,41.30
2012-05-11,41.21,42.25,41.14,41.72,5773000,41.44
2012-05-10,41.70,42.09,41.36,41.67,5454600,41.39
2012-05-09,40.50,41.54,40.03,41.35,6631200,41.07
2012-05-08,41.49,41.54,40.36,41.39,6532600,41.11
2012-05-07,40.88,42.31,40.46,41.78,6069100,41.50
2012-05-04,42.44,42.44,40.74,41.18,7163300,40.90
2012-05-03,44.07,44.65,42.76,42.84,5227000,42.55
2012-05-02,44.38,44.51,43.83,44.41,5952600,43.96
2012-05-01,44.40,45.17,44.17,44.76,6242800,44.31
2012-04-30,42.88,44.11,42.85,44.11,5578300,43.66
2012-04-27,43.55,43.59,42.50,42.91,4654300,42.48
2012-04-26,43.28,43.70,43.00,43.26,4731300,42.82
2012-04-25,43.52,43.87,42.32,43.38,7887700,42.94
2012-04-24,42.84,44.35,42.53,43.04,16725700,42.60
2012-04-23,39.92,41.63,39.53,41.07,7432900,40.65
2012-04-20,41.43,42.09,40.45,40.46,6855100,40.05
2012-04-19,41.45,42.14,40.83,41.02,7073600,40.61
2012-04-18,41.42,42.64,41.01,41.31,6635000,40.89
2012-04-17,41.25,41.97,41.00,41.53,6147600,41.11
2012-04-16,41.33,41.35,40.20,40.80,6238800,40.39
2012-04-13,41.49,41.78,40.83,41.05,5672800,40.64
2012-04-12,40.61,42.12,40.56,41.77,5417800,41.35
2012-04-11,40.91,41.17,40.36,40.48,5840500,40.07
2012-04-10,40.51,40.68,39.40,40.28,8652300,39.87
2012-04-09,40.41,41.01,40.20,40.58,4561400,40.17
2012-04-05,41.16,41.73,40.81,41.00,6207000,40.59
2012-04-04,41.08,41.48,40.73,41.33,6745400,40.91
2012-04-03,42.34,42.37,41.39,41.74,7144700,41.32
2012-04-02,41.84,42.84,41.61,42.46,7101400,42.03
2012-03-30,41.22,42.17,41.07,41.94,8248500,41.52
2012-03-29,40.50,41.20,40.20,40.79,10722100,40.38
