Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,415.90,421.81,414.15,415.99,7955000,41.60
2009-12-23,400.14,414.97,400.02,414.20,13626000,41.42
2009-12-22,408.51,410.50,394.56,398.81,16771000,39.88
2009-12-21,415.21,417.88,405.69,407.38,11352000,40.74
2009-12-18,417.20,419.57,411.29,414.40,13502000,41.44
2009-12-17,422.16,425.10,414.97,415.84,13356000,41.58
2009-12-16,426.30,429.18,423.52,426.26,7677000,42.63
2009-12-15,422.46,429.80,421.70,424.00,10578000,42.40
2009-12-14,420.25,424.96,416.37,424.51,7745000,42.45
2009-12-11,424.58,424.97,417.00,418.10,6951000,41.81
2009-12-10,427.23,428.85,422.00,422.32,9153000,42.23
2009-12-09,418.99,426.67,415.10,426.46,12395000,42.65
2009-12-08,417.21,424.15,416.11,418.84,10836000,41.88
2009-12-07,423.99,425.67,418.08,421.00,12661000,42.10
2009-12-04,432.71,435.45,422.05,425.32,15838000,42.53
2009-12-03,434.56,438.48,426.68,427.89,11824000,42.79
2009-12-02,436.34,441.00,433.34,434.72,13242000,43.47
2009-12-01,438.63,439.50,432.62,435.55,14342000,43.56
2009-11-30,435.12,437.74,428.64,433.74,18885000,43.37
2009-11-27,426.44,441.50,425.55,439.72,13380000,43.97
2009-11-25,438.33,443.25,437.07,442.18,12248000,44.22
2009-11-24,435.50,437.30,429.00,435.54,12135000,43.55
2009-11-23,433.88,439.88,433.16,439.00,14281000,43.90
2009-11-20,424.16,427.79,421.77,427.59,11138000,42.76
2009-11-19,431.25,431.94,423.18,428.01,14170000,42.80
2009-11-18,440.48,440.99,431.18,435.12,17062000,43.51
2009-11-17,436.05,442.86,435.65,441.50,12969000,44.15
2009-11-16,437.30,442.63,434.05,438.32,16824000,43.83
2009-11-13,428.99,432.50,424.31,432.50,12237000,43.25
2009-11-12,428.00,433.90,424.30,427.15,16087000,42.72
2009-11-11,431.88,438.38,423.11,430.51,21533000,43.05
2009-11-10,425.50,428.88,421.75,428.12,14840000,42.81
2009-11-09,416.00,425.88,414.38,425.87,26083000,42.59
2009-11-06,390.56,410.54,390.01,409.74,26370000,40.97
2009-11-05,389.52,397.38,388.73,396.23,18675000,39.62
2009-11-04,385.99,392.00,385.00,386.37,15832000,38.64
2009-11-03,370.41,384.52,369.12,383.04,14407000,38.30
2009-11-02,379.50,380.50,370.00,375.45,21916000,37.54
2009-10-30,391.77,398.91,376.80,377.92,26622000,37.79
2009-10-29,395.72,400.88,389.11,393.40,25070000,39.34
2009-10-28,383.67,399.37,383.36,396.83,47793000,39.68
2009-10-27,355.71,388.20,353.03,383.66,107476000,38.37
2009-10-26,438.90,439.90,424.55,432.97,35820000,43.30
2009-10-23,422.33,437.50,418.50,435.31,32581000,43.53
2009-10-22,404.01,416.16,403.42,415.60,12689000,41.56
2009-10-21,404.57,416.50,404.57,405.92,13733000,40.59
2009-10-20,414.24,418.86,404.23,408.72,19053000,40.87
2009-10-19,396.67,412.98,392.30,411.02,20990000,41.10
2009-10-16,401.78,403.81,395.45,395.79,16325000,39.58
2009-10-15,409.04,412.17,398.88,399.90,22707000,39.99
2009-10-14,413.72,416.98,405.90,410.18,18231000,41.02
2009-10-13,413.00,414.70,404.37,407.50,27336000,40.75
2009-10-12,423.42,426.35,410.69,413.49,27698000,41.35
2009-10-09,418.89,428.70,415.49,427.07,26958000,42.71
2009-10-08,417.34,419.89,410.28,412.67,22866000,41.27
2009-10-07,399.02,414.65,399.02,413.80,27641000,41.38
2009-10-06,386.21,401.19,386.15,401.00,32223000,40.10
2009-10-05,378.95,383.00,376.97,381.89,10797000,38.19
2009-10-02,369.47,383.00,366.00,375.21,14286000,37.52
2009-10-01,390.73,392.94,371.49,372.02,26248000,37.20
2009-09-30,395.01,396.69,383.85,391.05,18103000,39.10
2009-09-29,394.50,397.44,390.10,394.42,11499000,39.44
2009-09-28,390.28,398.00,388.00,396.05,11319000,39.60
2009-09-25,386.26,392.08,382.18,387.56,15607000,38.76
2009-09-24,396.76,398.00,376.30,390.23,28717000,39.02
2009-09-23,399.14,403.60,394.00,394.95,14190000,39.49
2009-09-22,405.74,406.88,395.00,396.29,16107000,39.63
2009-09-21,396.00,401.00,389.89,400.25,13974000,40.03
2009-09-18,400.60,401.60,396.25,399.98,13849000,40.00
2009-09-17,402.32,408.00,396.18,399.19,22191000,39.92
2009-09-16,401.40,404.29,398.15,402.91,26755000,40.29
2009-09-15,383.50,398.00,381.50,397.53,36437000,39.75
2009-09-14,373.98,379.67,370.75,379.50,17682000,37.95
2009-09-11,378.03,378.66,367.00,369.95,16784000,36.99
2009-09-10,365.06,372.53,363.28,372.45,20722000,37.24
2009-09-09,357.82,364.38,356.00,363.60,20127000,36.36
2009-09-08,350.50,359.20,350.00,357.15,24444000,35.72
2009-09-04,329.48,344.90,326.55,343.27,20791000,34.33
2009-09-03,331.21,331.21,325.00,329.48,9559000,32.95
2009-09-02,317.04,327.84,316.50,324.86,18905000,32.49
2009-09-01,327.91,338.70,316.49,318.76,24309000,31.88
2009-08-31,331.70,332.65,326.35,330.06,13299000,33.01
2009-08-28,344.75,346.60,336.66,339.53,10956000,33.95
2009-08-27,344.18,344.90,335.27,340.10,9873000,34.01
2009-08-26,346.55,348.12,340.04,343.72,10538000,34.37
2009-08-25,348.49,350.00,345.19,347.82,11129000,34.78
2009-08-24,348.00,353.00,344.00,345.00,13329000,34.50
2009-08-21,343.10,347.71,339.45,345.00,15765000,34.50
2009-08-20,335.42,339.67,334.45,339.25,13844000,33.92
2009-08-19,320.09,331.98,318.51,330.78,19468000,33.08
2009-08-18,323.97,329.63,321.20,327.40,15576000,32.74
2009-08-17,325.10,327.48,319.70,321.56,21478000,32.16
2009-08-14,345.27,346.14,337.06,339.58,14314000,33.96
