Date,Open,High,Low,Close,Volume,Adj Close
2013-01-07,29.17,29.38,28.84,29.13,494700,29.13
2013-01-04,29.19,29.56,29.00,29.35,775100,29.35
2013-01-03,27.92,29.32,27.42,29.08,1553700,29.08
2013-01-02,29.04,29.16,28.11,28.29,1288700,28.29
2012-12-31,27.77,28.48,27.62,28.46,804000,28.46
2012-12-28,27.66,28.21,27.61,27.75,684200,27.75
2012-12-27,28.03,28.20,27.39,27.87,817600,27.87
2012-12-26,28.56,28.68,27.84,28.08,700500,28.08
2012-12-24,28.39,28.84,28.39,28.55,341900,28.55
2012-12-21,28.04,28.71,27.80,28.58,1725000,28.58
2012-12-20,28.49,28.57,27.91,27.96,843600,27.96
2012-12-19,28.96,28.96,28.48,28.50,724600,28.50
2012-12-18,27.68,29.04,27.68,28.89,1743200,28.89
2012-12-17,27.26,27.76,27.26,27.70,985700,27.70
2012-12-14,27.65,27.83,27.09,27.22,892500,27.22
2012-12-13,27.68,28.29,27.68,27.76,1250900,27.76
2012-12-12,28.25,28.43,27.56,27.65,1236200,27.65
2012-12-11,28.71,28.90,28.06,28.26,1067500,28.26
2012-12-10,28.07,28.69,28.00,28.60,1413400,28.60
2012-12-07,29.75,29.95,27.80,28.18,3358800,28.18
2012-12-06,29.16,30.67,29.09,29.89,2087800,29.89
2012-12-05,30.92,31.18,29.90,30.06,3177800,30.06
2012-12-04,29.86,32.13,29.85,31.27,10389600,31.27
2012-12-03,28.29,28.30,27.34,28.04,1914100,28.04
2012-11-30,28.16,28.25,27.71,28.16,1311800,28.16
2012-11-29,27.90,28.28,27.65,28.12,943200,28.12
2012-11-28,27.31,27.96,27.24,27.79,1014300,27.79
2012-11-27,27.67,27.97,27.32,27.35,893500,27.35
2012-11-26,28.41,28.47,27.23,27.72,1090200,27.72
2012-11-23,27.72,28.53,27.72,28.48,331700,28.48
2012-11-21,27.61,27.82,27.40,27.61,581400,27.61
2012-11-20,27.84,27.86,27.38,27.55,580900,27.55
2012-11-19,27.46,27.90,27.38,27.90,609400,27.90
2012-11-16,27.39,27.39,26.69,27.19,1118800,27.19
2012-11-15,26.98,27.47,26.72,27.39,682800,27.39
2012-11-14,27.13,27.49,26.80,26.86,1249800,26.86
2012-11-13,28.85,29.27,27.31,27.48,3685200,27.48
2012-11-12,28.95,29.46,28.39,28.91,1087200,28.91
2012-11-09,29.57,29.80,28.79,28.93,1323600,28.93
2012-11-08,30.50,30.53,29.55,29.65,874200,29.65
2012-11-07,30.88,31.08,30.25,30.57,740900,30.57
2012-11-06,30.69,31.72,30.60,31.14,980400,31.14
2012-11-05,30.24,30.61,30.06,30.53,539200,30.53
2012-11-02,30.68,30.80,30.25,30.29,892300,30.29
2012-11-01,29.17,30.71,29.02,30.52,1156600,30.52
2012-10-31,29.09,29.71,28.94,29.13,828900,29.13
2012-10-26,29.25,29.25,28.55,28.78,920300,28.78
2012-10-25,29.19,29.54,29.11,29.21,814400,29.21
2012-10-24,28.81,29.14,28.46,29.00,1637100,29.00
2012-10-23,29.08,29.19,28.47,28.65,1593300,28.65
2012-10-22,29.18,29.49,28.91,29.43,1287800,29.43
2012-10-19,29.99,30.06,29.18,29.22,1591500,29.22
2012-10-18,30.61,30.73,29.91,29.94,1178000,29.94
