Date,Open,High,Low,Close,Volume,Adj Close
2013-01-07,145.29,146.65,145.08,146.42,1121600,146.42
2013-01-04,148.02,148.45,145.77,145.93,1533100,145.93
2013-01-03,142.25,149.00,141.73,147.86,5816600,147.86
2013-01-02,148.72,150.98,148.46,150.00,1581000,150.00
2012-12-31,145.84,147.00,145.04,146.37,927900,146.37
2012-12-28,146.98,148.06,146.05,146.05,716300,146.05
2012-12-27,148.39,149.50,146.33,147.76,1072700,147.76
2012-12-26,149.35,149.35,147.03,148.43,507800,148.43
2012-12-24,149.14,149.90,148.72,149.07,358000,149.07
2012-12-21,150.29,151.16,148.56,149.91,1992300,149.91
2012-12-20,151.22,151.95,150.57,151.21,729700,151.21
2012-12-19,153.28,153.61,150.30,151.31,1275500,151.31
2012-12-18,153.37,154.00,151.82,153.42,818300,153.42
2012-12-17,151.86,153.04,150.74,152.65,815200,152.65
2012-12-14,151.09,152.54,150.19,151.25,730700,151.25
2012-12-13,152.61,153.74,150.79,151.56,672200,151.56
2012-12-12,154.34,154.50,151.97,152.35,873100,152.35
2012-12-11,153.51,155.30,153.51,154.22,1252700,154.22
2012-12-10,151.60,153.62,150.52,153.14,731100,153.14
2012-12-07,151.46,152.00,150.45,151.29,765000,151.29
2012-12-06,150.74,151.92,150.55,151.73,610000,151.73
2012-12-05,152.46,152.66,150.27,150.55,736800,150.55
2012-12-04,150.57,152.44,150.10,151.86,1237700,151.86
2012-12-03,150.04,152.03,149.68,150.55,851000,150.55
2012-11-30,150.79,151.00,148.93,149.09,895600,149.09
2012-11-29,150.00,151.50,149.50,150.30,740500,150.30
2012-11-28,147.74,149.70,145.58,149.46,652800,149.46
2012-11-27,147.98,149.95,147.59,147.88,696300,147.88
2012-11-26,148.70,149.41,147.43,149.11,853100,149.11
2012-11-23,148.44,149.87,147.32,149.87,374100,149.87
2012-11-21,148.69,149.97,147.29,147.36,1409000,147.36
2012-11-20,143.10,148.19,142.41,148.15,1753000,148.15
2012-11-19,141.85,143.58,139.84,143.53,1433500,143.53
2012-11-16,137.60,142.00,137.60,141.24,2349100,141.24
2012-11-15,136.44,138.37,135.58,137.93,1312400,137.93
2012-11-14,138.00,138.44,135.99,136.30,1098200,136.30
2012-11-13,139.36,140.59,137.72,138.02,1170800,138.02
2012-11-12,138.50,140.95,138.22,139.48,1132200,139.48
2012-11-09,135.19,138.81,134.00,138.05,1377500,138.05
2012-11-08,137.77,138.12,135.48,135.61,1522200,135.61
2012-11-07,139.62,139.86,138.26,138.35,1037600,138.35
2012-11-06,140.03,141.62,139.34,140.30,990300,140.30
2012-11-05,138.02,140.20,137.90,139.60,744500,139.60
2012-11-02,138.97,139.38,137.57,138.41,1325200,138.41
2012-11-01,139.30,140.54,138.21,139.03,1165300,139.03
2012-10-31,143.15,143.33,136.28,138.21,1829800,138.21
2012-10-26,143.97,144.58,142.02,142.93,991600,142.93
2012-10-25,145.00,146.45,144.15,144.43,1381400,144.43
2012-10-24,142.59,144.03,141.58,142.06,1655200,142.06
2012-10-23,143.76,144.00,141.14,142.06,1055200,142.06
2012-10-22,145.23,145.68,143.33,145.30,1050700,145.30
2012-10-19,150.02,151.46,144.84,145.65,2151700,145.65
2012-10-18,152.00,152.49,148.35,149.56,2018400,149.56
2012-10-17,153.06,154.91,152.41,153.78,813400,153.78
2012-10-16,149.42,153.33,148.99,153.25,973000,153.25
2012-10-15,147.50,149.54,146.88,149.41,992900,149.41
2012-10-12,147.51,149.78,146.97,147.20,1084400,147.20
2012-10-11,148.61,149.47,146.99,147.10,1023100,147.10
2012-10-10,149.64,151.04,147.01,147.29,870800,147.29
2012-10-09,151.04,152.61,149.00,149.38,858100,149.38
2012-10-08,152.81,153.70,151.10,151.22,566300,151.22
2012-10-05,152.00,154.04,151.87,152.53,965700,152.53
2012-10-04,153.01,154.55,152.10,152.57,995800,152.57
2012-10-03,150.00,152.94,149.15,152.94,1056800,152.94
2012-10-02,149.94,150.61,149.16,149.93,773800,149.93
2012-10-01,149.16,152.56,149.13,149.94,1089200,149.94
2012-09-28,150.00,150.34,147.90,149.21,1322400,149.21
2012-09-27,152.13,153.09,150.26,150.71,1743800,150.71
2012-09-26,155.74,157.18,151.52,151.62,1785500,151.62
2012-09-25,155.00,155.50,152.64,152.83,956300,152.83
2012-09-24,155.08,155.14,153.00,154.40,832600,154.40
2012-09-21,156.31,156.46,154.02,154.57,1690900,154.57
