Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,25.80,26.05,25.71,25.74,2335300,25.74
2012-12-21,25.90,26.10,25.65,25.80,10589900,25.80
2012-12-20,25.91,26.25,25.87,26.20,6224500,26.20
2012-12-19,26.07,26.17,25.80,25.87,7500500,25.87
2012-12-18,25.43,26.04,25.35,26.02,9576800,26.02
2012-12-17,24.87,25.42,24.82,25.40,7231800,25.40
2012-12-14,24.62,24.80,24.60,24.72,5882500,24.72
2012-12-13,24.52,24.80,24.49,24.75,6304500,24.75
2012-12-12,24.61,24.90,24.52,24.53,5794700,24.53
2012-12-11,24.40,24.65,24.28,24.49,5368700,24.49
2012-12-10,24.21,24.37,24.09,24.29,4293400,24.29
2012-12-07,23.89,24.23,23.85,24.22,7410800,24.22
2012-12-06,23.73,23.87,23.59,23.74,5379000,23.74
2012-12-05,23.59,23.83,23.26,23.74,9941100,23.74
2012-12-04,24.12,24.13,23.62,23.76,5621400,23.76
2012-12-03,24.07,24.23,24.00,24.03,6323900,24.03
2012-11-30,24.20,24.22,23.85,23.94,5942300,23.94
2012-11-29,24.34,24.41,24.10,24.24,3588700,24.24
2012-11-28,23.88,24.19,23.73,24.19,6387200,24.19
2012-11-27,24.42,24.46,24.02,24.06,6376000,24.06
2012-11-26,24.26,24.44,24.08,24.42,5761700,24.42
2012-11-23,24.24,24.43,24.11,24.43,2448800,24.43
2012-11-21,24.10,24.11,23.85,24.04,3813300,24.04
2012-11-20,23.97,24.18,23.82,24.06,6241300,24.06
2012-11-19,24.03,24.16,23.82,24.01,8634300,24.01
2012-11-16,23.62,23.82,23.39,23.64,9040900,23.64
2012-11-15,23.56,23.79,23.39,23.57,7627800,23.57
2012-11-14,24.06,24.19,23.45,23.54,11735800,23.54
2012-11-13,24.02,24.29,23.86,24.01,9412100,24.01
2012-11-12,24.17,24.30,23.97,24.07,3987300,24.07
2012-11-09,23.93,24.50,23.93,24.11,7592500,24.11
2012-11-08,24.04,24.53,23.99,24.06,6240200,24.06
2012-11-07,24.68,24.91,23.99,24.00,11129700,24.00
2012-11-06,25.18,25.35,25.05,25.28,6748500,25.28
2012-11-05,24.68,25.18,24.57,25.11,6581000,25.11
2012-11-02,25.25,25.30,24.43,24.53,7469500,24.53
2012-11-01,24.82,25.13,24.62,25.10,5219200,25.10
2012-10-31,24.57,24.76,24.50,24.71,6588800,24.71
2012-10-26,24.21,24.63,24.02,24.37,9190000,24.37
2012-10-25,24.78,24.92,24.61,24.76,7112400,24.76
2012-10-24,24.53,24.84,24.49,24.62,7000800,24.49
2012-10-23,24.24,24.59,24.15,24.47,8871600,24.34
2012-10-22,24.48,24.86,24.40,24.65,6434600,24.52
