Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,40.83,41.04,40.45,40.87,447000,40.87
2012-12-21,40.86,41.10,40.29,40.71,2968200,40.71
2012-12-20,41.98,42.04,41.79,41.94,1632200,41.94
2012-12-19,41.79,42.30,41.69,41.91,2859000,41.91
2012-12-18,41.11,41.69,40.82,41.67,2153500,41.67
2012-12-17,40.16,41.10,39.99,41.08,2233700,41.08
2012-12-14,39.73,40.32,39.61,40.18,995500,40.18
2012-12-13,40.68,40.98,39.80,39.89,1573100,39.89
2012-12-12,41.59,41.60,40.67,40.80,2112300,40.80
2012-12-11,41.30,41.59,40.95,41.53,1884400,41.53
2012-12-10,40.51,41.42,40.51,41.42,1126300,41.42
2012-12-07,41.01,41.05,40.69,40.81,1099300,40.81
2012-12-06,40.22,40.74,40.03,40.73,732300,40.73
2012-12-05,40.28,40.38,39.87,40.20,1217600,40.20
2012-12-04,40.60,40.74,40.22,40.42,937500,40.42
2012-12-03,41.10,41.10,40.54,40.54,861300,40.54
2012-11-30,40.95,41.03,40.72,40.96,1197000,40.96
2012-11-29,41.00,41.08,40.63,40.88,1102000,40.88
2012-11-28,40.34,40.98,39.93,40.95,1041000,40.95
2012-11-27,40.19,41.36,40.02,40.62,1894800,40.62
2012-11-26,40.09,40.30,39.79,40.26,1097900,40.26
2012-11-23,39.84,40.26,39.64,40.19,318900,40.19
2012-11-21,39.53,39.88,39.48,39.68,536900,39.68
2012-11-20,39.58,39.71,39.33,39.56,1292800,39.56
2012-11-19,39.29,39.66,39.03,39.59,1019000,39.59
2012-11-16,38.89,38.99,38.04,38.73,1214700,38.73
2012-11-15,39.33,39.47,38.61,39.01,971900,39.01
2012-11-14,39.90,40.00,39.05,39.26,1222100,39.26
2012-11-13,39.92,39.99,39.54,39.74,805900,39.74
2012-11-12,40.30,40.32,39.73,40.12,642100,40.12
2012-11-09,39.82,40.59,39.82,40.24,973000,40.24
2012-11-08,40.13,41.05,39.96,39.98,1022700,39.98
2012-11-07,41.25,41.34,40.96,41.08,1507500,41.08
2012-11-06,41.21,41.86,41.19,41.55,2564400,41.55
2012-11-05,40.70,41.16,40.67,41.06,1298400,41.06
2012-11-02,41.11,41.34,40.97,41.04,1719400,41.04
2012-11-01,41.50,41.72,40.50,40.98,3891700,40.98
2012-10-31,41.02,41.74,40.49,40.70,1588000,40.70
2012-10-26,41.02,41.58,40.71,40.98,884300,40.98
2012-10-25,41.54,41.74,41.16,41.47,647800,41.47
2012-10-24,41.50,41.76,41.03,41.38,1233600,41.38
2012-10-23,40.77,41.63,40.35,41.53,1707400,41.53
2012-10-22,41.89,41.89,40.49,41.02,2081900,41.02
2012-10-19,41.12,41.27,40.24,40.34,1029800,40.34
2012-10-18,41.19,41.46,40.89,41.10,1115700,41.10
2012-10-17,41.59,41.74,41.05,41.13,1319100,41.13
2012-10-16,41.44,42.17,41.23,42.02,1311400,42.02
2012-10-15,42.00,42.20,41.14,41.49,1611300,41.49
2012-10-12,42.51,42.78,42.31,42.55,837400,42.55
2012-10-11,42.15,42.52,41.94,42.43,1319200,42.43
2012-10-10,42.46,42.58,41.91,41.96,1936600,41.96
2012-10-09,43.17,43.24,42.22,42.45,1101400,42.45
2012-10-08,43.19,43.54,43.05,43.28,712300,43.28
2012-10-05,43.67,43.79,43.20,43.34,1280400,43.34
2012-10-04,43.41,43.62,42.90,43.39,1049800,43.39
2012-10-03,43.45,43.81,42.97,43.34,1345200,43.34
2012-10-02,43.00,44.06,42.95,43.48,2710900,43.48
2012-10-01,41.88,45.00,41.22,42.85,6325700,42.85
2012-09-28,41.43,41.75,41.18,41.49,751300,41.49
2012-09-27,41.53,41.86,41.10,41.67,1022800,41.67
2012-09-26,41.91,41.92,41.26,41.33,1287600,41.33
2012-09-25,42.73,42.87,41.78,41.85,1204400,41.85
2012-09-24,42.51,42.99,42.38,42.68,862300,42.68
