Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,33.20,33.54,33.17,33.45,216200,33.45
2012-12-21,33.36,33.61,33.15,33.15,1224000,33.15
2012-12-20,33.30,33.75,33.25,33.65,538900,33.65
2012-12-19,33.11,33.39,33.06,33.32,449900,33.32
2012-12-18,32.91,33.12,32.70,33.12,341300,33.12
2012-12-17,32.72,32.92,32.65,32.88,384100,32.88
2012-12-14,32.96,32.96,32.56,32.61,412300,32.61
2012-12-13,33.15,33.42,32.88,32.92,535200,32.92
2012-12-12,33.54,33.56,33.11,33.17,529400,33.17
2012-12-11,33.38,33.54,33.29,33.45,369100,33.45
2012-12-10,33.26,33.51,33.26,33.32,315200,33.32
2012-12-07,33.33,33.39,33.14,33.28,411700,33.28
2012-12-06,32.75,33.28,32.74,33.26,601400,33.26
2012-12-05,32.91,33.00,32.63,32.82,813200,32.82
2012-12-04,33.15,33.30,32.97,32.98,575900,32.98
2012-12-03,33.74,33.78,33.03,33.11,539700,33.11
2012-11-30,33.61,33.69,33.50,33.60,864100,33.60
2012-11-29,33.75,33.84,33.42,33.61,573000,33.61
2012-11-28,33.42,33.78,33.20,33.69,503100,33.69
2012-11-27,33.59,33.77,33.38,33.50,562000,33.50
2012-11-26,33.54,33.87,33.48,33.70,589700,33.70
2012-11-23,33.45,33.83,33.36,33.66,653100,33.66
2012-11-21,33.21,33.47,33.15,33.39,709500,33.39
2012-11-20,33.19,33.22,32.90,33.16,518300,33.16
2012-11-19,32.70,33.22,32.52,33.21,1143400,33.21
2012-11-16,32.35,32.49,32.18,32.36,1325800,32.36
2012-11-15,32.58,32.71,32.27,32.39,992400,32.39
2012-11-14,32.74,32.91,32.54,32.61,971000,32.61
2012-11-13,32.78,33.01,32.43,32.67,558200,32.67
2012-11-12,33.10,33.38,32.90,33.11,554200,32.86
2012-11-09,32.95,33.49,32.95,33.01,711100,32.76
2012-11-08,33.54,33.70,33.02,33.02,699400,32.77
2012-11-07,33.54,33.73,33.16,33.55,865400,33.30
2012-11-06,33.65,33.93,33.50,33.79,480400,33.53
2012-11-05,33.40,33.55,33.30,33.51,514200,33.26
2012-11-02,33.55,33.68,33.32,33.46,905600,33.21
2012-11-01,33.00,33.56,32.78,33.47,834500,33.22
2012-10-31,32.55,33.32,32.55,33.05,910400,32.80
2012-10-26,33.25,33.31,32.81,33.09,794800,32.84
2012-10-25,32.90,33.80,32.82,33.18,1496800,32.93
2012-10-24,32.48,32.68,32.29,32.54,938200,32.29
2012-10-23,32.21,32.40,31.95,32.31,557200,32.07
2012-10-22,31.72,32.60,31.72,32.57,493000,32.32
2012-10-19,32.78,32.86,32.34,32.42,1432800,32.18
2012-10-18,33.02,33.02,32.78,32.80,702000,32.55
2012-10-17,32.91,33.16,32.84,33.05,516700,32.80
2012-10-16,32.25,32.87,32.18,32.84,584700,32.59
2012-10-15,31.78,32.19,31.70,32.17,584900,31.93
2012-10-12,31.78,31.94,31.66,31.69,627400,31.45
2012-10-11,31.57,31.88,31.56,31.73,745500,31.49
2012-10-10,31.86,31.86,31.46,31.46,288800,31.22
2012-10-09,31.82,31.99,31.67,31.81,575600,31.57
2012-10-08,31.89,31.95,31.70,31.79,320600,31.55
2012-10-05,31.92,32.00,31.84,31.97,430600,31.73
2012-10-04,31.64,31.97,31.64,31.73,431000,31.49
2012-10-03,31.47,31.73,31.33,31.63,543300,31.39
2012-10-02,31.52,31.65,31.36,31.44,434700,31.20
2012-10-01,31.50,31.61,31.35,31.49,735800,31.25
2012-09-28,31.44,31.64,31.35,31.47,549800,31.23
2012-09-27,31.45,31.60,31.26,31.55,502800,31.31
2012-09-26,31.56,31.73,31.39,31.41,493500,31.17
2012-09-25,31.90,31.99,31.59,31.60,677100,31.36
2012-09-24,31.82,31.96,31.71,31.86,553700,31.62
2012-09-21,32.06,32.08,31.66,31.77,769500,31.53
2012-09-20,31.44,31.85,31.34,31.85,860400,31.61
2012-09-19,31.15,31.52,31.08,31.51,484000,31.27
2012-09-18,30.92,31.16,30.88,31.13,494600,30.89
