Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,87.51,87.83,87.16,87.48,2326700,87.48
2012-12-21,87.50,88.18,86.48,87.90,10727800,87.90
2012-12-20,89.90,90.13,88.64,89.50,6893600,89.50
2012-12-19,90.91,91.83,90.74,90.79,7065800,90.27
2012-12-18,89.67,91.09,89.67,90.77,6653300,90.25
2012-12-17,89.25,89.69,88.90,89.64,6092800,89.13
2012-12-14,88.35,89.50,88.32,89.00,5866400,88.49
2012-12-13,87.85,89.31,87.82,88.36,6100000,87.85
2012-12-12,87.89,88.77,87.46,87.95,7093300,87.45
2012-12-11,87.60,88.16,87.04,87.33,5371600,86.83
2012-12-10,86.81,87.45,86.38,87.23,4336600,86.73
2012-12-07,86.70,87.55,86.52,86.99,7337200,86.49
2012-12-06,85.83,86.33,85.08,85.95,4132300,85.46
2012-12-05,84.62,86.57,84.57,86.05,8604400,85.56
2012-12-04,84.05,84.96,83.75,84.16,4468400,83.68
2012-12-03,85.92,85.92,84.43,84.49,4714100,84.01
2012-11-30,86.33,86.35,85.03,85.24,5663400,84.75
2012-11-29,85.55,86.48,85.48,86.25,7846300,85.76
2012-11-28,83.63,85.09,83.00,84.94,4884700,84.45
2012-11-27,84.50,85.12,83.90,84.01,4195600,83.53
2012-11-26,83.81,84.81,83.81,84.65,4240800,84.17
2012-11-23,83.62,84.19,83.25,84.16,2663700,83.68
2012-11-21,82.95,83.74,82.65,83.05,4517100,82.57
2012-11-20,83.70,83.77,82.59,83.33,5535900,82.85
2012-11-19,83.37,83.84,83.15,83.62,5674800,83.14
2012-11-16,81.37,82.21,80.16,81.93,8050900,81.46
2012-11-15,81.35,82.57,80.50,81.30,7794600,80.83
2012-11-14,83.90,83.90,80.88,81.10,8497000,80.64
2012-11-13,84.72,85.18,83.17,83.26,7695300,82.78
2012-11-12,84.44,85.57,84.23,85.18,5800500,84.69
2012-11-09,83.00,85.29,82.90,84.95,7282200,84.46
2012-11-08,85.16,85.24,83.52,83.66,6240600,83.18
2012-11-07,86.73,87.23,84.84,85.02,8209200,84.53
2012-11-06,87.35,88.60,87.30,88.08,7048900,87.58
2012-11-05,85.85,86.78,85.59,86.77,4044600,86.27
2012-11-02,88.49,88.50,85.70,85.79,6982000,85.30
2012-11-01,85.22,87.86,85.00,87.65,8550000,87.15
2012-10-31,85.53,85.92,84.45,84.81,5914600,84.32
2012-10-26,83.48,84.32,83.24,84.25,7165300,83.77
2012-10-25,83.39,83.54,82.36,83.53,5983300,83.05
2012-10-24,84.07,84.14,82.52,82.73,5509000,82.26
2012-10-23,83.90,84.14,82.98,83.58,7496100,83.10
2012-10-22,82.94,86.04,82.29,85.08,17158300,84.59
2012-10-19,85.33,85.48,83.49,83.86,9874300,83.38
2012-10-18,86.38,87.53,85.83,86.62,6813600,86.12
2012-10-17,85.62,86.77,85.21,86.63,7339000,85.62
2012-10-16,83.59,85.04,83.21,84.96,6943000,83.97
2012-10-15,82.91,83.20,82.10,82.81,6357300,81.84
2012-10-12,83.00,84.10,82.46,82.82,6012400,81.85
2012-10-11,83.39,83.70,82.25,82.85,7643800,81.88
2012-10-10,83.89,84.37,82.60,83.16,10634900,82.19
2012-10-09,85.72,86.15,84.50,84.75,5810600,83.76
2012-10-08,84.94,85.81,84.43,85.44,4532600,84.44
2012-10-05,86.85,87.34,85.01,85.43,6547700,84.43
2012-10-04,85.52,86.50,85.20,85.96,5076900,84.95
2012-10-03,85.51,85.64,84.55,85.28,5584500,84.28
2012-10-02,85.63,85.93,84.35,85.47,8819000,84.47
2012-10-01,86.72,87.15,85.24,85.47,7385000,84.47
2012-09-28,86.36,86.59,85.43,86.04,7519300,85.03
2012-09-27,87.84,87.95,86.75,86.92,7585300,85.90
2012-09-26,86.90,87.93,85.80,86.95,8864800,85.93
2012-09-25,88.66,89.55,87.00,87.01,13936300,85.99
2012-09-24,90.45,91.78,90.45,90.87,8604700,89.81
2012-09-21,93.42,93.42,91.37,91.72,10786300,90.65
2012-09-20,92.99,92.99,91.25,92.54,7094100,91.46
2012-09-19,93.30,94.23,92.81,93.94,6785200,92.84
2012-09-18,91.77,93.07,91.77,93.07,6596500,91.98
2012-09-17,92.94,93.50,91.73,91.99,7996500,90.91
2012-09-14,92.21,94.28,91.98,93.17,11375700,92.08
2012-09-13,88.63,90.97,88.30,90.68,7836600,89.62
2012-09-12,89.49,90.24,88.66,89.12,6016400,88.08
2012-09-11,87.70,89.12,87.41,88.60,5877800,87.56
2012-09-10,87.94,88.63,87.08,87.10,5591600,86.08
2012-09-07,87.26,88.44,86.75,88.10,10698000,87.07
2012-09-06,83.55,84.93,83.35,84.79,6982600,83.80
2012-09-05,82.60,83.08,81.78,82.75,6234700,81.78
2012-09-04,85.03,85.13,82.21,82.66,11287600,81.69
2012-08-31,85.18,85.94,84.25,85.33,5481300,84.33
2012-08-30,85.56,85.82,84.46,84.47,5170100,83.48
2012-08-29,85.58,86.33,84.45,86.09,8731900,85.08
2012-08-28,86.37,86.99,85.88,86.01,4697200,85.00
2012-08-27,87.65,88.00,86.54,86.63,4273400,85.62
2012-08-24,86.92,87.75,86.40,87.47,4979000,86.45
2012-08-23,88.64,88.72,87.14,87.63,5469400,86.61
2012-08-22,90.04,90.28,87.63,88.72,8843500,87.68
2012-08-21,91.00,92.08,89.95,90.29,7159700,89.23
2012-08-20,89.74,90.48,89.23,90.44,5296000,89.38
2012-08-17,89.86,90.10,89.10,90.01,7848500,88.96
2012-08-16,87.74,88.83,87.23,88.59,4979200,87.55
2012-08-15,87.25,87.73,86.16,87.61,6345200,86.59
2012-08-14,89.49,89.65,87.76,87.87,5485600,86.84
2012-08-13,88.84,89.27,87.60,88.61,5403400,87.57
2012-08-10,88.26,88.96,87.64,88.94,5500300,87.90
2012-08-09,87.41,88.79,87.25,88.40,6700600,87.37
2012-08-08,86.49,87.88,86.35,87.22,6139600,86.20
2012-08-07,87.00,88.32,86.75,87.22,6049800,86.20
2012-08-06,85.73,87.00,85.48,86.35,6384800,85.34
2012-08-03,84.53,86.00,84.07,85.02,6941300,84.03
2012-08-02,82.46,84.30,82.10,83.12,8097300,82.15
2012-08-01,85.00,85.07,82.50,82.65,9366200,81.68
2012-07-31,85.77,86.36,84.14,84.21,9192500,83.23
2012-07-30,86.62,86.97,85.00,85.69,6504600,84.69
2012-07-27,83.18,86.60,82.03,86.16,11229000,85.15
2012-07-26,83.84,84.65,82.10,83.30,10138200,82.33
2012-07-25,85.13,85.45,80.29,82.60,19877300,81.63
2012-07-24,82.75,83.30,80.27,81.43,8780500,80.48
2012-07-23,79.66,82.60,78.79,81.58,7567700,80.63
2012-07-20,81.93,82.57,80.66,80.95,5897000,80.00
2012-07-19,82.96,83.40,82.05,82.63,5616100,81.66
2012-07-18,80.53,83.35,80.09,82.52,7457800,81.55
2012-07-17,81.89,82.29,79.95,81.91,6462700,80.44
