Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,48.75,49.21,48.70,49.11,500600,45.58
2009-12-23,48.90,48.95,48.53,48.55,1344400,45.06
2009-12-22,48.72,49.10,48.54,48.83,1522600,45.32
2009-12-21,48.12,48.55,48.06,48.53,2392600,45.04
2009-12-18,48.42,48.42,47.69,48.06,4658000,44.60
2009-12-17,48.68,48.76,48.08,48.12,2770300,44.66
2009-12-16,48.35,49.04,48.30,48.85,3532000,45.33
2009-12-15,48.66,48.89,48.00,48.25,2816900,44.45
2009-12-14,48.99,49.13,48.47,48.71,2020100,44.88
2009-12-11,48.20,48.81,48.19,48.68,2028000,44.85
2009-12-10,48.51,48.72,47.92,48.35,3370500,44.55
2009-12-09,48.78,48.78,48.13,48.49,2692800,44.67
2009-12-08,48.79,49.10,48.50,48.62,1873600,44.79
2009-12-07,48.60,49.23,48.60,48.92,2427600,45.07
2009-12-04,49.19,49.37,47.87,48.69,4517700,44.86
2009-12-03,49.36,49.53,48.73,48.84,3718700,45.00
2009-12-02,50.06,50.06,48.97,49.06,3551500,45.20
2009-12-01,50.35,50.73,49.98,50.16,1723400,46.21
2009-11-30,49.56,50.21,49.35,50.14,2585400,46.19
2009-11-27,49.21,50.20,49.21,49.54,1446300,45.64
2009-11-25,50.33,50.66,50.20,50.59,1066600,46.61
2009-11-24,50.37,50.67,50.23,50.54,1559700,46.56
2009-11-23,50.48,50.71,50.27,50.54,1397400,46.56
2009-11-20,49.85,50.23,49.73,50.04,1582800,46.10
2009-11-19,50.51,50.72,49.70,50.09,2134500,46.15
2009-11-18,50.99,51.15,50.56,50.75,1252600,46.76
2009-11-17,50.93,51.16,50.74,50.99,1330100,46.98
2009-11-16,51.12,51.33,50.75,50.97,1914300,46.96
2009-11-13,50.45,51.05,50.38,50.62,1680400,46.64
2009-11-12,50.46,50.96,50.21,50.31,2170400,46.35
2009-11-11,50.53,51.22,50.50,50.92,2043700,46.91
2009-11-10,50.88,51.15,50.36,50.42,2103800,46.45
2009-11-09,50.12,50.95,49.89,50.90,2444800,46.89
2009-11-06,49.13,49.82,48.89,49.76,2298300,45.84
2009-11-05,48.83,49.45,48.53,49.41,2524800,45.52
2009-11-04,49.23,49.81,48.55,48.65,3101000,44.82
2009-11-03,48.86,49.17,48.51,48.91,2342000,45.06
2009-11-02,48.71,49.49,48.55,49.30,2731400,45.42
2009-10-30,50.03,50.18,48.52,48.52,4551700,44.70
2009-10-29,50.00,50.43,49.25,50.43,3604700,46.46
2009-10-28,49.98,50.33,49.42,49.45,3424900,45.56
2009-10-27,49.94,50.65,49.87,50.15,3298900,46.20
2009-10-26,50.80,51.23,49.58,49.87,5139400,45.95
2009-10-23,52.11,52.44,50.29,50.64,7509900,46.66
2009-10-22,51.69,53.79,51.66,53.79,5003800,49.56
2009-10-21,51.12,51.95,51.04,51.15,2299500,47.13
2009-10-20,51.91,52.17,51.27,51.44,2076400,47.39
2009-10-19,51.54,52.26,51.23,52.10,1747600,48.00
2009-10-16,51.62,51.70,50.97,51.31,2187800,47.27
2009-10-15,51.45,51.80,51.17,51.76,2067100,47.69
2009-10-14,51.15,51.81,50.82,51.73,2196700,47.66
2009-10-13,50.87,51.06,50.38,50.55,1700400,46.57
2009-10-12,50.98,51.34,50.60,51.21,1611200,47.18
2009-10-09,50.68,50.98,50.33,50.62,1969400,46.64
2009-10-08,51.04,51.27,50.69,50.76,1884900,46.77
2009-10-07,50.60,50.97,50.32,50.97,1566600,46.96
2009-10-06,49.95,50.62,49.71,50.61,2311900,46.63
2009-10-05,49.77,49.77,48.99,49.48,2644600,45.59
2009-10-02,48.98,50.03,48.98,49.47,2455800,45.58
2009-10-01,50.24,50.57,49.56,49.62,3114600,45.72
2009-09-30,50.95,51.17,50.26,50.41,2707900,46.44
2009-09-29,51.11,51.27,50.48,50.85,2565200,46.85
2009-09-28,49.13,51.07,48.95,51.00,2761100,46.99
2009-09-25,48.78,49.43,48.68,48.82,2503800,44.98
2009-09-24,48.53,49.30,48.41,48.85,2572300,45.01
2009-09-23,48.69,49.42,48.35,48.37,2739000,44.56
2009-09-22,49.32,49.32,48.49,48.58,2301900,44.76
2009-09-21,48.95,49.40,48.69,48.99,2006000,45.14
2009-09-18,49.08,49.54,49.03,49.16,3053200,45.29
2009-09-17,49.50,49.65,48.90,48.94,2521000,45.09
2009-09-16,48.99,49.75,48.80,49.66,2529000,45.75
2009-09-15,49.48,49.52,49.11,49.29,2150400,45.09
2009-09-14,48.41,49.40,48.21,49.32,1942300,45.12
2009-09-11,48.59,49.17,48.34,48.77,2193900,44.61
2009-09-10,48.00,48.49,47.71,48.49,2132500,44.36
2009-09-09,48.20,48.48,47.69,48.12,2887200,44.02
2009-09-08,48.97,49.05,48.10,48.27,2008000,44.16
2009-09-04,48.84,48.99,48.32,48.84,1243100,44.68
2009-09-03,48.64,48.85,48.22,48.80,2308600,44.64
2009-09-02,48.21,48.81,48.07,48.37,2576900,44.25
2009-09-01,49.25,49.68,48.37,48.38,3621000,44.26
2009-08-31,48.74,49.43,48.45,49.39,2277200,45.18
2009-08-28,49.09,49.38,48.60,49.07,1922700,44.89
2009-08-27,49.02,49.16,48.52,48.85,2332300,44.69
2009-08-26,47.99,48.90,47.91,48.84,2832100,44.68
2009-08-25,48.85,49.27,48.58,48.61,2762500,44.47
2009-08-24,49.39,49.50,48.62,48.73,1749100,44.58
2009-08-21,48.76,49.27,48.44,49.04,2463300,44.86
2009-08-20,47.73,48.49,47.73,48.29,1721500,44.17
2009-08-19,46.89,48.05,46.82,47.96,2478200,43.87
2009-08-18,47.96,48.13,47.33,47.78,2931200,43.71
2009-08-17,48.26,48.48,47.80,47.82,3254600,43.74
2009-08-14,49.28,49.49,48.50,48.76,2213300,44.60
2009-08-13,48.80,49.38,48.16,49.38,2565700,45.17
2009-08-12,47.06,48.70,47.06,48.43,2329700,44.30
2009-08-11,47.67,47.85,47.17,47.17,2729300,43.15
2009-08-10,48.01,48.36,47.54,47.93,2409500,43.84
2009-08-07,48.07,48.40,47.60,48.15,2536900,44.05
2009-08-06,48.63,48.64,47.40,47.71,3587100,43.64
2009-08-05,48.61,48.69,47.45,48.21,3331800,44.10
2009-08-04,48.19,48.66,47.88,48.56,3622500,44.42
2009-08-03,46.65,47.54,46.40,47.54,3490900,43.49
2009-07-31,45.46,46.47,45.40,46.18,3042000,42.24
2009-07-30,45.51,46.20,45.19,45.40,3743400,41.53
2009-07-29,45.01,45.60,44.85,45.17,2575200,41.32
2009-07-28,45.11,45.75,44.92,45.16,3620300,41.31
2009-07-27,45.30,45.68,44.97,45.35,3465300,41.48
2009-07-24,44.31,45.50,43.69,45.37,6568700,41.50
2009-07-23,41.67,42.69,41.49,42.61,3522000,38.98
2009-07-22,40.69,41.77,40.40,41.54,2791700,38.00
2009-07-21,40.93,41.02,40.61,40.93,2510400,37.44
2009-07-20,40.74,40.92,40.33,40.67,2734800,37.20
2009-07-17,41.17,41.61,40.49,40.64,3687300,37.18
2009-07-16,41.64,41.75,40.58,41.20,3884300,37.69
2009-07-15,40.73,41.94,40.26,41.57,4991900,38.03
2009-07-14,41.05,41.26,40.11,40.34,2841000,36.90
2009-07-13,39.58,41.05,39.28,41.05,3995300,37.55
2009-07-10,39.34,39.39,38.87,39.18,2486200,35.84
2009-07-09,39.67,39.77,39.11,39.46,2145200,36.10
2009-07-08,39.07,39.66,38.85,39.26,4960300,35.91
2009-07-07,39.19,39.69,38.84,38.84,2793200,35.53
2009-07-06,38.70,39.54,38.70,39.54,2892500,36.17
2009-07-02,39.86,40.18,38.77,38.82,3203000,35.51
2009-07-01,40.17,40.68,39.89,40.41,1882600,36.97
2009-06-30,40.14,40.14,39.39,39.88,2424400,36.48
2009-06-29,39.65,40.28,39.38,40.14,2242200,36.72
2009-06-26,39.87,39.87,39.26,39.51,2413900,36.14
2009-06-25,39.27,39.97,38.58,39.88,2732200,36.48
2009-06-24,39.23,39.79,39.05,39.39,3466800,36.03
2009-06-23,40.01,40.06,39.14,39.38,2884900,35.70
2009-06-22,39.68,40.60,39.64,39.66,4273800,35.96
2009-06-19,40.61,40.75,39.81,40.18,3546600,36.43
2009-06-18,39.99,40.50,39.86,40.33,2538100,36.56
2009-06-17,39.68,40.58,39.51,40.00,3389100,36.27
2009-06-16,40.04,40.26,39.74,39.81,3025800,36.09
2009-06-15,40.42,40.73,39.75,39.78,2836400,36.07
2009-06-12,41.20,41.24,40.56,40.82,1571200,37.01
2009-06-11,41.36,41.74,41.18,41.24,2139700,37.39
2009-06-10,41.20,41.50,41.07,41.34,3410600,37.48
2009-06-09,41.22,41.39,40.81,41.07,2443700,37.24
2009-06-08,40.80,41.34,40.63,41.17,2389000,37.33
2009-06-05,42.15,42.15,40.81,41.20,4061500,37.35
2009-06-04,41.09,41.55,40.67,41.55,3461200,37.67
2009-06-03,40.79,41.25,40.49,40.76,2755300,36.95
2009-06-02,40.30,41.43,40.03,41.03,4012100,37.20
2009-06-01,39.80,40.59,39.64,40.08,4072600,36.34
2009-05-29,39.12,39.73,38.56,39.65,3161100,35.95
2009-05-28,39.10,39.18,38.40,39.14,4503400,35.49
2009-05-27,40.23,40.41,38.53,38.55,5021000,34.95
2009-05-26,38.81,40.26,38.62,40.26,4689700,36.50
2009-05-22,38.79,39.55,38.37,38.95,4275200,35.31
2009-05-21,38.25,38.83,38.03,38.56,4396400,34.96
2009-05-20,39.27,39.51,38.00,38.11,5204500,34.55
2009-05-19,40.19,40.20,38.70,38.71,4796100,35.10
2009-05-18,39.66,40.50,38.50,40.37,5449600,36.60
2009-05-15,40.10,40.10,38.81,38.94,3882000,35.30
2009-05-14,38.94,40.34,38.82,40.18,4601200,36.43
2009-05-13,38.71,40.09,38.52,38.90,4532700,35.27
2009-05-12,40.15,40.16,39.02,39.21,4815900,35.55
2009-05-11,39.90,40.77,39.35,39.51,5253400,35.82
2009-05-08,40.07,41.01,39.48,40.88,5531200,37.06
2009-05-07,40.25,41.00,39.32,39.52,7247400,35.83
2009-05-06,40.22,40.57,39.51,40.13,6336200,36.38
2009-05-05,39.03,39.94,38.78,39.56,4660500,35.87
2009-05-04,39.17,39.55,38.18,39.39,7715500,35.71
2009-05-01,38.82,39.60,38.29,38.55,5812300,34.95
2009-04-30,41.09,41.09,38.54,38.95,9102400,35.31
2009-04-29,40.19,40.72,40.07,40.38,6643100,36.61
2009-04-28,39.79,40.89,39.72,39.91,4493100,36.18
2009-04-27,39.65,41.02,39.65,40.22,5312100,36.47
2009-04-24,41.89,41.91,40.31,40.36,8817100,36.59
2009-04-23,40.63,41.10,39.70,40.46,5644000,36.68
2009-04-22,41.37,41.91,40.41,40.58,6012600,36.79
2009-04-21,40.09,42.54,40.06,42.51,5120400,38.54
2009-04-20,41.25,42.56,40.28,40.32,5198300,36.56
2009-04-17,43.45,43.45,41.77,42.19,6028800,38.25
2009-04-16,44.15,44.35,42.50,43.28,3616600,39.24
2009-04-15,41.49,43.87,41.05,43.78,3403100,39.69
2009-04-14,42.93,43.35,41.60,41.77,4805600,37.87
2009-04-13,42.29,44.22,42.00,44.04,4070000,39.93
2009-04-09,43.22,43.90,40.72,42.86,6300800,38.86
2009-04-08,41.34,42.11,41.02,42.04,3674100,38.12
2009-04-07,41.12,41.84,40.90,40.98,4515100,37.15
2009-04-06,42.47,42.84,41.66,41.79,4163900,37.89
2009-04-03,42.58,43.05,41.62,43.03,5070300,39.01
2009-04-02,43.56,44.19,42.30,42.59,5922700,38.61
2009-04-01,41.75,42.80,41.24,42.65,4941400,38.67
2009-03-31,41.35,42.57,40.80,42.32,5354100,38.37
2009-03-30,40.65,41.94,40.27,40.86,6344300,37.05
2009-03-27,41.25,42.33,40.75,41.63,4704300,37.74
2009-03-26,42.03,42.15,40.60,41.79,4288000,37.89
2009-03-25,40.66,42.10,39.69,41.69,5366200,37.80
2009-03-24,41.70,42.79,40.32,40.80,4967000,36.99
2009-03-23,41.67,43.11,40.83,43.11,6463900,39.09
2009-03-20,41.66,42.43,40.56,40.70,5713800,36.90
2009-03-19,43.04,43.39,41.03,41.60,7576000,37.72
2009-03-18,39.42,42.52,38.72,42.48,8972400,38.51
2009-03-17,37.48,40.17,37.05,40.16,5387800,36.09
2009-03-16,38.31,39.41,37.47,37.54,6226600,33.74
2009-03-13,37.40,37.78,36.46,37.66,5537900,33.85
2009-03-12,35.56,37.53,34.70,37.13,6094900,33.37
2009-03-11,37.37,37.37,34.95,35.66,5928200,32.05
2009-03-10,35.80,36.80,34.54,36.73,6116800,33.01
2009-03-09,35.02,36.18,34.44,35.00,4697900,31.46
2009-03-06,35.46,35.93,34.59,35.73,5473000,32.11
2009-03-05,36.09,36.64,34.70,35.24,5488300,31.67
2009-03-04,36.49,37.89,35.59,37.05,4093300,33.30
2009-03-03,38.76,38.93,35.82,36.23,6679100,32.56
2009-03-02,38.60,40.79,38.13,38.24,5158900,34.37
2009-02-27,38.35,39.77,38.35,39.04,6125900,35.09
2009-02-26,40.61,40.97,39.16,39.43,5814800,35.44
2009-02-25,41.43,41.43,39.30,40.27,5421300,36.19
2009-02-24,37.98,40.54,37.71,40.48,7965000,36.38
2009-02-23,38.85,39.30,37.94,38.00,5991500,34.15
2009-02-20,38.36,39.32,37.89,38.89,7572000,34.95
2009-02-19,39.69,39.94,38.97,39.15,4264100,35.19
2009-02-18,39.65,40.43,38.71,39.13,4299900,35.17
2009-02-17,40.12,40.80,36.11,39.40,5590000,35.41
2009-02-13,42.90,43.21,41.49,41.52,3374300,37.32
2009-02-12,41.10,43.34,41.08,43.16,4617400,38.79
2009-02-11,40.85,42.24,40.66,42.12,3367500,37.85
2009-02-10,42.56,43.08,40.45,40.66,5134600,36.54
2009-02-09,43.10,43.41,42.36,43.08,3183700,38.72
2009-02-06,42.59,43.74,42.05,43.09,3908200,38.73
2009-02-05,42.67,43.62,42.43,42.59,4265800,38.28
2009-02-04,43.19,43.58,42.19,43.00,3839700,38.65
2009-02-03,42.65,43.39,41.55,42.94,3219800,38.59
2009-02-02,42.20,42.91,41.08,42.26,3530100,37.98
2009-01-30,44.67,44.75,41.00,42.58,5102900,38.27
2009-01-29,43.99,45.34,42.47,42.82,6503500,38.48
2009-01-28,44.61,45.24,43.20,44.82,5148800,40.28
2009-01-27,41.14,42.87,40.95,42.75,4955200,38.42
2009-01-26,40.80,41.64,40.20,40.93,3413900,36.79
2009-01-23,40.47,41.32,39.80,40.88,5287300,36.74
2009-01-22,42.75,43.25,41.36,41.60,4578100,37.39
2009-01-21,43.37,43.83,41.57,43.72,5797500,39.29
2009-01-20,42.08,44.60,41.89,41.93,6923300,37.68
2009-01-16,44.28,45.47,42.50,43.80,4211600,39.36
2009-01-15,42.77,44.38,41.75,43.29,4227400,38.91
2009-01-14,43.61,44.39,42.20,42.71,4818600,38.39
2009-01-13,43.93,45.33,43.87,44.60,3963000,40.08
2009-01-12,45.32,45.86,44.35,44.80,4917500,40.26
2009-01-09,46.75,46.84,45.11,45.25,3467300,40.67
2009-01-08,46.39,47.17,45.75,46.43,4095200,41.73
2009-01-07,48.01,48.39,45.97,46.30,3728900,41.61
2009-01-06,48.42,49.41,47.20,48.86,3903800,43.91
2009-01-05,50.01,50.59,49.01,50.07,2867700,45.00
2009-01-02,50.28,51.00,49.51,50.32,2994300,45.22
2008-12-31,50.50,51.36,49.93,51.00,2998600,45.84
2008-12-30,49.10,50.62,48.88,50.37,2164300,45.27
2008-12-29,48.31,49.04,47.77,48.79,1765100,43.85
2008-12-26,47.65,48.27,47.38,48.21,989600,43.33
2008-12-24,48.29,48.29,46.51,47.38,871600,42.58
2008-12-23,48.62,49.63,47.28,47.54,2429100,42.73
2008-12-22,49.25,49.77,47.39,47.88,2697900,43.03
2008-12-19,49.30,51.12,48.98,49.25,3941700,44.26
2008-12-18,49.38,50.61,48.42,48.72,3090800,43.79
2008-12-17,51.23,51.52,48.85,49.30,3516900,44.31
2008-12-16,50.07,51.93,49.40,51.62,7206400,46.10
2008-12-15,49.17,49.83,48.07,49.37,3081200,44.09
2008-12-12,46.68,49.35,45.55,49.07,2605600,43.82
2008-12-11,48.36,50.61,47.42,47.64,3703400,42.54
2008-12-10,49.51,50.00,47.30,48.64,3810000,43.44
2008-12-09,50.73,51.53,48.65,49.00,3630800,43.76
2008-12-08,52.08,52.73,50.84,51.65,4450700,46.12
2008-12-05,47.10,52.29,47.10,51.85,4489500,46.30
2008-12-04,47.37,48.95,46.80,47.84,5037200,42.72
2008-12-03,47.59,49.05,45.47,48.58,4130500,43.38
2008-12-02,47.08,48.24,45.84,47.89,4438300,42.77
2008-12-01,49.83,49.83,45.22,45.78,4659000,40.88
2008-11-28,49.84,51.93,49.60,51.36,2116400,45.86
2008-11-26,45.85,49.99,45.45,49.67,2726200,44.35
2008-11-25,47.08,47.36,44.90,47.17,3716100,42.12
2008-11-24,43.98,46.58,42.47,46.02,5708100,41.10
2008-11-21,43.62,44.31,41.04,42.76,9106900,38.18
2008-11-20,43.56,46.23,41.57,42.23,7928200,37.71
2008-11-19,47.97,48.43,43.56,43.74,5780800,39.06
2008-11-18,46.38,48.54,46.05,47.67,5230900,42.57
2008-11-17,47.28,48.94,46.09,46.32,4854300,41.36
2008-11-14,52.42,52.42,48.78,49.60,5444700,44.29
2008-11-13,47.93,53.15,47.64,53.06,5489700,47.38
2008-11-12,47.33,48.48,46.59,47.33,4092100,42.27
2008-11-11,47.32,48.77,45.07,47.65,5382800,42.55
2008-11-10,50.80,50.90,47.55,48.01,2111800,42.87
2008-11-07,47.15,49.70,46.78,49.36,3167000,44.08
2008-11-06,47.69,49.30,46.57,46.95,3209800,41.93
2008-11-05,50.97,52.04,47.83,48.14,3635900,42.99
2008-11-04,52.64,52.64,51.20,51.74,3847300,46.20
2008-11-03,51.66,52.32,50.31,51.98,2864100,46.42
2008-10-31,48.03,52.28,47.77,52.09,4979500,46.52
2008-10-30,51.54,53.14,47.35,48.73,4376800,43.52
2008-10-29,49.50,53.13,47.59,50.38,5606100,44.99
2008-10-28,46.51,49.50,44.38,49.29,5145100,44.02
2008-10-27,48.36,51.68,45.00,45.05,6070700,40.23
2008-10-24,44.51,50.20,41.00,48.84,6033400,43.61
2008-10-23,44.00,47.11,43.30,46.75,4485300,41.75
2008-10-22,46.28,47.14,43.43,44.43,4255200,39.68
2008-10-21,45.40,48.77,45.40,47.31,3705500,42.25
2008-10-20,44.00,47.66,43.49,47.30,3734000,42.24
2008-10-17,39.64,45.44,39.64,44.29,4460600,39.55
2008-10-16,40.89,42.32,38.64,42.26,7227200,37.74
2008-10-15,45.44,45.85,40.02,40.43,4579000,36.10
2008-10-14,45.83,46.98,43.30,45.10,4798100,40.27
2008-10-13,41.67,45.75,41.01,44.60,4657400,39.83
2008-10-10,37.73,41.69,35.11,40.61,7205500,36.26
2008-10-09,43.51,43.51,35.00,38.75,7212700,34.60
2008-10-08,39.96,44.69,33.47,40.86,5349900,36.49
2008-10-07,48.16,48.20,41.40,41.40,3923400,36.97
2008-10-06,49.10,51.90,44.85,46.45,4525600,41.48
2008-10-03,50.75,54.17,49.70,49.90,3492800,44.56
2008-10-02,51.01,53.11,48.99,49.53,2848100,44.23
2008-10-01,53.13,53.20,49.43,51.55,3796200,46.03
2008-09-30,48.14,55.47,46.99,54.90,5386300,49.03
2008-09-29,53.89,54.50,47.00,47.00,5195800,41.97
2008-09-26,50.71,53.78,49.91,53.75,2450900,48.00
2008-09-25,50.73,53.94,50.71,52.40,3083400,46.79
2008-09-24,53.06,53.15,50.20,50.20,3287300,44.83
2008-09-23,57.86,59.47,53.04,53.05,3599300,47.37
2008-09-22,63.35,64.00,55.75,58.10,5737500,51.88
2008-09-19,61.44,69.39,58.51,64.50,6417000,57.60
2008-09-18,52.89,58.00,51.78,58.00,8518100,51.79
2008-09-17,54.15,57.96,51.82,51.98,11453900,46.42
2008-09-16,48.29,55.49,48.06,55.05,10593200,48.86
2008-09-15,47.59,51.93,47.59,48.52,5731800,43.07
2008-09-12,48.63,49.88,48.63,49.57,3506100,44.00
2008-09-11,50.05,50.08,48.14,49.37,3433900,43.82
2008-09-10,48.37,49.90,47.83,49.22,3397200,43.69
2008-09-09,48.71,50.00,48.27,48.27,4484600,42.85
2008-09-08,50.04,50.04,48.10,49.54,4180700,43.97
2008-09-05,46.83,47.60,46.34,47.49,2852200,42.15
2008-09-04,47.90,48.36,47.08,47.13,2915000,41.83
2008-09-03,47.82,48.48,47.49,48.39,2058400,42.95
2008-09-02,48.74,48.95,47.54,47.98,2809000,42.59
2008-08-29,47.62,48.55,47.47,48.01,2216500,42.62
2008-08-28,47.81,48.36,47.40,48.32,4274300,42.89
2008-08-27,46.93,47.65,46.62,47.61,2019200,42.26
2008-08-26,46.90,47.30,46.55,47.04,1789700,41.75
2008-08-25,47.77,47.77,46.90,46.93,2349300,41.66
2008-08-22,46.75,47.97,46.51,47.95,2954400,42.56
2008-08-21,45.94,46.74,45.52,46.39,1830800,41.18
2008-08-20,46.46,46.65,45.55,46.37,2642300,41.16
2008-08-19,47.17,47.45,46.36,46.59,3235700,41.36
2008-08-18,49.09,49.09,47.31,47.50,2268800,42.16
2008-08-15,48.18,48.89,47.95,48.61,1839700,43.15
2008-08-14,47.33,48.30,47.02,48.08,2164200,42.68
2008-08-13,48.02,48.19,47.28,47.58,2870900,42.23
2008-08-12,48.87,49.49,48.16,48.39,2672200,42.95
2008-08-11,48.71,49.70,48.36,49.13,2312600,43.61
2008-08-08,47.58,49.11,47.26,48.93,3105600,43.43
2008-08-07,48.65,49.10,47.45,47.52,4473800,42.18
2008-08-06,49.04,49.43,48.56,49.15,2588300,43.63
2008-08-05,48.34,49.29,47.82,49.22,3572600,43.69
2008-08-04,47.93,48.38,47.60,47.91,3087600,42.53
2008-08-01,47.90,48.45,47.41,48.00,3027200,42.61
2008-07-31,48.10,48.71,47.78,48.04,3188700,42.64
2008-07-30,47.57,48.64,47.38,48.24,4126500,42.82
2008-07-29,46.14,47.49,45.80,47.41,5451800,42.08
2008-07-28,45.57,46.47,45.21,45.88,4325100,40.72
2008-07-25,46.36,47.05,45.36,45.61,5175500,40.49
2008-07-24,48.60,49.05,47.60,47.61,4319600,42.26
2008-07-23,48.17,49.02,47.95,48.61,3965600,43.15
2008-07-22,46.94,48.57,46.03,48.46,4172700,43.01
2008-07-21,47.79,47.84,46.71,47.00,2964500,41.72
2008-07-18,47.43,47.99,46.30,47.83,4110100,42.46
2008-07-17,48.88,49.25,46.81,47.49,5144200,42.15
2008-07-16,46.27,47.86,45.38,47.85,4794800,42.47
2008-07-15,46.38,47.85,45.87,46.13,4086200,40.95
2008-07-14,48.22,48.38,46.73,46.84,3532900,41.58
2008-07-11,47.40,48.46,47.15,47.56,3931400,42.22
2008-07-10,48.50,49.09,47.89,48.32,4428700,42.89
2008-07-09,49.15,49.77,48.30,48.44,3596300,43.00
2008-07-08,48.03,49.82,47.83,49.34,5830800,43.80
2008-07-07,49.94,50.12,48.17,48.38,4085700,42.94
2008-07-03,50.27,50.51,49.46,49.67,2265900,44.09
2008-07-02,49.74,50.58,49.74,50.06,2811400,44.44
2008-07-01,48.55,49.97,48.21,49.85,4835100,44.25
2008-06-30,50.11,50.11,48.98,49.01,4426100,43.50
2008-06-27,49.98,50.67,49.85,50.03,3102500,44.41
2008-06-26,50.63,50.98,50.01,50.02,3196700,44.40
2008-06-25,51.16,51.70,50.84,51.07,2600100,45.33
2008-06-24,50.62,51.40,50.58,51.01,2746300,44.99
2008-06-23,51.70,51.70,50.75,50.83,2147100,44.83
2008-06-20,52.05,52.23,51.10,51.44,3205000,45.36
2008-06-19,52.42,52.69,51.73,52.35,3501800,46.17
2008-06-18,52.36,52.89,51.73,52.33,2463600,46.15
2008-06-17,53.16,53.44,52.59,52.59,2282100,46.38
2008-06-16,52.69,53.29,52.10,53.08,1733700,46.81
2008-06-13,53.12,53.20,52.16,52.94,2275100,46.69
2008-06-12,52.64,53.53,52.23,52.86,3244100,46.62
2008-06-11,53.34,53.52,52.16,52.28,3080400,46.11
2008-06-10,52.67,54.00,52.67,53.54,2058400,47.22
2008-06-09,53.61,53.92,52.71,53.15,2590000,46.87
