Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,37.15,37.83,37.09,37.47,3044100,37.47
2012-12-21,37.12,37.44,36.66,37.28,8822300,37.28
2012-12-20,36.78,37.63,36.55,37.52,10041200,37.52
2012-12-19,36.39,36.83,36.15,36.43,5575500,36.43
2012-12-18,35.77,36.56,35.37,36.40,8844400,36.40
2012-12-17,34.91,35.75,34.88,35.73,5377700,35.73
2012-12-14,35.26,35.43,34.72,34.83,5126900,34.83
2012-12-13,36.06,36.18,35.15,35.46,4871300,35.46
2012-12-12,36.00,36.45,35.93,36.11,4360400,36.11
2012-12-11,36.00,36.17,35.69,35.84,3374000,35.84
2012-12-10,35.79,36.08,35.62,35.88,2344600,35.88
2012-12-07,36.02,36.02,35.39,35.94,4388200,35.94
2012-12-06,35.46,35.81,35.29,35.65,4715700,35.53
2012-12-05,35.89,35.96,35.29,35.47,6968100,35.35
2012-12-04,35.59,35.95,35.28,35.84,7331300,35.72
2012-12-03,36.21,36.63,35.61,35.62,6883400,35.50
2012-11-30,35.32,36.07,35.32,35.98,7468600,35.86
2012-11-29,35.57,35.90,35.21,35.50,6305200,35.38
2012-11-28,34.59,35.43,34.32,35.31,6322800,35.19
2012-11-27,35.50,35.52,34.74,34.77,4942400,34.65
2012-11-26,35.62,35.75,35.24,35.53,3977600,35.41
2012-11-23,35.04,35.86,34.94,35.85,2729900,35.73
2012-11-21,34.81,35.06,34.58,34.81,3608400,34.69
2012-11-20,34.50,35.06,34.46,34.78,5126500,34.66
2012-11-19,34.06,34.50,34.05,34.49,8147900,34.37
2012-11-16,33.45,33.80,33.04,33.60,4126200,33.49
2012-11-15,33.39,33.87,33.23,33.38,6342600,33.27
2012-11-14,34.49,34.72,33.21,33.34,8185200,33.23
2012-11-13,34.13,35.09,34.13,34.37,5567900,34.25
2012-11-12,34.99,35.60,34.46,34.53,4626100,34.41
2012-11-09,34.15,35.15,33.99,34.88,8006300,34.76
2012-11-08,35.37,35.63,34.19,34.36,12881700,34.24
2012-11-07,34.18,34.42,33.59,34.00,11140800,33.89
2012-11-06,34.05,34.51,33.78,34.43,7008300,34.31
2012-11-05,33.93,34.34,33.79,34.01,6482800,33.90
2012-11-02,33.79,34.11,33.16,33.21,7939600,33.10
2012-11-01,32.56,33.47,32.53,33.45,7625500,33.34
2012-10-31,33.01,33.01,31.84,32.40,6407600,32.29
2012-10-26,33.39,33.58,32.49,32.87,7695700,32.76
2012-10-25,33.37,33.59,32.70,33.28,6457600,33.17
2012-10-24,33.41,33.59,33.00,33.07,4540100,32.96
2012-10-23,33.33,33.54,33.09,33.28,5219700,33.17
2012-10-22,33.63,34.12,33.55,33.93,4407200,33.82
2012-10-19,34.00,34.15,33.31,33.74,7722300,33.63
2012-10-18,34.34,34.53,34.00,34.06,6032700,33.95
2012-10-17,34.19,34.45,34.08,34.42,5542600,34.30
2012-10-16,34.32,34.37,33.95,34.07,5372200,33.96
2012-10-15,33.36,34.08,33.18,34.03,6602700,33.92
2012-10-12,33.79,34.18,33.26,33.77,7346800,33.66
2012-10-11,34.84,34.84,33.42,33.83,11684100,33.72
2012-10-10,34.83,34.86,34.42,34.61,5646800,34.49
2012-10-09,36.12,36.13,34.76,34.86,7756500,34.74
2012-10-08,36.40,36.59,36.02,36.20,6691400,36.08
2012-10-05,36.13,36.65,35.90,36.49,11914900,36.37
2012-10-04,35.07,36.07,35.00,36.00,10496800,35.88
2012-10-03,35.01,35.18,34.13,34.85,15557400,34.73
2012-10-02,35.57,35.79,34.89,34.99,7977100,34.87
2012-10-01,36.40,36.55,35.48,35.52,6745100,35.40
2012-09-28,35.78,36.35,35.69,36.33,9620300,36.21
2012-09-27,35.72,36.29,35.64,35.96,6113000,35.84
2012-09-26,36.25,36.33,35.49,35.57,11529100,35.45
2012-09-25,37.47,37.71,36.26,36.34,7988200,36.22
2012-09-24,37.70,37.78,37.05,37.24,8538700,37.11
2012-09-21,36.99,38.32,36.95,37.90,14054100,37.77
2012-09-20,36.90,37.15,36.55,36.70,7697100,36.58
2012-09-19,36.81,37.26,36.52,37.06,5415600,36.94
2012-09-18,37.04,37.11,36.53,36.57,5019600,36.45
2012-09-17,37.14,37.15,36.74,37.13,7419000,37.01
2012-09-14,37.05,37.82,36.85,37.15,5768200,37.02
2012-09-13,36.13,37.10,35.90,36.95,7719700,36.83
2012-09-12,36.63,36.83,36.09,36.16,6290600,36.04
2012-09-11,36.89,36.89,36.44,36.84,5481500,36.72
2012-09-10,36.88,37.11,36.72,36.90,4018000,36.78
2012-09-07,36.62,37.02,36.51,37.02,3883400,36.90
2012-09-06,35.91,36.73,35.87,36.71,5310700,36.59
2012-09-05,35.92,36.00,35.31,35.56,9069500,35.32
2012-09-04,36.23,36.39,35.90,35.94,3540300,35.70
2012-08-31,36.23,36.43,35.89,36.34,3729100,36.10
2012-08-30,36.03,36.26,35.75,36.00,3683400,35.76
2012-08-29,36.36,36.45,36.04,36.18,3479800,35.94
2012-08-28,36.38,36.41,36.08,36.35,2912600,36.11
2012-08-27,36.61,36.75,36.38,36.46,3638800,36.21
2012-08-24,35.81,36.63,35.81,36.55,4205600,36.30
2012-08-23,36.11,36.29,35.87,35.96,4818800,35.72
2012-08-22,36.20,36.28,35.97,36.10,3530400,35.86
