Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,32.52,32.70,32.41,32.48,672100,30.33
2009-12-23,32.80,32.83,32.32,32.53,2376100,30.38
2009-12-22,32.47,33.09,32.25,32.73,3990600,30.57
2009-12-21,32.79,32.95,32.24,32.37,3234900,30.23
2009-12-18,32.33,32.65,31.85,32.22,10787700,30.09
2009-12-17,33.32,33.75,33.14,33.36,5417900,31.15
2009-12-16,34.45,34.64,33.61,33.82,4543800,31.58
2009-12-15,33.30,34.10,33.30,33.88,3625200,31.64
2009-12-14,32.81,33.93,32.60,33.70,4563500,31.47
2009-12-11,32.48,32.69,32.25,32.43,2398400,30.28
2009-12-10,31.64,32.43,31.52,32.19,3137200,30.06
2009-12-09,32.03,32.09,31.14,31.34,4323700,29.27
2009-12-08,32.12,32.18,31.70,31.83,4052000,29.72
2009-12-07,32.59,32.89,32.25,32.41,4454500,30.27
2009-12-04,32.91,33.35,32.35,32.86,4353400,30.69
2009-12-03,32.84,33.28,32.57,32.65,4332800,30.49
2009-12-02,32.53,32.77,32.32,32.71,5320000,30.55
2009-12-01,32.43,32.74,31.94,32.13,3934900,30.00
2009-11-30,31.84,32.34,31.51,32.03,2839100,29.91
2009-11-27,31.59,32.30,31.50,32.02,1826400,29.90
2009-11-25,32.48,33.07,32.15,33.03,3258900,30.85
2009-11-24,32.23,32.32,31.79,32.11,2744400,29.99
2009-11-23,32.46,32.85,32.17,32.29,2856800,30.15
2009-11-20,31.78,32.15,31.58,32.09,3080100,29.97
2009-11-19,32.29,32.36,31.81,31.88,2948000,29.77
2009-11-18,32.96,33.00,32.52,32.75,3528700,30.58
2009-11-17,32.85,32.85,32.38,32.74,2472200,30.57
2009-11-16,32.49,32.99,32.41,32.96,3395800,30.78
2009-11-13,31.82,32.50,31.73,32.28,3924000,30.14
2009-11-12,31.74,31.93,31.24,31.38,3348100,29.30
2009-11-11,31.85,32.11,31.40,31.60,4367500,29.51
2009-11-10,31.27,31.75,31.22,31.69,3922800,29.59
2009-11-09,31.03,31.92,30.84,31.92,4061700,29.81
2009-11-06,30.40,30.90,30.37,30.57,3236800,28.55
2009-11-05,30.30,30.82,30.14,30.82,4463000,28.78
2009-11-04,30.12,30.68,29.66,29.75,4980400,27.78
2009-11-03,29.18,29.43,28.71,29.31,7183200,27.37
2009-11-02,29.39,30.01,29.02,29.48,4925400,27.53
2009-10-30,30.49,30.60,29.12,29.12,6445800,27.19
2009-10-29,29.78,30.69,29.73,30.68,5479900,28.65
2009-10-28,30.09,30.09,29.04,29.18,5602500,27.25
2009-10-27,30.79,30.87,30.19,30.23,5009800,28.23
2009-10-26,32.00,32.08,30.35,30.59,7408700,28.57
2009-10-23,32.99,32.99,31.81,32.03,3663600,29.91
2009-10-22,32.42,33.15,31.79,33.01,4912500,30.83
2009-10-21,33.42,33.92,32.09,32.09,6593000,29.97
2009-10-20,33.61,33.75,33.00,33.15,3776100,30.96
2009-10-19,33.62,34.06,33.16,33.34,5150200,31.13
2009-10-16,33.09,33.33,32.82,33.07,4807300,30.88
2009-10-15,33.35,33.47,33.23,33.37,4959800,31.16
2009-10-14,33.50,33.63,33.02,33.32,5244200,31.12
2009-10-13,32.69,32.84,32.31,32.63,5058400,30.47
2009-10-12,32.95,33.15,32.38,32.65,4976300,30.49
2009-10-09,33.31,33.33,32.57,32.65,3776300,30.49
2009-10-08,33.17,33.76,32.92,33.26,5534400,31.06
2009-10-07,32.79,33.09,32.41,32.56,3498200,30.41
2009-10-06,33.04,33.09,32.56,32.63,5358400,30.47
2009-10-05,32.64,32.70,32.21,32.56,7639500,30.41
2009-10-02,32.32,32.93,32.20,32.45,7139700,30.30
2009-10-01,33.06,33.21,32.29,32.73,9602900,30.57
2009-09-30,33.50,33.51,32.33,33.28,6773700,31.08
2009-09-29,33.62,33.90,33.28,33.50,4681800,31.28
2009-09-28,33.17,33.64,32.90,33.62,3696400,31.40
2009-09-25,33.70,34.00,32.94,33.01,6933500,30.83
2009-09-24,34.15,34.23,33.36,33.95,7435700,31.70
2009-09-23,33.82,33.99,33.06,33.12,7716300,30.93
2009-09-22,33.87,34.95,33.41,33.52,10541000,31.30
2009-09-21,32.03,32.39,31.57,32.00,5934400,29.88
2009-09-18,33.12,33.26,32.14,32.26,5399300,30.13
2009-09-17,33.39,33.66,32.55,32.86,3854500,30.69
2009-09-16,33.38,33.80,32.97,33.22,5449400,31.02
2009-09-15,33.16,33.37,32.80,32.94,5730800,30.76
2009-09-14,32.15,32.60,32.15,32.44,3140800,30.29
2009-09-11,32.74,33.02,32.43,32.65,4027500,30.49
2009-09-10,31.96,32.35,31.65,32.23,4898600,30.10
2009-09-09,31.33,32.42,31.21,31.88,5519000,29.77
2009-09-08,31.00,31.06,30.55,30.84,5347500,28.80
2009-09-04,29.42,29.69,29.29,29.35,4859900,27.41
2009-09-03,29.32,29.47,28.97,29.33,4500000,27.39
2009-09-02,28.58,28.73,28.26,28.51,3372800,26.62
2009-09-01,29.34,29.84,28.42,28.61,4356900,26.72
2009-08-31,30.13,30.21,29.15,29.25,4662300,27.32
2009-08-28,30.65,30.75,30.06,30.34,2904400,28.33
2009-08-27,30.35,30.42,29.70,30.06,4201300,28.07
2009-08-26,30.80,30.80,30.20,30.51,3568600,28.49
2009-08-25,31.31,31.32,30.71,31.06,5341500,29.01
2009-08-24,31.62,31.64,30.59,30.69,2914000,28.66
2009-08-21,30.48,31.12,30.37,30.88,4325000,28.84
2009-08-20,29.54,30.37,29.42,30.13,4492400,28.14
2009-08-19,28.38,29.67,28.26,29.38,3933100,27.44
2009-08-18,28.43,28.98,28.36,28.86,3080000,26.95
2009-08-17,28.69,28.80,28.10,28.25,3385300,26.38
2009-08-14,30.36,30.46,29.40,29.85,3092800,27.88
2009-08-13,29.99,30.37,29.46,30.34,3835200,28.33
2009-08-12,29.19,30.91,29.13,30.47,5180500,28.45
2009-08-11,29.28,29.74,29.06,29.51,3438800,27.56
2009-08-10,30.20,30.38,29.58,29.87,3206500,27.89
2009-08-07,29.41,30.75,29.06,30.35,5383500,28.34
2009-08-06,29.54,29.65,28.83,28.91,3170700,27.00
2009-08-05,29.89,29.98,28.87,28.96,4198700,27.04
2009-08-04,28.93,29.58,28.66,29.42,4147800,27.47
2009-08-03,28.64,29.24,28.54,29.00,4647900,27.08
2009-07-31,28.30,28.71,27.94,27.99,4207800,26.14
2009-07-30,27.56,28.49,27.43,28.16,4677100,26.30
2009-07-29,27.19,27.57,26.91,27.29,6928700,25.48
2009-07-28,27.50,28.43,27.37,28.43,4172000,26.55
2009-07-27,27.94,28.50,27.53,28.24,3435100,26.37
2009-07-24,28.19,28.52,27.83,28.50,3443300,26.61
2009-07-23,27.30,28.91,27.23,28.55,4891900,26.66
2009-07-22,26.92,27.95,26.92,27.81,3074200,25.97
2009-07-21,27.66,27.76,27.10,27.63,3922700,25.80
2009-07-20,26.90,27.89,26.76,27.68,5499300,25.85
2009-07-17,26.80,26.86,26.08,26.34,5813600,24.60
2009-07-16,27.03,27.43,26.27,27.24,5422300,25.44
2009-07-15,25.74,27.28,25.58,27.26,7195300,25.46
2009-07-14,25.24,25.50,24.96,25.49,3383100,23.80
2009-07-13,24.64,25.07,24.27,25.07,4526300,23.41
2009-07-10,25.14,25.26,24.42,24.68,4922100,23.05
2009-07-09,24.80,25.41,24.69,25.28,3780800,23.61
2009-07-08,25.00,25.14,23.99,24.51,5404100,22.89
2009-07-07,25.30,25.56,24.85,24.93,4479800,23.28
2009-07-06,25.16,25.45,24.92,25.44,5305500,23.76
2009-07-02,25.55,26.27,25.17,25.35,6960800,23.67
2009-07-01,25.81,26.39,25.50,26.27,4348900,24.53
2009-06-30,25.96,25.99,25.11,25.77,4627200,24.07
2009-06-29,25.48,26.35,25.32,26.09,4377500,24.36
2009-06-26,25.43,25.72,25.25,25.35,5200400,23.67
2009-06-25,24.91,26.14,24.91,25.74,5560700,24.04
2009-06-24,25.05,26.38,24.98,25.48,7273400,23.79
2009-06-23,24.89,25.05,24.29,24.54,4867400,22.92
2009-06-22,26.04,26.16,24.52,24.56,6575600,22.94
2009-06-19,26.73,27.09,26.07,26.60,12052200,24.84
2009-06-18,24.01,25.32,23.81,24.77,12497300,23.13
2009-06-17,22.59,23.55,22.18,23.05,6649100,21.53
2009-06-16,23.28,23.38,22.41,22.53,5171900,21.04
2009-06-15,23.63,23.63,22.84,23.16,5646500,21.63
2009-06-12,24.11,24.20,23.58,24.17,5108400,22.57
2009-06-11,24.48,24.48,23.42,23.73,7850300,22.16
2009-06-10,25.47,25.47,23.35,23.85,9546200,22.27
2009-06-09,25.25,25.25,24.80,25.03,4185600,23.37
2009-06-08,25.17,25.31,24.63,25.00,5569300,23.35
2009-06-05,25.86,26.22,25.41,25.56,3961300,23.87
2009-06-04,26.00,26.28,25.52,25.99,3678300,24.27
2009-06-03,26.08,26.46,25.82,26.24,3288000,24.50
2009-06-02,26.55,27.00,26.28,26.80,4160000,25.03
2009-06-01,25.87,27.09,25.75,26.68,5485700,24.92
2009-05-29,24.69,25.48,24.49,25.44,4798900,23.76
2009-05-28,24.98,25.05,23.79,24.39,7422000,22.78
2009-05-27,26.02,26.28,24.65,24.80,5189200,23.16
2009-05-26,24.69,26.01,24.69,25.91,6740400,24.20
2009-05-22,25.05,25.30,24.46,24.95,3679900,23.30
2009-05-21,24.85,24.97,24.29,24.68,4436300,23.05
2009-05-20,26.53,26.77,24.92,25.05,5810500,23.39
2009-05-19,26.80,27.15,26.37,26.54,4549800,24.78
2009-05-18,26.18,26.60,25.81,26.49,6267000,24.74
2009-05-15,25.53,25.79,24.64,25.00,4623000,23.35
2009-05-14,25.47,26.15,25.00,25.56,5343500,23.87
2009-05-13,25.96,26.00,25.00,25.28,4714400,23.61
2009-05-12,27.99,27.99,26.40,26.86,3986000,25.08
2009-05-11,27.23,27.71,26.95,27.26,3944700,25.46
2009-05-08,27.95,28.50,27.41,27.87,7899500,26.03
2009-05-07,29.59,29.76,28.03,28.13,10112500,26.27
2009-05-06,29.41,29.53,28.83,29.47,6458000,27.52
2009-05-05,29.21,29.65,28.77,29.32,5307900,27.38
2009-05-04,26.49,29.59,26.29,29.57,10696900,27.61
2009-05-01,27.10,27.17,26.04,26.14,4171500,24.41
2009-04-30,27.01,27.67,26.82,26.88,8419000,25.10
2009-04-29,26.12,26.90,25.83,26.53,6500500,24.78
2009-04-28,24.06,26.25,23.93,25.55,10687200,23.86
2009-04-27,25.86,26.21,23.76,24.59,18640800,22.96
2009-04-24,27.92,28.75,27.60,28.43,6253200,26.55
2009-04-23,27.26,28.42,26.66,27.72,9152300,25.89
