Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,31.90,31.90,31.29,31.64,58600,31.64
2012-12-21,31.80,32.00,31.45,31.48,101400,31.48
2012-12-20,31.61,32.00,31.55,31.99,62400,31.99
2012-12-19,77.60,79.93,77.60,78.62,60800,31.45
2012-12-18,77.14,78.49,77.14,78.14,20200,31.26
2012-12-17,78.75,79.04,77.13,77.32,116200,30.93
2012-12-14,77.12,79.35,76.76,78.68,102000,31.47
2012-12-13,77.21,78.41,76.50,76.90,108000,30.76
2012-12-12,77.46,77.59,76.69,77.51,60200,31.00
2012-12-11,78.16,78.34,77.06,77.18,101500,30.87
2012-12-10,76.41,78.89,76.41,77.88,152800,31.15
2012-12-07,77.11,77.11,76.00,76.92,69500,30.77
2012-12-06,76.42,77.00,76.14,76.70,62800,30.68
2012-12-05,73.73,76.25,73.54,76.09,149500,30.44
2012-12-04,72.39,74.18,71.97,74.07,155000,29.63
2012-12-03,73.15,73.15,72.10,72.18,70800,28.87
2012-11-30,71.94,73.40,71.94,73.40,122200,29.36
2012-11-29,70.53,71.87,70.53,71.47,61200,28.59
2012-11-28,70.49,70.89,70.07,70.78,133800,28.31
2012-11-27,70.99,71.00,70.22,70.70,53200,28.28
2012-11-26,67.72,71.03,67.72,70.84,318200,28.34
2012-11-23,71.26,71.33,70.50,70.50,359500,28.20
2012-11-21,71.16,71.45,70.48,71.45,35200,28.58
2012-11-20,71.13,71.15,70.82,70.99,20500,28.40
2012-11-19,70.70,71.40,69.51,71.40,228200,28.56
2012-11-16,70.91,71.02,69.68,70.34,31000,28.14
2012-11-15,71.04,71.65,69.84,70.54,44500,28.22
2012-11-14,70.77,71.50,70.35,70.76,41800,28.30
2012-11-13,70.87,71.40,69.85,70.30,74800,28.12
2012-11-12,71.58,72.31,71.19,71.67,30200,28.67
2012-11-09,72.95,73.38,71.52,72.00,86500,28.80
2012-11-08,72.71,73.82,71.95,72.93,132000,29.17
2012-11-07,73.24,73.70,71.94,73.11,90000,29.24
2012-11-06,73.47,73.68,73.20,73.23,43500,29.29
2012-11-05,73.21,73.46,72.00,73.09,37500,29.24
2012-11-02,72.17,73.38,70.91,72.89,27500,29.16
2012-11-01,71.37,72.70,70.92,72.27,66000,28.91
2012-10-31,72.94,73.04,70.71,70.93,104000,28.37
2012-10-26,72.51,72.51,70.95,72.18,44500,28.87
2012-10-25,71.90,72.73,71.77,72.33,93800,28.93
2012-10-24,69.06,71.70,69.06,71.52,305500,28.61
2012-10-23,69.10,69.52,68.45,69.23,18800,27.69
2012-10-22,70.18,70.71,69.59,69.93,71800,27.97
2012-10-19,70.40,71.06,70.35,70.68,180800,28.27
2012-10-18,69.87,71.27,69.23,70.58,420500,28.23
2012-10-17,69.61,70.39,69.61,69.95,25500,27.98
2012-10-16,69.95,70.10,69.75,69.90,65500,27.96
2012-10-15,69.77,70.19,69.01,70.01,47800,28.00
2012-10-12,69.32,70.02,69.32,69.98,158500,27.99
2012-10-11,69.97,70.25,69.42,69.58,69800,27.83
2012-10-10,69.90,71.11,69.53,70.00,119000,28.00
2012-10-09,70.51,70.51,69.65,69.83,37500,27.93
2012-10-08,71.29,71.29,70.50,70.77,56000,28.31
2012-10-05,72.06,72.13,71.33,71.33,106500,28.53
2012-10-04,71.91,72.15,71.72,71.75,162000,28.70
2012-10-03,72.92,73.18,71.70,71.79,125500,28.72
2012-10-02,72.20,73.99,72.15,72.92,137200,29.17
2012-10-01,71.56,72.24,71.31,71.66,62000,28.66
2012-09-28,69.40,71.34,69.08,71.33,100500,28.53
2012-09-27,70.21,70.63,69.54,70.00,45200,28.00
2012-09-26,69.67,70.22,68.77,69.97,107000,27.99
2012-09-25,70.30,70.36,69.38,69.52,44000,27.81
2012-09-24,70.74,71.76,69.50,69.97,68200,27.99
2012-09-21,68.87,71.87,68.87,71.34,195500,28.54
2012-09-20,67.75,69.24,67.74,69.09,182800,27.64
2012-09-19,67.40,67.84,67.00,67.75,151000,27.10
2012-09-18,66.47,67.19,66.47,67.06,39000,26.82
2012-09-17,66.81,67.40,66.63,66.87,55000,26.75
2012-09-14,67.03,68.43,66.58,67.00,78500,26.80
2012-09-13,67.01,67.80,66.52,67.68,173200,27.07
2012-09-12,67.22,67.52,66.00,66.90,152000,26.76
2012-09-11,67.00,67.41,66.63,66.76,116200,26.70
2012-09-10,66.43,67.16,65.97,66.23,49000,26.49
2012-09-07,65.54,67.00,65.54,66.70,78500,26.68
2012-09-06,65.42,66.09,65.15,65.93,86200,26.37
2012-09-05,65.08,65.55,65.08,65.11,54200,26.04
2012-09-04,65.34,65.82,64.82,65.09,63800,26.04
2012-08-31,66.10,66.26,64.82,65.09,127500,26.04
2012-08-30,66.01,66.42,65.26,65.59,60800,26.24
2012-08-29,66.47,66.82,66.20,66.31,140000,26.52
2012-08-28,66.20,67.60,66.07,66.70,84000,26.68
2012-08-27,65.98,66.09,65.73,65.98,63000,26.39
2012-08-24,65.60,66.14,65.32,65.97,179800,26.39
2012-08-23,65.16,65.89,65.01,65.78,108800,26.31
2012-08-22,64.94,66.17,64.94,65.50,76500,26.20
2012-08-21,65.27,65.68,65.09,65.29,48500,26.12
2012-08-20,65.45,65.53,64.94,65.48,54500,26.19
2012-08-17,65.05,65.59,65.05,65.25,35800,26.10
2012-08-16,64.90,65.39,64.51,64.93,58500,25.97
2012-08-15,64.82,65.34,64.82,64.99,61200,26.00
2012-08-14,65.09,65.56,64.45,65.17,54200,26.07
2012-08-13,66.33,66.33,64.90,65.10,56000,26.04
2012-08-10,66.94,67.19,65.96,66.26,111500,26.50
2012-08-09,66.33,67.97,66.20,67.21,114000,26.88
2012-08-08,66.14,66.98,65.72,66.07,130200,26.43
2012-08-07,64.62,66.50,64.51,65.94,68800,26.38
2012-08-06,63.70,64.11,63.49,64.11,41500,25.64
2012-08-03,62.65,63.68,62.32,63.28,183000,25.31
2012-08-02,65.78,66.20,62.07,62.40,167800,24.96
2012-08-01,66.80,67.80,65.81,65.81,207500,26.32
2012-07-31,66.86,67.08,65.99,66.23,41500,26.49
2012-07-30,66.44,67.34,66.39,66.81,27800,26.72
2012-07-27,66.33,66.81,66.08,66.33,52200,26.53
2012-07-26,66.37,66.86,66.20,66.20,47500,26.48
2012-07-25,65.41,66.57,65.41,65.85,114500,26.34
2012-07-24,64.67,65.15,64.67,64.97,116000,25.99
2012-07-23,64.70,66.41,64.49,64.88,103800,25.95
2012-07-20,65.73,65.86,64.92,65.15,98800,26.06
2012-07-19,64.99,65.49,64.99,65.42,57800,26.17
2012-07-18,64.47,65.25,64.41,65.03,42500,26.01
2012-07-17,64.68,64.77,64.04,64.38,23000,25.75
2012-07-16,64.60,64.68,64.40,64.44,22200,25.78
2012-07-13,64.05,65.50,64.05,64.71,143000,25.88
2012-07-12,63.92,65.41,63.90,64.20,180800,25.68
2012-07-11,63.84,65.07,63.84,64.25,88500,25.70
2012-07-10,64.45,64.84,63.76,63.96,78200,25.58
2012-07-09,64.60,64.62,64.19,64.29,177500,25.72
2012-07-06,64.80,64.86,63.90,64.25,158200,25.70
2012-07-05,65.67,66.20,64.73,64.99,228800,26.00
2012-07-03,64.59,66.40,64.10,66.06,243000,26.42
2012-07-02,62.75,64.72,62.26,64.42,339500,25.77
2012-06-29,60.56,62.60,60.56,62.36,482800,24.94
2012-06-28,60.69,61.00,60.28,60.78,398200,24.31
2012-06-27,61.37,61.72,60.63,60.71,467500,24.28
2012-06-26,62.00,62.03,60.84,61.38,171200,24.55
2012-06-25,61.19,62.38,61.14,61.80,221800,24.72
2012-06-22,62.40,62.54,61.41,61.64,41800,24.66
2012-06-21,63.09,64.00,61.39,62.12,150500,24.85
2012-06-20,63.88,64.07,63.05,63.32,80000,25.33
2012-06-19,63.38,64.48,63.37,63.96,213800,25.58
2012-06-18,63.16,63.74,63.08,63.37,25500,25.35
2012-06-15,63.93,64.52,63.14,63.40,154200,25.36
2012-06-14,62.32,64.04,62.32,63.89,126800,25.56
2012-06-13,62.04,63.07,61.64,61.91,171200,24.76
2012-06-12,64.27,64.27,62.49,62.49,532200,25.00
2012-06-11,66.42,66.54,63.15,64.06,107800,25.62
2012-06-08,65.60,66.17,65.18,65.99,214500,26.40
2012-06-07,65.99,66.18,65.45,65.60,145800,26.24
2012-06-06,64.66,65.46,64.66,65.39,160000,26.16
2012-06-05,63.61,64.55,63.03,64.39,171500,25.76
2012-06-04,64.45,64.48,63.61,63.75,67200,25.50
2012-06-01,64.53,65.00,63.65,64.70,166800,25.88
2012-05-31,64.02,65.18,63.20,64.97,132200,25.99
2012-05-30,64.22,64.29,63.11,63.71,53000,25.48
2012-05-29,64.09,65.13,63.94,64.92,54000,25.97
2012-05-25,64.26,64.37,62.63,63.44,116000,25.38
2012-05-24,65.12,66.39,63.98,64.35,74800,25.74
2012-05-23,66.00,66.29,64.47,65.42,130000,26.17
2012-05-22,65.38,66.83,65.38,66.55,60000,26.62
2012-05-21,66.37,66.46,65.99,66.18,55200,26.47
2012-05-18,66.77,67.92,66.07,66.60,73500,26.64
2012-05-17,66.67,66.67,65.36,66.02,127500,26.41
2012-05-16,65.79,66.71,65.79,66.32,105800,26.53
2012-05-15,66.62,67.03,65.56,65.92,77500,26.37
2012-05-14,67.02,68.25,66.25,66.90,90000,26.76
2012-05-11,67.48,68.11,66.98,67.85,90000,27.14
2012-05-10,68.74,68.85,67.00,67.41,120800,26.96
2012-05-09,68.69,69.35,67.56,67.56,155000,27.02
2012-05-08,69.38,70.00,68.73,69.70,193500,27.88
