Date,Open,High,Low,Close,Volume,Adj Close
2012-12-26,17.09,17.32,17.01,17.15,7936800,17.15
2012-12-24,17.18,17.18,16.95,17.02,4774800,17.02
2012-12-21,17.36,17.36,17.11,17.32,9452300,17.32
2012-12-20,17.27,17.58,17.25,17.58,8777500,17.58
2012-12-19,17.25,17.43,17.05,17.20,8227000,17.20
2012-12-18,16.73,17.27,16.68,17.25,12444800,17.25
2012-12-17,16.59,16.81,16.59,16.74,11268500,16.74
2012-12-14,16.60,16.79,16.52,16.56,9446000,16.56
2012-12-13,16.94,16.97,16.62,16.68,12697100,16.68
2012-12-12,17.23,17.40,16.92,16.96,12586200,16.96
2012-12-11,17.06,17.13,16.98,17.09,8775300,17.09
2012-12-10,17.13,17.19,16.94,16.99,8979400,16.99
2012-12-07,17.08,17.29,17.08,17.25,9163500,17.25
2012-12-06,16.96,17.18,16.94,17.10,13894700,17.10
2012-12-05,16.95,17.23,16.92,16.97,15144500,16.97
2012-12-04,16.90,16.97,16.63,16.87,14413600,16.87
2012-12-03,17.22,17.23,16.87,16.90,13420700,16.90
2012-11-30,17.54,17.63,16.94,17.03,15983700,17.03
2012-11-29,17.62,17.77,17.40,17.53,12191200,17.53
2012-11-28,17.20,17.47,16.96,17.45,15421100,17.45
2012-11-27,17.26,17.48,17.12,17.41,10032300,17.41
2012-11-26,17.47,17.52,17.08,17.24,12689100,17.24
2012-11-23,17.71,17.83,17.51,17.83,3080300,17.83
2012-11-21,17.58,17.73,17.47,17.59,6084200,17.59
2012-11-20,17.81,17.83,17.41,17.60,13021800,17.60
2012-11-19,16.81,17.47,16.81,17.47,12989200,17.47
2012-11-16,16.44,16.77,16.30,16.62,12266800,16.62
2012-11-15,16.93,17.07,16.29,16.39,22170800,16.39
2012-11-14,17.43,17.49,16.84,16.85,14821400,16.85
2012-11-13,17.13,17.72,16.97,17.39,16207100,17.39
2012-11-12,17.16,17.28,16.71,17.23,15530800,17.23
2012-11-09,17.04,17.49,16.85,17.04,13956800,17.04
