Date,Open,High,Low,Close,Volume,Adj Close
2013-01-07,54.56,55.14,54.50,54.94,2159300,54.94
2013-01-04,54.46,54.76,53.92,54.75,2127900,54.75
2013-01-03,54.99,55.00,54.22,54.35,2949400,54.35
2013-01-02,54.10,55.24,53.91,55.16,3763100,55.16
2012-12-31,52.84,53.50,52.53,53.46,1717000,53.46
2012-12-28,53.30,53.59,52.83,52.85,997600,52.85
2012-12-27,53.54,53.78,53.07,53.66,1685800,53.66
2012-12-26,53.79,54.31,53.44,53.60,1123400,53.60
2012-12-24,53.55,53.98,53.34,53.79,515900,53.79
2012-12-21,53.78,53.92,53.39,53.79,2129200,53.79
2012-12-20,53.78,54.18,53.64,54.17,1456000,54.17
2012-12-19,54.43,54.52,53.66,53.67,1194600,53.67
2012-12-18,53.84,54.53,53.53,54.49,3414400,54.49
2012-12-17,53.24,53.92,53.05,53.76,1267200,53.76
2012-12-14,53.43,53.58,52.88,53.02,1766400,53.02
2012-12-13,54.01,54.28,53.45,53.70,1443500,53.70
2012-12-12,53.25,54.31,53.19,53.96,2736500,53.96
2012-12-11,52.93,53.25,52.62,53.11,1727300,53.11
2012-12-10,52.37,53.11,52.09,52.93,2045000,52.93
2012-12-07,52.69,53.03,52.54,52.90,1218100,52.90
2012-12-06,51.95,52.54,51.86,52.50,1672600,52.50
2012-12-05,51.83,52.19,51.34,51.92,2407800,51.92
2012-12-04,52.19,52.51,51.65,51.66,2124100,51.66
2012-12-03,52.42,52.58,51.93,52.09,1359900,52.09
2012-11-30,52.19,52.46,51.76,52.27,3187500,52.27
2012-11-29,52.24,52.89,51.72,52.08,2076500,52.08
2012-11-28,52.07,52.16,51.70,51.97,1843700,51.97
2012-11-27,52.19,52.71,52.17,52.42,1808200,52.42
2012-11-26,52.35,52.81,51.70,52.24,1027700,52.24
2012-11-23,52.06,52.78,52.06,52.76,450800,52.76
2012-11-21,51.83,52.29,51.63,52.01,1188600,52.01
2012-11-20,51.73,51.89,51.24,51.85,1887200,51.85
2012-11-19,50.83,51.92,50.71,51.90,3004300,51.90
2012-11-16,50.85,50.85,49.34,50.47,6316200,50.47
