Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,11.09,11.24,11.01,11.21,2401200,11.21
2009-12-23,10.92,11.05,10.82,11.01,3193400,11.01
2009-12-22,10.90,10.98,10.78,10.90,4081800,10.90
2009-12-21,10.90,11.13,10.77,10.85,9876000,10.85
2009-12-18,10.70,11.05,10.53,11.05,22379400,11.05
2009-12-17,10.95,10.98,10.65,10.67,6102200,10.67
2009-12-16,11.01,11.15,10.90,10.97,6997200,10.97
2009-12-15,10.92,11.20,10.72,10.88,10006400,10.88
2009-12-14,11.22,11.30,10.91,10.99,12474600,10.99
2009-12-11,11.92,11.92,11.45,11.50,15497800,11.50
2009-12-10,12.71,12.90,11.65,11.72,29764900,11.72
2009-12-09,13.11,13.30,12.84,13.23,5612800,13.23
2009-12-08,12.73,13.30,12.50,12.94,6561100,12.94
2009-12-07,12.74,12.89,12.61,12.74,4714200,12.74
2009-12-04,12.36,12.63,12.15,12.58,6599400,12.58
2009-12-03,12.43,12.50,12.01,12.11,11795400,12.11
2009-12-02,12.42,13.22,12.35,12.88,13065300,12.88
2009-12-01,12.28,12.44,12.16,12.28,5088700,12.28
2009-11-30,12.11,12.21,12.00,12.15,3592700,12.15
2009-11-27,12.05,12.37,11.99,12.15,2600900,12.15
2009-11-25,12.48,12.64,12.42,12.60,3844600,12.60
2009-11-24,12.17,12.66,11.97,12.43,12423900,12.43
2009-11-23,12.22,12.70,11.86,12.00,18164600,12.00
2009-11-20,13.28,13.35,13.05,13.17,5648900,13.17
2009-11-19,13.51,13.54,12.99,13.47,3962300,13.47
2009-11-18,13.79,13.90,13.50,13.60,4630500,13.60
2009-11-17,13.00,14.05,12.95,14.02,10212400,14.02
2009-11-16,12.49,13.19,12.41,13.07,6860100,13.07
2009-11-13,12.29,12.52,12.13,12.37,2606500,12.37
2009-11-12,12.54,12.71,12.24,12.28,2355100,12.28
2009-11-11,12.30,12.50,12.20,12.46,2677600,12.46
2009-11-10,12.49,12.65,12.13,12.20,2446200,12.20
2009-11-09,12.29,12.49,12.28,12.46,2927800,12.46
2009-11-06,11.82,12.42,11.82,12.25,2332200,12.25
2009-11-05,11.99,12.16,11.88,12.15,2591500,12.15
2009-11-04,12.13,12.29,11.75,11.77,4551700,11.77
2009-11-03,11.54,12.06,11.50,12.03,5274500,12.03
2009-11-02,11.68,12.09,11.43,11.59,4506500,11.59
2009-10-30,12.21,12.28,11.64,11.73,4917500,11.73
2009-10-29,12.08,12.38,12.00,12.25,4127100,12.25
2009-10-28,12.05,12.31,11.75,11.76,5453800,11.76
2009-10-27,12.31,12.45,11.75,11.86,8003100,11.86
2009-10-26,12.82,13.09,12.30,12.43,5796300,12.43
2009-10-23,13.64,13.68,12.65,12.69,7991200,12.69
2009-10-22,13.85,13.93,13.08,13.46,8492400,13.46
2009-10-21,14.06,14.40,13.78,13.79,4531100,13.79
2009-10-20,14.34,14.57,14.03,14.11,6246900,14.11
2009-10-19,13.94,14.29,13.85,14.19,4356600,14.19
2009-10-16,14.04,14.13,13.79,13.99,5676700,13.99
2009-10-15,14.25,14.33,14.00,14.17,4877200,14.17
2009-10-14,14.21,14.51,13.71,14.42,12445800,14.42
2009-10-13,13.50,13.64,13.33,13.46,6723300,13.46
2009-10-12,13.00,13.65,12.96,13.41,9158800,13.41
2009-10-09,12.94,12.94,12.49,12.84,6782800,12.84
2009-10-08,13.19,13.66,12.69,12.77,13746100,12.77
2009-10-07,13.42,13.62,12.92,13.44,13361500,13.44
2009-10-06,14.33,14.38,12.69,13.05,20522800,13.05
2009-10-05,14.80,15.25,13.95,14.17,11144700,14.17
2009-10-02,14.73,14.85,14.40,14.66,6696600,14.66
2009-10-01,16.11,16.17,14.99,15.05,6229000,15.05
2009-09-30,16.29,16.60,15.90,16.28,3678600,16.28
2009-09-29,16.24,16.46,16.11,16.26,3052400,16.26
2009-09-28,15.60,16.33,15.59,16.20,3496600,16.20
2009-09-25,15.56,15.73,15.41,15.49,2533500,15.49
2009-09-24,16.44,16.46,15.60,15.87,2854800,15.87
2009-09-23,16.53,16.64,16.17,16.21,2033800,16.21
2009-09-22,16.35,16.63,16.27,16.50,2060500,16.50
2009-09-21,15.47,16.50,15.47,16.19,5035100,16.19
2009-09-18,16.12,16.25,15.74,16.03,3574000,16.03
2009-09-17,16.21,16.63,16.03,16.20,2730900,16.20
2009-09-16,16.05,16.32,15.90,16.25,4031200,16.25
2009-09-15,15.75,16.08,15.53,15.90,3975700,15.90
2009-09-14,15.42,15.72,15.31,15.60,4147400,15.60
2009-09-11,15.67,16.00,15.36,15.83,6033300,15.83
2009-09-10,15.01,15.75,14.86,15.67,7027400,15.67
2009-09-09,14.42,15.26,14.30,14.82,8586000,14.82
2009-09-08,13.82,14.51,13.79,14.43,6856000,14.43
2009-09-04,13.16,13.79,13.01,13.65,6257100,13.65
2009-09-03,12.69,13.47,12.57,13.00,12172700,13.00
2009-09-02,12.33,12.47,12.10,12.27,5801300,12.27
2009-09-01,13.22,13.30,12.26,12.36,7892200,12.36
2009-08-31,13.40,13.48,12.98,13.40,2402000,13.40
2009-08-28,13.58,13.88,13.50,13.62,2556500,13.62
2009-08-27,13.38,13.48,12.80,13.44,2855400,13.44
2009-08-26,13.10,13.39,12.97,13.32,3240000,13.32
2009-08-25,13.17,13.38,12.80,12.96,4132200,12.96
2009-08-24,13.53,13.89,13.10,13.17,4743700,13.17
2009-08-21,13.31,13.50,13.06,13.43,4332700,13.43
2009-08-20,13.36,13.65,12.81,13.05,8811700,13.05
2009-08-19,12.43,13.85,12.43,13.20,12629500,13.20
2009-08-18,11.88,12.94,11.80,12.81,7897200,12.81
2009-08-17,12.14,12.14,11.72,11.75,2758600,11.75
2009-08-14,12.66,12.72,12.17,12.52,4547300,12.52
2009-08-13,11.99,12.83,11.72,12.63,8093100,12.63
2009-08-12,11.49,11.95,11.45,11.81,3544900,11.81
2009-08-11,11.53,11.65,11.10,11.36,2211800,11.36
2009-08-10,11.51,11.90,11.46,11.65,2625200,11.65
2009-08-07,11.61,11.75,11.38,11.66,2290300,11.66
2009-08-06,11.60,11.73,11.22,11.37,2680400,11.37
2009-08-05,11.48,11.78,11.38,11.57,2724400,11.57
2009-08-04,11.20,11.52,11.08,11.50,3599900,11.50
2009-08-03,11.22,11.48,11.10,11.38,2729800,11.38
2009-07-31,11.10,11.35,11.05,11.16,2600800,11.16
2009-07-30,11.44,11.62,11.10,11.16,3137800,11.16
2009-07-29,11.59,11.59,11.04,11.25,3584900,11.25
2009-07-28,11.69,11.91,11.35,11.63,4141400,11.63
2009-07-27,11.46,11.82,11.21,11.74,4771500,11.74
2009-07-24,10.95,11.50,10.83,11.44,4611100,11.44
2009-07-23,10.37,11.43,10.26,11.15,7650600,11.15
2009-07-22,10.14,10.52,10.11,10.34,3732800,10.34
2009-07-21,10.26,10.55,10.18,10.30,5539400,10.30
2009-07-20,9.95,10.27,9.85,10.18,4634200,10.18
2009-07-17,10.29,10.30,9.79,10.02,4486500,10.02
2009-07-16,9.96,10.36,9.88,10.25,2743200,10.25
2009-07-15,9.95,10.10,9.87,10.05,3626500,10.05
2009-07-14,9.53,9.76,9.40,9.66,3488300,9.66
2009-07-13,9.44,9.54,9.12,9.53,2395000,9.53
2009-07-10,9.22,9.43,9.08,9.33,2824100,9.33
2009-07-09,9.24,9.50,9.15,9.30,3954800,9.30
2009-07-08,8.83,9.04,8.45,8.93,6882100,8.93
2009-07-07,9.25,9.39,8.80,8.84,6871400,8.84
2009-07-06,9.71,9.80,9.00,9.39,6413900,9.39
2009-07-02,10.12,10.17,9.90,9.90,1909100,9.90
2009-07-01,10.37,10.67,10.20,10.33,1621100,10.33
2009-06-30,10.33,10.48,10.17,10.35,1957600,10.35
2009-06-29,10.21,10.50,9.99,10.39,1999500,10.39
2009-06-26,10.03,10.31,9.95,10.25,3541000,10.25
2009-06-25,9.64,10.18,9.55,10.15,3529500,10.15
2009-06-24,9.91,10.03,9.61,9.73,2412000,9.73
2009-06-23,10.03,10.20,9.54,9.71,4102900,9.71
2009-06-22,10.16,10.44,9.81,9.86,5276600,9.86
2009-06-19,10.04,10.76,9.99,10.61,6676300,10.61
2009-06-18,9.98,10.00,9.70,9.80,2694400,9.80
2009-06-17,10.01,10.20,9.66,10.00,3932300,10.00
2009-06-16,10.04,10.44,9.89,10.05,6462700,10.05
2009-06-15,10.01,10.19,9.85,10.01,3363100,10.01
2009-06-12,10.37,10.48,10.05,10.19,3903100,10.19
2009-06-11,10.70,10.88,10.33,10.44,5236900,10.44
2009-06-10,11.00,11.14,10.64,10.76,3905100,10.76
2009-06-09,10.76,11.15,10.55,10.92,4844800,10.92
2009-06-08,10.65,10.76,10.25,10.61,4148700,10.61
