Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,25.98,26.20,25.90,26.19,274600,22.51
2009-12-23,25.89,26.05,25.84,25.96,493800,22.31
2009-12-22,25.69,25.92,25.65,25.88,644500,22.24
2009-12-21,25.74,25.76,25.54,25.64,710100,22.03
2009-12-18,25.88,26.06,25.61,25.84,2627300,21.87
2009-12-17,25.86,26.04,25.78,25.87,2700200,21.89
2009-12-16,26.14,26.28,26.01,26.05,872300,22.05
2009-12-15,26.11,26.31,25.99,25.99,1172100,21.99
2009-12-14,25.92,26.15,25.84,26.15,568300,22.13
2009-12-11,25.74,25.88,25.59,25.83,890400,21.86
2009-12-10,25.64,25.82,25.53,25.74,502200,21.78
2009-12-09,25.47,25.59,25.29,25.54,771700,21.61
2009-12-08,25.35,25.54,25.32,25.40,1167200,21.50
2009-12-07,25.54,25.60,25.27,25.39,1181300,21.49
2009-12-04,25.55,25.66,25.12,25.49,1257200,21.57
2009-12-03,25.63,25.67,25.21,25.22,1438200,21.34
2009-12-02,25.67,25.78,25.47,25.52,1014700,21.60
2009-12-01,25.48,25.68,25.31,25.58,1163100,21.65
2009-11-30,25.30,25.54,25.11,25.52,1260200,21.60
2009-11-27,25.15,25.52,25.05,25.20,752300,21.33
2009-11-25,25.75,25.95,25.47,25.63,1176200,21.69
2009-11-24,25.85,25.85,25.55,25.76,767500,21.80
2009-11-23,25.68,25.93,25.54,25.73,843900,21.77
2009-11-20,25.48,25.67,25.30,25.43,1020000,21.52
2009-11-19,25.74,25.75,25.44,25.53,1480900,21.61
2009-11-18,25.92,25.99,25.72,25.79,549500,21.83
2009-11-17,25.99,26.03,25.79,25.91,829600,21.93
2009-11-16,26.18,26.29,25.89,25.99,1511800,21.99
2009-11-13,26.18,26.27,25.97,26.10,561300,22.09
2009-11-12,26.29,26.48,26.10,26.10,912800,22.09
2009-11-11,26.50,26.58,26.35,26.49,691200,22.42
2009-11-10,26.23,26.43,26.11,26.27,1077100,22.23
2009-11-09,26.04,26.40,25.93,26.40,1011400,22.34
2009-11-06,25.57,25.90,25.43,25.78,997400,21.82
2009-11-05,25.80,25.89,25.59,25.87,1048200,21.89
2009-11-04,25.94,26.02,25.54,25.59,1507600,21.66
2009-11-03,25.50,25.79,25.25,25.64,1367800,21.70
2009-11-02,25.55,25.84,25.24,25.68,1503000,21.73
2009-10-30,25.54,25.74,25.31,25.36,2369500,21.46
2009-10-29,25.48,25.72,25.21,25.67,2271800,21.72
2009-10-28,25.22,25.35,25.05,25.16,1586500,21.29
