Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,28.92,29.00,28.66,28.85,252100,28.85
2009-12-23,28.81,29.45,28.16,28.87,2431000,28.87
2009-12-22,28.54,28.75,28.22,28.61,3489200,28.61
2009-12-21,27.84,29.17,27.57,28.23,7093100,28.23
2009-12-18,26.42,27.50,26.14,27.50,10441400,27.50
2009-12-17,25.81,26.43,25.67,26.04,7099200,26.04
2009-12-16,26.27,26.54,24.83,26.21,11923400,26.21
2009-12-15,28.02,28.30,26.11,26.20,6196800,26.20
2009-12-14,29.62,30.00,28.11,28.50,4643300,28.50
2009-12-11,28.93,30.00,28.80,29.64,7513900,29.64
2009-12-10,27.00,30.66,25.50,28.99,17222400,28.99
