Date,Open,High,Low,Close,Volume,Adj Close
2013-01-07,107.27,107.27,105.85,106.08,1401800,106.08
2013-01-04,106.69,108.06,106.68,107.90,1252400,107.90
2013-01-03,106.19,106.85,105.99,106.66,1479800,106.66
2013-01-02,105.61,106.31,105.23,106.31,2075100,106.31
2012-12-31,103.77,104.63,102.82,104.54,1779200,104.54
2012-12-28,104.79,105.27,103.96,104.04,1006300,104.04
2012-12-27,104.56,105.54,104.52,105.27,1400900,105.27
2012-12-26,105.05,105.34,104.37,104.71,1344200,104.71
2012-12-24,104.63,105.36,104.60,105.05,625500,105.05
2012-12-21,105.18,106.08,104.84,105.10,2751700,105.10
2012-12-20,106.04,106.56,105.35,105.79,1497100,105.79
2012-12-19,107.15,107.50,106.02,106.03,1480600,106.03
2012-12-18,106.42,107.35,105.99,107.26,1860700,107.26
2012-12-17,105.96,106.70,105.70,106.21,1475600,106.21
2012-12-14,106.16,107.00,105.70,105.84,1726200,105.84
2012-12-13,107.23,107.36,105.99,106.16,1558200,106.16
2012-12-12,108.00,108.19,106.68,106.99,1365600,106.99
2012-12-11,107.07,108.20,106.99,107.88,1431300,107.88
2012-12-10,107.65,108.36,106.63,106.79,1847900,106.79
2012-12-07,107.13,108.39,107.10,108.37,1567400,108.37
2012-12-06,107.01,107.21,106.30,106.65,1580500,106.65
2012-12-05,107.70,107.79,106.99,107.21,1382700,107.21
2012-12-04,108.00,108.10,107.53,107.58,1035200,107.58
2012-12-03,108.63,109.00,108.01,108.09,1014600,108.09
2012-11-30,108.14,108.75,107.87,108.50,1567500,108.50
2012-11-29,107.94,108.33,107.40,108.01,936500,108.01
2012-11-28,107.38,107.91,107.17,107.76,1101200,107.76
2012-11-27,107.85,108.48,107.43,107.64,1234700,107.64
2012-11-26,107.31,108.09,107.09,107.86,982400,107.86
2012-11-23,106.51,108.00,106.48,108.00,711800,108.00
2012-11-21,106.84,107.05,106.08,106.80,1060100,106.80
2012-11-20,106.61,107.09,106.00,106.91,1175600,106.91
2012-11-19,105.91,106.91,105.80,106.91,1512900,106.91
2012-11-16,103.88,105.25,103.79,105.15,2043700,105.15
2012-11-15,103.34,104.15,103.25,103.77,1386300,103.77
2012-11-14,104.49,104.96,103.16,103.53,1607600,103.53
2012-11-13,103.94,105.39,103.80,104.28,1503900,104.28
2012-11-12,103.99,104.87,103.51,104.31,946000,104.31
2012-11-09,103.82,104.69,103.67,103.87,1406800,103.87
2012-11-08,104.86,105.18,104.00,104.07,1437400,104.07
2012-11-07,105.60,105.60,104.33,104.97,1408900,104.97
2012-11-06,105.49,106.01,105.07,105.64,1489200,105.64
2012-11-05,104.54,105.75,104.54,105.23,967900,105.23
2012-11-02,106.04,106.59,104.86,104.96,1394900,104.96
2012-11-01,104.68,106.14,104.24,105.87,1972400,105.87
2012-10-31,103.96,105.22,103.56,104.96,2332200,104.96
2012-10-26,104.70,104.99,103.70,103.87,2470200,103.87
2012-10-25,107.00,107.00,103.05,104.60,3005000,104.60
2012-10-24,107.02,107.51,106.17,106.56,1429600,106.56
2012-10-23,107.13,107.25,106.06,106.53,1339200,106.53
2012-10-22,107.52,108.10,107.07,107.69,1090100,107.69
2012-10-19,109.76,109.80,107.44,107.74,2379200,107.74
2012-10-18,110.55,110.89,109.78,110.62,1253100,110.00
2012-10-17,108.57,110.97,108.57,110.57,2406000,109.95
2012-10-16,108.75,108.83,108.10,108.59,1206800,107.98
2012-10-15,108.02,108.54,107.58,108.46,1415200,107.85
2012-10-12,108.41,108.73,107.32,107.89,1287400,107.29
2012-10-11,108.43,108.62,107.86,108.03,1484200,107.42
2012-10-10,107.46,108.05,107.13,107.69,1506500,107.09
2012-10-09,108.38,108.78,107.30,107.43,1397200,106.83
2012-10-08,108.36,108.82,107.95,108.49,911100,107.88
2012-10-05,108.59,108.68,107.88,108.45,1856600,107.84
2012-10-04,108.50,109.08,108.11,108.46,1299200,107.85
2012-10-03,108.04,108.44,107.57,108.03,1315300,107.42
2012-10-02,108.27,108.57,107.50,107.92,1327700,107.32
2012-10-01,106.84,108.74,106.53,107.99,1706200,107.38
2012-09-28,107.43,107.47,106.49,107.22,1509900,106.62
2012-09-27,107.05,107.60,106.34,107.35,1319300,106.75
2012-09-26,106.78,107.77,106.65,106.75,1581000,106.15
2012-09-25,107.31,107.81,106.63,106.65,1792000,106.05
2012-09-24,106.27,107.24,106.15,106.94,1273000,106.34
2012-09-21,107.00,107.15,106.10,106.53,5968800,105.93
2012-09-20,105.73,107.23,105.73,106.79,1793000,106.19
2012-09-19,106.01,106.38,105.54,105.89,1828600,105.30
2012-09-18,104.67,106.23,104.00,106.01,2253900,105.42
2012-09-17,102.69,105.47,102.69,105.15,2992800,104.56
2012-09-14,104.43,104.75,103.50,103.75,2793800,103.17
2012-09-13,103.03,104.70,102.69,104.54,2653400,103.95
2012-09-12,102.86,103.53,102.50,102.62,2054000,102.04
2012-09-11,103.30,103.68,102.56,102.82,2968200,102.24
2012-09-10,105.82,105.90,103.22,103.70,4823000,103.12
2012-09-07,107.66,108.00,105.95,106.30,1751100,105.70
2012-09-06,107.09,107.64,106.88,107.49,1677900,106.89
2012-09-05,106.52,107.36,106.44,106.50,2010300,105.90
2012-09-04,106.16,107.40,105.92,107.22,2194200,106.62
2012-08-31,106.15,106.52,105.76,106.31,1348600,105.71
2012-08-30,105.97,106.12,105.80,105.81,947300,105.22
2012-08-29,106.75,106.90,106.36,106.43,1336100,105.83
2012-08-28,105.42,106.66,105.42,106.35,1741800,105.75
2012-08-27,105.52,106.00,105.27,105.80,1141700,105.21
2012-08-24,104.91,105.91,104.50,105.77,1167900,105.18
2012-08-23,105.32,105.49,104.66,104.71,971400,104.12
2012-08-22,105.32,105.73,105.00,105.37,935300,104.78
2012-08-21,105.88,106.41,105.39,105.70,1121900,105.11
2012-08-20,106.18,106.36,105.27,105.95,1300800,105.36
2012-08-17,106.10,106.40,105.87,106.18,1496000,105.58
2012-08-16,105.38,105.93,105.13,105.83,1050100,105.24
2012-08-15,105.07,106.51,105.00,105.50,1643100,104.91
2012-08-14,105.46,105.81,105.05,105.42,1214000,104.83
2012-08-13,105.00,105.66,104.78,105.55,1086500,104.96
2012-08-10,104.76,105.46,104.72,105.37,1227200,104.78
2012-08-09,105.06,105.41,104.77,104.95,1558800,104.36
2012-08-08,104.85,105.41,104.68,105.27,1640000,104.68
2012-08-07,106.60,107.05,104.81,104.88,2253800,104.29
2012-08-06,106.37,106.95,105.95,106.35,1202900,105.75
2012-08-03,106.54,107.49,106.16,106.46,1799700,105.86
2012-08-02,105.87,106.38,104.78,105.37,2142100,104.78
2012-08-01,107.81,109.84,106.27,106.60,1974300,106.00
2012-07-31,107.25,107.72,106.86,107.36,1732500,106.76
2012-07-30,107.27,108.50,107.16,107.47,1736700,106.87
2012-07-27,104.81,107.68,104.69,107.17,3297400,106.57
2012-07-26,104.77,106.83,104.18,106.38,2808700,105.78
2012-07-25,102.36,102.79,101.59,102.25,1665600,101.68
2012-07-24,102.79,102.85,101.52,102.10,1787200,101.53
2012-07-23,103.22,103.81,102.60,102.79,1497500,102.21
2012-07-20,104.89,105.33,103.67,103.90,2545200,103.32
2012-07-19,105.28,105.86,104.54,105.62,1530500,104.41
2012-07-18,104.99,106.06,104.77,105.28,1394600,104.08
2012-07-17,104.77,105.45,104.62,105.16,1479200,103.96
2012-07-16,105.08,105.46,104.35,104.37,1843800,103.18
2012-07-13,103.71,105.76,103.71,105.46,1424600,104.25
2012-07-12,103.68,104.07,102.97,103.61,1793000,102.42
2012-07-11,104.16,104.16,103.37,103.83,1662700,102.64
2012-07-10,104.48,104.51,103.70,103.90,1292700,102.71
2012-07-09,104.57,104.61,103.78,104.26,1276900,103.07
2012-07-06,104.10,104.63,103.92,104.29,976000,103.10
2012-07-05,104.42,105.00,103.92,104.65,1230600,103.45
2012-07-03,103.70,105.16,103.52,104.61,1035800,103.41
2012-07-02,103.41,103.83,103.00,103.72,1724000,102.53
2012-06-29,102.74,104.33,101.97,104.10,2699600,102.91
2012-06-28,101.12,102.00,100.93,101.99,1468000,100.82
2012-06-27,100.28,101.60,100.27,101.50,1492800,100.34
2012-06-26,99.66,100.55,99.48,100.10,1520300,98.95
2012-06-25,99.17,99.55,99.00,99.32,1525900,98.18
2012-06-22,99.92,100.50,99.80,99.90,3184500,98.76
2012-06-21,100.90,100.90,99.44,99.45,1723000,98.31
2012-06-20,100.17,100.73,99.62,100.73,2603000,99.58
2012-06-19,101.64,101.97,101.01,101.30,1660900,100.14
2012-06-18,101.40,101.75,100.89,101.67,1502800,100.51
2012-06-15,101.60,101.93,101.31,101.53,2052800,100.37
2012-06-14,100.47,101.45,100.27,101.32,1627600,100.16
2012-06-13,99.60,100.55,99.33,100.21,2095900,99.06
2012-06-12,99.99,100.19,99.29,100.05,1859800,98.91
2012-06-11,100.55,100.68,99.87,99.99,1779900,98.85
2012-06-08,98.80,100.30,98.75,100.17,1554800,99.02
2012-06-07,98.74,99.41,98.61,98.75,1950800,97.62
2012-06-06,97.47,98.33,97.09,98.33,2029000,97.20
2012-06-05,97.05,97.49,96.37,97.25,1547600,96.14
2012-06-04,96.49,97.30,96.21,97.17,1685700,96.06
2012-06-01,97.71,98.06,96.42,96.48,2308400,95.38
2012-05-31,99.01,99.01,98.04,98.30,2446200,97.18
