Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,328.06,331.17,327.76,331.17,633000,61.09
2009-12-23,327.42,328.52,325.01,328.00,1634000,60.50
2009-12-22,325.00,327.94,324.03,327.36,2291000,60.39
2009-12-21,323.59,326.34,322.32,324.34,1508500,59.83
2009-12-18,326.72,327.52,320.26,324.48,3283500,59.86
2009-12-17,328.00,332.94,324.53,324.54,2219000,59.87
2009-12-16,329.29,332.92,326.82,330.54,3459500,60.97
2009-12-15,331.50,332.62,329.45,331.25,1653500,61.10
2009-12-14,333.12,336.39,331.65,333.03,1537000,61.43
2009-12-11,331.75,334.65,328.17,334.13,3481500,61.64
2009-12-10,325.98,330.33,324.15,327.90,3810000,60.49
2009-12-09,319.23,328.11,316.23,325.76,2789500,60.09
2009-12-08,320.12,322.39,318.46,319.47,3657000,58.93
2009-12-07,332.80,334.95,322.26,323.68,2754000,59.50
2009-12-04,334.46,335.00,325.06,330.63,3410000,60.77
2009-12-03,329.28,334.89,328.50,330.01,4660500,60.66
2009-12-02,332.28,337.41,327.68,328.36,4019000,60.36
2009-12-01,331.90,332.33,327.95,330.85,4017500,60.81
2009-11-30,323.12,329.26,321.01,328.23,3277000,60.33
2009-11-27,322.24,326.99,321.00,322.65,1955000,59.31
2009-11-25,324.99,329.04,323.64,328.69,2188000,60.42
2009-11-24,324.47,324.47,318.00,322.23,2253500,59.23
2009-11-23,326.07,329.90,321.14,323.69,2924500,59.50
2009-11-20,321.12,325.45,316.85,322.99,2828000,59.37
2009-11-19,321.82,322.36,317.40,321.97,3349500,59.18
2009-11-18,324.53,325.73,321.73,324.11,2400500,59.57
2009-11-17,318.18,324.57,318.18,322.04,2926500,59.19
2009-11-16,316.00,321.40,315.71,318.48,2835500,58.54
2009-11-13,315.84,319.00,311.19,313.76,1562000,57.67
2009-11-12,312.98,318.99,310.10,315.14,3203000,57.93
2009-11-11,311.52,315.45,305.50,313.27,3213000,57.58
