Date,Open,High,Low,Close,Volume,Adj Close
2012-12-26,107.46,108.84,106.60,107.16,859000,107.16
2012-12-24,107.32,107.32,106.51,107.16,666500,107.16
2012-12-21,106.35,108.17,105.75,108.07,2157400,108.07
2012-12-20,108.04,108.33,107.30,107.77,1627000,107.77
2012-12-19,108.79,109.78,107.87,107.95,1835600,107.95
2012-12-18,106.12,109.45,105.92,108.67,3770400,108.67
2012-12-17,107.11,107.17,104.97,105.75,2337100,105.75
2012-12-14,105.27,107.38,105.27,106.30,1755400,106.30
2012-12-13,105.54,106.75,104.60,105.48,2417900,105.48
2012-12-12,106.16,107.56,105.80,105.88,2369800,105.88
2012-12-11,103.82,106.52,103.34,105.48,2952800,105.48
2012-12-10,101.03,103.74,101.03,103.24,1540300,103.24
2012-12-07,101.25,102.80,101.08,101.69,1579000,101.69
2012-12-06,101.07,101.07,99.23,100.41,1553400,100.41
2012-12-05,98.00,102.30,98.00,101.31,3000300,101.31
2012-12-04,97.63,98.34,96.76,97.31,1640500,97.31
2012-12-03,98.86,99.04,97.34,97.37,1722100,97.37
2012-11-30,99.68,99.78,97.85,98.16,2139700,98.16
2012-11-29,100.75,101.20,98.88,99.85,1619800,99.85
2012-11-28,98.81,100.10,97.95,100.08,1526700,100.08
2012-11-27,99.38,101.70,99.01,99.72,2051700,99.72
2012-11-26,99.10,99.84,98.81,99.61,1025300,99.61
2012-11-23,99.10,100.53,99.10,99.64,851200,99.64
2012-11-21,97.81,98.57,97.34,98.28,772900,98.28
2012-11-20,98.15,99.15,97.21,98.09,1988600,98.09
2012-11-19,98.25,99.79,97.71,98.72,1852700,98.22
2012-11-16,94.94,96.31,94.35,95.78,1885700,95.29
2012-11-15,94.34,95.71,93.98,94.87,2075500,94.39
2012-11-14,98.28,98.42,94.05,94.37,2337200,93.89
2012-11-13,97.63,99.24,97.36,97.54,1638600,97.05
2012-11-12,97.60,99.44,97.08,98.69,1443300,98.19
2012-11-09,96.09,99.09,95.86,97.10,1955800,96.61
2012-11-08,99.05,99.38,96.47,96.56,2008200,96.07
2012-11-07,99.57,99.73,97.67,98.10,3043200,97.60
2012-11-06,101.17,101.99,100.21,101.91,1930000,101.39
2012-11-05,99.49,101.16,97.25,101.00,2193600,100.49
