Date,Open,High,Low,Close,Volume,Adj Close
2013-01-07,19.74,19.79,19.53,19.60,1981800,19.60
2013-01-04,19.67,19.85,19.63,19.82,2161000,19.82
2013-01-03,19.62,19.75,19.59,19.68,1990900,19.68
2013-01-02,19.52,19.62,19.39,19.62,3043300,19.62
2012-12-31,18.91,19.28,18.79,19.25,2557300,19.25
2012-12-28,18.95,19.19,18.88,19.00,3110200,19.00
2012-12-27,19.08,19.15,18.83,19.05,4020400,19.05
2012-12-26,19.42,19.47,19.12,19.13,2172000,19.13
2012-12-24,19.40,19.45,19.25,19.39,1038400,19.39
2012-12-21,19.47,19.63,19.36,19.46,4393900,19.46
2012-12-20,19.75,19.82,19.62,19.67,2681000,19.67
2012-12-19,19.89,19.93,19.68,19.72,2690800,19.72
2012-12-18,19.87,19.99,19.80,19.90,2128300,19.90
2012-12-17,19.71,19.98,19.64,19.84,2155000,19.84
2012-12-14,19.86,19.91,19.64,19.67,1909900,19.67
2012-12-13,19.83,19.96,19.79,19.83,2936400,19.83
2012-12-12,19.90,20.04,19.83,19.85,2773900,19.85
2012-12-11,19.94,20.12,19.83,19.88,3214200,19.88
2012-12-10,19.84,20.07,19.73,19.92,2808900,19.92
2012-12-07,19.88,19.93,19.68,19.84,3207600,19.84
2012-12-06,19.94,20.00,19.80,19.86,2817300,19.86
2012-12-05,19.68,20.15,19.64,19.92,4100200,19.92
2012-12-04,19.75,19.76,19.52,19.63,2693500,19.63
2012-12-03,19.73,19.89,19.56,19.76,2958400,19.76
2012-11-30,19.76,19.88,19.60,19.73,7578400,19.73
2012-11-29,19.97,19.97,19.65,19.76,2223200,19.76
2012-11-28,19.53,19.74,19.34,19.74,3277600,19.74
2012-11-27,19.56,19.79,19.48,19.62,4584100,19.62
2012-11-26,19.18,19.58,19.18,19.56,3182600,19.56
2012-11-23,19.32,19.34,19.13,19.26,1238700,19.26
2012-11-21,19.40,19.45,19.15,19.30,2236000,19.30
2012-11-20,19.42,19.48,19.18,19.36,3296500,19.36
2012-11-19,19.71,19.71,19.29,19.38,4183800,19.38
2012-11-16,19.18,19.59,19.17,19.58,4976700,19.58
2012-11-15,19.49,19.60,18.95,19.13,6430300,19.13
2012-11-14,19.96,20.05,19.42,19.49,3986100,19.49
2012-11-13,20.03,20.43,19.93,19.96,4869200,19.76
2012-11-12,20.15,20.25,20.01,20.16,2040300,19.95
2012-11-09,20.35,20.42,20.12,20.15,3547600,19.95
2012-11-08,20.55,20.86,20.36,20.39,4726200,20.18
2012-11-07,21.43,21.51,20.58,20.63,5334200,20.42
2012-11-06,21.39,21.63,21.31,21.48,2381500,21.26
2012-11-05,21.49,21.49,21.27,21.37,1834200,21.15
2012-11-02,21.80,21.81,21.53,21.54,1761200,21.32
2012-11-01,21.66,21.74,21.56,21.74,2905100,21.52
2012-10-31,21.54,21.71,21.46,21.67,1985600,21.45
2012-10-26,21.40,21.50,21.12,21.47,2338300,21.25
2012-10-25,21.21,21.38,21.12,21.38,1574100,21.16
2012-10-24,21.09,21.39,21.03,21.12,2385800,20.91
2012-10-23,21.08,21.13,20.87,21.04,2870600,20.83
2012-10-22,21.30,21.36,21.15,21.24,2771500,21.02
2012-10-19,21.69,21.72,21.39,21.41,1871500,21.19
2012-10-18,21.74,21.75,21.54,21.69,1908500,21.47
2012-10-17,21.51,21.75,21.45,21.75,2954500,21.53
2012-10-16,21.50,21.50,21.25,21.44,3214800,21.22
2012-10-15,21.17,21.43,21.12,21.40,2148400,21.18
2012-10-12,21.27,21.27,21.03,21.13,1106000,20.92
2012-10-11,21.37,21.39,21.15,21.18,1907300,20.96
2012-10-10,21.40,21.43,21.25,21.29,1550700,21.07
2012-10-09,21.37,21.44,21.28,21.36,1777000,21.14
2012-10-08,21.41,21.49,21.27,21.41,1408200,21.19
2012-10-05,21.58,21.68,21.32,21.41,2458700,21.19
2012-10-04,21.57,21.71,21.45,21.51,1709400,21.29
2012-10-03,21.24,21.54,21.22,21.52,3202100,21.30
2012-10-02,21.22,21.26,21.11,21.20,1963000,20.98
2012-10-01,21.33,21.38,21.14,21.15,2864700,20.93
2012-09-28,21.28,21.35,21.11,21.30,2536500,21.08
2012-09-27,21.49,21.54,21.25,21.30,3265700,21.08
2012-09-26,21.42,21.56,21.28,21.45,3886300,21.23
2012-09-25,21.29,21.44,21.26,21.42,3994500,21.20
2012-09-24,21.01,21.31,21.00,21.29,2938300,21.07
2012-09-21,20.90,21.15,20.80,21.12,3542900,20.91
2012-09-20,20.71,21.00,20.65,20.87,3761800,20.66
2012-09-19,20.81,20.84,20.60,20.72,2474600,20.51
2012-09-18,20.82,20.90,20.68,20.81,2824700,20.60
2012-09-17,21.02,21.04,20.74,20.80,2738000,20.59
2012-09-14,21.11,21.25,20.91,21.02,3447500,20.81
2012-09-13,20.68,21.10,20.65,21.10,2503700,20.89
2012-09-12,20.91,20.94,20.69,20.70,2051200,20.49
2012-09-11,20.90,20.98,20.85,20.90,1343900,20.69
2012-09-10,21.01,21.03,20.91,20.93,1670600,20.72
2012-09-07,20.98,21.00,20.86,20.95,2807100,20.74
2012-09-06,20.72,20.99,20.69,20.99,3582000,20.78
2012-09-05,20.63,20.75,20.50,20.64,3494400,20.43
2012-09-04,20.41,20.67,20.30,20.63,2989300,20.42
2012-08-31,20.57,20.65,20.33,20.39,2560400,20.18
2012-08-30,20.50,20.58,20.39,20.52,1574200,20.31
2012-08-29,20.57,20.65,20.50,20.58,1900800,20.37
2012-08-28,20.41,20.63,20.40,20.60,3796900,20.39
2012-08-27,20.29,20.51,20.29,20.46,1875000,20.25
2012-08-24,20.23,20.36,20.18,20.32,2174800,20.11
2012-08-23,20.37,20.40,20.18,20.24,2845800,20.03
2012-08-22,20.66,20.69,20.34,20.38,2839200,20.17
2012-08-21,20.41,20.65,20.30,20.43,3424700,20.22
2012-08-20,20.22,20.43,20.14,20.43,2803800,20.22
2012-08-17,20.35,20.45,20.22,20.24,2771000,20.03
2012-08-16,20.48,20.56,20.36,20.42,2699600,20.21
2012-08-15,20.56,20.65,20.48,20.51,3340600,20.30
2012-08-14,20.59,20.69,20.38,20.55,10993800,20.34
2012-08-13,21.07,21.12,20.76,20.78,3067000,20.37
2012-08-10,20.99,21.13,20.93,21.08,2405700,20.66
2012-08-09,21.06,21.10,20.97,21.01,2523800,20.59
2012-08-08,21.07,21.14,20.93,21.11,3546200,20.69
2012-08-07,21.16,21.30,21.03,21.04,3252800,20.62
2012-08-06,21.25,21.40,20.93,21.06,3876800,20.64
2012-08-03,21.13,21.39,21.03,21.16,2963500,20.74
2012-08-02,20.76,21.18,20.47,20.83,4782800,20.42
2012-08-01,21.08,21.44,20.87,20.90,3490300,20.49
2012-07-31,21.17,21.27,21.03,21.06,2456800,20.64
2012-07-30,21.10,21.23,20.99,21.19,3132900,20.77
2012-07-27,21.02,21.23,20.95,21.19,4745300,20.77
2012-07-26,20.73,20.95,20.73,20.89,2827900,20.48
2012-07-25,20.66,20.81,20.36,20.57,3036000,20.16
2012-07-24,20.93,20.95,20.48,20.55,5142700,20.14
2012-07-23,21.00,21.04,20.78,20.97,3461400,20.55
2012-07-20,20.91,21.18,20.82,21.15,4757900,20.73
2012-07-19,20.87,20.94,20.56,20.92,3298300,20.50
2012-07-18,20.75,20.95,20.73,20.95,1730900,20.53
2012-07-17,20.73,20.84,20.56,20.80,1913000,20.39
2012-07-16,20.98,21.00,20.64,20.70,3023500,20.29
2012-07-13,20.65,20.99,20.65,20.99,2250300,20.57
2012-07-12,20.42,20.72,20.38,20.63,1996800,20.22
2012-07-11,20.46,20.59,20.40,20.52,2069400,20.11
2012-07-10,20.60,20.74,20.38,20.47,1984500,20.06
2012-07-09,20.51,20.58,20.40,20.56,2559600,20.15
2012-07-06,20.35,20.59,20.29,20.57,2313700,20.16
2012-07-05,20.59,20.62,20.39,20.46,2536900,20.05
2012-07-03,20.71,20.74,20.57,20.65,1580000,20.24
2012-07-02,20.76,20.83,20.60,20.76,3287700,20.35
2012-06-29,20.86,21.00,20.55,20.67,3668000,20.26
2012-06-28,20.45,20.64,20.32,20.62,1682000,20.21
2012-06-27,20.29,20.56,20.29,20.52,2941100,20.11
2012-06-26,20.34,20.38,20.23,20.29,1578700,19.89
2012-06-25,20.19,20.31,20.08,20.28,1768000,19.88
2012-06-22,20.30,20.44,20.20,20.34,3175300,19.94
2012-06-21,20.41,20.62,20.14,20.18,4365500,19.78
2012-06-20,20.62,20.78,20.34,20.58,4089300,20.17
2012-06-19,20.76,21.00,20.58,20.59,5033600,20.18
2012-06-18,20.53,20.75,20.53,20.71,1925700,20.30
2012-06-15,20.48,20.73,20.38,20.62,3853200,20.21
2012-06-14,20.33,20.46,20.28,20.41,1917800,20.01
2012-06-13,20.26,20.34,20.03,20.30,3550900,19.90
2012-06-12,20.18,20.31,20.07,20.30,1785700,19.90
2012-06-11,20.50,20.50,20.12,20.16,4677700,19.76
2012-06-08,20.32,20.43,20.23,20.40,2155300,20.00
2012-06-07,20.25,20.35,20.22,20.32,2840900,19.92
2012-06-06,20.01,20.15,19.85,20.15,3578000,19.75
2012-06-05,19.79,20.11,19.67,19.93,2872300,19.53
2012-06-04,20.03,20.03,19.65,19.78,6432900,19.39
2012-06-01,20.01,20.07,19.82,19.97,5407600,19.57
2012-05-31,20.06,20.39,19.96,20.23,4120300,19.83
2012-05-30,20.16,20.31,20.00,20.02,2797900,19.62
2012-05-29,20.25,20.25,20.04,20.24,2995600,19.84
2012-05-25,20.06,20.18,19.97,20.18,2786700,19.78
2012-05-24,19.87,20.14,19.82,20.03,2470100,19.63
2012-05-23,19.90,20.00,19.70,19.87,4167600,19.48
2012-05-22,19.88,20.14,19.77,19.98,3413700,19.58
2012-05-21,19.61,19.86,19.56,19.86,3351600,19.47
2012-05-18,19.83,19.94,19.56,19.62,3954100,19.23
2012-05-17,20.02,20.14,19.70,19.83,5421300,19.44
2012-05-16,19.89,20.21,19.86,20.02,7790500,19.62
2012-05-15,20.02,20.26,19.79,19.83,6787900,19.44
2012-05-14,19.97,20.20,19.90,20.08,4101800,19.68
2012-05-11,20.15,20.31,20.04,20.24,5833600,19.64
2012-05-10,19.92,20.31,19.84,20.25,7080600,19.65
2012-05-09,19.70,19.84,19.52,19.77,5452000,19.18
2012-05-08,19.76,19.90,19.70,19.89,5511200,19.30
2012-05-07,20.03,20.05,19.84,19.89,3074800,19.30
2012-05-04,19.87,20.15,19.77,20.05,6155600,19.46
2012-05-03,20.09,20.31,19.62,19.72,10032800,19.13
2012-05-02,20.34,20.36,19.94,20.05,5934800,19.46
2012-05-01,20.26,20.46,20.08,20.42,4936900,19.81
2012-04-30,20.01,20.24,19.91,20.21,3219700,19.61
2012-04-27,19.94,20.12,19.70,20.05,8510200,19.46
2012-04-26,19.67,19.92,19.60,19.85,3608500,19.26
2012-04-25,19.64,19.80,19.54,19.72,3217300,19.13
2012-04-24,19.33,19.53,19.28,19.53,3386100,18.95
2012-04-23,19.40,19.45,19.14,19.28,4393300,18.71
2012-04-20,19.37,19.63,19.37,19.53,2170900,18.95
2012-04-19,19.31,19.44,19.20,19.33,2967900,18.76
2012-04-18,19.40,19.43,19.25,19.32,2664500,18.75
2012-04-17,19.41,19.49,19.17,19.48,3327000,18.90
2012-04-16,19.21,19.35,19.10,19.32,4044100,18.75
2012-04-13,19.21,19.34,19.13,19.17,3540400,18.60
2012-04-12,19.06,19.26,18.91,19.26,2875700,18.69
2012-04-11,19.23,19.26,19.05,19.07,3027400,18.50
2012-04-10,19.34,19.39,19.00,19.06,3336700,18.49
