Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,58.86,58.86,58.39,58.55,578100,58.55
2012-12-21,58.79,59.38,58.31,58.89,4359300,58.89
2012-12-20,58.68,59.17,58.29,59.15,6657400,59.15
2012-12-19,59.85,59.90,58.71,58.72,3513900,58.72
2012-12-18,58.24,59.94,58.24,59.86,5200100,59.86
2012-12-17,57.09,58.27,57.05,58.01,3700000,58.01
2012-12-14,57.82,57.93,56.67,56.83,3363600,56.83
2012-12-13,58.40,58.53,57.73,58.00,3087700,58.00
2012-12-12,58.39,58.91,57.82,58.42,3744900,58.42
2012-12-11,57.66,58.70,57.61,58.26,4002200,58.26
2012-12-10,56.91,57.80,56.78,57.50,2931400,57.50
2012-12-07,57.64,57.98,56.82,57.07,3205800,57.07
2012-12-06,57.93,57.93,56.33,57.27,2946000,57.27
2012-12-05,57.24,57.79,56.45,57.05,3125600,57.05
2012-12-04,57.37,57.40,56.63,57.02,2391400,57.02
2012-12-03,57.84,58.11,57.27,57.33,2889600,57.33
2012-11-30,58.10,58.35,57.43,57.60,3338700,57.60
2012-11-29,58.47,58.55,57.64,58.26,2341200,58.26
2012-11-28,57.22,58.14,56.97,58.08,2422800,58.08
2012-11-27,57.91,58.16,57.20,57.61,3778500,57.61
2012-11-26,58.47,58.82,58.30,58.67,2210400,58.67
2012-11-23,58.66,58.97,58.50,58.97,882800,58.97
2012-11-21,58.75,58.82,57.99,58.31,1434700,58.31
2012-11-20,58.05,58.69,57.70,58.48,2975500,58.48
2012-11-19,56.25,58.14,56.13,58.14,4620200,58.14
2012-11-16,54.81,56.10,54.81,55.70,5202800,55.70
2012-11-15,55.69,55.80,54.45,54.77,7143400,54.77
2012-11-14,57.52,57.61,55.98,56.14,3208600,56.14
2012-11-13,57.51,58.09,57.03,57.31,2871300,57.31
2012-11-12,58.47,58.49,57.53,57.82,2252300,57.82
2012-11-09,58.04,59.05,57.81,58.37,2984700,58.37
2012-11-08,59.41,59.84,57.55,58.29,6017600,58.29
2012-11-07,60.37,60.37,58.90,59.42,4927900,59.42
2012-11-06,60.73,61.45,60.57,61.07,2885000,61.02
2012-11-05,61.18,61.39,60.30,60.68,2567400,60.63
2012-11-02,61.50,61.83,61.08,61.40,4685100,61.35
2012-11-01,60.35,61.41,60.15,61.40,4408800,61.35
2012-10-31,60.33,60.33,59.48,60.17,3082500,60.12
2012-10-26,59.16,60.34,59.12,60.00,2968700,59.95
2012-10-25,60.29,60.47,59.70,59.97,3048100,59.92
2012-10-24,60.20,60.39,59.57,59.67,3622800,59.62
2012-10-23,59.35,60.33,59.04,60.02,5923500,59.97
2012-10-22,61.14,61.33,59.81,60.00,6039400,59.95
2012-10-19,59.10,60.89,58.92,60.75,11775500,60.70
2012-10-18,57.78,57.87,57.13,57.30,5300600,57.25
2012-10-17,58.45,58.54,57.62,58.03,3480700,57.98
2012-10-16,58.03,58.50,57.64,58.01,3572000,57.96
2012-10-15,56.76,57.90,56.75,57.60,7499500,57.55
2012-10-12,58.70,59.11,57.76,58.21,4418800,58.16
2012-10-11,58.80,59.19,58.28,58.89,2689300,58.84
2012-10-10,58.78,58.78,58.06,58.23,2567500,58.18
2012-10-09,58.89,59.15,58.36,58.66,2837900,58.61
2012-10-08,58.77,59.10,58.50,59.05,1959600,59.00
2012-10-05,60.05,60.05,58.74,59.00,3266600,58.95
2012-10-04,58.99,59.64,58.68,59.53,4218600,59.48
2012-10-03,58.39,58.73,57.89,58.63,2971500,58.58
2012-10-02,58.26,58.50,57.80,58.31,3165000,58.26
2012-10-01,57.49,58.73,57.49,58.06,3947700,58.01
2012-09-28,56.63,57.21,56.18,57.01,4945800,56.96
2012-09-27,55.77,57.10,55.73,56.96,5858800,56.91
2012-09-26,55.93,55.96,55.14,55.28,3984600,55.23
2012-09-25,57.56,57.81,55.87,55.90,6048500,55.85
2012-09-24,56.82,58.04,56.62,57.35,3948800,57.30
2012-09-21,58.53,58.54,57.23,57.26,5362300,57.21
2012-09-20,57.73,58.18,57.55,58.05,3530900,58.00
2012-09-19,57.84,58.17,57.62,57.97,4433100,57.92
2012-09-18,58.51,58.51,57.50,57.88,3824400,57.83
2012-09-17,59.18,59.29,58.61,58.76,4088900,58.71
2012-09-14,58.89,59.74,58.71,59.37,5748700,59.32
2012-09-13,57.81,59.39,57.32,58.98,5245800,58.93
2012-09-12,56.77,58.10,56.77,57.92,7650500,57.87
2012-09-11,56.97,56.97,56.00,56.47,7757100,56.42
2012-09-10,57.55,57.96,56.96,57.04,4441800,56.99
2012-09-07,57.30,57.59,56.47,57.41,4794800,57.36
2012-09-06,56.75,57.30,56.43,57.16,10024400,57.11
2012-09-05,55.81,56.20,55.40,56.17,35629000,56.12
2012-09-04,56.50,56.83,56.14,56.49,2768300,56.44
2012-08-31,56.36,56.98,55.99,56.53,3856700,56.48
2012-08-30,56.13,56.33,55.62,56.02,2480400,55.97
2012-08-29,56.79,56.93,56.33,56.47,2263600,56.42
2012-08-28,56.51,56.98,56.20,56.67,2036200,56.62
2012-08-27,56.92,57.06,56.32,56.83,2071100,56.78
2012-08-24,55.49,57.07,55.49,56.87,4428700,56.82
2012-08-23,55.77,56.10,55.48,55.63,2499800,55.58
2012-08-22,56.26,56.57,55.68,55.88,3104000,55.83
2012-08-21,56.56,57.42,56.33,56.47,3558400,56.42
2012-08-20,56.48,56.88,56.20,56.49,2442400,56.44
2012-08-17,56.58,56.83,55.97,56.79,2507400,56.74
2012-08-16,55.14,56.60,55.09,56.23,3796300,56.18
2012-08-15,55.13,55.34,54.79,55.04,2924600,54.99
2012-08-14,55.90,56.19,54.96,55.13,3148500,55.08
2012-08-13,56.25,56.28,55.39,55.59,2598500,55.54
2012-08-10,56.23,56.41,55.50,56.10,3220700,56.05
2012-08-09,56.49,56.72,55.93,56.55,2439900,56.50
2012-08-08,56.14,56.65,55.69,56.56,3498700,56.51
2012-08-07,56.90,57.40,56.45,56.58,3592900,56.48
2012-08-06,57.64,57.78,56.65,56.69,2808800,56.59
2012-08-03,56.13,57.94,56.09,57.58,4622000,57.48
2012-08-02,54.93,55.59,54.18,55.17,3686900,55.08
