Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,60.29,60.60,60.09,60.40,1681400,54.36
2009-12-23,59.60,60.31,59.60,60.07,2945700,54.07
2009-12-22,59.03,59.80,59.03,59.57,3026200,53.62
2009-12-21,58.78,59.55,58.64,59.27,2114000,53.35
2009-12-18,58.03,58.46,57.52,58.43,4540800,52.59
2009-12-17,58.53,58.58,57.80,57.80,2876800,52.02
2009-12-16,59.15,59.50,58.72,58.77,2859300,52.90
2009-12-15,59.42,59.47,58.86,58.98,2794900,53.09
2009-12-14,59.57,59.72,59.17,59.47,2174900,53.53
2009-12-11,59.04,59.49,58.97,59.32,3197100,53.39
2009-12-10,59.15,59.36,58.23,58.76,5576500,52.89
2009-12-09,58.71,59.00,58.10,58.66,3745600,52.80
2009-12-08,58.85,58.96,58.00,58.75,3853300,52.88
2009-12-07,59.13,59.74,59.05,59.35,2422400,53.42
2009-12-04,59.40,59.99,58.67,59.19,4936000,53.27
2009-12-03,59.40,59.57,58.90,59.02,8326000,53.12
2009-12-02,60.65,61.15,60.29,60.87,4316200,54.79
2009-12-01,60.13,60.79,60.10,60.73,4418600,54.66
2009-11-30,60.15,60.29,59.41,59.91,3399200,53.92
2009-11-27,59.50,60.51,59.20,60.03,1483300,54.03
2009-11-25,60.40,60.99,60.40,60.89,2469800,54.80
2009-11-24,60.81,60.83,60.33,60.51,2578000,54.46
2009-11-23,60.10,60.86,59.93,60.57,2750600,54.52
2009-11-20,60.26,60.84,59.80,60.06,2696400,54.06
2009-11-19,60.36,60.59,59.78,60.48,2240800,54.44
2009-11-18,60.38,60.83,59.67,60.77,3116900,54.70
2009-11-17,61.06,61.23,60.22,60.62,3307500,54.56
2009-11-16,60.79,61.25,60.50,61.12,3266400,55.01
2009-11-13,60.35,60.63,59.96,60.47,2466200,54.43
2009-11-12,60.16,60.65,60.00,60.12,3690500,54.11
2009-11-11,60.46,60.69,59.78,60.40,3156500,54.36
2009-11-10,59.92,60.40,59.52,60.04,3078600,54.04
2009-11-09,58.96,60.46,58.96,60.44,3698200,54.40
2009-11-06,59.15,59.66,58.80,59.41,2749300,53.47
2009-11-05,58.11,59.49,57.98,59.41,4668700,53.47
2009-11-04,57.68,59.27,57.68,58.81,4756800,52.93
2009-11-03,57.55,58.37,57.31,57.65,4122300,51.89
2009-11-02,56.85,57.88,56.76,57.75,3884000,51.98
2009-10-30,57.73,57.95,56.81,56.85,3902700,51.17
2009-10-29,57.31,57.94,56.76,57.92,3940900,52.13
2009-10-28,57.05,57.50,56.72,56.72,3027100,51.05
2009-10-27,57.61,57.82,56.77,57.15,2876800,51.44
2009-10-26,57.69,58.36,57.52,57.65,2766600,51.89
2009-10-23,58.08,58.43,57.56,57.81,2152500,52.03
2009-10-22,57.76,58.49,57.57,58.27,2917600,52.45
2009-10-21,58.76,59.25,57.71,57.71,4153300,51.94
2009-10-20,59.26,59.27,58.42,59.09,3384300,53.02
2009-10-19,58.82,59.35,58.36,59.23,3502500,53.15
2009-10-16,58.85,58.90,58.12,58.48,3230700,52.47
2009-10-15,58.39,59.04,58.39,58.97,2879900,52.91
2009-10-14,59.00,59.00,58.44,58.77,3461400,52.74
2009-10-13,57.90,58.87,57.75,58.48,4733900,52.47
2009-10-12,58.38,58.83,57.76,58.03,2915700,52.07
2009-10-09,58.20,58.69,57.72,58.64,5751900,52.62
2009-10-08,59.28,59.38,58.39,58.63,5025900,52.61
2009-10-07,59.76,60.30,58.86,59.00,11117300,52.94
2009-10-06,57.02,58.37,57.02,57.93,5865700,51.98
2009-10-05,56.59,57.25,56.30,56.88,4480100,51.04
2009-10-02,55.92,56.68,55.73,56.47,5760800,50.67
2009-10-01,56.15,56.69,55.40,55.69,5097900,49.97
2009-09-30,57.12,57.44,55.98,56.38,12235900,50.59
2009-09-29,56.56,56.93,56.25,56.49,4939600,50.69
2009-09-28,56.50,56.66,56.31,56.56,4786200,50.75
2009-09-25,57.72,57.72,56.00,56.28,6137100,50.50
2009-09-24,58.03,58.24,57.07,57.43,3389400,51.53
2009-09-23,57.86,58.80,57.86,57.98,2952200,52.03
2009-09-22,58.72,58.86,58.34,58.40,2833800,52.40
2009-09-21,57.61,58.73,57.38,58.58,4847800,52.56
2009-09-18,58.20,58.20,57.46,57.55,4561700,51.64
2009-09-17,57.86,58.23,57.32,57.96,3979200,52.01
2009-09-16,56.82,57.77,56.69,57.70,3920300,51.78
2009-09-15,56.78,57.00,56.42,56.82,3330000,50.99
2009-09-14,56.22,57.02,56.16,56.99,3083000,51.14
2009-09-11,56.86,56.99,56.52,56.81,3031500,50.98
2009-09-10,57.04,57.04,56.66,56.91,3886900,51.07
