Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,35.46,35.59,35.29,35.36,437200,35.36
2012-12-21,35.69,35.81,35.37,35.50,2632800,35.50
2012-12-20,36.06,36.16,35.53,35.89,2465900,35.89
2012-12-19,36.20,36.24,35.96,35.98,1620800,35.98
2012-12-18,36.16,36.25,35.92,36.25,2296400,36.25
2012-12-17,35.67,36.25,35.58,36.16,1928800,36.16
2012-12-14,35.76,36.02,35.57,35.58,1701800,35.58
2012-12-13,35.91,36.09,35.78,35.82,1738200,35.82
2012-12-12,36.35,36.41,35.79,35.87,3230000,35.87
2012-12-11,36.65,36.89,36.35,36.43,2146600,35.85
2012-12-10,36.62,36.68,36.51,36.63,1294500,36.05
2012-12-07,36.92,36.92,36.37,36.63,1275400,36.05
2012-12-06,36.63,36.74,36.27,36.43,3029400,35.85
2012-12-05,36.63,36.93,36.60,36.68,1783200,36.10
2012-12-04,36.68,36.73,36.46,36.55,2821500,35.97
2012-12-03,36.86,36.92,36.49,36.64,1667700,36.06
2012-11-30,36.58,36.80,36.52,36.75,1385500,36.16
2012-11-29,36.62,36.75,36.44,36.55,1854400,35.97
2012-11-28,36.55,36.79,36.36,36.53,1530700,35.95
2012-11-27,36.32,36.67,36.32,36.60,1289900,36.02
2012-11-26,36.60,36.68,36.32,36.47,2048800,35.89
2012-11-23,36.53,36.70,36.49,36.70,573000,36.12
2012-11-21,36.17,36.45,36.06,36.45,2117500,35.87
2012-11-20,36.54,36.79,35.83,36.21,4681300,35.63
2012-11-19,36.79,37.16,36.69,36.95,3744500,36.36
2012-11-16,36.28,36.71,36.13,36.64,3001000,36.06
2012-11-15,36.28,36.41,36.14,36.25,2357600,35.67
2012-11-14,36.58,36.77,36.27,36.38,2657300,35.80
2012-11-13,35.63,36.68,35.55,36.58,4725300,36.00
2012-11-12,35.46,35.97,35.27,35.77,1692600,35.20
2012-11-09,35.32,35.68,35.26,35.48,1834100,34.92
2012-11-08,35.14,35.66,35.14,35.46,2585100,34.90
2012-11-07,35.01,35.50,34.95,35.21,1793000,34.65
2012-11-06,35.08,35.49,35.04,35.30,1747100,34.74
2012-11-05,35.12,35.15,34.80,35.03,1423300,34.47
2012-11-02,35.38,35.62,35.20,35.23,1415800,34.67
2012-11-01,35.27,35.39,35.00,35.22,1736400,34.66
2012-10-31,34.80,35.56,34.80,35.27,2007100,34.71
2012-10-26,34.76,34.86,34.46,34.72,1384400,34.17
2012-10-25,34.80,34.92,34.54,34.75,1205900,34.20
2012-10-24,34.84,34.96,34.52,34.59,850900,34.04
2012-10-23,34.81,34.91,34.51,34.70,1463400,34.15
2012-10-22,35.20,35.20,34.79,35.01,1057700,34.45
2012-10-19,35.41,35.50,35.19,35.22,2485200,34.66
2012-10-18,35.19,35.54,35.17,35.46,1784000,34.90
2012-10-17,35.17,35.35,35.03,35.19,1256200,34.63
2012-10-16,35.02,35.07,34.71,35.00,1433100,34.44
2012-10-15,34.78,34.94,34.56,34.83,1047800,34.28
2012-10-12,35.05,35.18,34.55,34.68,1416600,34.13
2012-10-11,35.23,35.23,34.81,34.88,1607700,34.32
2012-10-10,35.16,35.35,34.83,35.00,1274800,34.44
2012-10-09,35.33,35.42,35.03,35.10,1735000,34.54
2012-10-08,35.26,35.45,35.17,35.32,1432000,34.76
2012-10-05,35.25,35.43,35.18,35.32,1987000,34.76
2012-10-04,35.29,35.29,35.01,35.12,1481300,34.56
2012-10-03,35.15,35.44,35.03,35.36,2258900,34.51
2012-10-02,35.03,35.36,34.99,35.18,1368900,34.34
2012-10-01,34.81,35.05,34.67,35.04,2096100,34.20
2012-09-28,34.65,34.85,34.44,34.82,1569700,33.98
2012-09-27,34.92,34.95,34.62,34.75,1565300,33.92
2012-09-26,34.88,35.07,34.75,34.86,1358100,34.02
2012-09-25,35.27,35.29,34.78,34.83,2130700,33.99
2012-09-24,35.02,35.40,34.90,35.19,1881700,34.35
2012-09-21,35.25,35.44,35.06,35.10,2187400,34.26
2012-09-20,35.12,35.46,35.08,35.14,2263400,34.30
2012-09-19,34.90,35.18,34.75,35.14,3067400,34.30
2012-09-18,34.69,34.94,34.57,34.92,1897000,34.08
2012-09-17,34.58,34.82,34.50,34.62,1889700,33.79
2012-09-14,34.71,34.76,34.28,34.55,2826100,33.72
2012-09-13,34.60,34.81,34.46,34.67,2704800,33.84
2012-09-12,34.60,34.71,34.49,34.64,1617300,33.81
2012-09-11,34.68,34.80,34.54,34.59,2086100,33.76
2012-09-10,35.09,35.09,34.67,34.71,2084600,33.88
2012-09-07,35.20,35.25,34.82,35.04,2128100,34.20
2012-09-06,34.75,35.25,34.75,35.18,2152500,34.34
2012-09-05,35.14,35.23,34.54,34.71,4449400,33.88
2012-09-04,36.22,36.28,34.97,35.12,5064900,34.28
2012-08-31,35.12,35.45,34.92,35.14,2147600,34.30
2012-08-30,35.20,35.26,34.68,35.09,2053700,34.25
2012-08-29,35.36,35.52,35.02,35.35,2383200,34.50
2012-08-28,35.26,35.60,35.15,35.48,2122600,34.63
2012-08-27,35.00,35.46,34.94,35.38,2363200,34.53
2012-08-24,34.73,35.00,34.63,34.99,1907900,34.15
2012-08-23,34.55,34.82,34.31,34.70,1655000,33.87
2012-08-22,34.72,34.86,34.59,34.65,1437700,33.82
2012-08-21,34.88,34.98,34.80,34.81,1596000,33.97
2012-08-20,34.75,34.86,34.68,34.86,1261500,34.02
2012-08-17,34.89,34.92,34.65,34.80,1688800,33.97
2012-08-16,34.57,34.83,34.41,34.80,2123700,33.97
2012-08-15,34.56,34.66,34.51,34.64,1497200,33.81
2012-08-14,34.51,34.80,34.31,34.54,2746100,33.71
2012-08-13,33.93,34.53,33.85,34.35,4198200,33.53
2012-08-10,33.09,33.35,32.95,33.31,888500,32.51
2012-08-09,33.29,33.29,33.04,33.16,630200,32.36
2012-08-08,32.78,33.35,32.77,33.26,2061900,32.46
2012-08-07,32.76,32.89,32.44,32.76,1667000,31.97
2012-08-06,32.90,33.20,32.69,32.77,1627700,31.98
2012-08-03,32.85,33.36,32.75,32.79,1634800,32.00
2012-08-02,32.77,32.91,32.24,32.47,1896100,31.69
2012-08-01,33.18,33.49,32.75,32.96,1749500,32.17
2012-07-31,33.25,33.36,33.02,33.11,1515000,32.32
2012-07-30,33.09,33.47,32.99,33.27,1954400,32.47
2012-07-27,32.88,33.21,32.84,33.12,1797500,32.33
2012-07-26,32.88,33.00,32.71,32.75,1720200,31.96
2012-07-25,32.75,32.86,32.38,32.59,1789000,31.81
2012-07-24,32.91,32.94,32.34,32.52,1922600,31.74
2012-07-23,32.86,33.02,32.66,32.85,1860600,32.06
2012-07-20,33.50,33.50,33.09,33.19,2206800,32.39
2012-07-19,33.22,33.58,33.14,33.58,1883100,32.77
2012-07-18,33.00,33.36,32.94,33.26,1348700,32.46
2012-07-17,33.19,33.29,32.75,33.07,1759500,32.28
2012-07-16,33.33,33.40,33.06,33.10,1837000,32.31
2012-07-13,32.77,33.38,32.75,33.35,2120400,32.55
2012-07-12,32.76,32.88,32.62,32.77,1550900,31.98
2012-07-11,32.69,33.00,32.49,32.86,2191600,32.07
2012-07-10,33.03,33.06,32.14,32.61,3960700,31.83
2012-07-09,33.10,33.13,32.61,32.72,3031600,31.93
2012-07-06,33.19,33.20,32.88,32.99,1876500,32.20
2012-07-05,33.23,33.33,33.03,33.19,2472000,32.39
2012-07-03,33.42,33.48,33.29,33.43,1350900,32.34
2012-07-02,33.30,33.39,32.98,33.39,2117500,32.31
2012-06-29,32.72,33.39,32.63,33.38,2969500,32.30
2012-06-28,32.23,32.53,32.08,32.52,2139000,31.46
2012-06-27,32.19,32.45,32.19,32.40,1503500,31.35
2012-06-26,32.05,32.32,31.91,32.24,1905200,31.19
2012-06-25,31.77,32.15,31.77,32.00,2126000,30.96
2012-06-22,32.21,32.35,32.06,32.06,1895000,31.02
2012-06-21,32.43,32.56,32.09,32.12,2727100,31.08
2012-06-20,32.42,32.58,32.00,32.35,2289800,31.30
2012-06-19,31.97,32.54,31.92,32.45,2154700,31.40
