Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,7.42,7.48,7.38,7.46,334700,7.46
2009-12-23,7.35,7.45,7.31,7.43,1702000,7.43
2009-12-22,7.24,7.38,7.23,7.32,1606100,7.32
2009-12-21,7.04,7.32,7.04,7.25,1393300,7.25
2009-12-18,7.12,7.20,7.03,7.18,4077100,7.18
2009-12-17,7.25,7.25,7.06,7.07,2009100,7.07
2009-12-16,7.30,7.39,7.18,7.30,2846300,7.30
2009-12-15,7.30,7.31,7.01,7.29,3351000,7.29
2009-12-14,7.13,7.21,7.08,7.21,2009400,7.21
2009-12-11,7.14,7.14,7.02,7.08,1904700,7.08
2009-12-10,7.25,7.26,7.07,7.07,2406700,7.07
2009-12-09,7.17,7.18,7.06,7.16,2103400,7.16
2009-12-08,7.18,7.19,7.04,7.16,1858900,7.16
2009-12-07,7.17,7.22,7.10,7.20,1964800,7.20
2009-12-04,7.21,7.24,7.07,7.18,1980100,7.18
2009-12-03,7.21,7.27,7.08,7.10,2009700,7.10
2009-12-02,7.17,7.32,7.13,7.18,2438500,7.18
2009-12-01,7.00,7.20,6.93,7.17,2825400,7.17
2009-11-30,7.13,7.13,6.79,6.94,4028500,6.94
2009-11-27,7.08,7.21,7.00,7.15,1531700,7.15
2009-11-25,7.23,7.28,7.18,7.24,1735400,7.24
2009-11-24,7.31,7.47,7.18,7.23,2781000,7.23
2009-11-23,7.47,7.56,7.30,7.34,3200900,7.34
2009-11-20,7.35,7.40,7.30,7.38,2181600,7.38
2009-11-19,7.48,7.50,7.28,7.34,2417600,7.34
2009-11-18,7.54,7.60,7.39,7.47,1826300,7.47
2009-11-17,7.57,7.60,7.46,7.57,2479400,7.57
2009-11-16,7.63,7.68,7.55,7.61,2519300,7.61
2009-11-13,7.57,7.72,7.49,7.61,3440200,7.61
2009-11-12,7.65,7.66,7.56,7.58,2275400,7.58
2009-11-11,7.60,7.65,7.42,7.63,2324300,7.63
2009-11-10,7.57,7.61,7.47,7.54,2412800,7.54
2009-11-09,7.52,7.66,7.47,7.64,2815200,7.64
2009-11-06,7.36,7.53,7.19,7.53,4044200,7.53
2009-11-05,7.35,7.44,7.23,7.38,3233800,7.38
2009-11-04,7.12,7.27,7.07,7.23,3711400,7.23
2009-11-03,6.98,7.11,6.90,7.10,2880500,7.10
2009-11-02,7.05,7.11,6.88,6.96,2778600,6.96
2009-10-30,7.26,7.31,7.05,7.06,3100200,7.06
2009-10-29,7.23,7.37,7.17,7.33,2719400,7.33
2009-10-28,7.39,7.54,7.13,7.15,2849700,7.15
2009-10-27,7.52,7.61,7.41,7.45,3295400,7.45
2009-10-26,8.00,8.00,7.50,7.53,5782200,7.53
2009-10-23,7.44,8.95,7.37,7.95,9485500,7.95
2009-10-22,6.99,7.10,6.87,7.10,2367200,7.10
2009-10-21,7.00,7.18,6.92,7.01,2007400,7.01
2009-10-20,7.13,7.14,6.92,6.97,1881700,6.97
2009-10-19,7.24,7.26,7.05,7.12,1598100,7.12
2009-10-16,7.20,7.30,7.10,7.21,1581100,7.21
2009-10-15,7.24,7.30,7.22,7.28,1459100,7.28
2009-10-14,7.30,7.34,7.20,7.28,1900600,7.28
2009-10-13,7.21,7.25,7.15,7.22,976800,7.22
2009-10-12,7.27,7.27,7.18,7.22,2032700,7.22
2009-10-09,7.20,7.26,7.11,7.20,1361300,7.20
2009-10-08,7.35,7.41,7.20,7.21,2861700,7.21
2009-10-07,7.19,7.32,7.12,7.30,2909900,7.30
2009-10-06,7.22,7.35,7.13,7.18,1915500,7.18
2009-10-05,6.96,7.20,6.84,7.16,2938200,7.16
2009-10-02,7.06,7.12,6.94,6.96,2631500,6.96
2009-10-01,7.25,7.31,7.06,7.07,1912400,7.07
2009-09-30,7.35,7.39,7.14,7.33,3519400,7.33
