Date,Open,High,Low,Close,Volume,Adj Close
2012-12-26,19.89,19.95,19.64,19.70,5212300,19.70
2012-12-24,19.91,19.96,19.78,19.85,3304900,19.85
2012-12-21,19.77,20.03,19.76,19.95,12707500,19.95
2012-12-20,20.07,20.19,20.00,20.10,10894300,20.10
2012-12-19,20.23,20.25,19.95,20.01,10116200,20.01
2012-12-18,19.96,20.27,19.88,20.24,8935900,20.24
2012-12-17,19.85,20.00,19.72,19.91,6042600,19.91
2012-12-14,19.80,20.04,19.70,19.77,8598300,19.77
2012-12-13,19.66,19.91,19.60,19.74,8148900,19.74
2012-12-12,19.66,19.73,19.42,19.64,16431400,19.64
2012-12-11,20.07,20.07,19.58,19.59,10703400,19.59
2012-12-10,19.82,20.05,19.78,19.93,9476800,19.93
2012-12-07,20.20,20.25,19.81,19.91,13871600,19.91
2012-12-06,20.27,20.31,19.97,20.25,9160800,20.25
2012-12-05,19.72,20.28,19.72,20.16,11812800,20.16
2012-12-04,19.50,19.77,19.50,19.64,7012700,19.64
2012-12-03,19.86,19.92,19.49,19.57,7141600,19.57
2012-11-30,19.82,19.94,19.65,19.76,9570100,19.76
2012-11-29,19.85,19.96,19.62,19.84,8447800,19.84
2012-11-28,19.85,19.88,19.57,19.78,10690500,19.78
2012-11-27,20.08,20.27,19.92,20.01,10447900,19.87
2012-11-26,19.63,20.02,19.60,20.01,9294100,19.87
2012-11-23,19.45,19.71,19.36,19.71,5461200,19.57
2012-11-21,19.56,19.56,19.31,19.37,5372100,19.23
2012-11-20,19.61,19.69,19.39,19.52,6146800,19.38
2012-11-19,19.21,19.68,19.18,19.68,8488900,19.54
2012-11-16,19.45,19.45,18.88,19.01,15469900,18.88
2012-11-15,19.55,19.67,19.20,19.37,8394700,19.23
2012-11-14,19.96,20.03,19.53,19.59,9632400,19.45
2012-11-13,19.85,20.20,19.85,19.90,6666500,19.76
2012-11-12,19.94,20.12,19.86,19.96,6069500,19.82
2012-11-09,20.02,20.10,19.84,19.88,18515400,19.74
2012-11-08,20.26,20.36,20.04,20.04,9822000,19.90
2012-11-07,20.29,20.55,20.15,20.23,13666200,20.09
2012-11-06,20.72,20.92,20.65,20.86,9045900,20.71
2012-11-05,20.57,20.78,20.55,20.71,7017700,20.57
2012-11-02,20.99,21.08,20.63,20.66,10012200,20.52
2012-11-01,20.49,20.84,20.47,20.83,15403800,20.68
2012-10-31,20.69,20.80,20.44,20.47,10486300,20.33
2012-10-26,20.58,20.76,20.46,20.55,11585500,20.41
2012-10-25,20.77,20.82,20.46,20.58,11923000,20.44
2012-10-24,21.40,21.42,20.50,20.59,15084900,20.45
2012-10-23,20.97,21.47,20.97,21.31,9128300,21.16
2012-10-22,21.08,21.42,21.04,21.29,7578900,21.14
2012-10-19,21.30,21.37,21.02,21.10,9718800,20.95
2012-10-18,21.07,21.45,21.01,21.36,15080600,21.21
2012-10-17,21.00,21.41,20.59,21.19,20866600,21.04
2012-10-16,21.55,21.76,21.45,21.63,9440400,21.48
2012-10-15,21.36,21.48,21.17,21.45,5290700,21.30
2012-10-12,21.24,21.45,21.07,21.31,5062800,21.16
2012-10-11,21.27,21.38,21.16,21.16,5341400,21.01
2012-10-10,21.28,21.35,20.92,21.09,7862700,20.94
2012-10-09,21.54,21.72,21.17,21.21,7733200,21.06
2012-10-08,21.35,21.72,21.30,21.61,5847600,21.46
2012-10-05,21.41,21.58,21.35,21.42,4697100,21.27
2012-10-04,21.34,21.47,21.22,21.29,5979900,21.14
2012-10-03,20.90,21.22,20.80,21.18,10172600,21.03
2012-10-02,20.92,21.02,20.65,20.70,9424500,20.56
2012-10-01,20.80,21.00,20.75,20.81,7058200,20.66
2012-09-28,21.00,21.00,20.65,20.75,10742400,20.60
2012-09-27,21.16,21.24,20.95,21.11,4491200,20.96
2012-09-26,21.07,21.15,20.93,21.00,6971300,20.85
2012-09-25,21.45,21.62,21.09,21.17,9739200,21.02
2012-09-24,21.00,21.47,20.88,21.36,11288500,21.21
2012-09-21,21.72,21.73,21.11,21.13,13694300,20.98
2012-09-20,21.73,22.20,21.37,21.49,26114800,21.34
2012-09-19,22.63,22.85,22.51,22.79,6833900,22.63
