Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,48.05,48.51,48.00,48.36,320900,48.36
2012-12-21,48.39,48.70,48.17,48.49,6339600,48.49
2012-12-20,49.73,50.00,48.90,49.14,1458400,49.14
2012-12-19,49.84,49.85,49.13,49.58,1293900,49.58
2012-12-18,50.26,51.11,50.15,50.25,1479800,50.25
2012-12-17,49.33,50.27,48.35,50.09,1574700,50.09
2012-12-14,49.20,49.43,48.51,49.20,1481800,49.20
2012-12-13,49.38,49.60,49.01,49.16,1003300,49.16
2012-12-12,49.60,49.93,49.28,49.52,1149200,49.52
2012-12-11,49.57,49.66,47.96,49.37,1638600,49.37
2012-12-10,49.20,49.89,49.00,49.64,861000,49.64
2012-12-07,48.80,49.92,48.33,49.23,1085100,49.23
2012-12-06,48.12,49.25,48.06,48.77,755900,48.77
2012-12-05,48.23,48.59,47.83,48.10,871700,48.10
2012-12-04,47.94,48.35,47.79,48.18,868000,48.18
2012-12-03,48.64,48.92,47.70,48.06,1095000,48.06
2012-11-30,47.49,49.08,47.25,48.69,1525200,48.69
2012-11-29,46.51,47.72,46.29,47.41,1233100,47.41
2012-11-28,46.83,47.00,45.81,46.20,1295000,46.20
2012-11-27,47.28,47.48,46.33,47.15,1419200,47.15
2012-11-26,49.22,49.28,47.36,47.40,915300,47.40
2012-11-23,48.89,49.25,48.38,49.23,348000,49.23
2012-11-21,48.42,49.42,48.30,48.66,408600,48.66
2012-11-20,48.69,48.92,47.66,48.74,669300,48.74
2012-11-19,48.04,48.68,47.97,48.64,703300,48.64
2012-11-16,46.95,47.78,46.86,47.48,1189300,47.48
2012-11-15,45.89,47.01,45.43,46.95,1742400,46.95
2012-11-14,49.50,49.80,45.76,46.07,2553800,46.07
2012-11-13,48.77,49.96,48.41,49.57,1407300,49.57
2012-11-12,49.36,50.01,48.59,49.00,988400,49.00
2012-11-09,47.69,48.58,47.25,48.02,771800,48.02
2012-11-08,47.47,48.30,47.21,47.50,763300,47.50
2012-11-07,48.35,48.49,46.96,47.61,1203800,47.61
2012-11-06,48.20,49.18,47.65,48.36,2232900,48.36
2012-11-05,49.28,50.25,48.91,49.65,843700,49.65
2012-11-02,52.00,53.13,49.31,49.66,1834300,49.66
2012-11-01,48.57,51.45,46.69,51.20,2854800,51.20
2012-10-31,47.62,48.26,46.18,47.16,1439000,47.16
2012-10-26,48.76,49.41,47.62,47.67,694800,47.67
2012-10-25,48.18,49.63,47.91,49.01,677500,49.01
2012-10-24,48.46,48.90,47.22,47.44,862300,47.44
2012-10-23,47.53,48.65,47.11,48.56,650300,48.56
2012-10-22,48.52,48.88,47.65,48.58,632000,48.58
2012-10-19,50.00,50.29,47.97,48.42,1136800,48.42
2012-10-18,50.57,50.68,49.75,50.43,670700,50.43
2012-10-17,51.50,51.80,50.55,50.62,584600,50.62
2012-10-16,50.44,51.83,50.15,51.79,626600,51.79
2012-10-15,50.24,50.53,49.76,50.11,749200,50.11
2012-10-12,50.48,50.72,49.98,50.18,433800,50.18
2012-10-11,50.17,50.85,50.03,50.70,815400,50.70
2012-10-10,49.56,49.97,49.32,49.90,733400,49.90
2012-10-09,50.78,51.29,49.38,49.76,625300,49.76
2012-10-08,51.69,51.92,50.42,50.97,674600,50.97
2012-10-05,52.16,52.28,51.04,51.36,1027400,51.36
2012-10-04,51.11,52.04,51.04,51.55,1781800,51.55
2012-10-03,49.71,51.32,49.08,51.09,1815600,51.09
2012-10-02,49.93,50.26,48.57,49.49,1166600,49.49
2012-10-01,98.63,100.84,98.16,99.12,2477800,49.56
2012-09-28,97.84,98.01,96.55,97.97,2051600,48.99
2012-09-27,98.44,98.54,97.09,97.87,1172600,48.94
2012-09-26,98.63,98.92,96.66,97.71,1848800,48.85
2012-09-25,97.00,100.00,96.36,98.79,2902800,49.40
2012-09-24,95.68,97.31,95.00,97.08,1685800,48.54
