Date,Open,High,Low,Close,Volume,Adj Close
2013-01-07,75.06,75.64,74.40,75.51,1760700,75.51
2013-01-04,75.72,75.72,74.86,75.18,1768700,75.18
2013-01-03,76.57,76.57,75.08,75.36,2442400,75.36
2013-01-02,75.46,76.19,74.46,76.14,2439600,76.14
2012-12-31,72.28,74.05,72.15,73.88,2201300,73.88
2012-12-28,72.48,72.78,72.14,72.31,1138800,72.31
2012-12-27,73.12,73.45,71.86,73.00,1577300,73.00
2012-12-26,73.31,73.71,72.79,73.15,966700,73.15
2012-12-24,73.22,73.57,72.71,73.35,802800,73.35
2012-12-21,73.00,74.11,71.86,73.73,4914200,73.73
2012-12-20,72.80,73.78,71.55,73.72,2824100,73.72
2012-12-19,74.72,74.87,73.21,73.27,2194700,73.27
2012-12-18,73.13,74.61,72.91,74.26,2408000,74.26
2012-12-17,72.62,73.00,72.33,72.94,2201600,72.94
2012-12-14,72.05,72.76,71.95,72.53,1842800,72.53
2012-12-13,71.77,72.98,71.61,72.09,2171900,72.09
2012-12-12,72.35,72.54,71.87,72.20,1690500,72.20
2012-12-11,71.00,72.69,70.90,72.27,2986800,72.27
2012-12-10,69.97,71.00,69.97,70.97,2423400,70.97
2012-12-07,70.31,70.37,69.45,70.32,2172800,70.32
2012-12-06,69.73,70.05,69.13,69.97,2825000,69.97
2012-12-05,68.60,70.15,67.67,69.75,3785700,69.75
2012-12-04,67.05,67.30,66.32,67.14,1517800,67.14
2012-12-03,67.53,68.33,66.94,66.98,2785400,66.98
2012-11-30,66.92,67.43,66.40,67.23,2888400,67.23
2012-11-29,66.15,67.36,66.13,67.12,3038700,67.12
2012-11-28,65.10,65.86,64.62,65.68,1785100,65.68
2012-11-27,65.57,66.16,65.21,65.54,1780800,65.54
2012-11-26,66.10,66.47,65.10,65.99,1948200,65.99
2012-11-23,66.04,66.50,65.30,66.48,1087000,66.48
2012-11-21,65.66,65.99,65.28,65.51,1187400,65.51
2012-11-20,65.79,66.10,64.51,65.34,3432800,65.34
2012-11-19,66.42,66.80,65.97,66.15,2289900,66.15
2012-11-16,64.98,65.94,64.96,65.74,2967200,65.74
2012-11-15,64.96,65.22,64.56,65.01,2656500,65.01
2012-11-14,65.30,65.51,64.20,64.29,2921300,64.29
2012-11-13,65.62,65.92,64.72,65.28,1858400,65.28
2012-11-12,66.22,66.54,65.40,65.95,1677200,65.95
2012-11-09,65.25,66.84,65.09,66.00,3384200,66.00
2012-11-08,66.15,67.58,65.24,65.27,2841400,65.27
2012-11-07,68.11,68.81,65.90,66.94,3972300,66.94
2012-11-06,66.60,67.39,66.04,67.35,2736800,67.35
2012-11-05,66.12,66.68,65.51,66.02,2677400,66.02
2012-11-02,67.53,67.99,66.11,66.15,2800000,66.15
2012-11-01,66.88,67.44,66.58,67.21,3390300,67.21
2012-10-31,66.89,67.37,65.94,66.65,3130100,66.65
2012-10-26,68.10,68.44,66.20,66.73,2947100,66.73
2012-10-25,69.40,69.64,67.90,68.17,1747300,68.17
2012-10-24,69.91,70.00,68.57,68.60,2058300,68.60
2012-10-23,69.00,69.76,68.82,69.59,2219800,69.59
2012-10-22,69.03,69.99,68.45,69.81,1785600,69.81
2012-10-19,69.38,69.79,68.52,68.77,3823800,68.77
2012-10-18,69.52,69.59,68.92,69.37,2657600,69.37
2012-10-17,69.85,69.95,68.12,69.54,2973800,69.54
2012-10-16,69.99,70.47,69.56,70.25,1217600,70.25
2012-10-15,70.01,70.04,69.21,69.80,1692600,69.80
2012-10-12,68.93,70.08,68.27,69.54,1935700,69.54
2012-10-11,69.98,70.38,69.50,69.83,2103100,69.83
2012-10-10,69.97,70.16,69.02,69.36,2206400,69.36
2012-10-09,71.07,71.54,69.97,69.97,2390900,69.97
2012-10-08,71.37,71.84,70.79,71.35,1337700,71.35
2012-10-05,72.00,72.73,71.52,71.82,2040700,71.82
2012-10-04,71.56,71.91,71.11,71.83,1190100,71.83
2012-10-03,71.35,71.75,71.09,71.54,1692900,71.54
2012-10-02,71.48,71.50,70.83,71.13,2355600,71.13
2012-10-01,70.31,71.41,69.92,71.25,3521000,71.25
2012-09-28,69.29,71.15,69.16,69.89,3215000,69.89
2012-09-27,67.97,69.04,67.97,68.72,2050200,68.72
2012-09-26,67.84,68.28,67.18,67.88,1786500,67.88
2012-09-25,68.84,68.90,67.80,67.91,2005800,67.91
2012-09-24,68.21,68.86,68.10,68.46,2572900,68.46
2012-09-21,68.92,69.49,68.49,68.61,3894100,68.61
2012-09-20,68.16,68.48,67.90,68.25,2075600,68.25
2012-09-19,69.14,69.19,68.43,68.61,2606400,68.61
2012-09-18,68.97,69.24,68.53,68.70,1668000,68.70
2012-09-17,70.82,70.98,68.92,69.05,3086300,69.05
2012-09-14,69.61,71.45,69.53,71.00,5309100,71.00
2012-09-13,68.10,70.14,67.43,70.04,3223500,70.04
