Date,Open,High,Low,Close,Volume,Adj Close
2012-12-26,109.10,109.27,108.21,108.46,4094300,108.46
2012-12-24,109.30,109.39,108.48,108.63,2284400,108.63
2012-12-21,109.57,110.30,108.56,109.71,15611700,109.71
2012-12-20,110.00,110.67,109.65,110.38,5873900,110.38
2012-12-19,110.47,111.11,109.89,109.91,7623200,109.91
2012-12-18,108.54,110.40,108.32,110.10,7102700,110.10
2012-12-17,107.97,108.84,107.94,108.68,6097100,108.68
2012-12-14,107.61,108.39,107.40,107.82,5889300,107.82
2012-12-13,108.54,108.54,107.46,107.91,4909800,107.91
2012-12-12,108.17,109.18,107.93,108.08,5968200,108.08
2012-12-11,107.29,108.23,107.15,107.74,5922700,107.74
2012-12-10,107.10,107.69,106.47,106.96,5512100,106.96
2012-12-07,106.73,107.00,106.14,106.99,4947300,106.99
2012-12-06,105.49,106.50,105.29,106.45,7392300,106.45
2012-12-05,104.38,105.81,104.00,105.17,6430800,105.17
2012-12-04,104.40,105.09,103.94,103.96,6665100,103.96
2012-12-03,106.00,106.07,104.38,104.66,5736400,104.66
2012-11-30,106.10,106.37,105.27,105.69,6676400,105.69
2012-11-29,105.89,106.69,105.38,105.79,5756200,105.79
2012-11-28,102.98,105.62,102.76,105.58,7024200,105.58
2012-11-27,105.00,105.16,103.20,103.38,6612400,103.38
2012-11-26,104.75,104.99,104.25,104.99,4354100,104.99
2012-11-23,104.87,105.47,104.46,105.47,2776400,105.47
2012-11-21,103.95,104.12,103.41,104.10,3656400,104.10
2012-11-20,104.01,104.12,102.92,103.56,5283800,103.56
2012-11-19,103.67,104.35,103.14,104.35,6850900,104.35
2012-11-16,101.56,102.49,101.00,102.40,8242400,102.40
2012-11-15,101.99,103.47,100.66,101.62,9774300,101.62
2012-11-14,104.99,105.01,102.22,102.50,8609400,102.50
2012-11-13,105.37,106.45,105.20,105.28,4834200,104.38
2012-11-12,106.45,106.52,105.49,105.93,4001800,105.02
2012-11-09,105.26,106.69,105.08,105.84,5835100,104.94
2012-11-08,107.23,107.67,105.87,105.87,6208900,104.96
2012-11-07,109.24,109.30,106.78,107.51,7627300,106.59
2012-11-06,109.65,110.69,109.25,110.36,5379400,109.42
2012-11-05,107.74,109.34,107.74,109.19,4058300,108.26
2012-11-02,110.70,111.21,107.57,108.37,8375300,107.44
2012-11-01,110.02,111.69,109.89,111.46,6480500,110.51
2012-10-31,111.93,111.94,109.25,110.24,5958500,109.30
2012-10-26,110.67,111.69,110.58,111.18,4777600,110.23
2012-10-25,110.63,110.97,109.65,110.96,4888600,110.01
2012-10-24,109.42,110.49,109.03,109.71,5087900,108.77
2012-10-23,111.58,111.58,109.10,109.38,8011000,108.44
2012-10-22,113.61,113.70,111.73,112.74,4811900,111.78
2012-10-19,114.90,114.99,113.11,113.38,7160000,112.41
2012-10-18,114.55,115.03,114.37,114.65,6166900,113.67
2012-10-17,114.36,115.36,114.36,115.18,5218200,114.20
2012-10-16,113.48,114.41,113.32,114.09,4793300,113.11
2012-10-15,112.16,113.04,111.10,112.82,5775100,111.86
2012-10-12,113.08,113.29,111.61,112.07,5915800,111.11
2012-10-11,113.37,114.22,113.06,113.06,7279900,112.09
2012-10-10,114.64,115.05,112.01,112.45,15959000,111.49
2012-10-09,117.52,118.38,117.35,117.36,5983500,116.36
2012-10-08,117.19,117.87,116.95,117.62,3434900,116.61
2012-10-05,117.42,118.25,117.12,117.50,4507900,116.50
2012-10-04,116.64,117.47,116.47,117.15,5425700,116.15
2012-10-03,117.65,117.74,116.05,116.14,7362500,115.15
2012-10-02,117.65,118.08,116.92,117.96,6012400,116.95
2012-10-01,116.92,118.25,116.87,117.25,4914900,116.25
2012-09-28,116.88,116.89,116.15,116.56,5626800,115.56
2012-09-27,116.78,117.40,116.52,117.20,5482200,116.20
2012-09-26,116.82,117.00,116.15,116.30,5586700,115.31
2012-09-25,118.18,118.50,116.53,116.93,7565400,115.93
2012-09-24,117.55,118.49,117.46,117.78,6808800,116.77
2012-09-21,118.53,118.53,117.47,117.80,10280700,116.79
2012-09-20,116.14,118.17,115.50,117.85,7286200,116.84
2012-09-19,117.09,117.18,115.83,116.60,5978000,115.60
2012-09-18,116.99,117.65,116.59,116.97,5100100,115.97
2012-09-17,117.17,118.50,116.89,117.14,7409700,116.14
2012-09-14,116.93,118.22,116.48,117.25,8978300,116.25
2012-09-13,114.73,116.97,114.12,116.56,7737700,115.56
2012-09-12,114.23,114.74,114.03,114.48,4420700,113.50
2012-09-11,114.07,114.75,114.00,114.18,4758800,113.20
2012-09-10,114.20,114.54,113.60,113.96,5212400,112.99
2012-09-07,112.97,114.00,112.74,114.00,5057300,113.03
2012-09-06,111.57,113.44,111.57,113.03,5531500,112.06
2012-09-05,111.60,111.73,110.59,110.77,4441200,109.82
2012-09-04,112.03,112.27,110.88,111.22,4632400,110.27
2012-08-31,111.67,112.95,111.67,112.16,5557000,111.20
2012-08-30,111.49,111.69,110.92,110.93,3523200,109.98
2012-08-29,112.33,112.44,111.60,111.80,3296300,110.84
2012-08-28,111.84,112.81,111.77,112.35,3340900,111.39
2012-08-27,112.18,112.39,111.46,111.73,3388800,110.77
2012-08-24,110.77,112.20,110.76,112.01,3453300,111.05
2012-08-23,112.08,112.17,110.95,111.29,4191500,110.34
2012-08-22,111.90,112.35,111.28,112.15,4445400,111.19
2012-08-21,112.81,113.45,111.78,111.98,4647100,111.02
2012-08-20,112.69,112.89,112.14,112.52,3908100,111.56
2012-08-17,113.31,113.57,112.51,112.66,5642600,111.70
2012-08-16,112.72,113.59,112.10,113.32,5394600,112.35
2012-08-15,112.13,113.00,112.00,112.57,4539900,111.61
2012-08-14,113.70,113.87,112.96,113.32,6286100,111.46
2012-08-13,113.32,113.59,112.71,113.28,4336100,111.42
2012-08-10,111.96,113.64,111.28,113.55,5107600,111.69
2012-08-09,112.26,113.28,111.73,112.63,4846700,110.78
2012-08-08,111.50,112.64,111.36,112.14,5443400,110.30
2012-08-07,111.60,112.39,111.51,111.95,5453300,110.11
2012-08-06,110.75,112.10,110.70,111.31,5201900,109.48
2012-08-03,111.14,111.88,110.90,111.12,5967600,109.30
2012-08-02,109.46,109.93,108.47,109.25,6662200,107.46
2012-08-01,109.72,111.23,109.14,110.50,8363800,108.69
2012-07-31,109.55,110.82,109.53,109.58,10012500,107.78
2012-07-30,108.87,109.93,108.76,109.82,5789900,108.02
2012-07-27,109.38,109.50,107.13,109.26,8338800,107.47
2012-07-26,107.59,108.63,107.26,108.27,6808200,106.49
2012-07-25,106.52,106.77,105.28,106.06,5476400,104.32
2012-07-24,108.16,108.16,104.61,106.30,6654900,104.55
2012-07-23,107.25,108.28,106.03,107.95,5953200,106.18
2012-07-20,108.16,109.25,107.50,109.19,9368100,107.40
2012-07-19,107.92,108.98,107.12,108.84,6829400,107.05
