Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,51.85,52.03,51.50,51.94,953900,51.94
2012-12-21,52.02,52.30,51.77,51.94,4139800,51.94
2012-12-20,52.19,52.40,51.92,52.20,2170700,52.20
2012-12-19,52.17,52.22,51.75,51.80,2017000,51.80
2012-12-18,51.88,52.30,51.76,52.23,2197400,52.23
2012-12-17,51.33,52.04,51.26,51.96,1931900,51.96
2012-12-14,51.30,51.37,50.96,51.19,1609400,51.19
2012-12-13,51.49,51.62,51.16,51.34,1196500,51.34
2012-12-12,51.74,51.85,51.44,51.56,1969300,51.56
2012-12-11,51.63,51.87,51.44,51.60,1616500,51.60
2012-12-10,51.63,51.80,51.51,51.59,1338700,51.59
2012-12-07,51.81,51.98,51.45,51.69,1713800,51.69
2012-12-06,51.80,52.05,51.35,51.54,2036100,51.54
2012-12-05,50.48,51.88,50.43,51.73,3365300,51.73
2012-12-04,50.75,50.81,50.36,50.40,1729500,50.40
2012-12-03,51.16,51.16,50.54,50.75,2372600,50.75
2012-11-30,50.74,51.11,50.58,51.11,2853500,51.11
2012-11-29,50.54,50.85,50.37,50.67,2296900,50.67
2012-11-28,50.06,50.46,49.85,50.43,2865900,50.43
2012-11-27,50.59,51.00,50.50,50.54,2800500,50.01
2012-11-26,50.02,50.89,49.95,50.65,1798300,50.12
2012-11-23,50.22,50.29,49.80,50.12,1053900,49.60
2012-11-21,50.35,50.49,49.64,50.16,2003800,49.64
2012-11-20,50.28,50.36,49.75,50.34,2031700,49.82
2012-11-19,50.46,50.46,49.92,50.28,2497300,49.76
2012-11-16,49.74,50.24,49.50,50.15,2409800,49.63
2012-11-15,49.86,50.17,49.29,49.68,2417900,49.16
2012-11-14,50.22,50.43,49.80,49.89,2832900,49.37
2012-11-13,49.05,50.36,48.94,50.21,4078000,49.69
2012-11-12,49.30,49.39,48.97,49.19,2088500,48.68
2012-11-09,49.23,49.56,49.03,49.33,2232400,48.82
2012-11-08,49.80,50.50,49.43,49.43,2502200,48.91
2012-11-07,50.68,50.75,49.53,49.86,2457800,49.34
2012-11-06,50.93,51.22,50.75,50.97,1626400,50.44
2012-11-05,51.46,51.53,50.66,50.93,1990100,50.40
2012-11-02,52.34,52.34,51.60,51.70,2311700,51.16
2012-11-01,52.88,52.91,51.95,52.02,3493800,51.48
2012-10-31,52.33,52.85,52.00,52.78,2744600,52.23
2012-10-26,51.90,52.17,51.50,52.07,2752100,51.53
2012-10-25,52.36,52.36,51.02,51.95,4925200,51.41
2012-10-24,52.67,52.80,52.30,52.45,1700200,51.90
2012-10-23,52.60,52.96,52.44,52.69,1909500,52.14
2012-10-22,53.41,53.57,52.65,52.96,1688000,52.41
2012-10-19,53.53,53.70,53.34,53.51,2206600,52.95
2012-10-18,53.32,53.64,53.12,53.58,1630300,53.02
2012-10-17,52.80,53.38,52.72,53.35,1432600,52.79
2012-10-16,52.96,52.98,52.44,52.66,1504700,52.11
2012-10-15,52.66,52.83,52.41,52.76,1346300,52.21
2012-10-12,53.16,53.25,52.60,52.68,1558100,52.13
2012-10-11,53.43,53.45,52.91,53.03,1328000,52.48
2012-10-10,53.06,53.38,52.94,53.22,2261100,52.67
2012-10-09,53.01,53.19,52.68,52.82,1997200,52.27
2012-10-08,53.23,53.49,52.71,53.03,2309500,52.48
2012-10-05,53.59,53.79,53.22,53.26,2764200,52.70
2012-10-04,53.56,53.89,53.37,53.38,1912000,52.82
2012-10-03,53.40,53.65,53.32,53.33,1627400,52.77
2012-10-02,52.91,53.25,52.79,53.23,1439700,52.67
2012-10-01,53.13,53.39,52.74,52.81,1548000,52.26
2012-09-28,52.78,53.14,52.57,52.94,2392300,52.39
2012-09-27,53.07,53.12,52.68,52.81,2061300,52.26
2012-09-26,52.81,53.54,52.79,52.89,2075900,52.34
2012-09-25,53.27,53.46,52.65,52.65,2156800,52.10
2012-09-24,52.68,53.20,52.61,53.11,1300400,52.56
2012-09-21,52.84,52.98,52.53,52.70,2667600,52.15
2012-09-20,52.54,52.85,52.21,52.72,1715600,52.17
2012-09-19,52.45,52.77,52.20,52.36,1453700,51.81
2012-09-18,52.58,52.69,52.17,52.25,1532900,51.71
2012-09-17,52.85,53.03,52.44,52.61,1566700,52.06
2012-09-14,53.56,53.63,52.69,52.82,2169700,52.27
2012-09-13,52.71,53.60,52.71,53.59,1852400,53.03
2012-09-12,53.07,53.12,52.68,52.76,1409300,52.21
2012-09-11,53.28,53.39,52.94,52.94,1253700,52.39
2012-09-10,53.42,53.50,53.20,53.28,1242700,52.72
2012-09-07,53.72,53.85,53.12,53.16,2011800,52.61
2012-09-06,52.67,53.80,52.58,53.77,2460800,53.21
2012-09-05,52.62,52.81,52.40,52.50,1524000,51.95
2012-09-04,52.35,52.67,52.15,52.51,1872400,51.96
2012-08-31,52.71,52.87,52.29,52.48,1585900,51.93
2012-08-30,52.83,52.90,52.50,52.52,1267000,51.97
2012-08-29,53.34,53.42,52.91,52.97,1610800,52.42
2012-08-28,53.96,54.11,53.84,53.95,2020500,52.86
2012-08-27,53.70,54.20,53.50,54.05,2514900,52.96
2012-08-24,53.01,53.56,53.00,53.49,1261500,52.41
2012-08-23,53.55,53.58,52.95,53.14,1432500,52.07
2012-08-22,53.61,53.80,53.45,53.61,1647400,52.53
2012-08-21,54.06,54.31,53.79,53.80,1565000,52.72
2012-08-20,53.74,54.14,53.63,54.12,1339500,53.03
2012-08-17,53.92,53.97,53.71,53.92,1628900,52.84
2012-08-16,53.79,54.17,53.56,53.95,5901700,52.86
2012-08-15,53.53,53.99,53.36,53.81,1413400,52.73
2012-08-14,53.55,53.75,53.39,53.50,1546000,52.42
2012-08-13,53.65,53.86,53.30,53.45,1251500,52.38
2012-08-10,53.59,53.83,53.35,53.72,1381000,52.64
2012-08-09,53.52,53.72,53.45,53.63,1380400,52.55
2012-08-08,53.97,54.04,53.50,53.67,1514100,52.59
2012-08-07,54.68,54.72,53.98,53.98,2377500,52.89
2012-08-06,54.57,54.95,54.04,54.33,1363500,53.24
2012-08-03,54.37,54.47,53.79,54.41,1579500,53.32
2012-08-02,53.83,54.18,53.27,53.81,1874700,52.73
2012-08-01,54.35,55.62,53.88,54.01,2175900,52.92
2012-07-31,54.96,55.10,54.27,54.31,2384100,53.22
2012-07-30,54.81,55.14,54.44,54.92,1599300,53.82
2012-07-27,54.30,55.17,53.95,54.97,1950400,53.86
2012-07-26,53.58,54.24,53.48,54.13,1773800,53.04
2012-07-25,53.19,53.40,52.79,53.29,1792400,52.22
2012-07-24,53.45,53.53,52.60,53.01,1702300,51.94
2012-07-23,53.90,54.11,53.24,53.50,1416400,52.42
2012-07-20,54.11,54.11,53.72,53.96,2039700,52.87
2012-07-19,54.43,54.43,53.85,54.19,1565600,53.10
2012-07-18,54.12,54.47,54.08,54.37,947700,53.28
2012-07-17,54.21,54.47,53.96,54.23,1147000,53.14
2012-07-16,54.02,54.34,54.01,54.19,1062400,53.10
2012-07-13,53.68,54.22,53.68,54.19,1876000,53.10
2012-07-12,53.65,53.94,53.57,53.70,1510300,52.62
2012-07-11,53.80,54.12,53.64,54.04,1143400,52.95
2012-07-10,53.82,54.07,53.55,53.70,1450600,52.62
2012-07-09,53.84,53.89,53.47,53.77,1179700,52.69
2012-07-06,53.46,53.94,53.37,53.83,1205500,52.75
2012-07-05,54.06,54.13,53.72,53.78,1460900,52.70
2012-07-03,54.30,54.48,53.99,54.23,889900,53.14
2012-07-02,54.00,54.46,53.93,54.39,1557300,53.30
2012-06-29,54.34,54.44,53.59,54.00,2330100,52.91
2012-06-28,53.69,53.83,53.25,53.77,1651200,52.69
2012-06-27,53.46,54.00,53.46,53.92,1162600,52.84
2012-06-26,53.35,53.66,53.10,53.37,1768900,52.30
2012-06-25,53.55,53.62,53.27,53.34,1779700,52.27
2012-06-22,53.73,53.85,53.43,53.61,2577300,52.53
2012-06-21,54.34,54.63,53.64,53.68,1899600,52.60
2012-06-20,54.54,54.69,53.97,54.17,2951700,53.08
2012-06-19,54.40,54.59,54.07,54.38,2469600,53.29
2012-06-18,53.70,54.30,53.69,54.29,2134000,53.20
2012-06-15,53.94,54.10,53.66,53.78,2886200,52.70
2012-06-14,53.13,53.81,53.09,53.72,2813700,52.64
2012-06-13,52.80,53.20,52.47,53.05,2063100,51.98
2012-06-12,52.80,52.89,52.33,52.83,2644000,51.77
2012-06-11,53.41,53.58,52.74,52.81,2033200,51.75
2012-06-08,52.74,53.30,52.74,53.23,2563000,52.16
2012-06-07,52.47,52.87,52.42,52.74,2942100,51.68
2012-06-06,51.73,52.25,51.53,52.25,2473000,51.20
2012-06-05,51.42,51.60,51.28,51.47,2582600,50.43
2012-06-04,51.67,51.80,51.42,51.53,1843500,50.49
2012-06-01,51.70,52.01,51.58,51.63,2303000,50.59
2012-05-31,51.75,52.36,51.65,52.06,1945400,51.01
2012-05-30,52.04,52.53,51.75,51.86,2340200,50.82
2012-05-29,52.73,52.73,52.27,52.50,7039700,50.93
2012-05-25,52.52,52.74,52.42,52.55,7568400,50.98
2012-05-24,52.25,52.65,52.10,52.50,7291900,50.93
2012-05-23,52.37,52.62,51.73,52.21,2352400,50.65
2012-05-22,52.27,52.70,52.24,52.47,1720900,50.90
2012-05-21,52.35,52.40,51.95,52.23,2103900,50.66
2012-05-18,51.97,52.52,51.95,52.29,2827300,50.72
2012-05-17,52.47,52.59,51.88,51.89,1792600,50.34
2012-05-16,52.42,52.58,52.22,52.51,1873400,50.94
2012-05-15,52.65,52.71,52.17,52.30,1918600,50.73
2012-05-14,51.90,52.38,51.84,52.27,1810300,50.70
2012-05-11,51.96,52.38,51.78,52.22,1545900,50.66
2012-05-10,51.93,52.29,51.82,52.11,1123400,50.55
2012-05-09,51.62,52.05,51.57,51.67,1639400,50.12
2012-05-08,51.65,52.01,51.62,51.96,1378700,50.40
2012-05-07,51.95,52.10,51.70,51.87,1281500,50.32
2012-05-04,51.88,52.32,51.84,51.99,1585700,50.43
2012-05-03,51.99,52.35,51.88,51.92,1487800,50.36
2012-05-02,52.30,52.40,51.89,52.11,1620000,50.55
2012-05-01,52.25,52.60,51.92,52.44,1727700,50.87
2012-04-30,51.99,52.24,51.84,52.19,2384900,50.63
2012-04-27,52.01,52.21,51.78,52.07,3623800,50.51
2012-04-26,51.97,52.21,51.15,51.89,3622800,50.34
2012-04-25,51.03,51.38,50.77,51.24,3148200,49.70
2012-04-24,50.81,50.97,50.63,50.81,3460400,49.29
2012-04-23,50.94,51.02,50.60,50.85,1540900,49.33
2012-04-20,50.54,51.12,50.51,51.02,2740000,49.49
2012-04-19,50.62,50.73,50.35,50.54,2178000,49.03
2012-04-18,50.78,50.92,50.61,50.62,1954300,49.10
2012-04-17,51.02,51.22,50.63,50.99,2152500,49.46
2012-04-16,50.44,50.84,50.38,50.74,2527400,49.22
2012-04-13,50.32,50.78,50.23,50.28,4782500,48.77
2012-04-12,50.16,50.30,49.87,50.30,2517200,48.79
2012-04-11,50.53,50.63,50.12,50.17,2480200,48.67
2012-04-10,50.86,50.86,50.10,50.20,2680100,48.70
2012-04-09,51.03,51.30,50.89,50.90,2213000,49.37
2012-04-05,51.47,51.51,51.27,51.38,2166500,49.84
2012-04-04,51.27,51.87,51.25,51.59,2122500,50.04
2012-04-03,51.39,51.60,51.21,51.54,2416400,50.00
2012-04-02,51.17,51.75,51.01,51.50,2015200,49.96
2012-03-30,50.86,51.24,50.81,51.21,2285400,49.68
2012-03-29,50.52,50.82,50.18,50.78,1495400,49.26
2012-03-28,50.88,51.17,50.45,50.69,1779100,49.17
2012-03-27,50.71,51.19,50.70,51.01,1869300,49.48
2012-03-26,50.53,50.94,50.44,50.71,1697100,49.19
2012-03-23,50.48,50.71,50.24,50.28,1914100,48.77
2012-03-22,50.21,50.65,50.20,50.42,2416300,48.91
2012-03-21,50.64,50.77,50.38,50.46,1462600,48.95
2012-03-20,50.25,50.84,50.23,50.64,2340200,49.12
2012-03-19,50.25,50.73,50.17,50.26,1644700,48.75
2012-03-16,50.44,50.66,50.24,50.32,2834300,48.81
2012-03-15,50.51,50.85,50.33,50.48,2206900,48.97
2012-03-14,51.31,51.45,50.46,50.55,2584500,49.04
2012-03-13,51.38,51.47,51.00,51.36,1900200,49.82
2012-03-12,50.86,51.40,50.79,51.33,2355000,49.79
2012-03-09,50.76,50.80,50.38,50.76,1728400,49.24
2012-03-08,50.57,50.71,50.31,50.60,1367200,49.08
2012-03-07,50.43,50.57,50.13,50.49,1616200,48.98
2012-03-06,50.57,50.65,50.23,50.52,1674100,49.01
2012-03-05,50.38,50.92,50.21,50.82,1513900,49.30
2012-03-02,50.38,50.65,50.13,50.52,1782500,49.01
2012-03-01,50.44,50.88,50.17,50.41,2473400,48.90
2012-02-29,50.79,50.94,50.33,50.47,2497800,48.96
2012-02-28,51.51,51.65,51.07,51.25,2443500,49.20
2012-02-27,51.14,51.51,50.95,51.41,11687600,49.36
2012-02-24,51.00,51.50,50.84,51.32,8602700,49.27
2012-02-23,50.45,50.97,50.44,50.94,8797300,48.90
2012-02-22,50.07,50.58,50.07,50.47,1821700,48.45
2012-02-21,50.71,50.71,50.13,50.14,3037500,48.14
2012-02-17,50.63,50.67,50.28,50.57,2198500,48.55
2012-02-16,50.15,50.52,50.13,50.42,1841000,48.41
2012-02-15,50.26,50.27,49.91,50.08,2037500,48.08
2012-02-14,49.91,50.36,49.76,50.23,2266600,48.22
2012-02-13,49.99,50.16,49.80,49.93,1854700,47.93
2012-02-10,49.77,49.91,49.56,49.91,1432700,47.92
2012-02-09,50.16,50.16,49.83,49.86,2808800,47.87
2012-02-08,50.50,50.64,49.97,50.20,1933800,48.19
2012-02-07,50.15,50.61,49.84,50.42,2188000,48.41
2012-02-06,50.22,50.48,50.11,50.27,1386400,48.26
2012-02-03,50.87,50.97,50.13,50.38,2781800,48.37
2012-02-02,50.47,50.83,50.35,50.51,2566700,48.49
2012-02-01,50.11,50.62,50.11,50.42,3834200,48.41
2012-01-31,49.48,50.09,49.28,50.04,4530300,48.04
2012-01-30,49.64,49.64,48.87,49.34,4842300,47.37
2012-01-27,50.64,50.99,49.44,49.56,6158000,47.58
2012-01-26,51.06,51.18,50.51,50.85,2986500,48.82
2012-01-25,50.15,51.23,49.69,51.11,2768300,49.07
2012-01-24,50.33,50.90,49.92,50.31,1763100,48.30
2012-01-23,50.58,51.00,50.22,50.48,3427000,48.46
2012-01-20,50.34,50.57,50.03,50.57,2244500,48.55
2012-01-19,50.49,50.61,50.09,50.30,1990400,48.29
2012-01-18,50.80,50.85,50.08,50.43,2355100,48.41
2012-01-17,50.77,51.20,50.55,50.80,2588200,48.77
2012-01-13,50.45,50.66,50.17,50.60,3012800,48.58
2012-01-12,51.30,51.40,50.90,50.93,2048500,48.89
2012-01-11,51.19,51.40,51.03,51.17,1819500,49.13
2012-01-10,51.54,51.65,51.28,51.29,2143400,49.24
2012-01-09,51.41,51.57,51.06,51.36,2374400,49.31
2012-01-06,51.99,52.05,51.31,51.43,5577700,49.37
2012-01-05,51.93,52.13,51.32,51.96,2842600,49.88
2012-01-04,52.50,52.62,51.93,52.07,2023800,49.99
2012-01-03,53.47,53.68,52.26,52.50,2668500,50.40
2011-12-30,53.50,53.58,53.06,53.08,1254500,50.96
2011-12-29,53.01,53.59,53.01,53.53,1335100,51.39
2011-12-28,53.38,53.55,53.03,53.08,1439000,50.96
2011-12-27,52.85,53.50,52.85,53.43,1108900,51.29
