Date,Open,High,Low,Close,Volume,Adj Close
2012-12-26,59.07,59.15,58.33,58.60,545100,58.60
2012-12-24,59.40,59.40,58.84,59.00,301800,59.00
2012-12-21,59.68,59.78,59.40,59.42,1340200,59.42
2012-12-20,60.33,60.33,59.81,60.05,773600,60.05
2012-12-19,60.53,60.68,60.01,60.18,747900,60.18
2012-12-18,59.68,60.83,59.49,60.56,938700,60.56
2012-12-17,59.35,59.70,59.07,59.46,868400,59.46
2012-12-14,58.71,59.76,58.50,59.17,1162800,59.17
2012-12-13,58.84,59.07,58.55,58.73,671800,58.73
2012-12-12,58.46,59.44,58.35,58.89,709300,58.89
2012-12-11,58.02,58.65,57.98,58.54,1095200,58.54
2012-12-10,58.15,58.26,57.96,58.04,574400,58.04
2012-12-07,58.44,58.44,57.92,58.26,424800,58.26
2012-12-06,58.11,58.36,57.93,58.29,649300,58.29
2012-12-05,57.91,58.41,57.50,58.09,754400,58.09
2012-12-04,57.68,57.98,57.45,57.85,868400,57.85
2012-12-03,57.92,58.32,57.72,57.74,883500,57.74
2012-11-30,58.01,58.22,57.46,57.78,1474100,57.78
2012-11-29,57.68,58.51,57.47,58.11,850600,58.11
2012-11-28,56.95,57.51,56.72,57.41,690400,57.41
2012-11-27,57.02,57.50,56.86,57.12,695200,57.12
2012-11-26,57.65,57.87,56.59,57.24,1538400,57.24
2012-11-23,57.43,58.00,57.29,57.98,274400,57.98
2012-11-21,57.25,57.55,56.88,57.23,817700,57.23
2012-11-20,57.71,57.78,56.85,57.34,892000,57.34
2012-11-19,57.99,58.24,57.69,57.89,965400,57.89
2012-11-16,56.77,57.95,56.60,57.80,1488500,57.80
2012-11-15,56.37,56.64,55.98,56.50,522500,56.50
2012-11-14,56.69,57.02,56.17,56.31,631600,56.31
2012-11-13,57.11,57.35,56.66,56.67,970000,56.67
2012-11-12,57.32,57.80,57.04,57.21,507200,57.21
2012-11-09,57.29,58.05,57.01,57.17,763000,57.17
2012-11-08,58.01,58.32,57.32,57.33,568500,57.33
2012-11-07,58.72,59.19,57.96,58.06,651200,58.06
2012-11-06,58.39,59.15,58.06,58.93,604000,58.93
2012-11-05,57.54,58.49,57.47,58.42,579300,58.42
2012-11-02,58.60,58.67,57.93,57.94,605100,57.94
2012-11-01,57.73,58.46,57.61,58.44,668000,58.44
2012-10-31,58.53,58.64,57.47,57.72,625100,57.72
2012-10-26,58.61,58.76,57.95,58.33,795300,58.33
2012-10-25,58.69,58.79,58.15,58.60,964900,58.60
2012-10-24,58.55,58.85,58.33,58.43,780700,58.43
2012-10-23,58.96,58.96,58.28,58.33,913800,58.33
2012-10-22,59.05,59.54,58.72,59.40,691700,59.40
2012-10-19,60.37,60.38,59.11,59.17,1025600,59.17
2012-10-18,59.56,61.03,59.05,60.54,2244100,60.54
2012-10-17,61.78,62.01,59.75,59.75,3561700,59.75
2012-10-16,63.86,64.07,62.94,63.37,1503700,63.37
2012-10-15,63.41,64.00,63.26,63.95,685100,63.95
2012-10-12,64.41,64.43,63.30,63.39,562400,63.39
2012-10-11,63.78,64.76,63.67,64.24,701700,64.24
2012-10-10,63.70,63.86,63.20,63.41,555800,63.41
2012-10-09,64.47,64.73,63.39,63.58,694800,63.58
2012-10-08,64.24,64.87,64.02,64.68,543500,64.68
2012-10-05,64.26,64.56,63.98,64.17,332500,64.17
2012-10-04,64.02,64.16,63.37,64.07,409900,64.07
2012-10-03,63.75,64.09,63.44,64.00,582900,64.00
2012-10-02,63.65,63.86,63.01,63.62,713800,63.62
2012-10-01,63.55,63.78,63.06,63.39,913800,63.39
2012-09-28,63.27,63.54,62.83,63.43,709500,63.43
2012-09-27,62.55,63.78,62.47,63.51,658000,63.51
2012-09-26,63.01,63.17,62.46,62.52,471300,62.35
2012-09-25,62.94,63.41,62.86,63.07,594200,62.90
2012-09-24,62.87,63.06,62.34,62.90,647100,62.73
2012-09-21,62.68,63.25,62.65,63.00,901000,62.83
2012-09-20,62.29,62.73,62.03,62.57,514000,62.40
2012-09-19,62.30,62.58,61.88,62.47,713100,62.30
2012-09-18,61.95,62.76,61.76,62.19,470900,62.02
2012-09-17,61.58,62.09,61.30,61.88,546200,61.71
2012-09-14,61.81,61.81,61.11,61.54,1033000,61.37
2012-09-13,61.36,62.30,61.12,62.19,711400,62.02
2012-09-12,61.78,61.91,61.14,61.35,647100,61.18
2012-09-11,61.69,61.99,61.53,61.77,558500,61.60
2012-09-10,61.96,62.02,61.55,61.57,610200,61.40
2012-09-07,62.42,62.50,61.78,61.98,570800,61.81
2012-09-06,61.47,62.69,61.41,62.47,984900,62.30
2012-09-05,60.83,61.44,60.69,61.14,694300,60.97
2012-09-04,60.31,60.95,60.05,60.80,965600,60.63
2012-08-31,60.35,60.67,60.06,60.47,521100,60.31
2012-08-30,60.42,60.59,59.71,60.14,754100,59.98
2012-08-29,60.54,61.07,60.32,60.83,436500,60.66
2012-08-28,60.30,60.73,60.10,60.54,701400,60.38
2012-08-27,60.75,61.03,60.30,60.68,647700,60.52
2012-08-24,59.60,60.60,59.60,60.50,513200,60.34
2012-08-23,60.11,60.16,59.38,59.67,603500,59.51
2012-08-22,60.59,60.78,59.77,60.10,779100,59.94
2012-08-21,60.78,61.11,60.58,60.60,527800,60.44
2012-08-20,59.93,61.24,59.93,60.80,732600,60.63
2012-08-17,60.07,60.10,59.60,60.02,760700,59.86
2012-08-16,59.15,60.00,59.06,60.00,456700,59.84
2012-08-15,59.41,59.62,59.11,59.27,425900,59.11
2012-08-14,59.79,59.98,59.20,59.37,341900,59.21
2012-08-13,59.48,59.76,59.44,59.68,427100,59.52
2012-08-10,59.58,59.70,59.05,59.47,610000,59.31
2012-08-09,60.13,60.48,59.65,59.78,538100,59.62
2012-08-08,59.69,60.28,59.53,60.17,923600,60.01
2012-08-07,59.00,59.75,59.00,59.40,496800,59.24
2012-08-06,59.24,59.55,58.87,58.91,669600,58.75
2012-08-03,58.86,59.64,58.72,59.26,659600,59.10
2012-08-02,58.15,58.40,57.57,58.19,824500,58.03
2012-08-01,59.52,59.83,58.25,58.26,1679200,58.10
2012-07-31,58.82,59.25,58.40,58.43,850500,58.27
2012-07-30,58.66,58.97,58.31,58.79,663700,58.63
2012-07-27,58.35,58.89,57.95,58.78,749800,58.62
2012-07-26,58.30,58.34,57.83,58.25,748200,58.09
2012-07-25,57.36,57.81,57.10,57.66,909800,57.50
2012-07-24,57.51,57.97,56.84,57.26,1129100,57.10
2012-07-23,58.20,58.65,57.12,57.50,1570200,57.34
2012-07-20,60.75,60.84,58.54,58.76,1464900,58.60
2012-07-19,60.36,61.39,59.59,61.04,2457500,60.87
2012-07-18,62.67,63.21,62.63,63.06,1210900,62.89
2012-07-17,63.49,63.68,62.60,63.02,1113000,62.85
2012-07-16,63.00,63.64,62.88,63.46,1143400,63.29
2012-07-13,63.01,63.07,62.56,63.00,1628500,62.83
2012-07-12,60.85,63.98,60.79,63.09,4385500,62.92
2012-07-11,60.60,60.85,60.43,60.78,727300,60.61
