Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,49.92,50.20,49.84,49.88,2772000,49.88
2012-12-21,50.41,50.75,49.68,50.00,15996900,50.00
2012-12-20,49.83,51.06,49.83,50.93,8410700,50.93
2012-12-19,50.15,50.51,49.94,49.94,8382100,49.94
2012-12-18,49.35,50.32,49.15,50.22,14023800,50.22
2012-12-17,48.72,49.32,48.67,49.28,10324500,49.28
2012-12-14,49.01,49.12,48.55,48.67,8086400,48.67
2012-12-13,49.61,49.69,48.91,49.11,6108000,49.11
2012-12-12,49.76,50.07,49.42,49.64,6474300,49.64
2012-12-11,49.37,49.99,49.36,49.48,9040000,49.48
2012-12-10,49.21,49.51,49.19,49.30,5264500,49.30
2012-12-07,49.18,49.38,49.01,49.24,5279200,49.24
2012-12-06,48.78,49.13,48.56,49.06,4828900,49.06
2012-12-05,49.43,49.90,49.14,49.59,9182300,48.84
2012-12-04,49.25,49.45,48.85,49.30,8400900,48.55
2012-12-03,49.77,50.00,49.27,49.29,8395400,48.54
2012-11-30,49.81,49.94,49.25,49.66,12343900,48.91
2012-11-29,49.51,49.85,49.32,49.72,7232200,48.97
2012-11-28,48.47,49.25,47.84,49.20,8148500,48.46
2012-11-27,49.06,49.20,48.53,48.60,6720400,47.86
2012-11-26,48.98,49.43,48.91,49.03,6935800,48.29
2012-11-23,48.89,49.28,48.80,49.26,3353600,48.51
2012-11-21,48.50,48.95,48.40,48.68,6763300,47.94
2012-11-20,47.78,48.50,47.66,48.44,7465100,47.71
2012-11-19,47.70,48.03,47.45,47.91,8512400,47.19
2012-11-16,47.59,47.76,47.05,47.42,9833400,46.70
2012-11-15,47.24,47.64,46.96,47.47,11416900,46.75
2012-11-14,48.03,48.04,47.05,47.17,9776400,46.46
2012-11-13,47.28,48.42,47.28,47.96,12269300,47.23
2012-11-12,47.49,47.63,46.96,47.45,12344500,46.73
2012-11-09,46.99,47.95,46.53,47.06,34216900,46.35
2012-11-08,50.09,50.84,49.92,50.04,11124200,49.28
2012-11-07,50.65,50.65,49.59,50.08,8533200,49.32
2012-11-06,50.57,50.70,50.08,50.47,7691200,49.71
2012-11-05,50.81,50.86,49.82,50.32,9575100,49.56
2012-11-02,50.63,50.99,49.77,49.86,14027500,49.11
2012-11-01,49.28,50.31,49.28,49.78,10582900,49.03
2012-10-31,51.15,51.24,48.80,49.12,20702900,48.38
2012-10-26,50.36,50.54,49.52,50.08,8359800,49.32
2012-10-25,50.93,51.03,49.96,50.26,6794100,49.50
2012-10-24,50.95,51.08,50.56,50.65,6069500,49.88
2012-10-23,51.33,51.35,50.75,50.76,8531000,49.99
2012-10-22,51.81,52.05,51.40,51.79,6131800,51.01
2012-10-19,52.50,52.59,51.60,51.90,8454800,51.12
2012-10-18,52.26,52.74,52.12,52.42,6290600,51.63
2012-10-17,51.40,52.40,51.33,52.29,7787900,51.50
2012-10-16,51.17,51.50,51.08,51.24,4997300,50.47
2012-10-15,50.59,50.81,50.36,50.79,6871200,50.02
2012-10-12,50.55,50.75,50.42,50.59,6135600,49.82
2012-10-11,51.33,51.56,50.20,50.34,10118400,49.58
2012-10-10,51.39,51.63,51.09,51.21,6407900,50.44
2012-10-09,52.32,52.33,51.46,51.51,8072100,50.73
2012-10-08,52.37,52.50,52.11,52.33,5827900,51.54
2012-10-05,52.84,53.15,52.76,52.97,5223200,52.17
2012-10-04,52.72,53.08,52.39,52.63,6507800,51.83
2012-10-03,51.72,52.69,51.69,52.47,6626600,51.68
2012-10-02,52.13,52.25,51.47,51.64,7243900,50.86
2012-10-01,52.31,52.86,51.92,52.07,6557200,51.28
2012-09-28,52.41,52.53,52.05,52.28,6695200,51.49
2012-09-27,52.12,52.78,51.97,52.58,5309400,51.78
2012-09-26,52.42,52.60,51.77,51.94,8017900,51.15
2012-09-25,52.89,53.40,52.54,52.54,7421200,51.75
2012-09-24,52.67,53.05,52.61,52.92,6148000,52.12
2012-09-21,52.94,53.39,52.73,52.74,13229300,51.94
2012-09-20,52.43,52.91,52.43,52.66,8598300,51.86
2012-09-19,51.78,52.95,51.78,52.70,7822500,51.90
2012-09-18,52.03,52.12,51.77,51.90,7100800,51.12
2012-09-17,52.32,52.43,51.96,52.15,7852900,51.36
2012-09-14,52.45,52.75,52.17,52.35,9507000,51.56
2012-09-13,51.73,52.67,51.73,52.60,11184700,51.80
2012-09-12,51.60,51.79,51.27,51.70,7100200,50.92
2012-09-11,51.47,51.67,51.43,51.56,6631700,50.78
2012-09-10,51.61,51.80,51.48,51.52,7479300,50.74
2012-09-07,51.87,52.00,51.66,51.74,8923600,50.96
2012-09-06,50.70,51.87,50.64,51.86,10124600,51.08
2012-09-05,50.14,51.24,50.09,50.79,16689300,50.02
2012-09-04,49.52,49.83,49.23,49.66,6988700,48.91
2012-08-31,49.64,49.90,49.40,49.47,6232500,48.72
2012-08-30,49.72,49.78,49.37,49.42,6697800,48.67
2012-08-29,49.64,50.17,49.59,50.04,7685100,49.28
2012-08-28,49.44,49.85,49.29,49.63,7962400,48.88
2012-08-27,49.49,49.85,49.41,49.63,6228800,48.88
2012-08-24,49.08,49.61,49.01,49.56,5793700,48.81
2012-08-23,49.61,49.66,49.03,49.17,5428300,48.43
2012-08-22,49.60,50.15,49.50,49.66,6759400,48.91
2012-08-21,50.41,50.48,49.51,49.64,7683200,48.89
2012-08-20,50.32,50.59,50.15,50.45,6937100,49.69
2012-08-17,50.37,50.55,50.33,50.46,6354700,49.70
2012-08-16,49.99,50.42,49.80,50.25,8285700,49.49
2012-08-15,49.65,49.97,49.65,49.89,4887100,49.14
2012-08-14,49.93,50.15,49.53,49.69,6365900,48.94
2012-08-13,49.53,49.99,49.46,49.86,4875000,49.11
