Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,45.19,45.19,44.63,44.86,666200,44.86
2012-12-21,45.07,45.44,44.54,45.13,3043500,45.13
2012-12-20,46.71,46.90,45.25,45.47,3044200,45.47
2012-12-19,47.44,47.44,46.81,46.81,1475700,46.81
2012-12-18,47.04,47.48,46.77,47.23,2548300,47.23
2012-12-17,46.47,47.14,46.23,46.88,1619600,46.88
2012-12-14,45.93,46.59,45.72,46.46,2037700,46.46
2012-12-13,45.48,46.11,45.26,45.92,2682300,45.92
2012-12-12,46.59,46.59,45.41,45.80,3490900,45.80
2012-12-11,47.00,47.07,46.08,46.31,2189800,46.31
2012-12-10,46.67,47.14,46.56,46.81,1887700,46.81
2012-12-07,47.13,47.31,46.38,46.66,1734800,46.66
2012-12-06,47.00,47.35,46.74,47.04,1949800,47.04
2012-12-05,47.04,47.35,46.65,47.20,2343400,47.20
2012-12-04,48.00,48.58,46.58,47.40,10527200,47.40
2012-12-03,53.14,53.32,52.37,52.42,1129300,52.42
2012-11-30,53.27,53.32,52.68,52.88,1489900,52.88
2012-11-29,53.95,54.19,53.52,53.65,892400,53.65
2012-11-28,52.88,53.85,52.10,53.85,1199700,53.85
2012-11-27,53.27,53.48,52.80,52.95,818100,52.95
2012-11-26,53.24,53.45,52.61,53.24,911400,53.24
2012-11-23,52.76,53.62,52.76,53.53,458400,53.53
2012-11-21,52.50,52.89,52.25,52.57,730200,52.57
2012-11-20,51.91,52.73,51.84,52.49,1352300,52.49
2012-11-19,51.39,52.01,51.15,51.90,981400,51.90
2012-11-16,50.59,50.98,50.00,50.92,992400,50.92
2012-11-15,50.25,51.04,50.20,50.48,1262300,50.48
2012-11-14,51.37,51.65,50.25,50.34,806600,50.34
2012-11-13,51.13,51.80,50.85,51.25,575200,51.25
2012-11-12,51.71,51.71,51.01,51.37,814900,51.37
2012-11-09,51.29,51.79,50.95,51.61,943500,51.61
2012-11-08,52.61,52.75,51.15,51.35,1399000,51.35
2012-11-07,53.66,53.74,52.65,52.74,1694500,52.74
2012-11-06,53.24,54.21,53.05,54.07,1281500,54.07
2012-11-05,52.45,53.04,52.03,53.01,1410000,53.01
2012-11-02,53.47,53.62,52.56,52.63,1659200,52.63
2012-11-01,52.93,53.45,52.68,53.20,954000,53.20
2012-10-31,52.90,53.14,52.12,52.62,800600,52.62
2012-10-26,52.74,52.74,52.23,52.54,1136800,52.54
2012-10-25,52.56,52.96,51.94,52.66,1074200,52.66
2012-10-24,53.64,53.64,51.79,52.18,2203400,52.18
2012-10-23,52.93,53.60,52.75,53.45,987100,53.45
2012-10-22,53.82,53.87,53.13,53.66,975700,53.66
2012-10-19,54.91,54.91,53.35,53.83,1727400,53.83
2012-10-18,54.90,55.30,54.73,55.21,821000,55.21
2012-10-17,55.43,55.90,55.08,55.10,812900,55.10
