Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,61.04,61.11,60.58,60.95,191600,60.95
2012-12-21,60.66,61.28,60.23,61.13,1885600,61.13
2012-12-20,60.97,61.27,60.76,61.18,535500,61.18
2012-12-19,61.41,61.41,60.83,60.90,394400,60.90
2012-12-18,61.21,61.55,60.93,61.31,833300,61.31
2012-12-17,60.19,61.22,60.05,61.21,893300,61.21
2012-12-14,60.87,61.18,60.53,60.55,909600,59.93
2012-12-13,61.39,61.48,60.75,60.94,658600,60.32
2012-12-12,61.29,62.00,61.14,61.55,946400,60.92
2012-12-11,61.23,61.45,61.05,61.29,711200,60.66
2012-12-10,60.96,61.28,60.78,61.15,873700,60.52
2012-12-07,61.16,61.46,60.90,61.05,976300,60.42
2012-12-06,61.68,61.81,61.05,61.20,735200,60.57
2012-12-05,60.53,61.90,60.50,61.57,908300,60.94
2012-12-04,60.61,60.98,60.45,60.49,834600,59.87
2012-12-03,60.51,60.75,59.84,60.58,690800,59.96
2012-11-30,60.45,60.69,59.91,60.58,905200,59.96
2012-11-29,59.69,59.90,59.35,59.89,524200,59.28
2012-11-28,59.26,59.70,59.01,59.58,514700,58.97
2012-11-27,59.27,59.73,59.13,59.26,512900,58.65
2012-11-26,58.77,59.74,58.73,59.27,591400,58.66
2012-11-23,59.04,59.16,58.54,58.88,335000,58.28
2012-11-21,59.39,59.40,58.45,59.02,761800,58.42
2012-11-20,59.21,59.38,58.66,59.29,675300,58.68
2012-11-19,59.62,59.73,58.85,59.18,779600,58.57
2012-11-16,58.69,59.34,58.34,59.30,851400,58.69
2012-11-15,58.73,59.21,58.20,58.64,832000,58.04
2012-11-14,59.08,59.20,58.59,58.76,946200,58.16
2012-11-13,58.33,59.26,58.30,58.95,887200,58.35
2012-11-12,59.15,59.27,58.33,58.56,463100,57.96
2012-11-09,59.09,59.72,59.08,59.19,547600,58.58
2012-11-08,59.45,60.10,59.18,59.31,623500,58.70
2012-11-07,60.44,60.56,58.90,59.46,891700,58.85
2012-11-06,60.52,61.19,60.48,60.76,686900,60.14
2012-11-05,61.13,61.14,60.38,60.39,754600,59.77
2012-11-02,61.83,62.09,61.22,61.28,459800,60.65
2012-11-01,62.20,62.32,61.53,61.62,656800,60.99
2012-10-31,61.80,62.49,61.80,62.10,561500,61.46
2012-10-26,61.61,61.83,61.18,61.66,670600,61.03
2012-10-25,61.22,61.62,60.79,61.60,619300,60.97
2012-10-24,61.13,61.66,60.91,61.02,749100,60.40
2012-10-23,61.16,61.34,60.43,60.74,788000,60.12
2012-10-22,61.42,61.64,61.11,61.55,580900,60.92
2012-10-19,61.61,61.97,61.17,61.41,564700,60.78
2012-10-18,61.56,61.92,61.51,61.69,575200,61.06
2012-10-17,61.06,61.69,61.06,61.59,542000,60.96
2012-10-16,60.91,61.26,60.67,60.94,450800,60.32
2012-10-15,60.50,60.81,60.13,60.78,531000,60.16
2012-10-12,60.94,60.94,60.25,60.38,447700,59.76
2012-10-11,60.91,61.03,60.53,60.76,754000,60.14
2012-10-10,60.82,61.01,60.40,60.59,632900,59.97
2012-10-09,60.56,60.88,60.47,60.72,232600,60.10
2012-10-08,60.64,60.89,60.40,60.68,233900,60.06
2012-10-05,60.75,61.08,60.57,60.67,473100,60.05
2012-10-04,60.43,60.96,60.32,60.58,355300,59.96
2012-10-03,59.92,60.25,59.81,60.23,700800,59.61
2012-10-02,59.64,59.98,59.51,59.80,487800,59.19
2012-10-01,59.93,60.16,59.47,59.51,527000,58.90
2012-09-28,59.69,60.09,59.33,59.94,1038800,59.33
2012-09-27,60.11,60.11,59.42,59.76,966500,59.15
2012-09-26,59.85,60.90,59.80,60.00,769800,59.39
2012-09-25,59.61,60.09,59.34,59.71,796000,59.10
2012-09-24,58.79,59.60,58.71,59.55,515600,58.94
2012-09-21,58.92,58.92,58.53,58.81,1078300,58.21
2012-09-20,58.44,58.91,58.35,58.78,588600,58.18
2012-09-19,58.46,58.72,58.37,58.56,644900,57.96
2012-09-18,58.52,58.59,58.06,58.46,938000,57.86
2012-09-17,58.78,59.02,58.31,58.52,721900,57.92
2012-09-14,59.17,59.52,58.61,58.81,767300,58.21
2012-09-13,58.68,59.29,58.57,59.27,759300,58.66
2012-09-12,59.67,59.67,59.12,59.24,1004900,58.02
2012-09-11,59.61,59.85,59.45,59.61,742900,58.38
2012-09-10,59.68,59.68,59.44,59.48,355700,58.25
2012-09-07,59.69,59.80,59.36,59.49,440900,58.26
2012-09-06,59.41,59.75,59.29,59.69,431200,58.46
2012-09-05,59.37,59.57,59.02,59.10,676900,57.88
2012-09-04,58.60,59.45,58.42,59.42,2314000,58.20
2012-08-31,58.74,58.77,58.22,58.40,1930400,57.20
2012-08-30,58.72,58.79,58.42,58.58,396600,57.37
2012-08-29,58.90,59.06,58.68,58.86,417900,57.65
2012-08-28,59.03,59.08,58.68,58.97,424800,57.76
2012-08-27,58.74,59.09,58.67,58.98,473400,57.77
2012-08-24,58.45,58.83,58.35,58.74,1015900,57.53
2012-08-23,59.42,59.45,58.46,58.53,763400,57.32
2012-08-22,59.76,60.01,59.46,59.49,443900,58.26
2012-08-21,60.60,60.61,59.85,59.86,646100,58.63
2012-08-20,60.47,60.54,60.15,60.45,555100,59.20
2012-08-17,60.39,60.56,60.22,60.53,837900,59.28
2012-08-16,60.34,60.43,60.00,60.39,767500,59.15
2012-08-15,60.00,60.31,59.75,60.24,694000,59.00
2012-08-14,60.33,60.60,59.88,60.01,708300,58.77
2012-08-13,60.37,60.44,60.09,60.21,592500,58.97
2012-08-10,60.20,60.59,60.03,60.51,598600,59.26
2012-08-09,60.68,60.69,60.06,60.22,512900,58.98
