Date,Open,High,Low,Close,Volume,Adj Close
2013-01-07,54.97,55.02,54.47,54.60,3238700,54.60
2013-01-04,53.69,54.70,53.31,54.58,3349500,54.58
2013-01-03,52.34,53.68,52.06,53.39,3714900,53.39
2013-01-02,53.06,53.20,51.63,52.46,4541200,52.46
2012-12-31,50.93,52.11,50.89,52.04,3970100,52.04
2012-12-28,51.86,51.93,51.10,51.15,3184400,51.15
2012-12-27,52.32,52.41,51.55,52.26,2544700,52.26
2012-12-26,53.15,53.35,52.29,52.36,1902500,52.36
2012-12-24,53.31,53.44,52.61,52.87,965600,52.87
2012-12-21,53.21,53.74,53.00,53.46,4521000,53.46
2012-12-20,53.91,54.22,53.40,54.19,3569300,54.19
2012-12-19,53.98,54.13,53.12,53.77,3494200,53.77
2012-12-18,52.14,54.38,52.09,54.14,5161300,54.14
2012-12-17,52.00,52.52,51.81,52.13,3265500,52.13
2012-12-14,52.09,52.20,51.79,51.92,6201600,51.92
2012-12-13,52.88,52.88,52.22,52.33,4396200,52.33
2012-12-12,52.59,53.38,52.46,52.91,4226500,52.91
2012-12-11,52.44,52.74,52.09,52.46,3081100,52.26
2012-12-10,52.85,52.86,52.06,52.32,2576200,52.12
2012-12-07,53.16,53.25,52.41,52.92,2918900,52.72
2012-12-06,52.51,53.33,52.35,53.09,2871000,52.89
2012-12-05,52.02,53.24,51.93,52.62,3330000,52.42
2012-12-04,51.90,52.09,51.62,51.88,4011300,51.68
2012-12-03,52.00,52.38,51.70,51.90,3864300,51.70
2012-11-30,52.58,52.70,51.49,51.67,5763500,51.47
2012-11-29,53.10,53.53,52.52,52.60,3672100,52.40
2012-11-28,52.64,53.21,52.28,53.12,4484500,52.92
2012-11-27,52.90,53.29,52.64,53.12,3631300,52.92
2012-11-26,52.59,52.93,52.42,52.87,2793800,52.67
2012-11-23,53.00,53.24,52.51,53.23,1085600,53.03
2012-11-21,52.75,53.21,52.65,52.89,1788100,52.69
2012-11-20,53.29,53.55,52.48,52.74,3415200,52.54
2012-11-19,53.33,53.69,52.87,53.49,2863900,53.29
2012-11-16,52.62,52.86,51.82,52.40,4110000,52.20
2012-11-15,53.37,53.48,51.98,52.48,4037000,52.28
2012-11-14,53.79,54.00,52.93,53.06,4035100,52.86
2012-11-13,53.52,54.45,53.35,53.70,3578900,53.50
2012-11-12,53.94,54.17,53.78,53.94,2830300,53.73
2012-11-09,53.91,55.02,53.70,53.83,4523100,53.62
2012-11-08,55.04,55.31,53.84,54.02,6761600,53.81
2012-11-07,58.72,58.72,54.07,55.41,9785100,55.20
2012-11-06,58.24,59.71,58.17,59.62,4769100,59.39
2012-11-05,57.55,58.21,57.35,57.83,2414000,57.61
