Date,Open,High,Low,Close,Volume,Adj Close
2013-01-07,74.23,74.36,73.48,73.90,798300,73.90
2013-01-04,74.23,74.54,74.00,74.35,621900,74.35
2013-01-03,74.27,74.74,73.85,74.10,1060200,74.10
2013-01-02,72.94,74.33,72.76,74.33,1533100,74.33
2012-12-31,70.66,71.91,70.33,71.90,888000,71.90
2012-12-28,71.23,71.60,70.70,70.78,620700,70.78
2012-12-27,71.92,72.27,70.84,71.80,696200,71.80
2012-12-26,72.17,72.50,71.69,71.82,1060700,71.82
2012-12-24,71.09,72.28,71.02,72.08,595000,72.08
2012-12-21,70.94,71.84,70.94,71.20,1753900,71.20
2012-12-20,72.11,72.24,71.66,72.23,1026400,72.23
2012-12-19,71.74,72.16,71.28,71.80,1425000,71.80
2012-12-18,71.10,71.91,70.83,71.87,993900,71.87
2012-12-17,70.70,71.08,70.27,71.08,1548600,71.08
2012-12-14,70.36,70.86,70.02,70.52,1021700,70.52
2012-12-13,70.62,70.88,70.36,70.68,1413200,70.45
2012-12-12,72.72,72.73,70.29,70.51,2330100,70.28
2012-12-11,72.12,72.74,71.76,72.53,1238800,72.29
2012-12-10,72.49,72.75,71.66,72.04,1262100,71.81
2012-12-07,72.46,72.79,71.93,72.72,1541100,72.48
2012-12-06,71.17,72.42,71.13,72.39,1080000,72.15
2012-12-05,71.78,72.04,71.04,71.16,1743000,70.93
2012-12-04,71.51,72.15,71.39,71.87,1486900,71.64
2012-12-03,72.00,72.14,71.38,71.52,1717800,71.29
2012-11-30,71.69,72.27,71.51,72.08,2105700,71.85
2012-11-29,71.10,72.00,71.08,71.81,1340900,71.58
2012-11-28,69.69,70.98,69.43,70.97,1331100,70.74
2012-11-27,69.83,70.46,69.57,70.04,1364500,69.81
2012-11-26,69.43,70.09,69.26,69.81,1337300,69.58
2012-11-23,69.87,70.44,69.76,70.35,470300,70.12
2012-11-21,70.31,70.32,69.56,69.70,869100,69.47
2012-11-20,70.00,70.37,69.05,70.32,1031100,70.09
2012-11-19,69.70,70.00,69.21,70.00,1182300,69.77
2012-11-16,68.62,69.15,67.97,68.97,1281700,68.75
2012-11-15,68.27,68.94,68.16,68.70,972800,68.48
2012-11-14,69.47,69.47,68.20,68.26,919900,68.04
2012-11-13,69.21,69.89,69.10,69.25,879800,69.02
2012-11-12,70.05,70.30,69.38,69.42,906200,69.19
2012-11-09,70.00,70.30,69.55,69.87,1079000,69.64
2012-11-08,70.38,70.97,70.01,70.04,883400,69.81
2012-11-07,70.81,71.15,70.10,70.48,1130800,70.25
2012-11-06,70.93,71.57,70.64,71.36,1410400,71.13
2012-11-05,70.66,70.88,70.07,70.74,774200,70.51
2012-11-02,71.00,71.29,70.46,70.61,1360300,70.38
2012-11-01,69.55,70.95,68.92,70.82,1987000,70.59
2012-10-31,69.36,69.71,68.50,69.60,1554400,69.37
