Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,107.54,108.40,107.11,108.11,68200,108.11
2009-12-23,107.07,108.00,106.93,107.76,285100,107.76
2009-12-22,107.32,107.32,105.66,107.06,251300,107.06
2009-12-21,107.21,108.00,106.56,107.31,463000,107.31
2009-12-18,105.87,106.68,103.34,106.49,923800,106.49
2009-12-17,106.45,106.45,104.32,104.62,419100,104.62
2009-12-16,106.10,108.14,105.78,106.37,584400,106.37
2009-12-15,105.70,107.15,104.18,106.01,821900,106.01
2009-12-14,101.86,105.66,101.50,105.66,583400,105.66
2009-12-11,102.42,102.68,101.29,101.63,875700,101.63
2009-12-10,103.47,103.55,101.50,101.68,387600,101.68
2009-12-09,102.38,103.40,101.50,103.02,523100,103.02
2009-12-08,100.49,103.50,98.81,102.52,633800,102.52
2009-12-07,100.10,101.93,99.74,101.06,418400,101.06
2009-12-04,101.19,103.44,99.92,100.85,733900,100.85
2009-12-03,99.20,102.23,99.00,100.65,699600,100.65
2009-12-02,99.73,100.87,98.46,98.63,555800,98.63
2009-12-01,97.88,100.05,96.19,99.73,926500,99.73
2009-11-30,96.90,97.27,94.63,96.19,495600,96.19
2009-11-27,94.79,98.00,93.48,97.28,356800,97.28
2009-11-25,96.82,97.74,95.56,97.48,469200,97.48
2009-11-24,96.18,96.70,95.23,96.70,360000,96.70
2009-11-23,95.79,97.65,95.30,96.66,484400,96.66
2009-11-20,94.97,95.00,93.90,94.95,406700,94.95
2009-11-19,96.11,96.20,93.83,95.34,543500,95.34
2009-11-18,96.25,96.53,95.50,96.40,469400,96.40
2009-11-17,95.91,97.48,95.24,96.59,332900,96.59
2009-11-16,95.59,97.65,95.45,97.18,420900,97.18
2009-11-13,94.55,95.30,93.82,95.10,294200,95.10
2009-11-12,96.06,96.80,94.10,94.38,430400,94.38
2009-11-11,95.88,97.34,95.15,95.70,478200,95.70
2009-11-10,95.00,96.90,94.54,95.53,642400,95.53
2009-11-09,95.48,96.30,94.42,95.75,843200,95.75
2009-11-06,90.89,94.69,89.52,94.29,962800,94.29
2009-11-05,91.25,92.50,89.75,92.02,627700,92.02
2009-11-04,90.25,92.13,89.93,90.21,855800,90.21
2009-11-03,86.22,89.00,85.52,88.90,760400,88.90
2009-11-02,85.39,86.99,84.59,86.63,1162300,86.63
2009-10-30,87.71,88.15,85.32,85.32,1061300,85.32
2009-10-29,88.98,89.60,87.62,87.87,876600,87.87
2009-10-28,89.41,90.56,87.32,87.87,1108500,87.87
2009-10-27,91.62,91.99,89.84,90.62,978400,90.62
2009-10-26,91.94,94.20,91.02,91.65,859900,91.65
2009-10-23,94.00,94.33,91.20,92.29,1333400,92.29
2009-10-22,95.70,99.79,93.81,94.15,3671700,94.15
2009-10-21,98.05,100.20,97.45,97.75,853600,97.75
2009-10-20,99.05,99.58,97.62,98.19,414000,98.19
2009-10-19,98.38,99.50,98.01,98.39,453100,98.39
2009-10-16,97.31,99.30,97.28,98.71,463000,98.71
2009-10-15,96.83,97.99,96.39,97.84,563200,97.84
2009-10-14,96.98,98.18,96.91,97.85,473700,97.85
2009-10-13,95.16,96.37,95.16,96.16,265800,96.16
2009-10-12,96.84,96.84,94.35,94.98,374700,94.98
2009-10-09,94.91,96.00,94.80,95.63,396600,95.63
2009-10-08,95.17,98.00,94.75,95.41,895700,95.41
2009-10-07,92.90,95.18,92.00,95.12,837400,95.12
2009-10-06,90.29,93.00,89.98,92.89,725100,92.89
2009-10-05,88.31,89.99,87.38,89.80,276900,89.80
2009-10-02,88.78,89.11,88.00,88.21,407200,88.21
2009-10-01,91.98,92.45,89.03,89.38,495000,89.38
2009-09-30,90.91,92.54,89.18,92.00,368200,92.00
2009-09-29,90.92,91.63,90.07,91.20,241300,91.20
2009-09-28,90.00,92.62,89.74,91.27,271300,91.27
2009-09-25,89.99,91.12,89.03,89.51,305300,89.51
2009-09-24,91.65,91.83,89.47,90.41,411100,90.41
2009-09-23,92.40,93.23,91.25,91.77,310100,91.77
2009-09-22,93.33,93.59,91.02,92.38,458700,92.38
2009-09-21,91.60,93.45,90.83,92.71,330400,92.71
2009-09-18,94.14,94.45,91.59,91.72,571200,91.72
2009-09-17,93.75,94.90,93.09,93.80,462700,93.80
2009-09-16,91.28,94.82,90.62,94.43,926500,94.43
2009-09-15,90.81,90.97,89.60,90.51,749800,90.51
2009-09-14,88.49,89.06,87.96,88.98,375000,88.98
2009-09-11,87.45,89.49,86.84,89.31,598800,89.31
2009-09-10,86.39,87.79,86.39,87.52,389400,87.52
2009-09-09,83.73,87.06,83.46,86.79,502400,86.79
2009-09-08,84.43,84.72,83.36,84.03,454500,84.03
2009-09-04,82.99,84.37,82.67,83.91,342400,83.91
2009-09-03,81.88,83.30,81.51,83.14,334100,83.14
2009-09-02,81.62,82.22,81.25,81.99,401500,81.99
2009-09-01,83.50,85.72,81.63,82.03,664700,82.03
2009-08-31,84.04,84.44,82.66,84.37,405300,84.37
2009-08-28,86.10,86.27,83.57,84.72,271500,84.72
2009-08-27,85.00,85.00,82.73,84.82,526700,84.82
2009-08-26,86.55,86.55,83.66,84.95,691300,84.95
2009-08-25,87.64,88.35,86.16,86.29,328400,86.29
2009-08-24,86.73,88.65,86.28,86.73,702400,86.73
2009-08-21,84.89,87.19,84.61,86.98,895500,86.98
2009-08-20,81.31,84.45,80.74,84.17,814300,84.17
2009-08-19,79.83,81.86,79.54,81.39,468700,81.39
2009-08-18,79.70,81.37,78.92,80.87,656900,80.87
