Date,Open,High,Low,Close,Volume,Adj Close
2013-01-07,57.27,57.75,56.87,57.66,1170200,57.66
2013-01-04,57.28,58.17,56.96,57.23,1585300,57.23
2013-01-03,57.08,57.48,56.78,57.25,1358600,57.25
2013-01-02,57.54,57.63,56.67,57.01,1322300,57.01
2012-12-31,55.86,56.67,55.75,56.67,1297200,56.67
2012-12-28,56.19,56.71,55.88,55.90,984500,55.90
2012-12-27,56.11,56.53,55.85,56.43,1217500,56.43
2012-12-26,56.78,56.81,55.84,56.05,1868300,56.05
2012-12-24,56.59,56.90,56.26,56.68,725700,56.68
2012-12-21,55.64,56.97,55.64,56.61,4466600,56.61
2012-12-20,55.36,56.50,55.19,56.50,1978800,56.50
2012-12-19,55.55,55.74,55.36,55.39,1806300,55.39
2012-12-18,55.77,56.24,55.69,56.23,1923500,55.46
2012-12-17,55.71,55.91,55.16,55.73,1811200,54.97
2012-12-14,55.16,55.58,55.13,55.49,1410600,54.73
2012-12-13,55.26,55.70,54.90,55.13,1580100,54.38
2012-12-12,55.12,55.63,54.79,55.37,2015100,54.61
2012-12-11,55.25,55.34,54.77,55.00,1764700,54.25
2012-12-10,54.91,55.48,54.90,55.09,1708800,54.34
2012-12-07,55.48,55.73,54.91,55.11,2157000,54.36
2012-12-06,54.67,55.56,54.43,55.56,3445200,54.80
2012-12-05,55.31,55.31,54.34,54.43,2750600,53.69
2012-12-04,55.34,55.50,54.97,54.98,2519400,54.23
2012-12-03,55.76,55.87,55.05,55.21,2507200,54.46
2012-11-30,55.94,55.98,55.07,55.51,4000900,54.75
2012-11-29,55.79,56.10,55.12,55.75,18146200,54.99
2012-11-28,54.76,55.31,54.20,55.18,3209500,54.43
2012-11-27,53.50,56.68,53.25,55.25,5447800,54.50
2012-11-26,54.10,54.99,53.84,54.43,1496100,53.69
2012-11-23,54.44,54.52,54.01,54.46,449800,53.72
2012-11-21,54.35,54.72,53.93,54.06,1064100,53.32
2012-11-20,54.68,54.68,54.07,54.60,1707300,53.86
2012-11-19,54.78,55.24,54.52,54.70,1253900,53.95
2012-11-16,54.45,54.70,53.70,54.31,2094200,53.57
2012-11-15,54.35,54.70,53.99,54.28,1913200,53.54
2012-11-14,56.14,56.14,54.31,54.51,1872100,53.77
2012-11-13,56.01,56.35,55.88,55.96,1143600,55.20
2012-11-12,56.81,56.83,56.05,56.30,1312300,55.53
2012-11-09,56.94,57.33,56.62,56.66,1672800,55.89
2012-11-08,57.82,58.15,57.13,57.13,1151800,56.35
2012-11-07,58.46,58.60,57.94,58.00,1821500,57.21
2012-11-06,58.56,58.85,57.95,58.59,1811700,57.79
2012-11-05,58.82,58.85,58.14,58.56,1676600,57.76
2012-11-02,58.48,59.61,58.22,59.10,2600000,58.29
2012-11-01,57.24,58.15,57.07,58.15,2537000,57.36
2012-10-31,56.80,57.53,56.16,57.41,1837100,56.63
2012-10-26,56.42,56.49,55.57,56.06,1299500,55.30
2012-10-25,56.93,57.05,55.81,56.42,1492200,55.65
2012-10-24,56.48,56.64,55.80,56.12,1243400,55.35
2012-10-23,55.85,56.52,55.64,56.29,1189800,55.52
2012-10-22,56.29,56.79,55.94,56.31,1543300,55.54
2012-10-19,57.50,58.12,56.95,57.13,1717900,56.35
2012-10-18,56.38,57.52,56.30,57.48,957400,56.70
2012-10-17,57.08,57.08,56.13,56.39,1987700,55.62
