Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,64.64,64.66,63.75,64.37,308500,64.37
2012-12-21,63.67,64.72,63.67,64.52,2276100,64.52
2012-12-20,64.49,64.63,63.82,64.41,735000,64.41
2012-12-19,65.25,65.38,64.20,64.26,883500,64.26
2012-12-18,64.35,65.60,64.20,65.38,2109200,65.38
2012-12-17,63.72,64.59,63.69,64.35,1186400,64.35
2012-12-14,63.61,63.81,63.34,63.40,658400,63.40
2012-12-13,63.78,63.95,63.36,63.57,535400,63.57
2012-12-12,64.03,64.46,63.70,63.76,896800,63.76
2012-12-11,63.96,64.43,63.81,64.08,756400,64.08
2012-12-10,63.82,63.99,63.59,63.90,552400,63.90
2012-12-07,63.76,64.06,63.61,63.94,566700,63.94
2012-12-06,63.79,64.08,63.63,63.73,835100,63.73
2012-12-05,62.97,64.08,62.69,63.74,1216400,63.74
2012-12-04,63.45,63.62,62.79,62.96,855700,62.96
2012-12-03,63.55,63.66,62.54,63.39,1208400,63.39
2012-11-30,63.41,63.74,63.21,63.54,1161000,63.54
2012-11-29,63.61,63.62,62.94,63.52,1010000,63.52
2012-11-28,62.31,63.46,62.20,63.44,1824300,63.44
2012-11-27,62.65,62.89,62.21,62.23,1327900,62.23
2012-11-26,61.78,62.82,61.56,62.50,1250200,62.50
2012-11-23,62.35,62.49,61.55,62.04,482300,62.04
2012-11-21,62.50,62.79,61.73,62.28,963700,62.28
2012-11-20,62.62,62.73,61.95,62.50,958900,62.50
2012-11-19,63.15,63.39,62.28,62.55,1293300,62.55
2012-11-16,63.10,63.48,62.32,62.86,1767600,62.86
2012-11-15,63.35,63.71,62.53,63.00,1014200,63.00
2012-11-14,64.31,64.41,63.23,63.35,1200700,63.35
2012-11-13,64.11,65.08,63.87,64.29,967300,64.29
2012-11-12,65.01,65.13,64.17,64.20,886600,64.20
2012-11-09,64.85,65.16,64.60,64.90,1586900,64.90
2012-11-08,65.30,65.99,64.92,65.00,1487600,65.00
2012-11-07,66.78,66.78,65.18,65.26,1569500,65.26
2012-11-06,67.49,67.49,65.69,66.90,2677000,66.90
2012-11-05,68.97,70.22,65.88,67.90,3354800,67.07
2012-11-02,72.80,72.84,71.10,71.23,2058500,70.36
2012-11-01,72.79,72.85,72.15,72.35,1053100,71.47
2012-10-31,72.47,72.98,72.00,72.58,1309300,71.69
2012-10-26,70.35,72.11,69.91,72.10,2056800,71.22
2012-10-25,70.38,70.55,69.80,70.42,638000,69.56
2012-10-24,70.31,70.41,69.86,69.94,490000,69.09
2012-10-23,70.63,70.72,69.97,70.31,689900,69.45
2012-10-22,70.71,71.18,70.46,71.13,671000,70.26
2012-10-19,71.76,71.90,71.07,71.23,750400,70.36
2012-10-18,71.16,71.81,70.94,71.76,570200,70.88
2012-10-17,70.68,71.32,70.12,71.18,575700,70.31
2012-10-16,70.25,70.70,70.02,70.45,466600,69.59
2012-10-15,69.50,70.11,69.28,70.01,647200,69.15
2012-10-12,70.51,70.77,69.64,69.95,973300,69.09
2012-10-11,70.67,71.44,70.18,70.63,879000,69.77
2012-10-10,70.65,70.76,70.09,70.29,383600,69.43
2012-10-09,70.46,70.85,70.29,70.69,572800,69.83
2012-10-08,70.41,70.75,70.09,70.62,339500,69.76
2012-10-05,70.90,71.00,70.31,70.48,459400,69.62
2012-10-04,69.99,70.95,69.93,70.71,829700,69.85
2012-10-03,69.50,70.23,69.40,69.78,693600,68.93
2012-10-02,69.59,69.69,69.02,69.40,470100,68.55
2012-10-01,69.59,69.84,69.11,69.23,590200,68.38
2012-09-28,69.00,69.46,68.70,69.30,773800,68.45
2012-09-27,69.45,69.60,68.96,69.15,662600,68.30
2012-09-26,69.20,69.85,69.20,69.38,698600,68.53
2012-09-25,69.35,69.94,69.15,69.16,757700,68.31
2012-09-24,68.48,69.58,68.30,69.28,805700,68.43
2012-09-21,69.03,69.03,67.96,68.45,1377900,67.61
2012-09-20,68.29,68.92,68.29,68.81,598400,67.97
2012-09-19,68.28,68.65,68.17,68.57,596700,67.73
2012-09-18,68.23,68.50,67.95,68.19,635400,67.36
2012-09-17,68.25,68.77,68.04,68.33,1861700,67.49
2012-09-14,68.69,69.13,68.24,68.36,1324500,67.52
2012-09-13,67.07,68.85,67.07,68.78,824300,67.94
2012-09-12,67.75,67.90,67.14,67.79,1091900,66.96
2012-09-11,68.11,68.19,67.64,67.76,794400,66.93
2012-09-10,69.22,69.22,68.10,68.16,879600,67.33
2012-09-07,69.04,69.28,68.04,68.21,1520900,67.38
2012-09-06,68.97,69.42,68.74,69.25,785600,68.40
2012-09-05,68.86,68.86,68.12,68.31,720800,67.47
2012-09-04,68.17,68.82,68.01,68.62,1057100,67.78
2012-08-31,68.21,68.39,67.74,68.08,918900,67.25
2012-08-30,68.15,68.43,67.90,68.02,612000,67.19
2012-08-29,68.56,68.63,68.08,68.35,934700,67.51
2012-08-28,68.16,68.81,68.16,68.57,891900,67.73
2012-08-27,68.54,68.77,68.19,68.52,838000,67.68
2012-08-24,68.36,68.77,68.10,68.73,784600,67.89
2012-08-23,68.84,68.84,68.03,68.35,756500,67.51
2012-08-22,69.04,69.32,68.43,68.65,957500,67.81
2012-08-21,69.49,69.59,69.04,69.04,799100,68.20
2012-08-20,69.50,69.62,69.13,69.47,809300,68.62
2012-08-17,69.44,69.50,69.07,69.48,996900,68.63
2012-08-16,69.79,70.08,69.44,69.63,1006600,68.78
2012-08-15,69.71,70.43,69.27,69.87,1459100,69.02
2012-08-14,71.53,71.75,70.97,71.11,1151400,70.24
2012-08-13,71.62,71.62,70.99,71.31,1332400,70.44
2012-08-10,71.12,71.81,71.00,71.75,628700,70.87
2012-08-09,71.91,72.07,71.22,71.28,1294400,70.41
2012-08-08,71.36,72.18,70.88,72.11,1716800,71.23
2012-08-07,71.78,71.79,71.04,71.33,1638600,70.46
2012-08-06,73.00,73.03,72.14,72.21,1377400,70.51
2012-08-03,72.48,72.82,72.11,72.71,3630700,71.00
2012-08-02,72.29,72.55,71.33,71.83,2971800,70.14
2012-08-01,72.80,73.98,72.15,72.57,2357700,70.86
2012-07-31,74.50,74.50,72.32,72.67,1493200,70.96
2012-07-30,72.40,73.13,72.32,73.06,995900,71.34
2012-07-27,71.69,72.75,71.69,72.59,991400,70.88
2012-07-26,71.45,71.81,71.04,71.49,777400,69.80
2012-07-25,71.24,71.37,70.54,70.81,795000,69.14
2012-07-24,71.20,71.35,70.69,70.99,1085300,69.32
2012-07-23,71.07,71.22,70.40,71.00,895600,69.33
2012-07-20,71.34,71.94,71.01,71.31,950000,69.63
2012-07-19,71.38,71.62,70.70,71.47,852600,69.78
2012-07-18,70.46,71.56,70.35,71.52,1249400,69.83
2012-07-17,69.93,70.45,69.48,70.45,870700,68.79
2012-07-16,69.55,70.00,69.46,69.91,830600,68.26
2012-07-13,69.48,69.90,69.34,69.60,928900,67.96
2012-07-12,68.97,69.77,68.81,69.46,1050600,67.82
2012-07-11,68.07,69.29,68.07,69.17,1248300,67.54
2012-07-10,67.97,68.39,67.90,68.01,625800,66.41
2012-07-09,67.90,68.27,67.73,67.98,725200,66.38
2012-07-06,67.54,68.09,67.53,67.88,684600,66.28
2012-07-05,68.30,68.46,67.94,67.94,871000,66.34
2012-07-03,68.55,68.75,68.11,68.53,511100,66.91
2012-07-02,68.15,68.65,67.84,68.58,819800,66.96
2012-06-29,68.12,68.20,67.37,67.89,842700,66.29
2012-06-28,66.98,67.64,66.96,67.58,738200,65.99
2012-06-27,66.16,67.46,66.16,67.34,647600,65.75
2012-06-26,66.62,66.87,66.43,66.71,751400,65.14
2012-06-25,66.26,66.58,66.10,66.46,778100,64.89
2012-06-22,66.84,66.94,66.47,66.70,1113000,65.13
2012-06-21,66.83,67.12,66.40,66.55,1553400,64.98
2012-06-20,66.90,67.38,66.32,66.65,857600,65.08
2012-06-19,66.66,67.45,66.59,66.97,1117600,65.39
2012-06-18,66.93,66.93,66.32,66.75,698800,65.18
2012-06-15,66.16,66.69,66.16,66.55,1102200,64.98
2012-06-14,66.11,66.37,65.88,66.10,1089500,64.54
2012-06-13,66.13,66.45,65.74,66.16,766000,64.60
2012-06-12,66.07,66.24,65.70,66.24,816000,64.68
2012-06-11,66.60,66.94,66.06,66.06,1039000,64.50
2012-06-08,65.32,66.42,65.32,66.28,1030300,64.72
2012-06-07,65.64,66.30,65.49,66.06,1272700,64.50
