Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,29.66,29.75,29.38,29.65,2625500,29.65
2012-12-21,29.81,29.95,29.52,29.88,12326900,29.88
2012-12-20,30.15,30.29,29.75,29.95,5459000,29.95
2012-12-19,30.65,30.66,30.05,30.12,7117300,30.12
2012-12-18,29.87,30.62,29.83,30.62,14372500,30.62
2012-12-17,29.63,29.98,29.63,29.93,7654900,29.93
2012-12-14,29.69,29.79,29.43,29.66,4393200,29.66
2012-12-13,29.90,30.03,29.48,29.68,4406400,29.68
2012-12-12,30.00,30.13,29.83,29.90,5402600,29.90
2012-12-11,29.75,30.21,29.66,29.99,6731600,29.99
2012-12-10,29.64,29.80,29.40,29.73,5666400,29.73
2012-12-07,29.51,29.63,29.39,29.57,5089100,29.57
2012-12-06,29.58,29.74,29.20,29.47,7532700,29.47
2012-12-05,29.07,29.67,28.93,29.56,11604500,29.56
2012-12-04,29.25,29.41,28.99,29.01,9910100,29.01
2012-12-03,30.22,30.22,29.13,29.31,14925900,29.31
2012-11-30,30.02,30.23,29.85,30.22,9366100,30.22
2012-11-29,29.85,30.09,29.75,29.96,7470000,29.96
2012-11-28,29.63,29.88,29.35,29.85,9245700,29.85
2012-11-27,29.54,30.06,29.43,29.76,16481900,29.76
2012-11-26,28.82,29.67,28.80,29.32,11979300,29.32
2012-11-23,28.89,28.97,28.40,28.57,3941200,28.57
2012-11-21,28.96,29.15,28.60,28.85,6499100,28.85
2012-11-20,29.16,29.23,28.75,28.98,6576900,28.98
2012-11-19,29.41,29.43,28.95,29.19,7919600,29.19
2012-11-16,29.36,29.40,29.01,29.25,10020800,29.25
2012-11-15,29.33,29.65,29.14,29.37,9651200,29.37
2012-11-14,30.00,30.09,29.31,29.37,10858500,29.37
2012-11-13,30.01,30.39,29.82,29.94,9505800,29.94
2012-11-12,31.16,31.30,30.55,30.77,6805900,30.25
2012-11-09,31.49,31.58,31.06,31.11,21982300,30.58
2012-11-08,31.62,31.97,31.50,31.69,26131300,31.15
2012-11-07,31.84,31.85,30.91,31.44,11093000,30.90
2012-11-06,31.99,32.17,31.60,31.95,8860700,31.40
2012-11-05,32.39,32.66,31.75,32.01,10727300,31.46
2012-11-02,33.38,33.53,32.21,32.77,25142000,32.21
2012-11-01,36.00,36.84,33.24,33.58,30872100,33.01
2012-10-31,35.51,35.82,35.41,35.78,7575200,35.17
2012-10-26,35.65,35.73,35.40,35.49,6706400,34.88
2012-10-25,35.99,36.00,35.42,35.64,7812900,35.03
2012-10-24,36.31,36.31,35.83,35.87,5368000,35.26
2012-10-23,36.53,36.60,36.20,36.26,4744000,35.64
2012-10-22,36.88,37.01,36.62,36.84,4455600,36.21
2012-10-19,37.49,37.50,36.88,37.01,5239500,36.38
2012-10-18,37.18,37.49,37.07,37.48,3612700,36.84
2012-10-17,36.60,37.15,36.57,37.11,4128300,36.48
2012-10-16,36.66,36.79,36.30,36.49,3769400,35.87
2012-10-15,36.11,36.56,36.02,36.56,4613400,35.94
2012-10-12,36.60,36.63,36.00,36.11,4257500,35.49
2012-10-11,36.38,36.89,36.10,36.49,5699100,35.87
2012-10-10,36.20,36.36,36.12,36.30,4633200,35.68
2012-10-09,35.92,36.25,35.85,36.14,5124500,35.52
2012-10-08,35.93,36.04,35.72,35.95,3048100,35.34
2012-10-05,36.11,36.16,35.85,35.91,3880700,35.30
2012-10-04,35.76,36.09,35.65,36.06,5003700,35.44
2012-10-03,35.51,35.71,35.46,35.65,4237200,35.04
2012-10-02,35.45,35.61,35.20,35.53,4487700,34.92
2012-10-01,35.66,35.79,35.35,35.40,4627300,34.80
2012-09-28,35.56,35.69,35.40,35.58,4624500,34.97
2012-09-27,35.63,35.86,35.53,35.65,3794800,35.04
2012-09-26,35.65,35.89,35.59,35.60,4664500,34.99
2012-09-25,35.86,35.89,35.61,35.61,5806500,35.00
2012-09-24,35.52,35.92,35.46,35.87,5756000,35.26
2012-09-21,35.51,35.54,35.25,35.38,8258000,34.78
2012-09-20,35.44,35.49,35.19,35.45,3715500,34.85
2012-09-19,35.58,35.68,35.32,35.50,3956700,34.89
2012-09-18,35.38,35.57,35.27,35.47,4182700,34.86
2012-09-17,36.02,36.02,35.39,35.50,12203400,34.89
2012-09-14,35.70,35.99,35.51,35.94,9441400,35.33
2012-09-13,34.82,35.60,34.82,35.57,7618200,34.96
2012-09-12,35.26,35.33,34.54,34.87,13599800,34.28
2012-09-11,35.79,35.84,35.36,35.49,5041200,34.88
2012-09-10,36.08,36.09,35.55,35.70,6729500,35.09
2012-09-07,36.21,36.25,35.98,36.15,3800700,35.53
2012-09-06,35.95,36.38,35.92,36.20,4102400,35.58
2012-09-05,36.29,36.32,35.76,35.80,6421800,35.19
2012-09-04,36.58,36.58,36.06,36.11,5247800,35.49
2012-08-31,36.79,36.79,36.40,36.47,5137900,35.85
2012-08-30,36.49,36.67,36.48,36.59,4442300,35.97
2012-08-29,36.90,36.97,36.53,36.55,4593000,35.93
2012-08-28,37.08,37.21,36.80,36.85,4020100,36.22
2012-08-27,36.83,37.30,36.78,37.05,4814800,36.42
2012-08-24,36.81,36.86,36.65,36.83,3696000,36.20
2012-08-23,37.09,37.19,36.77,36.86,3835900,36.23
2012-08-22,37.41,37.55,37.07,37.07,4060900,36.44
2012-08-21,37.68,37.79,37.46,37.46,4423000,36.82
2012-08-20,37.50,37.69,37.37,37.68,4679400,37.04
2012-08-17,37.35,37.50,37.33,37.49,3801700,36.85
2012-08-16,37.73,37.85,37.47,37.48,4346000,36.84
2012-08-15,37.97,38.03,37.71,37.78,3699300,37.14
2012-08-14,38.31,38.49,37.93,38.04,5769700,37.39
2012-08-13,38.46,38.53,38.22,38.30,4728600,37.65
2012-08-10,38.55,38.94,38.41,38.92,4933100,37.74
2012-08-09,38.27,38.70,38.10,38.58,6804300,37.41
2012-08-08,38.03,38.29,37.72,38.20,5666100,37.04
2012-08-07,38.34,38.38,37.97,38.01,5928700,36.86
2012-08-06,38.49,38.62,38.05,38.06,5162300,36.91
2012-08-03,38.45,38.55,38.05,38.47,16255700,37.30
2012-08-02,38.13,38.28,37.59,37.96,12424400,36.81
2012-08-01,39.44,39.75,37.76,38.25,18115700,37.09
2012-07-31,39.82,39.82,39.12,39.12,5107300,37.93
2012-07-30,39.37,39.68,39.13,39.49,3999600,38.29
2012-07-27,39.12,39.44,38.98,39.37,5079000,38.18
2012-07-26,38.75,39.09,38.75,38.98,3288400,37.80
2012-07-25,39.02,39.22,38.46,38.50,4963900,37.33
2012-07-24,39.22,39.29,38.70,38.87,6073800,37.69
2012-07-23,39.10,39.31,39.00,39.24,5508700,38.05
2012-07-20,39.01,39.28,38.86,39.24,6959700,38.05
2012-07-19,38.80,39.14,38.53,39.08,5347500,37.90
2012-07-18,38.58,38.89,38.42,38.83,3562100,37.65
2012-07-17,38.50,38.75,38.22,38.71,4028700,37.54
2012-07-16,38.50,38.68,38.31,38.47,3650100,37.30
2012-07-13,37.54,38.60,37.52,38.52,6955800,37.35
2012-07-12,37.47,37.61,37.38,37.55,3609600,36.41
2012-07-11,37.17,37.65,37.16,37.59,3273300,36.45
2012-07-10,37.27,37.47,37.09,37.15,4415300,36.02
2012-07-09,37.29,37.38,37.04,37.18,3448100,36.05
2012-07-06,37.17,37.36,37.03,37.35,3921400,36.22
2012-07-05,37.41,37.55,37.17,37.33,3130100,36.20
2012-07-03,37.65,37.80,37.34,37.41,3987700,36.28
2012-07-02,37.63,37.84,37.50,37.69,4751500,36.55
2012-06-29,37.78,37.84,37.37,37.62,5231900,36.48
2012-06-28,37.13,37.43,37.00,37.40,3019100,36.27
2012-06-27,36.71,37.37,36.63,37.32,4176800,36.19
2012-06-26,36.57,36.63,36.27,36.58,5792400,35.47
2012-06-25,36.72,36.90,36.50,36.58,5194700,35.47
2012-06-22,36.89,37.07,36.67,36.90,6742900,35.78
2012-06-21,37.22,37.39,36.75,36.82,6913500,35.70
2012-06-20,37.64,37.67,37.02,37.12,5657900,35.99
2012-06-19,37.56,37.79,37.30,37.62,4822300,36.48
2012-06-18,37.32,37.50,37.22,37.40,4130000,36.27
2012-06-15,37.78,37.93,37.37,37.43,6138400,36.30
2012-06-14,37.37,37.82,37.30,37.79,6403300,36.64
2012-06-13,37.65,37.75,37.25,37.37,6527500,36.24
2012-06-12,37.47,37.70,37.35,37.70,5615200,36.56
2012-06-11,37.93,37.96,37.38,37.54,7193600,36.40
2012-06-08,38.74,38.81,37.20,37.41,14938600,36.28
2012-06-07,38.03,38.99,37.92,38.94,15093600,37.76
2012-06-06,37.47,37.49,37.05,37.45,4205300,36.31
2012-06-05,37.13,37.48,37.05,37.27,4861500,36.14
2012-06-04,36.59,37.27,36.50,37.27,6817200,36.14
2012-06-01,36.55,36.85,36.34,36.70,6745100,35.59
2012-05-31,36.79,37.15,36.57,36.98,6955500,35.86
2012-05-30,36.82,37.10,36.50,36.73,6379400,35.62
2012-05-29,37.05,37.11,36.52,36.96,6098900,35.84
2012-05-25,36.78,37.15,36.78,36.90,3478000,35.78
2012-05-24,36.82,36.99,36.56,36.86,5508600,35.74
2012-05-23,37.06,37.23,36.63,36.81,5426800,35.69
2012-05-22,37.10,37.25,36.77,37.07,6268600,35.95
2012-05-21,37.84,37.84,36.99,37.12,10472100,35.99
2012-05-18,38.24,38.59,37.81,37.89,8075600,36.74
2012-05-17,38.36,38.58,38.23,38.24,3911500,37.08
2012-05-16,38.63,38.88,38.31,38.38,5322400,37.22
2012-05-15,38.74,38.89,38.42,38.49,7265500,37.32
2012-05-14,38.70,39.04,38.70,38.82,6771200,37.64
2012-05-11,38.65,39.05,38.56,38.90,6238800,37.72
2012-05-10,38.52,39.22,38.44,38.94,8197300,37.39
2012-05-09,38.01,38.67,37.90,38.32,7379000,36.80
2012-05-08,38.08,38.24,37.75,38.16,9556900,36.64
2012-05-07,38.44,38.52,38.04,38.19,4671600,36.67
2012-05-04,38.90,39.22,38.48,38.53,5356800,37.00
2012-05-03,39.19,39.36,38.72,38.82,5731300,37.28
2012-05-02,39.20,39.37,39.09,39.28,6428000,37.72
2012-05-01,39.00,39.35,38.87,39.30,5298800,37.74
2012-04-30,38.79,39.04,38.70,39.01,20460100,37.46
2012-04-27,38.70,38.94,38.63,38.92,19016700,37.37
2012-04-26,38.17,38.73,38.03,38.59,4440300,37.06
2012-04-25,38.02,38.16,37.82,38.16,6080500,36.64
2012-04-24,37.70,38.05,37.70,37.94,5495000,36.43
2012-04-23,37.62,37.77,37.60,37.69,4229400,36.19
2012-04-20,37.59,37.88,37.54,37.75,4863400,36.25
2012-04-19,37.63,38.00,37.48,37.61,5023000,36.11
2012-04-18,38.02,38.02,37.60,37.65,4121400,36.15
2012-04-17,38.01,38.12,37.66,38.07,3446800,36.56
2012-04-16,37.59,38.00,37.50,37.81,4293600,36.31
2012-04-13,37.89,38.27,37.48,37.49,5557200,36.00
2012-04-12,38.29,38.29,37.76,37.89,6108400,36.38
2012-04-11,38.18,38.28,38.00,38.18,4791900,36.66
2012-04-10,38.19,38.27,37.97,38.01,8057000,36.50
2012-04-09,38.17,38.37,38.15,38.23,6051700,36.71
2012-04-05,38.72,38.77,38.32,38.37,6534600,36.84
2012-04-04,38.71,38.92,38.60,38.89,5091700,37.34
2012-04-03,39.13,39.17,38.71,38.93,6117700,37.38
2012-04-02,39.31,39.35,39.04,39.21,5158800,37.65
2012-03-30,39.21,39.23,39.04,39.21,5117000,37.65
2012-03-29,38.74,39.15,38.70,39.12,5814100,37.56
2012-03-28,39.02,39.13,38.76,38.85,5220300,37.31
2012-03-27,38.97,39.25,38.95,39.09,5785400,37.54
2012-03-26,38.96,39.06,38.75,38.98,4978100,37.43
2012-03-23,39.00,39.13,38.82,38.84,4294500,37.30
2012-03-22,38.55,39.07,38.51,38.99,6079500,37.44
2012-03-21,38.82,38.87,38.58,38.58,4567000,37.05
2012-03-20,38.89,39.03,38.80,38.83,5007300,37.29
2012-03-19,38.79,39.21,38.79,38.97,5499200,37.42
2012-03-16,38.97,39.00,38.75,38.86,8147900,37.31
2012-03-15,39.13,39.26,38.82,38.95,6282000,37.40
2012-03-14,39.71,39.78,39.05,39.10,6911200,37.55
2012-03-13,39.80,39.89,39.58,39.60,10353600,38.03
2012-03-12,38.89,39.95,38.89,39.81,21725400,38.09
2012-03-09,38.64,38.91,38.31,38.91,6570200,37.23
2012-03-08,38.57,38.63,38.44,38.46,4506100,36.80
2012-03-07,38.77,38.77,38.45,38.49,6964400,36.82
2012-03-06,38.84,38.94,38.60,38.72,5677700,37.04
2012-03-05,38.79,39.04,38.62,38.98,4579100,37.29
2012-03-02,38.95,39.03,38.80,38.88,4345800,37.20
2012-03-01,39.00,39.16,38.80,38.97,4945100,37.28
2012-02-29,39.03,39.28,38.96,39.07,6163000,37.38
2012-02-28,39.15,39.27,38.85,39.01,4338300,37.32
2012-02-27,39.19,39.27,39.03,39.15,3791400,37.46
2012-02-24,39.03,39.45,39.01,39.27,9058700,37.57
2012-02-23,39.17,39.18,38.90,39.02,5098800,37.33
2012-02-22,38.96,39.32,38.83,39.18,6480900,37.48
2012-02-21,39.37,39.50,38.90,38.92,6458800,37.24
