Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,10.17,10.20,10.06,10.13,24895700,9.94
2009-12-23,10.01,10.11,9.93,10.08,64815000,9.90
2009-12-22,9.79,9.90,9.71,9.90,50860300,9.72
2009-12-21,9.77,9.80,9.63,9.67,53335700,9.49
2009-12-18,9.56,9.73,9.47,9.68,88033100,9.50
2009-12-17,9.49,9.56,9.33,9.39,55724600,9.22
2009-12-16,9.44,9.64,9.41,9.49,71460500,9.32
2009-12-15,9.04,9.46,9.03,9.39,109417900,9.22
2009-12-14,9.00,9.10,8.97,9.08,37983700,8.91
2009-12-11,9.09,9.10,8.98,9.00,63474700,8.84
2009-12-10,8.94,9.09,8.90,9.05,63643700,8.88
2009-12-09,8.87,9.01,8.80,8.86,52852400,8.70
2009-12-08,8.87,8.89,8.76,8.82,57473000,8.66
2009-12-07,8.90,9.00,8.80,8.91,41476300,8.75
2009-12-04,9.10,9.14,8.78,8.94,79533500,8.78
2009-12-03,9.05,9.11,8.89,8.94,57935400,8.78
2009-12-02,8.94,9.07,8.91,9.01,63656600,8.84
2009-12-01,9.01,9.07,8.81,8.88,104011700,8.72
2009-11-30,8.78,8.93,8.67,8.89,58900100,8.73
2009-11-27,8.50,8.81,8.40,8.73,42184800,8.57
2009-11-25,8.87,8.90,8.76,8.81,26922600,8.65
2009-11-24,8.80,8.83,8.65,8.81,47088400,8.65
2009-11-23,8.84,8.91,8.67,8.73,61341800,8.57
2009-11-20,8.63,8.78,8.58,8.64,59314700,8.48
2009-11-19,8.82,8.82,8.55,8.73,90625800,8.57
2009-11-18,9.00,9.14,8.80,8.94,120432800,8.78
2009-11-17,8.78,9.00,8.75,8.98,126809600,8.82
2009-11-16,8.51,8.79,8.50,8.71,121719000,8.55
2009-11-13,8.25,8.45,8.24,8.41,86202200,8.26
2009-11-12,8.25,8.44,8.17,8.20,86560300,8.05
2009-11-11,8.33,8.40,8.26,8.33,89390000,8.18
2009-11-10,8.15,8.35,8.04,8.24,136649800,8.09
2009-11-09,7.78,8.18,7.75,8.18,203287900,8.03
2009-11-06,7.40,7.75,7.34,7.75,159975800,7.61
2009-11-05,7.36,7.50,7.32,7.45,125050200,7.31
2009-11-04,7.35,7.43,7.24,7.27,240095200,7.14
2009-11-03,7.35,7.67,7.31,7.44,193783100,7.30
2009-11-02,7.73,7.84,7.35,7.58,208424500,7.44
2009-10-30,7.28,7.30,6.81,7.00,95736100,6.87
2009-10-29,7.14,7.35,7.06,7.30,69469900,7.17
2009-10-28,7.27,7.34,6.89,6.96,94665300,6.83
2009-10-27,7.48,7.53,7.17,7.33,72962600,7.20
2009-10-26,7.70,7.84,7.40,7.47,60580400,7.33
2009-10-23,7.82,7.84,7.55,7.63,47705600,7.49
2009-10-22,7.73,7.87,7.62,7.76,53432400,7.62
2009-10-21,7.69,7.98,7.65,7.78,69777200,7.64
2009-10-20,7.66,7.83,7.65,7.71,50104000,7.57
2009-10-19,7.54,7.68,7.42,7.57,62833900,7.43
2009-10-16,7.56,7.59,7.40,7.42,47371300,7.28
2009-10-15,7.61,7.74,7.61,7.66,40371200,7.52
2009-10-14,7.80,7.81,7.61,7.66,58858200,7.52
2009-10-13,7.58,7.88,7.51,7.62,100372000,7.48
2009-10-12,7.19,7.83,7.16,7.62,152372700,7.48
2009-10-09,7.15,7.16,7.05,7.12,32603200,6.99
2009-10-08,7.19,7.27,7.11,7.18,78355000,7.05
2009-10-07,7.11,7.14,7.00,7.13,33869000,7.00
2009-10-06,7.18,7.22,7.04,7.14,48500800,7.01
2009-10-05,6.94,7.08,6.84,7.05,42693000,6.92
2009-10-02,6.81,6.99,6.61,6.84,55825100,6.71
2009-10-01,7.18,7.25,6.97,6.97,101530900,6.84
2009-09-30,7.48,7.50,7.14,7.21,95959600,7.08
2009-09-29,7.49,7.50,7.36,7.45,46727700,7.31
2009-09-28,7.36,7.50,7.33,7.49,45883900,7.35
2009-09-25,7.34,7.46,7.20,7.29,61908900,7.16
2009-09-24,7.53,7.55,7.21,7.33,88410600,7.20
2009-09-23,7.20,7.59,7.18,7.36,139234200,7.23
2009-09-22,6.92,7.09,6.90,7.01,55582000,6.88
2009-09-21,6.88,6.92,6.75,6.83,52822200,6.70
2009-09-18,6.99,7.06,6.93,6.94,53331300,6.81
2009-09-17,7.05,7.25,6.85,6.92,103372300,6.79
2009-09-16,7.34,7.36,7.02,7.15,107442600,7.02
2009-09-15,7.39,7.44,7.20,7.20,50771500,7.07
2009-09-14,7.30,7.40,7.18,7.39,34515900,7.25
2009-09-11,7.46,7.54,7.30,7.33,48787900,7.20
2009-09-10,7.43,7.48,7.35,7.44,34041200,7.30
2009-09-09,7.32,7.52,7.25,7.39,47496100,7.25
2009-09-08,7.53,7.55,7.27,7.30,45485800,7.17
2009-09-04,7.49,7.55,7.27,7.43,42539800,7.29
2009-09-03,7.14,7.52,6.97,7.48,87169900,7.34
2009-09-02,7.18,7.21,6.87,7.03,65920200,6.90
2009-09-01,7.51,7.77,7.13,7.24,102771300,7.11
2009-08-31,7.60,7.64,7.47,7.60,43810500,7.46
2009-08-28,7.73,7.80,7.69,7.73,44250400,7.59
2009-08-27,7.66,7.71,7.46,7.67,62564800,7.53
2009-08-26,7.61,7.64,7.41,7.61,44502200,7.47
2009-08-25,7.43,7.65,7.43,7.59,53545700,7.45
2009-08-24,7.75,7.81,7.31,7.41,93581500,7.27
2009-08-21,7.79,7.83,7.62,7.74,55283300,7.60
2009-08-20,7.70,7.74,7.66,7.68,29608300,7.54
2009-08-19,7.50,7.75,7.50,7.65,47417600,7.51
2009-08-18,7.52,7.75,7.48,7.64,72395500,7.50
2009-08-17,7.51,7.62,7.13,7.37,78689300,7.23
2009-08-14,7.98,8.01,7.75,7.83,58019400,7.69
2009-08-13,7.85,7.92,7.70,7.90,88102900,7.76
2009-08-12,7.85,7.97,7.69,7.70,73805300,7.56
2009-08-11,7.65,7.93,7.64,7.81,81695400,7.67
2009-08-10,7.94,7.96,7.62,7.72,90356700,7.58
2009-08-07,8.33,8.34,8.00,8.01,95304700,7.86
2009-08-06,8.52,8.55,7.91,8.07,132529500,7.92
2009-08-05,8.51,8.58,8.32,8.44,97215300,8.29
2009-08-04,8.40,8.51,8.09,8.30,122641600,8.15
2009-08-03,8.65,8.86,8.30,8.33,246431700,8.18
2009-07-31,7.46,8.00,7.43,8.00,156355300,7.85
2009-07-30,7.28,7.48,7.18,7.39,88741000,7.25
2009-07-29,7.08,7.32,6.99,7.12,74129700,6.99
2009-07-28,7.20,7.28,7.05,7.14,68800900,7.01
2009-07-27,6.83,7.29,6.72,7.27,104647700,7.14
2009-07-24,6.90,6.92,6.70,6.78,99700500,6.66
2009-07-23,6.94,7.10,6.65,6.98,269099700,6.85
2009-07-22,6.17,6.48,6.13,6.38,91813000,6.26
2009-07-21,6.28,6.30,6.04,6.20,57398800,6.09
2009-07-20,6.20,6.30,6.13,6.19,64037800,6.08
2009-07-17,6.15,6.22,6.03,6.14,62832200,6.03
2009-07-16,5.98,6.14,5.84,6.13,66541300,6.02
2009-07-15,5.98,6.06,5.91,6.05,64814100,5.94
2009-07-14,5.69,5.89,5.60,5.84,56107600,5.73
2009-07-13,5.72,5.74,5.51,5.69,46062800,5.59
2009-07-10,5.53,5.75,5.52,5.72,47272700,5.62
2009-07-09,5.46,5.76,5.32,5.63,60243600,5.53
2009-07-08,5.55,5.61,5.24,5.35,67379800,5.25
2009-07-07,5.74,5.75,5.51,5.53,68322000,5.43
2009-07-06,5.87,6.05,5.68,5.75,73705200,5.64
2009-07-02,5.83,6.08,5.55,5.89,73694800,5.78
2009-07-01,6.12,6.25,5.89,5.91,95888300,5.80
