Date,Open,High,Low,Close,Volume,Adj Close
2012-12-26,33.61,34.15,33.61,33.92,11011100,33.92
2012-12-24,33.41,33.54,33.18,33.50,5948700,33.50
2012-12-21,33.56,33.62,33.20,33.58,19393600,33.58
2012-12-20,34.17,34.24,33.44,33.98,18647800,33.98
2012-12-19,33.92,34.20,33.81,33.95,20787200,33.95
2012-12-18,33.82,34.24,33.57,33.99,27611800,33.99
2012-12-17,33.88,33.89,33.26,33.64,18613500,33.64
2012-12-14,32.76,33.95,32.58,33.78,33485900,33.78
2012-12-13,32.38,32.74,32.20,32.48,19035700,32.48
2012-12-12,32.19,32.74,31.91,32.52,32419000,32.52
2012-12-11,32.37,32.41,31.75,31.99,23952900,31.99
2012-12-10,32.08,32.24,31.38,32.04,32373500,32.04
2012-12-07,31.17,32.60,31.10,31.70,63939000,31.70
2012-12-06,31.27,31.33,30.54,30.81,84815000,30.81
2012-12-05,32.10,33.71,31.72,32.16,153828000,32.16
2012-12-04,38.16,38.80,38.06,38.28,10069700,38.28
2012-12-03,39.25,39.30,38.36,38.40,10310300,38.40
2012-11-30,39.08,39.40,38.75,39.01,8290800,39.01
2012-11-29,39.28,39.54,38.91,39.26,12437900,39.26
2012-11-28,37.77,38.56,37.58,38.56,11767000,38.56
2012-11-27,38.73,39.09,38.41,38.49,8231600,38.49
2012-11-26,38.63,38.89,38.23,38.84,12725800,38.84
2012-11-23,38.72,39.00,38.41,38.88,4973600,38.88
2012-11-21,38.25,38.37,38.02,38.27,8835200,38.27
2012-11-20,37.97,38.90,37.77,38.26,13896200,38.26
2012-11-19,37.80,38.33,37.56,38.28,15859600,38.28
2012-11-16,37.08,37.28,36.36,36.79,21354900,36.79
2012-11-15,37.39,37.66,36.84,37.28,10944000,37.28
2012-11-14,38.50,38.66,37.20,37.41,15099700,37.41
2012-11-13,38.18,39.10,38.07,38.37,9910100,38.37
2012-11-12,38.54,38.83,38.40,38.64,8374200,38.64
2012-11-09,38.29,39.12,38.06,38.35,13043900,38.35
2012-11-08,39.25,39.45,38.41,38.67,13015000,38.67
2012-11-07,39.68,39.85,38.45,39.29,17036800,39.29
2012-11-06,39.63,40.69,39.51,40.35,11706900,40.35
2012-11-05,39.09,39.89,39.08,39.46,8491300,39.46
2012-11-02,40.67,40.84,39.22,39.26,14428900,39.26
2012-11-01,39.23,40.55,39.05,40.50,16604200,40.50
2012-10-31,39.46,39.58,38.84,38.88,8207000,38.88
2012-10-26,39.30,39.60,38.74,39.07,10745100,39.07
2012-10-25,39.31,39.62,38.84,39.19,16107700,39.19
2012-10-24,39.22,39.56,38.72,38.79,12183100,38.79
2012-10-23,39.61,39.70,38.66,38.98,18250900,38.98
2012-10-22,40.11,41.20,39.92,40.58,20965800,40.58
2012-10-19,42.16,42.48,41.11,41.18,15144400,41.18
2012-10-18,42.29,42.89,42.16,42.43,16643400,42.43
2012-10-17,41.84,42.80,41.48,42.31,16280700,42.31
2012-10-16,40.55,41.64,40.46,41.47,13318800,41.47
2012-10-15,40.00,40.36,39.50,40.29,11265300,40.29
2012-10-12,40.75,41.00,39.96,40.14,11989200,40.14
2012-10-11,40.28,41.33,40.21,40.75,15433000,40.75
2012-10-10,40.58,40.65,39.82,40.22,15809500,39.91
2012-10-09,40.71,41.56,40.63,40.67,14075900,40.35
2012-10-08,40.00,41.00,39.95,40.75,11299700,40.43
2012-10-05,40.79,41.35,40.32,40.51,14359700,40.19
2012-10-04,39.79,40.85,39.66,40.45,17487100,40.14
2012-10-03,39.89,39.90,39.05,39.41,12414100,39.10
2012-10-02,39.95,40.34,39.10,39.68,14302500,39.37
2012-10-01,40.21,40.59,39.72,39.85,11764300,39.54
2012-09-28,39.88,40.09,39.15,39.58,13282100,39.27
2012-09-27,39.79,40.24,39.15,40.11,12040800,39.80
2012-09-26,39.04,39.89,37.86,39.28,22612000,38.97
2012-09-25,40.63,40.85,39.22,39.31,17964700,39.00
2012-09-24,40.11,40.60,40.05,40.28,11815400,39.97
2012-09-21,41.80,41.80,40.55,40.65,17261900,40.33
2012-09-20,40.36,41.04,40.02,40.93,18160100,40.61
2012-09-19,41.77,41.98,41.28,41.54,12857400,41.22
2012-09-18,41.11,41.76,40.78,41.48,14863100,41.16
2012-09-17,42.08,42.52,41.21,41.41,17891200,41.09
2012-09-14,43.00,43.65,42.56,42.64,33359300,42.31
2012-09-13,39.92,42.18,39.65,41.79,28796400,41.46
2012-09-12,40.37,40.44,39.61,40.10,16876000,39.79
2012-09-11,39.80,40.34,39.31,39.93,17526200,39.62
2012-09-10,39.37,40.30,39.36,39.71,23345900,39.40
2012-09-07,37.43,39.66,37.41,39.43,39537600,39.12
2012-09-06,35.62,36.73,35.59,36.34,16990400,36.06
2012-09-05,35.82,35.83,35.02,35.25,14331300,34.98
2012-09-04,36.31,36.31,35.26,35.62,14422100,35.34
2012-08-31,35.16,36.22,34.86,36.11,15413600,35.83
2012-08-30,35.37,35.39,34.65,34.69,11325400,34.42
2012-08-29,35.65,35.69,35.14,35.58,11300800,35.30
2012-08-28,35.49,36.09,35.42,35.67,8492800,35.39
2012-08-27,36.07,36.14,35.55,35.65,9021500,35.37
2012-08-24,36.38,36.41,35.84,36.13,13438100,35.85
2012-08-23,37.26,37.47,36.55,36.77,16570400,36.48
2012-08-22,36.27,37.00,35.98,37.00,14509400,36.71
2012-08-21,36.03,37.25,35.99,36.49,25316700,36.21
2012-08-20,35.08,35.48,34.80,35.36,11224500,35.08
2012-08-17,35.47,35.60,35.26,35.34,10833700,35.06
2012-08-16,34.96,35.51,34.74,35.31,12259100,35.04
2012-08-15,34.83,34.88,34.20,34.76,12688700,34.49
2012-08-14,35.59,35.70,34.91,35.01,9707000,34.74
2012-08-13,36.13,36.55,35.31,35.48,15196800,35.20
2012-08-10,35.79,36.57,35.55,36.31,12973200,36.03
2012-08-09,35.43,36.30,35.41,36.00,13838600,35.72
2012-08-08,35.04,35.93,35.04,35.62,13751900,35.34
2012-08-07,34.80,35.63,34.65,35.27,16070800,35.00
2012-08-06,33.65,34.90,33.62,34.34,17916900,34.07
2012-08-03,33.32,33.86,33.01,33.50,12759600,33.24
2012-08-02,32.91,33.37,32.32,32.69,14297100,32.44
2012-08-01,33.58,33.95,33.22,33.49,11980500,33.23
2012-07-31,34.03,34.30,33.56,33.67,10288900,33.41
2012-07-30,33.48,34.08,33.48,33.99,11874000,33.73
2012-07-27,32.60,33.84,32.40,33.47,25644800,33.21
2012-07-26,32.24,32.50,31.68,32.31,16613200,32.06
2012-07-25,32.15,32.24,31.08,31.43,22861500,31.19
2012-07-24,32.67,32.87,31.45,31.68,18352000,31.43
2012-07-23,32.78,33.30,32.21,32.62,19317000,32.37
2012-07-20,33.96,33.99,33.10,33.77,17342400,33.51
2012-07-19,33.38,34.76,33.17,34.42,25234300,34.15
2012-07-18,32.70,33.43,32.54,33.02,16508000,32.76
2012-07-17,33.01,33.01,32.16,32.90,13358400,32.64
2012-07-16,33.07,33.08,32.45,32.77,10958200,32.51
2012-07-13,32.61,33.40,32.54,33.23,14025500,32.97
2012-07-12,31.93,32.76,31.70,32.36,17779100,32.11
2012-07-11,32.92,33.06,32.06,32.36,23798800,32.11
2012-07-10,34.73,34.90,32.76,33.09,19769400,32.52
2012-07-09,34.88,34.96,34.27,34.53,23960900,33.94
2012-07-06,34.86,35.07,34.55,35.01,26093000,34.41
2012-07-05,35.00,36.00,34.93,35.47,28246700,34.86
2012-07-03,34.55,35.69,34.45,35.21,15699200,34.61
2012-07-02,34.02,34.24,33.30,33.88,12286900,33.30
2012-06-29,33.55,34.13,33.07,34.07,23311200,33.49
2012-06-28,31.80,32.28,31.47,32.26,13381700,31.71
2012-06-27,31.80,32.32,31.66,32.14,12080200,31.59
2012-06-26,31.87,32.15,31.41,31.61,14677700,31.07
2012-06-25,32.05,32.41,31.52,31.60,17011800,31.06
2012-06-22,33.25,33.35,32.27,32.30,32258900,31.75
2012-06-21,34.68,34.90,32.88,32.99,22284200,32.42
2012-06-20,35.00,35.65,34.69,35.31,19734000,34.70
2012-06-19,34.63,35.64,34.38,35.45,19197200,34.84
2012-06-18,34.08,34.42,33.59,34.26,12389500,33.67
2012-06-15,34.17,34.35,33.79,34.34,14798400,33.75
2012-06-14,33.38,33.96,32.90,33.90,13004000,33.32
2012-06-13,33.43,33.87,33.14,33.35,16314500,32.78
2012-06-12,33.25,33.58,32.94,33.56,13054700,32.98
2012-06-11,34.26,34.38,32.92,32.95,12862200,32.38
2012-06-08,33.17,33.95,32.80,33.83,14398300,33.25
2012-06-07,34.60,34.80,33.48,33.60,23891600,33.02
2012-06-06,33.18,34.07,33.09,33.66,18349600,33.08
2012-06-05,32.03,32.76,31.85,32.59,15798900,32.03
2012-06-04,32.14,32.37,31.28,32.33,14951500,31.77
2012-06-01,31.56,32.67,31.53,32.07,21895100,31.52
2012-05-31,32.33,32.41,31.25,32.04,15637300,31.49
2012-05-30,32.61,32.77,32.24,32.41,12429400,31.85
2012-05-29,33.10,33.65,32.83,33.23,15111600,32.66
2012-05-25,32.43,32.80,32.13,32.41,9947700,31.85
2012-05-24,32.86,33.14,31.96,32.57,15348300,32.01
2012-05-23,31.57,32.81,31.16,32.73,21846500,32.17
2012-05-22,32.51,33.17,31.94,32.13,16160000,31.58
2012-05-21,31.80,32.65,31.80,32.56,16782900,32.00
2012-05-18,32.53,32.81,31.52,31.81,18688200,31.26
2012-05-17,33.01,33.38,32.10,32.17,19188400,31.62
2012-05-16,32.95,33.92,32.45,32.57,22090700,32.01
2012-05-15,34.32,34.52,32.50,32.65,23465800,32.09
2012-05-14,34.18,35.12,34.01,34.30,17070600,33.71
2012-05-11,34.86,35.33,34.71,34.74,13334500,34.14
2012-05-10,36.07,36.29,35.19,35.31,14163300,34.70
2012-05-09,34.92,36.13,34.72,35.53,16071300,34.92
2012-05-08,35.79,35.89,34.82,35.62,18501400,35.01
2012-05-07,36.11,36.62,35.68,36.40,13297900,35.78
2012-05-04,36.50,36.68,36.01,36.40,14300500,35.78
2012-05-03,37.91,37.93,36.68,36.87,19401400,36.24
2012-05-02,37.96,38.23,37.62,38.12,15331300,37.47
2012-05-01,38.42,38.69,37.86,38.46,17754100,37.80
2012-04-30,38.03,38.60,37.37,38.30,12576200,37.64
2012-04-27,38.00,38.45,37.90,38.13,13054000,37.48
2012-04-26,37.33,38.04,37.02,37.75,13682700,37.10
2012-04-25,37.50,37.64,36.66,37.32,14880200,36.68
2012-04-24,37.25,37.45,36.71,36.99,12659800,36.35
2012-04-23,36.72,37.35,36.03,37.16,19442800,36.52
2012-04-20,38.45,38.60,37.53,37.57,16411600,36.93
2012-04-19,38.75,39.13,37.69,38.03,26128000,37.38
2012-04-18,37.62,38.64,37.39,38.29,20503700,37.63
2012-04-17,37.55,38.20,37.08,37.76,17765600,37.11
2012-04-16,37.63,37.75,36.83,36.92,14652000,36.29
2012-04-13,37.29,37.43,36.70,36.94,15366600,36.31
2012-04-12,36.15,38.01,36.02,37.89,21390400,37.24
2012-04-11,36.99,37.04,35.73,35.78,20890200,35.17
2012-04-10,37.43,37.77,36.25,36.63,18894700,35.69
2012-04-09,37.07,38.00,37.00,37.51,12470100,36.55
2012-04-05,38.02,38.57,37.65,37.80,14104000,36.83
2012-04-04,37.53,38.16,37.23,38.03,13707300,37.06
2012-04-03,39.15,39.23,38.26,38.58,17645700,37.59
2012-04-02,38.25,39.43,38.10,39.11,19636600,38.11
2012-03-30,37.97,38.15,37.23,38.04,14766000,37.07
2012-03-29,37.07,37.71,36.76,37.61,17773600,36.65
2012-03-28,38.40,38.44,36.85,37.36,30542800,36.40
2012-03-27,39.10,39.65,38.73,38.75,13853100,37.76
2012-03-26,39.01,39.24,38.44,38.88,15395600,37.89
2012-03-23,38.33,38.90,37.92,38.48,17399600,37.50
2012-03-22,39.08,39.50,37.95,38.33,24719400,37.35
2012-03-21,39.67,40.19,39.08,39.80,23932800,38.78
2012-03-20,38.38,39.20,37.90,39.15,20492100,38.15
2012-03-19,38.38,39.94,38.31,39.14,16500800,38.14
2012-03-16,38.70,39.00,38.26,38.56,22687300,37.57
2012-03-15,38.54,38.81,38.22,38.35,19077300,37.37
2012-03-14,38.99,39.09,37.75,38.12,21397800,37.15
2012-03-13,38.47,39.37,38.45,39.09,22633400,38.09
2012-03-12,38.78,39.39,37.82,38.26,19575400,37.28
2012-03-09,39.84,40.11,38.65,38.78,27650700,37.79
2012-03-08,39.66,39.73,39.06,39.50,16682900,38.49
2012-03-07,39.58,39.64,38.53,38.99,22605800,37.99
2012-03-06,39.11,39.74,38.65,39.44,26602700,38.43
2012-03-05,41.10,41.26,39.96,40.45,29393200,39.42
2012-03-02,42.76,42.88,41.07,42.03,18133000,40.96
2012-03-01,43.03,43.47,42.50,42.91,15082400,41.81
2012-02-29,43.85,44.23,42.26,42.56,20212500,41.47
2012-02-28,43.44,44.00,43.31,43.66,14070800,42.54
2012-02-27,43.46,43.66,43.11,43.31,14341600,42.20
2012-02-24,43.95,44.74,43.80,43.91,13327300,42.79
2012-02-23,44.24,44.28,43.42,43.78,13372500,42.66
2012-02-22,43.79,44.52,43.71,44.12,13348600,42.99
2012-02-21,43.85,44.57,43.53,43.97,18395100,42.85
2012-02-17,44.11,44.14,42.66,43.04,17327200,41.94
2012-02-16,42.17,44.49,41.90,43.84,23704500,42.72
2012-02-15,43.30,43.30,41.95,42.40,25396700,41.32
2012-02-14,44.22,44.49,42.53,42.96,28728500,41.86
2012-02-13,45.54,45.55,44.45,44.66,12298700,43.52
2012-02-10,45.32,45.39,44.40,44.94,16386800,43.79
2012-02-09,47.07,47.25,46.02,46.42,14819700,45.23
2012-02-08,46.34,47.28,46.27,46.53,16542700,45.34
2012-02-07,46.45,46.50,45.45,45.75,15473200,44.58
2012-02-06,45.91,46.80,45.70,46.73,12693800,45.54
2012-02-03,46.27,46.70,45.81,46.48,16979100,45.29
2012-02-02,46.44,46.80,45.41,45.51,17256300,44.35
2012-02-01,46.79,46.96,46.09,46.16,17131100,44.98
2012-01-31,46.70,46.96,45.40,46.21,18633800,45.03
2012-01-30,45.27,46.26,45.08,46.10,14736400,44.92
2012-01-27,46.23,47.44,46.07,46.13,15510200,44.95
2012-01-26,46.58,48.96,46.17,46.50,30462300,45.31
2012-01-25,43.61,46.35,43.30,46.08,23757700,44.90
2012-01-24,43.45,44.06,43.02,43.97,14899900,42.85
2012-01-23,43.46,44.15,43.20,43.88,19142400,42.76
2012-01-20,44.17,44.34,42.89,43.10,20546600,42.00
2012-01-19,44.59,44.97,43.31,44.37,30009000,43.24
2012-01-18,42.92,44.69,42.82,44.47,25674300,43.33
2012-01-17,43.06,43.29,42.42,43.07,20403000,41.97
2012-01-13,41.87,42.34,41.50,42.00,14081900,40.93
2012-01-12,42.37,42.69,41.73,42.45,17618100,41.36
2012-01-11,40.36,41.91,40.04,41.65,17221000,40.59
2012-01-10,40.54,41.19,40.25,40.60,15895700,39.32
2012-01-09,38.98,39.33,38.79,39.04,8245500,37.81
2012-01-06,39.52,39.66,38.80,38.87,9554700,37.64
2012-01-05,39.39,39.75,38.94,39.30,13023200,38.06
2012-01-04,39.16,40.00,39.00,39.83,13634100,38.57
2012-01-03,38.27,39.74,38.12,39.50,18651200,38.25
2011-12-30,36.68,37.18,36.60,36.79,8831500,35.63
2011-12-29,36.26,36.59,36.05,36.54,9552100,35.39
2011-12-28,37.83,37.99,36.28,36.31,13155000,35.16
2011-12-27,38.26,38.44,37.66,37.86,7644500,36.66
2011-12-23,38.66,38.66,38.01,38.32,7191100,37.11
2011-12-22,37.97,38.60,37.60,38.40,12252600,37.19
2011-12-21,37.59,37.97,36.96,37.75,12045100,36.56
2011-12-20,36.70,37.72,36.70,37.58,12508700,36.39
2011-12-19,36.73,37.05,35.65,35.74,13550000,34.61
2011-12-16,37.36,37.89,36.57,36.99,18731100,35.82
2011-12-15,38.01,38.32,36.68,36.87,18749700,35.71
