Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,28.07,28.14,27.96,28.02,747600,26.86
2009-12-23,27.99,28.10,27.91,27.95,1800400,26.80
2009-12-22,28.42,28.42,27.77,27.93,3411000,26.78
2009-12-21,28.40,28.72,28.23,28.28,2288100,27.11
2009-12-18,28.24,28.40,28.00,28.29,2125600,27.12
2009-12-17,28.07,28.42,28.00,28.13,2348900,26.97
2009-12-16,28.00,28.37,27.93,28.08,2417500,26.92
2009-12-15,28.16,28.16,27.80,27.98,2844200,26.83
2009-12-14,28.42,28.56,28.00,28.15,2723900,26.99
2009-12-11,28.03,28.45,28.00,28.20,2645400,27.04
2009-12-10,28.05,28.36,27.89,27.91,2806400,26.63
2009-12-09,28.28,28.31,27.81,28.03,3668000,26.74
2009-12-08,28.15,28.53,28.13,28.30,3136300,27.00
2009-12-07,28.20,28.98,28.19,28.29,4856700,26.99
2009-12-04,28.49,28.88,27.83,28.28,6063000,26.98
2009-12-03,29.27,29.35,27.62,28.42,11338500,27.12
2009-12-02,30.95,31.24,30.68,30.73,2925500,29.32
2009-12-01,30.60,30.93,30.39,30.84,2749200,29.43
2009-11-30,30.84,31.05,30.40,30.51,3181100,29.11
2009-11-27,31.07,31.47,30.79,31.02,890600,29.60
2009-11-25,31.16,31.63,30.96,31.48,2383800,30.04
2009-11-24,30.78,31.05,30.53,31.05,3120200,29.63
2009-11-23,30.54,30.63,30.29,30.53,2184200,29.13
2009-11-20,30.25,30.65,30.17,30.38,1937500,28.99
2009-11-19,30.57,30.61,30.25,30.29,2991600,28.90
2009-11-18,30.18,30.83,30.10,30.54,4153000,29.14
2009-11-17,30.13,30.35,29.70,29.89,3218900,28.52
2009-11-16,29.82,30.28,29.51,30.21,2554700,28.82
2009-11-13,29.67,29.78,29.41,29.63,3376600,28.27
2009-11-12,29.73,30.03,29.43,29.60,2759900,28.24
2009-11-11,29.88,29.90,29.49,29.68,3773200,28.32
2009-11-10,29.57,29.68,29.29,29.60,3414100,28.24
2009-11-09,28.60,29.70,28.47,29.61,4127200,28.25
2009-11-06,28.63,28.85,28.12,28.59,3310000,27.28
2009-11-05,28.61,28.71,28.01,28.68,2539500,27.36
2009-11-04,28.43,28.68,28.12,28.50,2931200,27.19
2009-11-03,28.60,28.70,28.04,28.43,3381000,27.13
2009-11-02,28.46,28.75,28.15,28.72,3281500,27.40
2009-10-30,28.79,28.88,28.27,28.30,3719700,27.00
2009-10-29,28.84,28.95,28.40,28.81,2272900,27.49
2009-10-28,29.29,29.39,28.75,28.75,4609000,27.43
2009-10-27,29.05,29.45,28.69,29.20,6064400,27.86
2009-10-26,29.22,29.27,28.91,28.99,4901900,27.66
2009-10-23,29.43,29.43,28.93,29.17,3957600,27.83
2009-10-22,28.39,29.33,28.26,29.26,4418400,27.92
2009-10-21,29.17,29.37,28.38,28.42,5033900,27.12
2009-10-20,29.07,29.79,29.05,29.18,4601800,27.84
2009-10-19,28.41,28.80,28.24,28.59,3274200,27.28
2009-10-16,28.52,28.80,28.14,28.36,2634900,27.06
2009-10-15,28.14,28.76,28.06,28.68,3681900,27.36
2009-10-14,28.23,28.40,28.14,28.20,4673100,26.91
2009-10-13,28.41,28.41,27.99,28.11,4996500,26.82
2009-10-12,28.81,28.89,28.22,28.36,3904000,27.06
2009-10-09,28.64,28.75,28.39,28.64,4103300,27.33
2009-10-08,28.48,28.73,28.25,28.68,5774300,27.36
2009-10-07,29.53,29.69,28.08,28.21,13207000,26.92
2009-10-06,27.68,28.64,27.52,28.48,8605600,27.17
2009-10-05,26.83,27.02,26.63,26.94,3723800,25.70
2009-10-02,26.72,27.29,26.60,26.63,3726200,25.41
2009-10-01,26.42,27.28,26.25,26.84,7478200,25.61
2009-09-30,26.28,26.49,26.15,26.40,4414700,25.19
2009-09-29,26.20,26.30,25.52,25.95,4954400,24.76
2009-09-28,26.51,26.57,25.96,26.23,3443300,25.03
2009-09-25,26.28,26.50,26.05,26.32,3551200,25.11
2009-09-24,26.64,26.64,26.12,26.31,3774300,25.10
2009-09-23,26.74,26.87,26.44,26.54,4159900,25.32
2009-09-22,27.17,27.24,26.68,26.69,3185400,25.47
2009-09-21,26.35,27.09,26.30,26.90,4312800,25.67
2009-09-18,26.73,26.73,26.30,26.42,4772800,25.21
2009-09-17,27.01,27.10,26.50,26.52,3929800,25.30
2009-09-16,27.01,27.04,26.65,27.00,4096000,25.76
2009-09-15,27.05,27.18,26.60,26.96,3276200,25.72
2009-09-14,27.24,27.39,26.91,26.98,3376600,25.74
2009-09-11,27.83,27.90,27.21,27.27,3588400,26.02
2009-09-10,27.90,28.09,27.61,27.82,3822100,26.42
2009-09-09,28.21,28.37,27.84,27.87,3994100,26.46
2009-09-08,28.87,29.02,28.10,28.18,3619700,26.76
2009-09-04,28.55,29.06,28.15,28.76,3879500,27.31
2009-09-03,28.23,29.02,27.39,28.32,10806800,26.89
2009-09-02,30.34,31.11,30.26,30.99,2921700,29.42
2009-09-01,30.33,30.77,30.03,30.44,3108500,28.90
2009-08-31,30.62,30.69,29.94,30.28,1984500,28.75
2009-08-28,30.86,30.92,30.50,30.68,944800,29.13
2009-08-27,31.00,31.00,30.40,30.79,2394700,29.24
2009-08-26,30.55,31.47,30.39,30.82,4374500,29.26
2009-08-25,29.30,30.04,29.24,29.79,1897700,28.29
2009-08-24,29.72,29.72,29.15,29.23,1790500,27.75
2009-08-21,29.46,29.84,29.29,29.72,2244900,28.22
2009-08-20,29.51,29.54,28.93,29.41,3252300,27.92
2009-08-19,28.97,29.59,28.95,29.55,2141700,28.06
2009-08-18,29.09,29.25,28.68,29.05,1668700,27.58
2009-08-17,29.19,29.26,28.68,29.08,2366400,27.61
2009-08-14,30.07,30.24,29.16,29.35,2934600,27.87
2009-08-13,31.13,31.13,29.92,30.01,2933400,28.49
2009-08-12,31.02,31.28,30.76,31.00,2215500,29.43
2009-08-11,30.58,31.45,30.41,31.32,1949500,29.74
2009-08-10,31.22,31.51,30.34,30.60,1905600,29.05
2009-08-07,31.01,31.54,30.77,31.41,1925400,29.82
2009-08-06,30.63,31.06,30.31,30.77,2565800,29.22
2009-08-05,31.04,31.13,30.46,30.66,1802000,29.11
2009-08-04,31.10,31.28,30.77,31.06,1956400,29.49
2009-08-03,31.38,31.56,30.53,31.13,2009200,29.56
2009-07-31,31.81,32.18,31.25,31.42,1529800,29.83
2009-07-30,31.78,32.16,31.57,31.71,2080600,30.11
2009-07-29,31.58,31.73,31.05,31.63,1563400,30.03
2009-07-28,31.00,31.65,30.83,31.57,2051400,29.98
2009-07-27,30.94,31.06,30.35,31.06,1839400,29.49
2009-07-24,30.87,31.28,30.58,31.11,1757000,29.54
2009-07-23,30.70,31.53,30.38,31.03,2355300,29.46
2009-07-22,30.35,31.10,30.22,30.73,2310600,29.18
2009-07-21,30.77,30.99,30.04,30.39,2386100,28.86
2009-07-20,30.88,31.05,30.40,30.87,2810100,29.31
2009-07-17,30.69,30.81,30.27,30.73,2681100,29.18
2009-07-16,30.91,30.94,30.36,30.75,2391700,29.20
2009-07-15,30.90,31.05,30.24,30.97,3398800,29.41
2009-07-14,30.16,30.78,29.95,30.67,3547800,29.12
2009-07-13,30.26,30.40,29.70,30.12,3023300,28.60
2009-07-10,30.51,30.94,30.00,30.18,3531800,28.66
2009-07-09,31.55,31.60,30.51,30.76,4500900,29.21
2009-07-08,30.25,31.26,29.95,31.18,13623800,29.61
2009-07-07,28.14,28.27,27.50,27.75,4221100,26.35
2009-07-06,27.79,28.45,27.70,28.04,2790500,26.62
2009-07-02,28.07,28.24,27.78,27.95,2324400,26.54
2009-07-01,28.49,28.91,28.12,28.19,3333700,26.77
2009-06-30,28.86,29.01,28.24,28.30,3099600,26.87
2009-06-29,29.00,29.24,28.63,28.80,2352100,27.35
2009-06-26,28.79,29.41,28.79,28.90,4410600,27.44
2009-06-25,28.58,29.20,28.50,28.90,2890300,27.44
2009-06-24,28.68,29.00,28.47,28.62,1701600,27.17
2009-06-23,29.14,29.18,28.36,28.53,2532900,27.09
2009-06-22,28.65,29.46,28.44,29.18,2605400,27.71
2009-06-19,28.71,29.26,28.33,29.02,3916700,27.55
2009-06-18,29.16,29.42,28.50,28.63,3968800,27.18
2009-06-17,28.33,29.44,28.30,28.99,3871700,27.53
2009-06-16,28.88,28.94,28.29,28.43,2558400,26.99
2009-06-15,29.25,29.25,28.06,28.82,4288300,27.36
2009-06-12,29.36,29.65,28.88,29.49,3325000,28.00
2009-06-11,30.67,30.83,29.35,29.40,3141000,27.92
2009-06-10,31.00,31.29,30.36,30.68,1931700,29.00
2009-06-09,30.98,31.10,30.58,30.85,1754600,29.16
2009-06-08,30.66,31.14,30.38,30.74,2766800,29.06
2009-06-05,31.14,31.15,30.14,30.86,2613800,29.17
2009-06-04,31.20,31.37,29.87,30.69,6359800,29.01
2009-06-03,32.69,32.69,32.07,32.40,2000700,30.63
2009-06-02,32.26,32.97,31.55,32.52,4428100,30.74
2009-06-01,30.46,31.57,30.30,31.21,2272200,29.50
2009-05-29,29.81,30.27,29.02,30.27,3104000,28.61
2009-05-28,30.97,31.65,29.53,29.71,3946400,28.09
2009-05-27,31.37,32.36,30.87,30.96,2456400,29.27
2009-05-26,29.72,31.43,29.60,31.32,3082600,29.61
2009-05-22,29.80,30.26,29.11,29.90,1895500,28.27
2009-05-21,29.72,30.36,29.46,29.74,3387600,28.11
2009-05-20,31.20,31.68,29.57,29.64,4248700,28.02
2009-05-19,29.75,31.35,29.40,30.99,2661800,29.30
2009-05-18,30.41,30.74,29.37,30.04,3915500,28.40
2009-05-15,30.55,30.80,30.08,30.29,2061100,28.63
2009-05-14,30.56,31.47,30.56,30.60,2570700,28.93
2009-05-13,30.55,31.05,30.32,30.76,2534600,29.08
2009-05-12,32.09,32.09,30.74,30.83,3323300,29.14
2009-05-11,30.30,32.62,29.86,32.07,5435500,30.32
2009-05-08,31.81,31.81,30.20,30.32,4319800,28.66
2009-05-07,32.50,32.59,31.35,31.53,3233400,29.81
2009-05-06,32.91,33.25,31.18,31.88,3660000,30.14
2009-05-05,32.80,33.00,32.20,32.90,1733900,31.10
2009-05-04,32.43,32.72,31.95,32.67,2421100,30.88
2009-05-01,33.00,33.20,31.93,32.14,1951300,30.38
2009-04-30,33.22,33.63,32.85,33.19,2271600,31.38
2009-04-29,33.35,33.95,32.98,33.10,1901100,31.29
2009-04-28,32.65,34.07,32.50,33.24,2561200,31.42
2009-04-27,32.61,33.45,32.28,32.74,2391300,30.95
2009-04-24,32.70,33.41,32.21,32.79,2138500,31.00
2009-04-23,33.75,33.98,32.26,32.60,3075700,30.82
2009-04-22,32.96,34.65,32.65,33.62,2974300,31.78
2009-04-21,33.53,33.53,32.82,33.11,2174900,31.30
2009-04-20,32.72,33.49,32.35,33.29,3377300,31.47
2009-04-17,33.45,33.45,32.77,32.82,2347500,31.03
2009-04-16,33.33,33.59,32.81,33.30,3137800,31.48
2009-04-15,33.60,33.95,32.90,33.21,2117300,31.39
2009-04-14,33.52,34.13,33.06,33.84,2887200,31.99
2009-04-13,34.24,34.77,33.79,33.79,2859900,31.94
2009-04-09,34.17,34.64,33.46,34.33,3787200,32.45
2009-04-08,33.79,35.00,33.40,34.63,7889600,32.74
2009-04-07,33.03,33.23,32.53,32.66,3935000,30.87
2009-04-06,32.45,33.63,32.10,33.31,5013800,31.49
2009-04-03,32.05,32.10,31.46,31.90,3749400,30.16
2009-04-02,33.46,33.46,31.95,32.13,3908200,30.37
2009-04-01,33.14,33.70,32.82,32.97,2690700,31.17
