Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,92.71,92.80,91.94,92.14,607300,92.14
2012-12-21,92.07,93.29,91.84,92.74,2912600,92.74
2012-12-20,93.00,93.63,91.54,93.27,4270900,93.27
2012-12-19,93.12,95.44,93.05,93.20,5324300,93.20
2012-12-18,90.89,93.21,90.41,92.36,3130100,92.36
2012-12-17,90.40,91.15,90.36,91.02,1832000,91.02
2012-12-14,89.76,90.93,89.35,90.09,1813500,90.09
2012-12-13,89.58,90.50,89.29,89.71,1699000,89.71
2012-12-12,89.09,90.53,89.02,89.71,2113400,89.71
2012-12-11,90.65,91.49,89.69,90.25,2276300,90.25
2012-12-10,89.39,90.59,89.22,90.53,1406900,90.53
2012-12-07,89.54,89.91,88.80,89.36,1108600,89.36
2012-12-06,89.30,89.50,88.65,89.26,1078000,89.26
2012-12-05,88.56,89.93,88.07,89.43,1837000,89.43
2012-12-04,88.15,89.07,88.02,88.39,1488400,88.39
2012-12-03,89.98,89.98,87.99,88.13,1845700,88.13
2012-11-30,90.85,90.94,89.04,89.53,2029700,89.53
2012-11-29,89.97,91.16,89.81,90.80,2623100,90.80
2012-11-28,88.32,89.52,87.94,89.49,2049600,89.49
2012-11-27,88.79,89.66,88.42,88.70,2421700,88.70
2012-11-26,87.12,88.48,87.12,88.46,1721000,88.46
2012-11-23,87.80,87.95,86.85,87.73,850500,87.73
2012-11-21,87.90,88.06,87.22,87.65,1550300,87.65
2012-11-20,87.25,87.84,86.81,87.35,1803500,87.35
2012-11-19,87.05,87.39,85.80,87.00,1984300,87.00
2012-11-16,86.23,86.74,85.15,86.13,2142600,85.99
2012-11-15,87.12,87.77,85.93,86.54,2410400,86.40
2012-11-14,90.49,90.66,86.94,87.12,2591500,86.98
2012-11-13,89.67,91.50,89.25,90.46,1682000,90.31
2012-11-12,89.73,90.58,89.58,90.08,1347700,89.93
2012-11-09,89.95,90.41,89.32,89.73,1938700,89.58
2012-11-08,91.41,91.74,90.00,90.03,1461300,89.88
2012-11-07,92.71,92.73,91.00,91.51,1575700,91.36
2012-11-06,92.89,93.79,92.55,93.39,1349000,93.24
2012-11-05,92.47,92.94,92.14,92.84,1066800,92.69
2012-11-02,93.37,93.98,92.37,92.64,1384100,92.49
2012-11-01,91.54,93.20,91.54,93.01,1738000,92.86
2012-10-31,90.94,92.11,90.62,91.99,1844400,91.84
2012-10-26,90.79,91.56,90.14,90.69,1639000,90.54
2012-10-25,91.18,91.72,90.07,91.12,1532200,90.97
2012-10-24,92.11,92.11,90.65,90.83,1447600,90.68
2012-10-23,91.55,92.10,91.02,91.79,2192400,91.64
2012-10-22,92.12,92.25,90.86,91.48,1678400,91.33
2012-10-19,93.24,93.45,91.48,92.11,2474300,91.96
2012-10-18,92.49,94.26,92.49,93.49,2346200,93.34
2012-10-17,91.99,93.09,91.83,92.95,2378500,92.80
2012-10-16,91.00,91.96,90.28,91.92,2602000,91.77
2012-10-15,90.51,91.20,90.21,90.65,2526800,90.50
2012-10-12,90.28,91.09,90.01,90.40,2629900,90.25
2012-10-11,91.70,92.50,90.00,90.00,4171000,89.85
2012-10-10,88.31,90.93,88.19,89.99,8995100,89.84
2012-10-09,86.53,86.78,85.55,85.58,2013100,85.44
2012-10-08,86.34,86.82,85.90,86.37,1611000,86.23
2012-10-05,86.85,87.48,86.39,86.47,2734400,86.33
2012-10-04,85.92,86.62,85.61,86.53,2060200,86.39
2012-10-03,84.80,85.88,84.40,85.62,1726300,85.48
2012-10-02,85.18,85.81,84.21,84.50,1683300,84.36
2012-10-01,84.93,85.94,84.53,85.02,2037100,84.88
2012-09-28,85.38,85.47,84.17,84.62,2408000,84.48
2012-09-27,84.96,85.80,84.56,85.77,2500100,85.63
2012-09-26,84.27,84.95,83.98,84.39,2369300,84.25
2012-09-25,85.59,85.85,84.53,84.54,2829800,84.40
2012-09-24,84.00,85.50,83.92,85.16,2831600,85.02
2012-09-21,85.89,85.89,84.15,84.39,5200800,84.25
2012-09-20,86.30,86.58,84.90,85.17,4071400,85.03
2012-09-19,86.51,87.08,85.90,86.90,4024500,86.76
2012-09-18,86.95,88.33,86.36,86.55,6413300,86.41
2012-09-17,89.71,90.09,88.92,89.28,2381300,89.13
2012-09-14,90.10,90.74,89.81,90.15,2294200,90.00
2012-09-13,89.01,90.92,88.23,90.36,2144400,90.21
2012-09-12,88.98,89.13,88.40,89.08,1421800,88.94
2012-09-11,88.21,89.09,88.10,88.70,2089200,88.56
2012-09-10,87.19,88.27,87.11,87.96,2305000,87.82
2012-09-07,87.50,87.58,87.02,87.38,1530900,87.24
2012-09-06,85.87,87.64,85.87,87.54,2692900,87.40
2012-09-05,85.60,87.17,85.31,85.80,5980600,85.52
2012-09-04,87.37,88.11,86.87,87.54,1982400,87.26
2012-08-31,87.70,87.97,87.16,87.63,1484400,87.34
2012-08-30,87.50,87.65,86.88,87.19,1811600,86.91
2012-08-29,87.37,87.92,87.18,87.63,1516300,87.34
2012-08-28,87.90,88.08,86.87,87.46,2002100,87.18
2012-08-27,89.18,89.26,87.82,88.00,1102300,87.71
2012-08-24,88.53,89.38,88.18,89.07,948400,88.78
2012-08-23,89.54,89.75,88.46,88.86,1049500,88.57
2012-08-22,90.01,90.33,89.43,89.54,1415300,89.25
2012-08-21,90.02,91.12,89.78,90.31,1944300,90.02
2012-08-20,89.64,90.10,89.32,89.98,1817600,89.69
2012-08-17,89.95,90.46,89.75,90.00,1679500,89.71
2012-08-16,89.48,90.11,88.92,89.74,1935900,89.45
2012-08-15,87.73,89.78,87.59,89.55,2490900,89.26
2012-08-14,87.92,88.33,87.40,87.58,1551400,87.29
2012-08-13,87.69,88.34,87.04,87.77,1334200,87.48
2012-08-10,88.05,88.38,87.23,87.80,2222900,87.51
2012-08-09,89.30,89.46,88.50,88.66,1481500,88.37
2012-08-08,89.50,89.53,88.70,89.31,1345800,89.02
2012-08-07,90.68,90.68,89.39,89.82,1411700,89.53
2012-08-06,90.33,90.80,89.86,90.12,906600,89.83
2012-08-03,89.04,90.21,89.02,89.82,1623400,89.53
2012-08-02,87.71,88.35,87.04,87.92,1901200,87.63
2012-08-01,90.66,90.80,88.40,88.85,1725100,88.56
2012-07-31,90.95,91.21,90.29,90.30,1760700,90.01
2012-07-30,90.52,91.17,90.33,90.99,1396900,90.69
2012-07-27,89.51,91.81,88.95,90.89,2397900,90.59
2012-07-26,88.74,89.34,88.20,88.55,1893600,88.26
2012-07-25,87.96,88.05,86.84,87.23,2105300,86.95
2012-07-24,88.16,88.47,86.22,87.67,3751500,87.38
2012-07-23,88.69,89.56,88.40,89.26,1476500,88.97
2012-07-20,92.08,92.29,89.98,90.08,2135900,89.79
2012-07-19,92.79,93.17,92.53,92.79,1289300,92.49
2012-07-18,91.08,93.00,90.91,92.72,1322200,92.42
2012-07-17,92.09,92.09,90.21,91.25,2011900,90.95
2012-07-16,92.07,92.29,91.42,91.92,1210500,91.62
2012-07-13,89.63,92.57,89.63,92.35,1847300,92.05
2012-07-12,90.00,90.10,88.93,89.50,2173600,89.21
2012-07-11,90.31,90.98,89.98,90.61,1637900,90.32
2012-07-10,90.99,91.98,89.92,90.48,1668100,90.19
2012-07-09,91.07,91.76,90.65,91.13,1162900,90.83
2012-07-06,91.25,91.99,90.50,91.28,1310300,90.98
2012-07-05,91.91,92.57,91.40,92.11,1398500,91.81
2012-07-03,91.44,92.80,91.13,92.60,1033100,92.30
2012-07-02,91.59,91.87,89.55,91.54,1833700,91.24
2012-06-29,90.29,91.61,89.68,91.61,2078200,91.31
2012-06-28,87.42,88.90,87.31,88.79,1432300,88.50
2012-06-27,87.60,88.21,87.13,87.90,1836500,87.61
2012-06-26,88.83,89.02,87.18,87.55,2202800,87.27
2012-06-25,89.57,89.63,87.82,88.81,1933400,88.52
2012-06-22,91.26,91.26,89.83,90.54,2713300,90.25
2012-06-21,91.76,92.16,90.55,90.63,2893600,90.34
2012-06-20,90.64,92.31,90.31,91.34,3132200,91.04
2012-06-19,87.02,91.95,86.79,91.01,4691900,90.71
2012-06-18,87.40,88.99,87.16,88.51,2619200,88.22
2012-06-15,87.35,87.67,86.54,87.63,2093600,87.34
2012-06-14,86.53,87.44,85.99,86.84,2333700,86.56
2012-06-13,87.09,87.41,85.57,86.19,3332300,85.77
2012-06-12,86.47,87.83,85.97,87.69,1783300,87.26
2012-06-11,88.17,88.35,86.12,86.28,2126500,85.86
2012-06-08,86.45,87.63,86.00,87.57,1760300,87.14
2012-06-07,88.02,88.36,86.00,86.10,2643400,85.68
2012-06-06,85.00,86.83,84.91,86.83,2402800,86.41
2012-06-05,85.10,85.69,83.80,84.34,2227900,83.93
2012-06-04,85.19,85.99,84.52,85.20,1956800,84.78
2012-06-01,87.22,87.55,85.09,85.25,3163500,84.83
2012-05-31,88.80,89.96,87.62,89.14,1619700,88.71
2012-05-30,89.44,90.24,88.65,88.93,1649400,88.50
2012-05-29,89.67,91.43,89.51,90.98,1565600,90.54
2012-05-25,90.24,90.50,88.68,89.28,1301700,88.84
2012-05-24,88.84,90.40,88.74,90.02,2244100,89.58
2012-05-23,86.10,88.90,85.82,88.74,2152500,88.31
2012-05-22,86.90,87.79,86.32,86.85,1730600,86.43
2012-05-21,85.01,86.90,84.90,86.70,1547900,86.28
2012-05-18,87.26,87.35,84.86,85.07,2555400,84.66
2012-05-17,87.92,88.46,86.68,86.77,3414200,86.35
2012-05-16,88.38,89.50,87.79,87.89,1609500,87.46
2012-05-15,87.75,88.84,87.38,87.81,1976500,87.38
2012-05-14,86.83,88.33,86.80,87.78,1578300,87.35
2012-05-11,86.17,88.06,86.17,87.80,1628800,87.37
2012-05-10,87.51,88.59,86.47,86.65,1714700,86.23
2012-05-09,87.76,87.80,86.67,87.13,2547100,86.71
2012-05-08,88.72,89.03,87.82,88.96,2156300,88.53
2012-05-07,88.24,90.12,88.11,89.37,1797100,88.93
2012-05-04,89.02,89.66,88.20,89.30,2839900,88.86
2012-05-03,89.15,89.75,88.75,88.86,2199300,88.43
2012-05-02,88.75,89.57,88.47,89.35,943200,88.91
2012-05-01,88.14,89.83,87.57,89.04,1385200,88.61
