Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,97.17,97.50,95.23,96.19,465500,96.19
2012-12-21,95.83,98.51,94.76,97.46,2026200,97.46
2012-12-20,96.71,97.64,95.50,97.33,1038800,97.33
2012-12-19,97.03,98.45,96.12,96.44,1141900,96.44
2012-12-18,93.08,97.42,93.00,97.29,1821500,97.29
2012-12-17,90.70,92.66,90.00,92.60,1023100,92.60
2012-12-14,93.53,93.76,89.61,90.41,2591400,90.41
2012-12-13,93.95,93.95,91.48,93.73,1976400,93.73
2012-12-12,95.27,96.12,93.80,94.20,1234300,94.20
2012-12-11,94.41,95.45,94.24,94.92,1171600,94.92
2012-12-10,92.27,94.84,92.07,93.77,1007700,93.77
2012-12-07,92.91,93.13,90.92,92.37,999600,92.37
2012-12-06,92.55,93.50,91.19,92.52,1648200,92.52
2012-12-05,92.73,93.68,91.50,92.96,1345200,92.96
2012-12-04,94.27,94.45,92.56,92.98,1568800,92.98
2012-12-03,94.18,95.36,93.52,93.94,1005600,93.94
2012-11-30,94.12,95.20,93.00,93.68,1441000,93.68
2012-11-29,93.24,94.57,92.82,93.97,1297600,93.97
2012-11-28,91.02,92.46,90.04,92.37,1043100,92.37
2012-11-27,92.03,93.44,91.75,91.83,1132700,91.83
2012-11-26,91.69,92.65,91.36,92.61,1112900,92.61
2012-11-23,89.97,92.44,89.97,92.16,902400,92.16
2012-11-21,87.63,90.20,87.51,90.05,1216000,90.05
2012-11-20,88.32,88.32,86.62,87.48,1585000,87.48
2012-11-19,88.16,88.64,86.58,88.08,1562600,88.08
2012-11-16,88.11,88.42,85.21,86.64,2098900,86.64
2012-11-15,88.02,88.50,84.71,87.71,3147100,87.71
2012-11-14,88.20,90.82,86.98,87.50,3320500,87.50
2012-11-13,88.17,89.87,86.49,86.54,2395000,86.54
2012-11-12,88.15,88.57,85.17,86.14,1807700,86.14
2012-11-09,86.80,89.14,86.42,87.93,1763600,87.93
2012-11-08,88.74,89.78,86.50,86.76,1872000,86.76
2012-11-07,87.24,90.41,86.90,88.35,3316000,88.35
2012-11-06,85.56,88.15,85.28,87.67,2459300,87.67
2012-11-05,82.09,85.38,81.57,85.13,1747200,85.13
2012-11-02,85.28,86.18,82.16,82.59,2729200,82.59
2012-11-01,82.32,86.86,82.03,86.10,3200100,86.10
2012-10-31,82.00,83.13,81.61,82.59,1990500,82.59
2012-10-26,83.50,84.44,81.52,81.78,2756500,81.78
2012-10-25,82.80,83.95,81.07,83.00,8454400,83.00
2012-10-24,97.94,97.94,93.02,93.32,4276400,93.32
2012-10-23,94.77,96.72,93.65,95.54,1212200,95.54
2012-10-22,96.24,97.71,95.08,95.97,1087500,95.97
2012-10-19,98.58,99.42,95.78,95.84,1756800,95.84
2012-10-18,97.71,98.25,96.13,97.05,1691300,97.05
2012-10-17,98.75,99.69,97.07,97.33,2153700,97.33
2012-10-16,99.00,101.27,98.63,101.19,1774200,101.19
2012-10-15,97.71,98.39,96.40,98.31,1221600,98.31
2012-10-12,99.05,99.98,97.05,97.27,1234600,97.27
2012-10-11,100.29,101.47,97.80,98.79,1962000,98.79
2012-10-10,101.56,101.59,98.25,98.77,2515400,98.77
2012-10-09,103.52,103.75,100.50,102.08,1644600,102.08
2012-10-08,102.78,106.98,102.03,103.88,1496500,103.88
2012-10-05,105.54,107.08,102.82,103.43,2234800,103.43
2012-10-04,106.81,107.75,105.15,107.43,1425800,107.43
2012-10-03,107.22,108.37,106.22,107.00,1607700,107.00
2012-10-02,105.50,107.02,104.49,106.97,1359000,106.97
2012-10-01,105.72,106.60,104.01,104.69,982700,104.69
2012-09-28,106.41,107.26,104.21,104.64,1923500,104.64
2012-09-27,106.00,107.63,105.25,106.50,1452900,106.50
2012-09-26,107.25,107.38,103.76,105.08,1256600,105.08
2012-09-25,109.78,111.00,106.72,107.06,1436900,107.06
2012-09-24,106.43,109.21,105.19,109.03,1488100,109.03
2012-09-21,110.00,110.95,107.46,107.88,1693500,107.88
2012-09-20,109.89,110.27,108.15,109.36,1520700,109.36
2012-09-19,109.38,110.93,108.11,110.57,2205600,110.57
