Date,Open,High,Low,Close,Volume,Adj Close
2013-01-07,80.50,81.38,80.11,81.21,606500,81.21
2013-01-04,80.93,80.93,80.29,80.70,463000,80.70
2013-01-03,80.98,81.42,80.40,80.67,505300,80.67
2013-01-02,80.28,81.28,80.01,81.28,892800,81.28
2012-12-31,78.63,79.10,78.04,79.03,569200,79.03
2012-12-28,78.41,79.24,78.39,78.52,476400,78.52
2012-12-27,78.72,79.39,78.19,79.13,647900,79.13
2012-12-26,79.85,79.97,78.63,78.94,409500,78.94
2012-12-24,79.28,80.19,79.09,79.74,243000,79.74
2012-12-21,79.73,80.01,79.12,79.70,1907500,79.70
2012-12-20,79.40,80.37,79.34,80.22,911900,80.22
2012-12-19,81.01,81.20,79.69,79.69,1429700,79.69
2012-12-18,80.86,81.17,80.26,81.11,896800,81.11
2012-12-17,79.71,80.83,79.57,80.50,1131500,80.50
2012-12-14,79.82,80.18,79.58,79.67,1030500,79.67
2012-12-13,80.52,80.89,79.48,79.93,1018800,79.93
2012-12-12,80.71,81.13,80.20,80.24,881100,80.24
2012-12-11,80.20,81.26,80.19,80.67,1270100,80.67
2012-12-10,79.49,80.34,79.45,80.11,864300,80.11
2012-12-07,80.26,80.73,79.15,79.81,996200,79.81
2012-12-06,79.72,80.52,79.13,79.89,1013000,79.89
2012-12-05,77.70,80.40,77.38,79.71,1727400,79.71
2012-12-04,76.66,77.69,76.66,77.68,630100,77.68
2012-12-03,77.13,77.42,76.80,76.90,481300,76.90
2012-11-30,76.18,77.02,76.06,76.99,818400,76.99
2012-11-29,75.72,76.18,75.61,76.13,305000,76.13
2012-11-28,75.04,75.67,74.78,75.59,629900,75.59
2012-11-27,75.25,75.67,75.08,75.13,274100,75.13
2012-11-26,75.53,75.64,75.04,75.38,441400,75.38
2012-11-23,75.16,75.43,74.77,75.43,146900,75.43
2012-11-21,74.06,74.68,74.01,74.66,323500,74.66
2012-11-20,73.52,74.56,73.38,74.29,468500,74.29
2012-11-19,73.97,74.16,73.38,73.62,674700,73.62
2012-11-16,72.50,73.73,72.24,73.55,797600,73.55
2012-11-15,72.75,72.83,72.19,72.59,557600,72.59
2012-11-14,73.83,73.92,72.46,72.58,692200,72.58
2012-11-13,73.56,74.37,73.28,73.83,439200,73.83
2012-11-12,73.65,74.27,73.63,73.96,329600,73.96
2012-11-09,73.48,74.56,73.29,73.91,498700,73.91
2012-11-08,74.05,74.60,73.48,73.70,543900,73.70
2012-11-07,74.86,74.92,74.20,74.42,577100,74.42
2012-11-06,74.86,76.11,74.84,75.51,563600,75.51
2012-11-05,74.85,75.19,74.42,74.82,737500,74.82
2012-11-02,75.82,75.85,74.88,75.24,888700,75.24
2012-11-01,75.16,75.94,74.64,75.39,966300,75.39
2012-10-31,74.63,75.75,74.39,74.86,1136200,74.86
2012-10-26,75.01,75.54,74.92,75.25,797600,75.25
2012-10-25,75.39,75.39,74.90,75.13,638200,75.13
2012-10-24,75.31,75.31,74.56,74.81,799700,74.81
2012-10-23,74.66,75.18,74.58,75.04,837200,75.04
2012-10-22,75.06,75.70,75.06,75.56,771300,75.56
2012-10-19,75.76,75.76,75.25,75.31,1236100,75.31
2012-10-18,75.86,76.12,75.56,75.86,499000,75.86
2012-10-17,75.60,75.97,75.36,75.75,528100,75.75
2012-10-16,75.27,76.25,75.08,75.77,752300,75.77
2012-10-15,73.94,75.21,73.73,75.21,982400,75.21
2012-10-12,73.41,73.92,73.38,73.76,612300,73.76
2012-10-11,73.50,73.83,73.21,73.50,721700,73.50
2012-10-10,73.69,73.87,72.73,72.84,602300,72.84
2012-10-09,74.40,74.46,73.62,73.67,753700,73.67
2012-10-08,73.70,74.77,73.53,74.63,690700,74.63
2012-10-05,74.83,75.24,74.10,74.21,850500,74.21
2012-10-04,74.35,74.63,74.06,74.59,619500,74.59
2012-10-03,74.16,74.35,73.79,74.17,717200,74.17
2012-10-02,74.42,74.42,73.49,73.82,782800,73.82
2012-10-01,74.40,74.40,73.60,74.11,1136100,74.11
2012-09-28,73.62,74.32,73.48,74.03,803100,74.03
2012-09-27,73.30,73.85,72.95,73.73,607200,73.73
2012-09-26,72.92,73.22,72.69,73.07,566800,73.07
2012-09-25,74.02,74.10,72.80,72.93,376900,72.93
2012-09-24,73.96,74.28,73.73,73.98,480200,73.98
2012-09-21,74.18,74.36,73.96,74.19,1300800,74.19
2012-09-20,72.59,73.59,72.37,73.44,918100,73.44
2012-09-19,72.15,72.95,72.06,72.69,574900,72.69
2012-09-18,72.09,72.09,71.69,72.06,290700,72.06
2012-09-17,72.03,72.07,71.72,71.84,559400,71.84
2012-09-14,72.31,72.45,71.74,71.79,746000,71.79
2012-09-13,71.80,72.38,71.58,72.15,713100,72.15
2012-09-12,72.46,72.61,71.76,71.95,415300,71.95
2012-09-11,72.25,72.85,72.25,72.38,389600,72.38
2012-09-10,72.56,72.97,72.39,72.40,419100,72.40
2012-09-07,73.00,73.27,72.69,72.81,557500,72.81
2012-09-06,71.78,72.97,71.76,72.76,656300,72.76
2012-09-05,71.34,71.75,71.08,71.44,562600,71.44
2012-09-04,70.45,71.72,70.37,71.47,942300,71.47
2012-08-31,71.17,71.50,70.81,71.31,853400,71.31
2012-08-30,70.86,71.15,70.71,70.84,695200,70.84
2012-08-29,70.34,71.26,70.17,71.17,756800,71.17
2012-08-28,70.44,70.86,69.93,70.05,765600,70.05
2012-08-27,70.96,71.00,70.45,70.61,509400,70.61
2012-08-24,70.50,71.00,70.37,70.87,492400,70.87
2012-08-23,70.38,70.87,70.07,70.47,469700,70.47
2012-08-22,70.88,71.03,70.15,70.38,567700,70.38
2012-08-21,70.79,71.13,70.54,70.81,556900,70.81
2012-08-20,71.45,71.78,70.37,70.75,786300,70.75
2012-08-17,71.89,72.09,71.35,71.41,692500,71.41
2012-08-16,71.25,71.65,70.80,71.49,468500,71.49
2012-08-15,70.52,71.29,70.29,71.16,401700,71.16
2012-08-14,71.20,71.20,70.38,70.77,588400,70.77
2012-08-13,70.15,70.95,69.90,70.81,633800,70.81
2012-08-10,69.93,70.13,69.70,69.88,705400,69.88
2012-08-09,69.93,70.68,69.84,70.03,798100,70.03
2012-08-08,69.12,70.27,69.11,70.16,425000,70.16
2012-08-07,70.09,70.25,69.30,69.42,786200,69.42
2012-08-06,69.97,70.42,69.52,69.59,564300,69.59
2012-08-03,69.59,69.77,69.04,69.62,630300,69.62
2012-08-02,69.19,69.50,67.95,68.19,737700,68.19
2012-08-01,70.91,70.91,69.40,69.65,752400,69.65
2012-07-31,70.00,70.32,68.74,70.13,1585400,70.13
2012-07-30,72.38,72.65,71.78,72.25,683600,72.25
2012-07-27,71.55,72.54,71.15,72.38,525100,72.38
2012-07-26,70.32,70.90,69.35,70.80,544800,70.80
2012-07-25,69.16,69.38,68.57,68.97,387300,68.97
2012-07-24,69.93,70.02,68.62,69.20,480500,69.20
2012-07-23,69.86,70.06,68.85,69.67,581400,69.67
2012-07-20,71.03,71.59,70.90,71.10,805700,71.10
2012-07-19,71.80,72.12,71.47,71.52,657300,71.52
2012-07-18,71.08,72.00,70.82,71.95,530600,71.95
2012-07-17,71.25,71.55,70.31,71.19,501700,71.19
2012-07-16,70.92,71.27,70.50,71.07,397400,71.07
2012-07-13,70.61,71.10,70.26,70.95,684800,70.95
2012-07-12,70.44,70.76,69.90,70.48,489100,70.48
2012-07-11,70.81,71.26,70.59,70.96,924900,70.96
2012-07-10,71.33,71.99,70.25,70.52,1237500,70.52
2012-07-09,72.16,72.17,71.66,72.08,313300,72.08
2012-07-06,72.38,72.58,71.38,72.08,430100,72.08
2012-07-05,72.48,72.93,72.23,72.79,499300,72.79
2012-07-03,72.45,72.88,72.00,72.86,305700,72.86
2012-07-02,72.40,72.73,72.15,72.60,673800,72.60
2012-06-29,71.18,72.30,70.86,72.22,880300,72.22
2012-06-28,69.75,70.04,68.89,69.81,496800,69.81
2012-06-27,69.70,70.47,69.19,70.43,487900,70.43
2012-06-26,68.91,69.32,68.47,69.19,794700,69.19
2012-06-25,69.19,69.54,68.62,68.86,454800,68.86
2012-06-22,69.27,69.86,68.87,69.68,842200,69.68
2012-06-21,71.12,71.14,68.87,68.87,709600,68.87
2012-06-20,70.88,71.29,70.43,70.92,525000,70.92
2012-06-19,70.78,71.37,70.16,70.81,950100,70.81
2012-06-18,71.74,71.74,69.93,70.36,1030700,70.36
2012-06-15,70.02,71.00,69.72,70.87,1514200,70.87
2012-06-14,68.71,70.30,68.60,69.73,779700,69.73
2012-06-13,68.86,69.45,68.25,68.46,577900,68.46
2012-06-12,68.50,69.10,68.36,69.10,592800,69.10
2012-06-11,69.49,69.69,68.33,68.45,555600,68.45
2012-06-08,68.34,69.15,68.15,69.10,732500,69.10
2012-06-07,69.30,69.41,68.27,68.47,845600,68.47
2012-06-06,67.53,68.54,67.53,68.47,983400,68.47
2012-06-05,66.43,67.25,66.14,67.13,738500,67.13
2012-06-04,65.97,66.48,65.64,66.41,836700,66.41
2012-06-01,66.24,66.83,65.55,65.58,837400,65.58
2012-05-31,66.61,67.86,66.31,67.43,1286000,67.43
2012-05-30,67.22,67.22,66.57,66.70,658900,66.70
2012-05-29,67.74,68.00,66.96,67.62,615400,67.62
2012-05-25,66.47,67.34,66.47,67.17,538400,67.17
2012-05-24,66.68,67.14,66.36,66.96,746900,66.96
2012-05-23,66.03,66.88,65.54,66.70,653000,66.70
2012-05-22,66.03,66.64,65.82,66.23,544400,66.23
2012-05-21,65.00,66.02,64.48,65.98,773700,65.98
2012-05-18,65.73,65.74,64.54,64.61,646300,64.61
2012-05-17,66.11,66.16,65.33,65.33,719600,65.33
2012-05-16,66.33,66.71,65.83,65.96,876700,65.96
2012-05-15,66.02,66.82,65.79,66.18,799300,66.18
2012-05-14,65.97,66.45,65.54,66.04,595200,66.04
2012-05-11,66.28,67.33,66.02,66.56,755700,66.56
2012-05-10,66.59,66.97,66.33,66.47,700000,66.47
2012-05-09,65.77,66.60,65.44,66.28,878300,66.28
2012-05-08,66.92,66.94,65.89,66.54,1235900,66.54
2012-05-07,67.26,67.62,66.90,67.06,702100,67.06
2012-05-04,68.42,68.64,67.51,67.51,755600,67.51
2012-05-03,69.69,69.84,69.01,69.07,638400,69.07
2012-05-02,68.00,69.97,68.00,69.83,1245700,69.83
2012-05-01,70.65,71.74,70.37,70.75,941100,70.75
2012-04-30,70.49,70.69,70.17,70.29,451100,70.29
2012-04-27,70.11,70.90,70.11,70.67,669800,70.67
2012-04-26,69.04,70.26,69.00,70.07,640400,70.07
2012-04-25,69.51,69.80,69.06,69.32,518500,69.32
2012-04-24,69.21,69.58,68.78,69.05,598900,69.05
2012-04-23,68.55,69.11,67.88,69.00,824800,69.00
2012-04-20,69.13,69.61,68.74,68.92,653000,68.92
2012-04-19,68.97,69.67,68.29,68.73,595600,68.73
2012-04-18,69.57,70.05,69.20,69.22,701800,69.22
2012-04-17,69.00,70.44,68.77,70.03,881700,70.03
2012-04-16,68.66,68.91,68.21,68.74,628600,68.74
2012-04-13,68.87,68.94,68.48,68.50,618800,68.50
2012-04-12,68.70,69.19,68.36,69.11,533900,69.11
2012-04-11,68.09,68.52,67.95,68.35,544500,68.35
2012-04-10,68.47,68.68,67.55,67.59,925000,67.59
2012-04-09,68.57,68.93,68.30,68.77,499400,68.77
2012-04-05,68.74,69.55,68.74,69.34,911200,69.34
2012-04-04,69.71,69.88,69.20,69.21,872600,69.21
2012-04-03,70.45,70.67,69.64,70.22,678500,70.22
2012-04-02,69.32,70.54,69.28,70.41,653200,70.41
2012-03-30,70.00,70.00,69.38,69.39,633200,69.39
2012-03-29,69.18,69.70,69.09,69.59,569800,69.59
2012-03-28,69.75,69.76,69.19,69.49,478800,69.49
2012-03-27,70.00,70.00,69.59,69.70,520900,69.70
2012-03-26,69.59,69.96,69.56,69.96,764400,69.96
2012-03-23,68.89,69.34,68.57,69.26,424700,69.26
2012-03-22,68.71,69.18,68.45,69.00,467300,69.00
2012-03-21,68.57,69.19,68.57,68.99,434300,68.99
2012-03-20,68.73,68.82,68.34,68.77,374700,68.77
2012-03-19,68.87,69.15,68.48,68.92,840900,68.92
2012-03-16,69.25,69.39,68.88,69.17,1146500,69.17
2012-03-15,69.31,69.60,68.71,69.44,883200,69.44
2012-03-14,68.86,69.47,68.65,69.29,874000,69.29
2012-03-13,68.46,68.88,68.06,68.87,795900,68.87
2012-03-12,68.02,68.36,67.51,68.21,622000,68.21
2012-03-09,67.95,68.19,67.55,67.97,599100,67.97
2012-03-08,67.00,68.00,66.96,67.88,846500,67.88
2012-03-07,66.18,66.99,65.91,66.84,889600,66.84
2012-03-06,66.04,66.67,65.81,66.10,856000,66.10
2012-03-05,66.25,66.58,66.07,66.54,719000,66.54
2012-03-02,66.61,66.93,66.32,66.41,754600,66.41
2012-03-01,66.52,66.79,66.08,66.72,1002200,66.72
2012-02-29,66.40,66.74,66.15,66.30,862400,66.30
2012-02-28,66.41,66.87,66.07,66.54,626000,66.54
2012-02-27,66.14,66.77,65.83,66.48,807300,66.48
2012-02-24,66.00,67.00,65.71,66.87,1073800,66.87
2012-02-23,65.20,65.94,65.17,65.84,460800,65.84
2012-02-22,65.13,65.51,65.06,65.27,626500,65.27
2012-02-21,65.34,65.57,65.05,65.31,777900,65.31
2012-02-17,65.33,65.50,64.84,65.11,1064200,65.11
2012-02-16,64.91,65.45,64.86,65.22,680600,65.22
2012-02-15,65.37,65.54,64.59,64.65,693400,64.65
2012-02-14,64.73,65.52,64.58,65.37,735400,65.37
2012-02-13,64.75,65.20,64.32,64.94,496800,64.94
2012-02-10,64.35,64.46,63.71,64.23,743600,64.23
2012-02-09,64.88,65.00,64.26,64.89,547600,64.89
2012-02-08,64.75,65.01,64.64,64.89,879600,64.89
2012-02-07,64.87,65.03,64.69,64.93,743600,64.93
2012-02-06,65.25,65.51,64.89,65.21,779500,65.21
2012-02-03,64.04,66.06,64.04,65.88,1735800,65.88
2012-02-02,63.80,64.37,63.04,63.11,1471400,63.11
2012-02-01,63.50,64.06,63.34,63.85,487600,63.85
2012-01-31,62.77,63.30,62.44,62.89,578200,62.89
2012-01-30,62.37,62.75,62.18,62.61,522900,62.61
2012-01-27,63.25,63.60,62.94,63.05,669700,63.05
2012-01-26,63.60,63.78,62.93,63.26,719900,63.26
2012-01-25,62.69,63.54,62.60,63.40,627300,63.40
2012-01-24,62.44,62.96,62.19,62.92,597000,62.92
2012-01-23,62.55,63.29,62.30,62.83,684600,62.83
2012-01-20,62.62,62.91,62.28,62.64,1010500,62.64
2012-01-19,62.04,62.88,61.55,62.56,854600,62.56
2012-01-18,61.22,61.93,61.22,61.88,1072300,61.88
2012-01-17,61.15,62.00,61.08,61.26,901600,61.26
2012-01-13,61.00,61.04,60.33,60.79,723300,60.79
2012-01-12,60.00,61.17,59.72,61.04,1089700,61.04
2012-01-11,58.92,59.82,58.92,59.72,621500,59.72
2012-01-10,59.19,59.48,59.06,59.19,804500,59.19
2012-01-09,58.47,59.15,58.46,58.93,568500,58.93
2012-01-06,58.70,58.99,58.26,58.40,493100,58.40
2012-01-05,57.87,58.95,57.52,58.69,648300,58.69
2012-01-04,58.54,58.55,57.77,58.14,976300,58.14
2012-01-03,59.96,59.97,58.50,58.56,1121800,58.56
2011-12-30,58.96,59.22,58.74,58.74,442400,58.74
2011-12-29,58.43,59.09,58.43,59.07,459900,59.07
2011-12-28,59.27,59.35,58.38,58.50,675500,58.50
2011-12-27,58.67,59.34,58.46,59.21,474400,59.21
